公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 取得以成本衡量之金融資產,　　 取得無形資產,　　 取得待出售非流動資產,　　 處分不動產、廠房及設備,　　　　 處分待出售非流動資產損失（利益）,　　 取得備供出售金融資產,　　 處分子公司,　　 處分待出售非流動資產,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少
3579,2016年01月01日至2016年09月30日,,-752076,,-752076,,,1015864,3304,-5.0,193608,-1998,-9142,-3387,,,248883.0,,,,,91815,125517,35006,258118,17051,-65077,764703,1227133,,-18728,-405769,138216,3245,29899,,-32941,-287933,939200,2390632,1638556,2012,-994,1639574,,,,,,,-392400,-415231,,9590302,-11007575,,,,380000,-1017660,,-187391,0.0,-2440092,-33915,-1249664,1735749,486085,486085,0.0,,,-628.0,,46062.0,4305.0,,,119957.0,0.0,32232.0,,,1451432.0,-1855.0,-761179.0,572957.0,,-230000.0
3579,2016年01月01日至2016年06月30日,,486603,,486603,,,673013,2210,5.0,135575,-1687,4831,-3219,0.0,,0.0,,,,,-8100,-96828,13607,56053,-70210,-4444,539603,429681,,-38225,-682016,-270417,2194,11729,,-32316,-1011177,-581496,233537,720140,1686,0,721826,,0.0,,,,,-118265,-66983,,7493996,-8599209,0.0,0.0,,380000,-741620,,-131665,0.0,-1796266,-35581,-1177004,1735749,558745,558745,0.0,,0.0,-378.0,,4441.0,4305.0,0.0,,119957.0,0.0,32232.0,0.0,,815033.0,-2126.0,-373798.0,301060.0,,-230000.0
3579,2016年01月01日至2016年03月31日,,355778,,355778,,,334263,1112,-20.0,71131,-928,3539,0,,,,,,,,106524,-145204,-10140,23843,-61608,-5252,250012,158175,,-42930,-223995,-169896,1459,87205,,-31837,-379909,-221734,191668,547446,927,0,548373,,,,,,,-49634,71498,,2979177,-3948887,,,,0,-90384,0.0,-68491,0.0,-1326353,6836,-699646,1735749,1036103,1036103,0.0,,,-300.0,,0.0,4305.0,,,119957.0,,32232.0,,,413402.0,85.0,-93881.0,95356.0,0.0,-230000.0
3579,2015年度,,-2142450,,-2142450,,,1676010,4275,2639.0,284421,-8598,19353,71,0.0,0.0,439423.0,0.0,,,,-116052,1555562,263269,683583,-84911,-92,496226,2797585,,20319,83518,480791,5833,24428,,-9321,606451,3404036,5808641,3666191,8778,-13747,3661222,,0.0,,,,,-220777,-344475,,15337532,-15652126,0.0,0.0,0.0,687030,-2938401,0.0,-284871,1664.0,-2518465,-16400,781882,953867,1735749,1735749,-12989.0,,0.0,-1190.0,0.0,802.0,0.0,,,0.0,200000.0,130707.0,,,2404605.0,883.0,-483506.0,360196.0,,
3579,2015年01月01日至2015年09月30日,,-1639963,,-1639963,,,1265005,3187,,214351,-7938,13563,48,0.0,,29319.0,,,,,-136431,981044,290115,315445,81962,1133,194898,1728166,,3396,194153,466091,4445,-40109,,8899,637088,2365254,3881344,2241381,8811,-13691,2236501,,0.0,,,,,-189321,-293797,,11521559,-11993249,0.0,0.0,,66750,-1993694,,-214533,1664.0,-2370893,-35584,-463773,953867,490094,490094,-1445.0,,0.0,-1190.0,,802.0,0.0,0.0,,0.0,200000.0,40610.0,,,1516090.0,213.0,-457029.0,352941.0,,
3579,2015年01月01日至2015年06月30日,,-1041795,,-1041795,,,846866,2096,,145177,-7035,2130,48,0.0,,29319.0,,,,,-71293,1441705,283521,301124,159637,1238,136299,2252231,,-19184,46563,279552,874,-51071,,11056,267901,2520132,3537288,2495493,7923,-13691,2489725,,0.0,,,,,-76596,-141820,,7816173,-9009633,0.0,0.0,,66750,-1305610,,-145620,1664.0,-2376276,-17626,-45997,953867,907870,907870,-1445.0,,0.0,-1123.0,,802.0,0.0,0.0,,0.0,200000.0,0.0,0.0,,1017156.0,111.0,-268579.0,203676.0,,
3579,2015年01月01日至2015年03月31日,,-429555,,-429555,,,427416,1017,,78938,-5702,4448,85,0.0,,,,,,,-7371,857724,-7161,150460,216081,1376,-13452,1197657,,-7944,99481,258882,5509,-1263,,6229,360981,1558638,2063395,1633840,5786,603,1640229,,0.0,,,0.0,0.0,-14074,-109888,,4092663,-4800957,,0.0,,1750,-461450,0.0,-76785,1664.0,-1243115,-96081,191145,953867,1145012,1145012,-1445.0,,,-796.0,,750.0,0.0,0.0,,0.0,,0.0,,,504757.0,87.0,-218156.0,122388.0,,
3579,2014年度,,-2156087,,-2156087,,,1712084,3839,0.0,288061,-15960,5833,3640,-8012.0,0.0,374898.0,0.0,2352792.0,,,15563,-744173,-398951,-675978,-451442,-3346,410047,-1848280,,23527,54077,-1509,4640,-164372,1344.0,-13567,-95860,-1944140,408652,-1747435,15068,-27798,-1760165,,17353.0,-212180.0,408410.0,,,-136104,165898,,17572832,-16798699,1197043.0,-1745485.0,0.0,1851100,-1630065,0.0,-261500,23025.0,815416,27726,-751125,1704992,953867,953867,-989.0,,-35392.0,-4922.0,0.0,7003.0,-10602.0,,,121730.0,138457.0,468708.0,,,,,,,,
3579,2014年01月01日至2014年09月30日,,-1009502,,-1009502,,,1289711,2771,,194257,-11059,4866,3639,-8012.0,0.0,,,1464582.0,,,14954,-539417,-539199,-1007923,-256723,-50722,149964,-2229066,,22102,-39080,26570,3561,-130238,137.0,-29526,-146474,-2375540,-910958,-1920460,10208,-53254,-1963506,,17353.0,-146613.0,364740.0,0.0,,-114432,211761,,13576904,-12810864,0.0,-548442.0,,1531743,-1131758,0.0,-189170,23681.0,1059259,-9699,-702185,1704992,1002807,1002807,-989.0,0.0,-35000.0,-2627.0,,7002.0,-10602.0,-392.0,,121730.0,138457.0,468708.0,,,,,,,,
3579,2014年01月01日至2014年06月30日,,-349429,,-349429,,,856638,1757,,117183,-5902,-287,3622,-8012.0,0.0,,,954238.0,,,-4636,-130771,-426423,-887206,-264344,-21785,179227,-1555938,,2495,-210093,-155948,2129,-98783,11.0,-49430,-509619,-2065557,-1111319,-1460748,5201,-62088,-1517635,,17353.0,-58494.0,339491.0,0.0,,-86204,304492,,9541263,-9465409,0.0,-548442.0,,616422,0,0.0,-115309,7437.0,643127,5897,-564119,1704992,1140873,1140873,-159.0,,-35000.0,-992.0,,7000.0,-10602.0,-392.0,,121730.0,138457.0,468708.0,0.0,,,,,,,
