公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款減少,　　 應付短期票券增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　　　 處分待出售非流動資產損失（利益）,　　 發放現金股利,　　　　 金融資產減損損失,　　 處分子公司,　　 其他非流動資產增加,　　　　 股利收入,　　　　　 負債準備增加（減少）,　　 收取之股利,　　　　 非金融資產減損迴轉利益,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 附買回票券及債券負債減少
2467,2015年01月01日至2015年06月30日,,11383,11383,,,59586,3831,16599,207,12187,-6455,-4209,7424,,-3845.0,41545,0.0,,,,25763,40890,-2883,-57785,-32189,19743,-8181,-14642,,26016,-10961,197358,32074,-27991,,211816,197174,324044,335427,-39779,283687,,-91707,139705.0,-9422,,,0.0,6041.0,,-171348,16085,-728,,60546.0,9005,-41823,,199740.0,,209848.0,-185500,-1.0,-11961,-4255,,23464,-34198,231130,555714,786844,786844,,,10000.0,,,,,,,,,,,,-1066.0,,,126870.0,-3614.0,-206368.0
2467,2015年01月01日至2015年03月31日,,-44490,-44490,,,29149,2053,11151,-107,5806,-2868,-1352,7488,,-388.0,23781,0.0,,,,20221,148387,-3109,-75136,-35687,11966,15912,82554,,19392,-88030,-37027,53750,-19437,,-74231,8323,83036,38546,-9073,22977,,-92434,64603.0,-9422,,,,6041.0,,-149373,14878,-46,,58427.0,5418,-101908,,313414.0,0.0,29848.0,-160000,-1.0,-6496,-7707,,175554,-15848,80775,555714,636489,636489,,,,,,,,,,,,,,,-1066.0,,,74713.0,-1813.0,
2467,2014年度,,283154,283154,,,109246,10420,35304,1066,21364,-20485,-5512,-717,0.0,-27261.0,10757,31836.0,188558.0,,,4398,-253228,41542,-326467,-35646,-8160,-47475,-625036,,30009,146981,35463,30853,8654,-6804.0,244001,-381035,-192477,90677,-17729,79421,,-99733,88392.0,-46931,3201.0,,,-135334.0,0.0,-49321,11171,-6985,0.0,,23833,-372026,,40621.0,,216240.0,-68954,,-23242,64210,,-6133,67626,-231112,786826,555714,555714,0.0,0.0,-20000.0,,0.0,-238117.0,,0.0,-160319.0,-29715.0,,29715.0,52255.0,0.0,-1155.0,-133.0,,,,
2467,2014年01月01日至2014年09月30日,,221396,221396,,,81538,7711,2690,568,15603,-11587,-3790,-871,,-27262.0,34052,25370.0,160203.0,,,3343,4594,27069,-277490,-78941,616,-2025,-322834,,-7841,207168,40763,39086,-251,-5103.0,273907,-48927,111276,332672,-8872,276971,,-83861,88383.0,-44450,,,0.0,-135334.0,0.0,-57442,10141,-6452,,-192384.0,15786,-405613,,255062.0,,41000.0,-38866,-13.0,-17114,61325,,-19609,9682,-138569,786826,648257,648257,0.0,0.0,-100000.0,0.0,0.0,-238117.0,6466.0,,,29715.0,85.0,-29715.0,,,,,,,,
2467,2014年01月01日至2014年06月30日,,165548,165548,,,54426,5023,4122,-86,10132,-8583,-2040,-187,,-27262.0,20023,25370.0,80938.0,,,32937,-63577,3672,-262104,-52455,-49141,1900,-388768,,23675,308056,28785,59879,3027,-3402.0,420020,31252,112190,277738,-7552,260864,,-73473,88393.0,-44450,,,-112654.0,,0.0,-29914,573,-2318,,-39662.0,12611,-200894,,-14394.0,,5000.0,-36366,1.0,-9322,60223,,-85536,-21288,-46854,786826,739972,739972,,0.0,-100000.0,0.0,,,,,,,,,,,,,,,,
2467,2014年01月01日至2014年03月31日,,65842,65842,,,27434,2462,-4243,335,5204,-4147,-1724,-365,0.0,,4040,10400.0,39396.0,,,29590,-136664,8123,-131522,-74104,1128,1426,-302023,,20375,161925,-3503,73508,-409,-7134.0,244762,-57261,-17865,47977,-924,41900,,0,,-40246,0.0,,0.0,,0.0,-12391,587,-1047,,-21748.0,6019,-68826,,,-35888.0,,-366,2.0,-5153,24285,,-11967,26271,-12622,786826,774204,774204,,,,,,,,,,,,,,,,,,,,
2467,2013年度,,343873,343873,,,117700,18630,13778,1875,17877,-19688,-5197,3347,24.0,-2050.0,11401,18530.0,10392.0,,,81012,-60904,-6118,-128465,48456,-61583,103106,-24408,,24662,4255,-21889,-6363,794,-6743.0,-5284,-29692,-19300,324573,-74224,248091,,-204101,53036.0,-22172,0.0,,,0.0,331405.0,-115745,205862,-878,1601.0,,19688,262307,,700008.0,,-265830.0,-404299,,-17228,-72339,,-180576,-59485,270337,516489,786826,786826,48194.0,36329.0,100000.0,,-165109.0,-238116.0,,-12994.0,-77918.0,-14970.0,,14970.0,14244.0,88.0,0.0,0.0,,,,
2467,2013年01月01日至2013年12月31日,,343873,343873,,,117700,18147,13778,1875,17877,-19688,-5197,3347,24.0,-2050.0,25645,,24879.0,,,81012,-60904,-6118,-128465,48456,-61583,103106,-24496,,24662,4255,-21889,-6363,794,-6743.0,-5284,-29780,-4901,338972,-74224,264748,,-204101,53036.0,-22172,,0.0,36329.0,0.0,331405.0,-115745,205862,-878,1601.0,,19688,262307,,700008.0,,-265830.0,-404299,,-17228,-72339,,-197804,-58914,270337,516489,786826,786826,48194.0,,100000.0,,-165109.0,-238116.0,18530.0,-12994.0,-77918.0,,,,,,,,,,,
2467,2013年01月01日至2013年09月30日,,297560,297560,,,90727,15176,8781,291,11741,-13292,-4273,6820,,-46.0,12818,10475.0,-25891.0,,,29548,-83619,-42311,-177896,31518,6651,51363,-184746,,20240,43780,54973,21196,13366,-59380.0,94175,-90571,-116462,181098,-59767,121331,,-204100,50046.0,-16856,,0.0,-5973.0,0.0,331405.0,-106467,5508,-793,,-14568.0,15804,139114,,353803.0,,0.0,-375436,-3628.0,-11627,-36183,,-261560,70250,69135,516489,585624,585624,48116.0,36992.0,50000.0,-373.0,-165109.0,-238116.0,,,,,,,,,,,,,,
2467,2013年01月01日至2013年06月30日,,237557,237557,,,64098,10117,-2368,1002,7075,-9345,-2330,-161383,,-46.0,16065,7475.0,-69640.0,,,10147,-83818,-9583,-260269,34132,-3580,-16088,-329059,,30163,285895,-14892,63062,320,-3375.0,361173,32114,-37526,200031,-36621,163410,,-204101,50046.0,-1020,,0.0,-5990.0,0.0,313304.0,-78930,15004,-661,,17415.0,4533,146882,,59892.0,,0.0,-374079,-28.0,-7092,4081,,-267599,27023,69716,516489,586205,586205,0.0,37282.0,50000.0,-373.0,,,,,,,,,,,,,,,,
