公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　　　 其他項目,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 存出保證金增加,　　 存入保證金減少,　　 處分子公司股權（未喪失控制力）,　　　　 股利收入,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他非流動資產減少,　　 收取之股利,　　 短期借款減少,　　 應付短期票券減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　　 其他營業負債增加（減少）,　　 按攤銷後成本衡量之金融資產到期還本,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動負債減少,　　 非控制權益變動
1305,2016年01月01日至2016年09月30日,,1075432,9805,1085237,,,289583,23029,497,5798,17729,-9116,-5098,1905,20.0,-8151.0,,,,,-58373,-12593,196177,,-36609,20689,511671,-61881,1952,561033,,116,-111726,-46385,-9014,-12088,-3334.0,-3179,,-204651,356382,674995,1760232,8976,-17821,-130871,1620516,,,-397697,55367,,-515.0,,-313210,,,-300000.0,0.0,-186000,595.0,-2448,-468303.0,-1131036,-16431,159839,782564,942403,942403,,,2482.0,,,-49.0,-3032.0,,-65.0,,,,,65.0,-145000.0,,,,,,,-21033.0,-151.0,165.0,,318613.0,-19041.0,-60362.0,111000.0,0.0,,-26848.0
1305,2016年01月01日至2016年06月30日,,739889,-260,739629,,,193104,5269,402,-2750,12794,-7764,-4161,2543,20.0,-4755.0,,,,,-71940,-2222,44211,,-610,18988,289885,11042,2185,291539,,13,-3355,69920,-54127,-8318,-2829.0,-687,,-14082,277457,484590,1224219,8078,-12936,-77416,1141945,,,-195808,45686,,-999.0,,-100401,,50000.0,0.0,0.0,-186000,379.0,0,-22.0,-440648,-4530,596366,782564,1378930,1378930,,,12496.0,,,-141.0,-3032.0,,-65.0,,,,,65.0,,-300000.0,,,,,,0.0,-151.0,165.0,,207133.0,-14699.0,-60218.0,111000.0,,-1973.0,
1305,2016年01月01日至2016年03月31日,,230351,-3960,226391,,,96766,2613,99,-1199,6878,-1639,-4581,19911,20.0,-7225.0,,,,,-140172,17340,-134491,,-26834,18458,288846,1129,1973,26249,,-78,-42334,95726,-71636,-1444,-400.0,7108,,-25928,321,117299,343690,2332,-6915,5850,344957,,,-52625,299,,-216.0,,-52769,,102000.0,100021.0,0.0,-186000,30.0,-1332,-12.0,12100,-2172,302116,782564,1084680,1084680,,,5335.0,,,-23.0,-2607.0,,,,,,,,,,,,,,,0.0,-151.0,165.0,,116978.0,-12870.0,-218.0,0.0,,,
1305,2015年度,,955213,-31923,923290,,,383674,10037,3413,-16807,30943,-13997,12256,-386,0.0,-105938.0,,,,,-1417230,44515,-37666,-30070.0,4184,-13611,338321,106608,-579,-1005528,,-85,52532,82764,35047,15312,-2853.0,17617,,170388,-835140,-509534,413756,14487,-30757,-7031,390455,,,-381081,24742,0.0,-7318.0,,-302698,,0.0,0.0,1155000.0,-889411,3105.0,5210,-92438.0,-71426,5804,22135,760429,782564,782564,,,22745.0,,,-3100.0,-2909.0,,-334.0,,,,,334.0,-150000.0,-99983.0,,,,,0.0,-16706.0,0.0,0.0,,325606.0,-29946.0,-48546.0,128542.0,435.0,0.0,
1305,2015年01月01日至2015年09月30日,,662963,-32871,630092,,,285764,7441,354,-15433,23671,-11064,8445,6459,,,,,,,-939594,11007,-163306,-4854.0,4822,-46,417311,72035,226,-602399,,-163,48583,57661,77563,5272,-5858.0,-1954,,155795,-446604,-238448,391644,11494,-23461,-6482,373195,,,-229328,5454,0.0,-6777.0,,-166035,,0.0,23.0,835000.0,-837000,464.0,6164,-93623.0,-91606,3056,118610,760429,879039,879039,,-114161.0,17014.0,,,,-2634.0,,-334.0,,,,,334.0,,,,,,,0.0,-16701.0,,,,208156.0,-25309.0,-56442.0,136990.0,435.0,,
1305,2015年01月01日至2015年06月30日,,545024,-13627,531397,,,188725,4845,234,-10378,15924,-9244,4176,417,,-118172.0,,,,,-985658,8383,-205489,-18295.0,-8531,-18959,318330,77631,913,-831675,,28,438397,51658,-26820,6929,-4046.0,-349,,447700,-383975,-296830,234567,9830,-15874,-5947,222576,,,-100165,1633,0.0,-6232.0,-238.0,-84325,,200000.0,32.0,422000.0,-124000,260.0,220,-10.0,496342,-8573,626020,760429,1386449,1386449,,,10618.0,,,,-2160.0,,,,,,0.0,,,,,,,,0.0,,,,,87145.0,-18097.0,-56030.0,76707.0,,,
1305,2015年01月01日至2015年03月31日,,205086,-6614,198472,,,93678,2294,118,-17368,7450,-1973,3179,-331,,-119831.0,,,,,-541729,38205,-153523,-28842.0,-10049,-7145,605998,44171,754,-52160,,197,-63436,13637,40130,2754,-5103.0,72982,,47655,-4505,-31086,167386,3143,-7244,-307,162978,,,-51439,1419,0.0,,,-36481,,,177.0,269000.0,-124000,210.0,225,-5.0,54502,-3178,177821,760429,938250,938250,,,6203.0,,,,-2105.0,,,,,,0.0,,-89000.0,,,,0.0,,,-238.0,,,,-26581.0,-13506.0,-56030.0,69807.0,,,
1305,2014年度,,154492,-26566,127926,,,364397,6929,1668,-6496,29884,-15814,-2154,1735,29.0,110952.0,,518267.0,,,543344,-38864,-7275,82379.0,-8985,-802,-501278,-51623,41389,58285,,84,-197276,-26104,-31563,-5113,-4163.0,6009,-31501.0,-289627,-231342,286925,414851,15046,-29676,-181743,218478,,-396945.0,-255569,3464,1650.0,-1851.0,,-571383,,,474772.0,0.0,-246427,3247.0,-202,-360225.0,165097,19652,-168156,928585,760429,760429,,0.0,27563.0,194708.0,0.0,0.0,-6068.0,0.0,-426.0,,,,0.0,426.0,300000.0,0.0,0.0,0.0,,,-100000.0,-17325.0,-250.0,309.0,,,,,,,,
1305,2014年01月01日至2014年09月30日,,255455,-21189,234266,,,268717,4653,63,6894,21935,-12825,-3933,590,,,,322795.0,,,-212356,-48888,-275446,764.0,-44880,-37293,-248714,-66943,43130,-890626,,43,89363,-2035,60427,-1736,-9450.0,46550,-27127.0,156035,-734591,-411796,-177530,12336,-21805,-183638,-370637,,-686252.0,-195924,2772,1650.0,-1641.0,,-511308,,231747.0,574806.0,,-62000,574.0,-12,-360148.0,380553,7634,-493758,928585,434827,434827,,15559.0,21568.0,484980.0,0.0,0.0,-4414.0,,-426.0,,,,0.0,426.0,,,,,,,-100000.0,-17319.0,,,,,,,,,,
1305,2014年01月01日至2014年06月30日,,187965,-14189,173776,,,176612,4673,-90,21449,14721,-9646,-2393,57,-5833.0,-3438.0,,205678.0,,,177094,-21038,-323201,27.0,-20418,-5012,16390,57955,25542,-92661,,116,146265,-13703,-46416,-2512,-8717.0,17737,-20246.0,72524,-20137,185541,359317,9540,-14734,-149545,204578,,,-139501,2062,1050.0,-1641.0,,-416550,,0.0,374833.0,,-62000,480.0,-9,-6.0,309624,2337,99989,928585,1028574,1028574,,,9566.0,56109.0,0.0,,-3674.0,,,,,,2299.0,,,,,,,-236928.0,-100000.0,,,,,,,,,,,
