公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 其他投資活動,　　 現金增資,　　 其他預付款項增加,　　 預收款項增加－處分資產,　　　　 非金融資產減損損失,　　 庫藏股票買回成本,　　　　 其他項目,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）
8213,2015年01月01日至2015年09月30日,,1308380,1308380,,,1119685,4430,49219,135818,-89718,16851,6790.0,1243075.0,,,0,421061,159750,179471,24335,784617,,-12178,-407403,-473928,-106607,-1000116,-215499,1027576,2335956,89718,-136862,-378405,1910407,,173801.0,-507491,16913,-4525,0.0,-5480.0,0.0,22060.0,1432,-303290,,-725881.0,3940000,-4686420,26713.0,0,-949351.0,-121890.0,-2516829,62729,-846983,8698854,7851871,7851871,,,,,,,,,,,,,,
8213,2015年01月01日至2015年06月30日,,850954,850954,,,742834,2940,27197,91790,-59132,6136,5250.0,817015.0,,,-1910,1694854,202394,290083,79168,2264589,,-17818,-1130825,-464415,-110464,-1723522,541067,1358082,2209036,59132,-90844,-238180,1939144,,173801.0,-433430,15312,-2500,0.0,0.0,12431.0,31914.0,6709,-195763,,44781.0,2780000,-3315671,0.0,16244,,-121890.0,-596536,-47619,1099226,8698854,9798080,9798080,0.0,,,,,,,,,,,,,
8213,2015年01月01日至2015年03月31日,,439090,439090,,,366358,1465,783,47056,-26012,-473,546.0,389723.0,,,-4095,614341,108292,192828,-1908,909458,,-18696,-542839,-416061,-29579,-1007175,-97717,292006,731096,26012,-46514,-34380,676214,,,-268343,1303,-367,,,6974.0,8401.0,2730,-249302,,,700000,-315157,,-2115,,,398811,-5867,819856,8698854,9518710,9518710,0.0,16083.0,,,,,,,,,,,,
8213,2014年度,,2282600,2282600,,,1418825,8220,8077,207879,-118023,23087,2142.0,,,,2772,-1109533,-59398,-370127,-128010,-1664296,,14016,670067,-16814,126459,793728,-870568,679639,2962239,118023,-204391,-378987,2496884,,,-1070785,145221,-4347,-210.0,0.0,3328.0,0.0,463,-959036,,,480000,-1384469,,-6099,-813729.0,-220443.0,-1480684,-21539,35625,8663229,8698854,8698854,-32706.0,464056.0,,0.0,1550207.0,0.0,0.0,,,,,,,
8213,2014年01月01日至2014年09月30日,,1724014,1724014,,,1045978,5433,1130,160498,-92975,17992,1596.0,1139652.0,,,-507097,-1550926,-11711,-355356,-31787,-2456877,,3792,897453,-277915,113505,736835,-1720042,-580390,1143624,92975,-157921,-313331,765347,,0.0,-879159,132312,-3945,-210.0,0.0,149.0,9121.0,2635,-739097,,123585.0,0,-1107715,0.0,-4484,-813729.0,-220424.0,-2022767,-66476,-2062993,8663229,6600236,6600236,,,,,,,,,,,,,,
8213,2014年01月01日至2014年06月30日,,999900,999900,,,688870,4896,301,111120,-66630,5117,1596.0,745270.0,,,642,-514839,-17220,2192,-10373,-539598,,-4289,285644,369259,44645,695259,155661,900931,1900831,66630,-106545,-235445,1625471,,0.0,-1066991,41235,-2284,-210.0,-14513.0,0.0,0.0,2466,-1168065,,220545.0,2190000,-3036859,-14605.0,0,,-220443.0,-861362,-7171,-411127,8663229,8252102,8252102,-127768.0,,,,,,,,,,,,,
8213,2014年01月01日至2014年03月31日,,412737,412737,,,355972,1935,1618,56686,-31778,56,1596.0,386085.0,,,2613,-344398,31083,-56836,-20377,-387915,,10802,60122,-11804,47598,106718,-281197,104888,517625,31778,-54340,-19107,475956,,,-330892,7764,-2247,,,9767.0,0.0,1362,-691596,,,501200,-1022040,,-8599,,,176091,4416,-35133,8663229,8628096,8628096,-377350.0,705530.0,,,,,,,,,,,,
8213,2013年度,,1864515,1864515,,,1355931,8115,8668,231950,-88608,-116844,7781.0,,,,-1614,361155,-81763,66747,191894,536419,,3239,-170799,235431,-22103,45768,582187,2007105,3871620,88608,-232130,-404169,3323929,,,-2159325,450391,-8258,0.0,-10271.0,0.0,22696.0,-7728,-1686366,,,635524,-1795839,,-1523,-742629.0,-220443.0,-713337,-83807,840419,7822810,8663229,8663229,0.0,629473.0,,17925.0,1424918.0,26129.0,782100.0,,,,,,,
8213,2013年01月01日至2013年12月31日,,1864515,1864515,,,1355931,8115,8668,231950,-88608,-116844,7781.0,,,,-1614,361155,-81763,66747,191894,536419,,3239,-170799,235431,-22103,45768,582187,2007105,3871620,88608,-232130,-404169,3323929,,,-2159325,450391,-8258,,-10271.0,0.0,22696.0,-7728,-1686366,,,635524,-1795839,0.0,-1523,-742629.0,-220443.0,-713337,-83807,840419,7822810,8663229,8663229,0.0,629473.0,,17925.0,1424918.0,26129.0,782100.0,,,0.0,0.0,,,
8213,2013年01月01日至2013年09月30日,,1366541,1366541,,,1025235,6256,-11854,172162,-45078,-127544,7053.0,,,,-1561,111695,-72979,-12741,-185712,-161298,,-1304,-449593,139516,-28953,-340334,-501632,542523,1909064,45078,-171683,-351912,1430547,,,-1909324,422293,-7693,0.0,450.0,,,19184,-1403474,,,1463136,-1730401,3176.0,0,-742629.0,-216065.0,126329,38767,192169,7822810,8014979,8014979,71616.0,567012.0,,17925.0,1044155.0,,782100.0,,,,,,,
