公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"9102","東亞科",3868142,3360995,507147,498801,8346,62098,33090,37354,32478,4876,0,0,0,4876,20571,-15695,0.05,22.68,資產負債表日台銀新加坡收盤價買賣平均匯率
"9103","美德醫",933707,777203,156504,128386,28118,44097,40488,31727,3379,28348,0,0,0,28348,26806,1542,0.06,US$1:NT$32.81,以98年6月30日台灣銀行之匯率換算
"910322","康師傅",82079892,52846641,29233251,18775457,10457794,1034630,1194809,10297615,2124480,8173135,0,0,0,8173135,5885556,2287579,1.05,US$1:NT$32.81,臺灣銀行98年6 月30日即期匯率
"9104","萬宇科",6059740,4908715,1151025,1004171,146854,54451,112827,88478,24762,63716,0,0,0,63716,79380,-15664,0.72,3.4793,OANDA萬達亞太私人有限公司提供之匯率報價
"910482","聖馬丁",2952025,2304367,647658,461089,186569,33322,27883,192008,21311,170697,0,0,0,170697,171357,-660,0.30,HKD$1:NT$4.126,臺灣會計師複核的財報報告
"9105","泰金寶",50343084,48495953,1847131,886389,960742,61859,442658,579943,61562,518381,0,0,0,518381,518381,0,0.14,0.97:1(THB:NT),財報日之匯率
"910579","歐聖",1481255,24963,1456292,446094,1010198,1824,7392,1004630,164630,840000,0,0,0,840000,841065,-1065,0.48,4.8,我國與16個貿易對手通貨對美元之匯率
"9106","新焦點",1327858,959709,368149,348154,19995,54191,76627,-2441,11033,-13474,0,0,0,-13474,-21193,7719,-0.05,RMB＄1：NT$4.8033,臺灣銀行於財務報表日之即期匯率
"910801","金衛醫療",609498,147932,461566,154990,306576,492419,181904,617091,77339,539752,141199,0,0,680951,606948,74003,0.39,HKD$1：NT$ 4.138,民國九十七年度 9 月30 日之匯率
"9110","越南製造",2988376,2377173,611203,474689,136514,69344,32205,173653,40848,132805,0,0,0,132805,132805,0,0.13,USD$1:NT$32.818,依財務報表日之匯率換算
"911201","僑威",2559606,2118516,441090,178459,262631,45160,53023,254768,46112,208656,0,0,0,208656,124954,83702,0.48,HKD＄1：NT$4.234,台灣銀行
"911606","超級集團",3044977,2046756,998221,683428,314793,88943,14375,389361,42381,346980,0,0,0,346980,351862,-4882,0.65,SGD$1:NT$22.6031,98.6.30，www.oanda.com網站公佈之匯率
"911609","揚子江",21521585,16670722,4850863,455118,4395745,1384211,23821,5756135,641039,5115096,0,0,0,5115096,5115096,0,1.40,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率
"911610","聯合環境",458049,209687,248362,133361,115001,91,6347,108745,12967,95778,0,0,0,95778,95778,0,0.24,SGD$1:NT$22.75,依臺灣銀行98.9.30即期匯率
"911616","杜康控股",1934749,1285482,649267,302688,346579,7972,5319,349232,49479,299753,0,0,0,299753,299753,0,0.52,RMB$1:NT$4.788,2008年12月底
"911626","華運中國",865331,579345,285986,28809,257177,1484,2587,256074,32032,224042,0,0,0,224042,224042,0,0.75,4.712,匯率係採用各該期期末之台灣銀行匯率
"911868","同方友友",2346758,1668463,678295,601034,77261,131826,19158,189929,13134,176795,0,0,0,176795,176795,0,0.24,HKD$1:NT$4.234,2009年6月末
"9136","巨騰",13292800,10923919,2368881,780699,1588182,165070,155671,1597581,308603,1288978,0,0,0,1288978,1262119,26859,1.23,HKD＄1：NT$4.2546,台灣銀行
"9151","中國旺旺",26186645,16079328,10107317,5583180,4524137,561214,514132,4571219,604721,3966498,0,0,0,3966498,3962725,3773,0.30,USD1:NTD32.81,臺灣銀行於財務報表日之即期匯率
"9157","陽光能源",1458999,1862813,-403814,292214,-696028,20490,32317,-707855,-139796,-568059,0,0,0,-568059,-568059,0,-0.34,RMB$1 : NT$4.804,中央銀行 98/06/30之匯率
"9188","精熙國際",1168659,859261,309398,211560,97838,33335,1771,129402,-12271,141673,0,0,0,141673,141673,0,0.17,USD$1:NTD$32.81,依臺灣銀行即期匯率(買入賣出平均價)
