公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",15658681,7172949,8485732,6443057,14928789,3814268,-305177,8284231,2525113,-403601,2121512,0,0,0,2121512,2121492,20,0.34,0.00
"2881","富邦金",27548191,6713604,20834587,130779717,151614304,2456854,-125708592,15945481,7503377,-1166926,6336451,0,0,0,6336451,6213732,122719,0.77,0.00
"2882","國泰金",51744718,6701262,45043456,101410951,146454407,288346,-112313993,26154358,7697710,-2313429,5384281,0,0,0,5384281,5464930,-80649,0.56,0.00
"2883","開發金",1833069,977639,855430,2437266,3292696,-288884,0,2497628,1083952,438407,1522359,0,0,0,1522359,1530886,-8527,0.14,0.00
"2884","玉山金控",8367563,4273600,4093963,2157405,6251368,906056,0,4352365,992947,-120935,872012,0,0,0,872012,872012,0,0.25,0.25
"2885","元大金",4726741,1720328,3006413,8942119,11948532,348804,0,7014793,4584935,-631568,3953367,0,0,0,3953367,3918785,34582,0.49,0.00
"2886","兆豐金",22626720,8737319,13889401,11805680,25695081,5093615,-147761,9855863,10597842,-2545788,8052054,0,0,0,8052054,8046244,5810,0.73,0.73
"2887","台新金控",22244038,11496780,10747258,8538077,19285335,3032359,0,13824361,2428615,-4537471,-2108856,0,0,0,-2108856,-2575391,466535,-0.50,0.00
"2888","新光金",23703619,2309404,21394215,58231227,79625442,997717,-66383149,11225034,1019542,-1267779,-248237,0,0,0,-248237,-622122,373885,-0.10,0.00
"2889","國票金控",1387519,322070,1065449,2403187,3468636,163135,0,1330372,1975129,-369991,1605138,0,0,0,1605138,1523411,81727,0.73,0.00
"2890","永豐金控",12082422,6022334,6060088,4388661,10448749,3038904,0,7398862,10983,-532398,-521415,0,0,0,-521415,-517120,-4295,-0.07,0.00
"2891","中信金",19256721,8354756,10901965,10613060,21515025,4766765,0,14586746,2161514,-1803788,357726,0,0,0,357726,353154,4572,-0.02,0.00
"2892","第一金控",15378057,6918003,8460054,5879866,14339920,2977595,198091,7870688,3689728,-746602,2943126,0,0,0,2943126,2986224,-43098,0.47,0.00
