證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 應付票據增加（減少）,　　 短期借款增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他非流動資產減少,　　 短期借款減少,　　 應付短期票券減少,　　 其他非流動負債減少,　　　　 處分採用權益法之投資損失（利益）,　　 備供出售金融資產減資退回股款,　　 取得無形資產,　　 其他金融資產增加,　　 應付短期票券增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1110,2015年01月01日至2015年09月30日,,                122412,                122412,,,                 17956,                    134,                    138,                  1827,                    480,                 -3820,                -63706,                  2106,                -57896,                 -3747,                 -1542,                    210,               -107860,,,                 90051,                130557,                 25697,                   -641,               -122830,                  5495,                 25871,                154200,,                -26913,                 18492,                 38488,                -36402,                 -6335,                147865,                 40005,                162417,                  3925,                 71706,                   -480,                 -7086,                230482,,                -15398,                 16525,                              0,                              0,                  7774,                131026,                -10518,                     29,                 67131,                196569,,                -99585,               -114400,                   -461,               -214446,                212605,                314885,                527490,                527490,,,,,,,,,,,,,,,,,,,,,
1110,2015年01月01日至2015年06月30日,,                 57917,                 57917,,,                 12196,                     94,                    370,                 -5405,                    431,                 -2638,                 -4054,                  3694,                              0,                   -481,                  1020,                    210,                  5437,,,                 67858,                 91415,                 21648,                 -2298,               -196757,                 10472,                 40731,                 33069,,                 56884,                -29624,                   -170,                -24381,                  2709,                 35778,                 41215,                 99132,                  2745,                 12054,                   -431,                 -6881,                106619,,                 -1400,                  2323,                              0,                              0,                              0,                118957,                 -6425,                              0,                              0,                113455,,                -99972,,                   -461,               -100433,                119641,                314885,                434526,                434526,                              0,,,,,,,,,,,,,,,,,,,,
1110,2015年01月01日至2015年03月31日,,                 31441,                 31441,,,                  6206,                     51,                   -140,                   -608,                    388,                 -1220,,                  3057,,                              0,                    449,,                  8183,,,                 24236,                 84982,                 28939,                     20,                -55658,                 -3230,                -18151,                 61138,,                 19615,                -30936,                    -42,                -37435,                -47900,                 13238,                 21421,                 52862,                  1266,,                   -388,                   -126,                 53614,,                              0,                              0,,,,                 52870,                 -6045,                              0,,                 46825,,                              0,,,                    348,                100787,                314885,                415672,                415672,,                    898,                              0,                    348,,,,,,,,,,,,,,,,,
1110,2014年度,,                130905,                130905,,,                 35320,                    206,                  2752,                -17397,                  1668,                 -5911,                -56335,                 -5971,                 -9104,                 -1178,                 -2371,                    209,,,,                -27302,                -45567,                  3054,                  1005,                -48456,                 -7002,                 17832,               -106436,,                 -6359,                 -5356,                    295,                -40321,                -51741,               -158177,               -105994,                 24911,                  5945,                 65105,                 -1668,                   -846,                 93447,,                 -1846,                 10067,                -80000,                    120,                  3749,                165217,                -14623,                  2795,                 10522,                 96001,,                 -1079,               -114400,                   -384,               -115863,                 73585,                241300,                314885,                314885,                              0,,,,,                              0,                  4437,                105858,                 52183,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
1110,2014年01月01日至2014年09月30日,,                169690,                169690,,,                 26522,                    154,                  1494,                -11237,                  1275,                 -4536,                -53673,                  9839,                 -9104,                 -1178,                   -790,                    209,                -41025,,,               -130333,                 72507,                 10757,                    933,                -24022,                 -9889,                 34450,                -45597,,                 18873,                 -9683,                    222,                -55041,                -45629,                -91226,               -132251,                 37439,                  4653,                 61673,                 -1275,                   -719,                101771,,                   -632,                 10067,                -80000,                    120,                  3749,                165217,                -13409,                  1200,                 10522,                 96834,,                   -839,               -114400,                   -384,               -115623,                 82982,                241300,                324282,                324282,,,,,,,,,,,,,,,,,,,,,
1110,2014年01月01日至2014年06月30日,,                104104,                104104,,,                 17973,                    103,                   -594,                 -3487,                    863,                 -3204,                 -2508,                  8765,                 -9104,                 -1178,                    -76,                    209,                  7762,,,               -196740,                 22101,                 37351,                 -3778,                -55524,                 -3570,                 20091,               -180069,,                -12683,                -12988,                    148,                -20622,                -46145,               -226214,               -218452,               -114348,                  3294,                 10508,                   -863,                   -473,               -101882,,                   -632,                 10067,                -40000,                    120,                  3749,                165217,                 -9793,                  1050,                 10522,                140300,,                   -555,,                   -384,                   -939,                 37479,                241300,                278779,                278779,                              0,,,,,,,,,,,,,,,,,,,,
1110,2014年01月01日至2014年03月31日,,                 61690,                 61690,,,                  8927,                     51,                   -718,                 -5179,                    391,                 -1703,,                  3372,,                 -1322,                   -855,,                  2964,,,                 -3871,                 39305,                 32525,                    907,                -91054,                -27789,                 20148,                -29829,,                 47696,                -22267,                     74,                 -4583,                 20920,                 -8909,                 -5945,                 55745,                  1792,,                   -391,                   -178,                 56968,,                   -633,                 10067,,,,                              0,                 -5046,                    850,,                  5238,,                    -47,,,                 60623,                122829,                241300,                364129,                364129,,                              0,                 60670,                              0,,,,,,,,,,,,,,,,,
1110,2013年度,,                111930,                111930,,,                 52072,                    312,                    321,                -21431,                  1700,                 -3953,                -57460,                 -2287,                              0,                 54762,                   -982,                     79,,,,               -166762,                -42471,                 10303,                   -192,                 75523,                  9731,                -65137,               -179005,,                -44774,                 35919,                     20,                 14781,                  5946,               -173059,                -36894,                 75036,                  4717,                 65460,                 -1702,                -26432,                117079,,                 -8698,                 18182,                 -7000,                              0,                 13773,                  2069,                 -6123,                203297,                              0,                221491,,                 -3524,                -57200,                   -546,               -146967,                191603,                 49697,                241300,                241300,                  1069,,,,,                    823,                  1140,                110000,                136165,                    695,                 -3534,                  8830,                -20000,                -20000,                -45697,,,,,,
1110,2013年01月01日至2013年12月31日,,                111930,                111930,,,                 52072,                    312,                    321,                -20268,                  1700,                 -3953,                -57460,                 -2287,                              0,                 53599,                   -982,                     79,,,,               -166762,                -42471,                 10303,                   -192,                 75523,                  9731,,               -113868,,                -44774,                 35919,                     20,                 14781,                  5946,               -107922,                 28243,                140173,                  4717,                 65460,                 -1702,                -26432,                182216,,                 -8698,                 18182,                 -7000,,                 13773,                  2069,                 -6123,                203297,                              0,                156354,,                 -3524,                -57200,                   -546,               -146967,                191603,                 49697,                241300,                241300,                  1069,,,,,                    823,                  1140,                110000,                136165,                    695,                 -3534,                  8830,                -20000,                -20000,                -45697,,                              0,                              0,                -65137,                              0,
1110,2013年01月01日至2013年09月30日,,                171783,                171783,,,                 40550,                    234,                   -439,                -17071,                  1312,                 -2582,                -54971,                    -59,                              0,                 54712,                   -681,                     87,,,,               -136203,                -20763,                 64526,                     28,                 65533,                 -1273,                -75487,               -103639,,                -37699,                  8438,                     -9,                  6417,                -22853,               -126492,               -103709,                 68074,                  3356,                 62971,                 -1315,                -24324,                108762,,                   -135,                 18181,                              0,                              0,                 13773,                  2069,                 -5291,                203230,                              0,                240657,,                 -4866,                -57200,                   -546,               -136883,                212536,                 49697,                262233,                262233,                  1692,,,,,,,,                 22783,,,                  8830,                -20000,                -19999,                -34272,                     -1,,,,,
