證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 支付之股利,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少,　　 處分投資性不動產,　　 短期借款減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
9912,2015年01月01日至2015年09月30日,,                -48100,                -48100,,,                  2780,                  9160,                     -1,                  1221,                   -194,                  5355,                     -2,                 18319,,,                     76,                   -149,                -23553,                    865,               -125591,                 14524,                 -1537,                    188,               -135177,,                     86,                    381,                -31209,                  1944,                  7429,                   -703,                -22072,               -157249,               -138930,               -187030,                    482,                 -1132,                   -528,               -188208,,                -30700,                 -2300,                     70,                              0,                  1188,                 -1397,                              0,                   -131,                              0,                -33270,,                172569,                              0,                -53841,                  1527,                120255,                 -7551,               -108774,                171885,                 63111,                 63111,,,,,,,,,,
9912,2015年01月01日至2015年06月30日,,                -37706,                -37706,,,                  1818,                  6356,                     15,                    614,                   -175,                  3570,                     -2,                 12196,,,                    207,                   -291,                -10953,                  1249,               -123545,                  4958,                 -2348,                    188,               -130535,,,                  1389,                 -4940,                   -255,                  5040,                   -309,                    925,               -129610,               -117414,               -155120,                    463,                   -563,                    -46,               -155266,,                -30700,                 -2083,                     70,,                  1232,                 -1095,                              0,                              0,                              0,                -32576,,                 77000,                              0,,,                 77000,                -20153,               -130995,                171885,                 40890,                 40890,,,,,,,,,,
9912,2015年01月01日至2015年03月31日,,                -24273,                -24273,,,                    874,                  3478,                      1,                    277,                   -111,                  1785,,                  6304,,,                    313,                     41,                -10333,                  1108,                -14566,                  4246,                 -2440,                    188,                -21443,,,                    876,                    192,                 -1854,                  2384,                  1000,                  2598,                -18845,                -12541,                -36814,                    337,                   -234,                   -223,                -36934,,,                 -2030,,                  1353,,                    -14,                              0,,,                   -691,,                  9287,,,,                  9287,                -23183,                -51521,                171885,                120364,                120364,                              0,,,,,,,,,
9912,2014年度,,                  1442,                  1442,,,                  3557,                  8992,                    -31,                    386,                 -2198,                  1280,                     21,,,,                   -244,                    251,                 23555,                 -1488,                -24994,                -12592,                  1711,                    531,                -13270,,,                 -1577,                -21882,                 -9213,                 -1432,                 -1155,                -35259,                -48529,                -36522,                -35080,                  2309,                   -357,                -16257,                -49385,,                -50000,                 -3841,                              0,                    386,,                -32989,               -170551,,                              0,               -256995,,                 40000,                    910,                -49972,,                 -9062,                   -384,               -315826,                487711,                171885,                171885,,,                              0,                 12007,,,,,,
9912,2014年01月01日至2014年09月30日,,                 -9620,                 -9620,,,                  2821,                  5620,                     16,                     45,                 -1785,                              0,                              0,                  6717,,,                     69,                     38,                 21960,                   -261,                -40896,                -28457,                 -3427,                              0,                -50974,,                              0,                  1650,                -33134,                  2226,                  1194,                    395,                -27669,                -78643,                -71926,                -81546,                  1908,                    -26,                -15677,                -95341,,                -50000,                 -1885,                              0,                              0,                    656,                -20979,               -170551,                -10534,                              0,               -253293,,                 70577,                    910,                -49972,                              0,                 21515,                   -397,               -327516,                487711,                160195,                160195,,,,,,,,,,
9912,2014年01月01日至2014年06月30日,,                  5728,                  5728,,,                  2094,                  3638,                     -4,                              0,                 -1440,                              0,                              0,                  4288,,,                     78,                    260,                  4022,                   -440,                -38323,                -19444,                 -1493,                    543,                -54797,,,                   -278,                 -5389,                  1086,                  2895,                   -568,                 -2254,                -57051,                -52763,                -47035,                  1489,                              0,                -16146,                -61692,,                              0,                 -1372,                              0,,                    373,                 -4651,               -170551,                -26862,                              0,               -203063,,                              0,                    910,,,                    910,                   -368,               -264213,                487711,                223498,                223498,,,,,,,,,,
9912,2014年01月01日至2014年03月31日,,                  4853,                  4853,,,                  1109,                  1907,                    -29,                              0,                   -850,                              0,,                  2137,,,                   -236,                   -968,                  6862,                     10,                -30963,                 -2543,                    653,                              0,                -27185,,,                  1475,                  3064,                  6637,                  2156,                   -150,                 13182,                -14003,                -11866,                 -7013,                    637,                              0,                   -763,                 -7139,,,                 -1306,,                      3,,                 -4595,               -170551,,,               -176449,,                              0,,,,                    910,                    724,               -181954,                487711,                305757,                305757,                    910,,,,,,,,,
9912,2013年度,,                  3195,                  3195,,,                  6097,                  9330,                     23,                      8,                 -5653,                              0,                -11123,,,,                    -69,                    386,                -23793,                    621,                -28179,                 -3293,                 -1840,                    218,                -55949,,,                 -1804,                  9098,                   -878,                  2059,                  2369,                 10844,                -45105,                -46420,                -43225,                  5743,                     -8,                 -6067,                -43557,,                              0,               -124025,                 28200,                   -268,,                 -5382,                              0,,                   -130,               -101605,,                              0,                    -36,               -207393,,               -207429,                  2659,               -349932,                837643,                487711,                487711,,,                      3,                 -1315,,,,,,
9912,2013年01月01日至2013年12月31日,,                  3195,                  3195,,,                  6097,                  9330,                     23,                      8,                 -5653,,                -11123,,,,                    -69,                    386,                -23793,,                -28179,                 -3293,                 -1840,                    218,                -55949,,,                 -1804,                  9098,                   -878,                  2059,                  2369,                 10844,                -45105,                -46420,                -43225,                  5743,                     -8,                 -6067,                -43557,,,               -124025,                 28200,                   -268,,                 -5382,,,                   -130,               -101605,,,                    -36,               -207393,,               -207429,                  2659,               -349932,                837643,                487711,                487711,,,                      3,                 -1315,,                              0,                    621,                              0,                              0,
9912,2013年01月01日至2013年09月30日,,                 -9404,                 -9404,,,                  4958,                  8185,                    -13,                      8,                 -4710,,                      3,,,,                              0,                   -145,                 -9181,                 -1067,                -10355,                 -2308,                   -635,                    219,                -23472,,,                    -48,                -24006,                 -3739,                    216,                  3878,                -23699,                -47171,                -38740,                -48144,                  4868,                     -8,                    -24,                -43308,,                              0,               -124898,                     12,                   -183,                              0,                 -5281,                              0,                              0,                   -133,               -130483,,                              0,                              0,               -207393,,               -207393,                  1750,               -379434,                837643,                458209,                458209,,,,                  8431,,,,,,
