證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 處分不動產、廠房及設備,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 預收款項增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 預付設備款增加
2425,2015年01月01日至2015年09月30日,,                155419,                155419,,,                 10019,                  5242,                 -1322,                     29,                              0,                 13968,,,               -366078,               -146373,                     -6,               -277367,                    764,                     24,                    271,               -788765,,                     -3,                426601,                  4148,                 -4334,                 -1166,                425246,               -363519,               -349551,               -194132,                  1322,                 -5242,                -14131,               -212183,,                              0,                              0,                 -2688,                -12171,                              0,                   -300,                -15159,,                280771,                              0,                     86,                -39330,                241527,                  2891,                 17076,                347759,                364835,                364835,,,,,,,,,,,,,,,,,,,,,,
2425,2015年01月01日至2015年06月30日,,                 31369,                 31369,,,                  6635,                  3398,                   -597,                     28,                              0,                  9464,,,               -313570,               -174283,                     62,               -117915,                  1280,                     78,                    180,               -604168,,                     57,                267814,                 -1985,                 -4334,                 -1442,                260110,               -344058,               -334594,               -303225,                    597,                 -3398,                -14126,               -320152,,,                              0,                 -2291,                -36303,                  1637,                    -58,                -37015,,                261316,                              0,                     29,,                261345,                 -4435,               -100257,                347759,                247502,                247502,                              0,,,,,,,,,,,,,,,,,,,,,
2425,2015年01月01日至2015年03月31日,,                  6432,                  6432,,,                  3307,                  1446,                   -294,                      2,                              0,                  4461,,,               -176097,                 10892,                    147,               -235030,                  1612,                    265,                     91,               -398120,,,                 56761,                 -7864,,                 -1423,                 47474,               -350646,               -346185,               -339753,                    294,                 -1446,                    -12,               -340917,,,                              0,                 -1433,                -54995,                              0,                              0,                -56427,,,                300212,                     43,,                300255,                 -1804,                -98893,                347759,                248866,                248866,,                      1,,,,,,,,,,,,,,,,,,,,
2425,2014年度,,                285532,                285532,,,                 14314,                  6964,                 -1430,                     25,                 -1526,,,,                103196,                 76439,                  5912,                331450,                  4986,                   -273,                    354,                522064,,                              0,               -266201,                 14101,,                    694,               -251406,                270658,                299254,                584786,                  1430,                 -6964,                 -1884,                577368,,,                  5694,                -11686,                              0,                 29333,                     -3,                 23338,,                              0,               -500554,                     60,                -28352,               -528846,                  1374,                 73234,                274525,                347759,                347759,,,,                 10249,                              0,                 28596,                              0,,,,,,,,,,,,,,,
2425,2014年01月01日至2014年09月30日,,                207436,                207436,,,                 10601,                  6650,                 -1088,                              0,                 -1526,                 14637,,,                 77119,                229951,                  5943,                276527,                  7024,                   -249,                    264,                596579,,                      1,               -203639,                 -5735,                              0,                   -635,               -210008,                386571,                401208,                608644,                  1088,                 -6650,                 -1864,                601218,,                -14802,                  5694,                -11341,                              0,                 25251,                              0,                  4802,,                              0,               -564309,                     15,                -28352,               -592646,                    335,                 13709,                274525,                288234,                288234,,,,,,,,,,,,,,,,,,,,,,
2425,2014年01月01日至2014年06月30日,,                140158,                140158,,,                  7034,                  6130,                   -521,                              0,                 -1526,                 11117,,,                231815,                298324,                  5440,                 68536,                -12006,                 -1294,                    176,                590991,,                     50,               -485331,                 -5870,                              0,                   -750,               -491901,                 99090,                110207,                250365,                    521,                 -6130,                 -1814,                242942,,,                  5694,                   -615,                              0,                 12460,                 -4329,                 13210,,                              0,               -264071,                              0,,               -264088,                 -2642,                -10578,                274525,                263947,                263947,                    -17,,,,,,,,,,,,,,,,,,,,,
2425,2014年01月01日至2014年03月31日,,                101875,                101875,,,                  3554,                  3029,                   -216,                              0,                   -954,                  5413,,,               -103447,               -107122,                  5422,               -183277,                  6787,                 -2848,                     90,               -384395,,,                 90738,                 -3196,,                   -735,                 86807,               -297588,               -292175,               -190300,                    216,                 -3029,                    -29,               -193142,,,                  5182,                   -588,                              0,                 13389,                 -4360,                 13623,,,                126833,                              0,,                126833,                   -532,                -53218,                274525,                221307,                221307,,                              0,,,,,,,,,,,,,,,,,,,,
2425,2013年度,,                353762,                353762,,,                 21170,                  5985,                 -1056,                    460,                              0,,,,                182330,             -1031776,                    -27,               -502428,                 -2622,                    617,                    349,             -1353557,,                    -11,                513406,                  6913,,                    728,                521036,               -832521,               -774610,               -420848,                  1056,                 -5985,                   -113,               -425890,,,                              0,                -21294,                -64658,                              0,                     -2,                -85950,,                527288,                              0,                    149,                -46785,                480652,                  5645,                -25543,                300068,                274525,                274525,,,,                 32104,                   -752,                 57911,                      4,,,,,,,,,,,,,,,
2425,2013年01月01日至2013年12月31日,,                353762,                353762,,,                 21170,                  5985,                 -1056,                    460,,,,,                182330,             -1031776,                    -27,               -502428,                 -2622,                    617,                    349,             -1353557,,                    -11,                513406,                  6913,                              0,                    728,                521036,               -832521,               -774610,               -420848,                  1056,                 -5985,                   -113,               -425890,,,,                -21294,                -64658,,                     -2,                -85950,,                527288,,                    149,                -46785,                480652,                  5645,                -25543,                300068,                274525,                274525,,,,                 32104,                   -752,                 57911,                      4,                              0,                              0,                              0,                              0,,,,,,,,,,,
2425,2013年01月01日至2013年09月30日,,                263277,                263277,,,                 15934,                  4288,                   -729,                    410,                              0,,,,                304390,               -847358,                   -539,               -186012,                 -6723,                    286,                    261,               -735695,,                    -11,                134616,                  7187,,                  6450,                148242,               -587453,               -568217,               -304940,                    729,                 -4288,                   -107,               -308606,,                              0,                              0,                -18061,,                -62067,                     -1,                -80129,,                311177,                              0,                    123,                -46785,                264515,                  3274,               -120946,                300068,                179122,                179122,,,,,                   -667,                 19236,,,,,,,,,,,,,,,,
