證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　 存入保證金增加,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　 發行公司債
4737,2015年01月01日至2015年09月30日,,                 76299,                 76299,,,                105856,                  8176,                  6980,                              0,                 45939,                 -1084,                  2289,                   -529,                              0,                              0,                167627,,,                 -1628,                 11452,                  1853,                -35886,                -10358,                -34567,,                    -66,                -29951,                  2492,                 11950,                -15575,                -50142,                117485,                193784,                  1084,                -45645,                -21734,                127489,,               -122814,                    569,                 -2747,                 -1715,                -20714,                 -4938,               -152359,,              2017349,             -1886487,                              0,               -514800,              1805000,             -1900000,                    207,                -48360,               -527091,                  6756,               -545205,                865506,                320301,                320301,,,,,,,
4737,2015年01月01日至2015年06月30日,,                 38837,                 38837,,,                 69123,                  5532,                  5964,                              0,                 25759,                   -796,                  1717,                   -529,                              0,,                106770,,,                    543,                 53996,                  1509,                -36832,                -13843,                  5373,,                    -49,                -14305,                -18637,                 -5321,                -38312,                -32939,                 73831,                112668,                    796,                -24988,                -12723,                 75753,,                -72136,                    569,                 -2930,                 -1510,,                 -9414,                -85421,,                 82061,,,               -514800,,                -95000,,,               -527540,                 -3233,               -540441,                865506,                325065,                325065,                              0,                    199,,,,,
4737,2015年01月01日至2015年03月31日,,                 25779,                 25779,,,                 33971,                  2880,                    368,                              0,                 13509,                   -292,                    858,                   -529,                              0,,                 50765,,,                    289,                 71686,                  5714,                -13950,                 -2738,                 61001,,                    209,                -11587,                -34140,                 -5077,                -50595,                 10406,                 61171,                 86950,                    292,                -12940,                 -5392,                 68910,,                -57299,                    569,,                 -1388,,                 -2093,                -63160,,                -47118,,                              0,               -514800,,,,,               -561767,                 -1570,               -557587,                865506,                307919,                307919,,                    151,                 -2949,,,,
4737,2014年度,,                 85886,                 85886,,,                135365,                 12179,                 -6979,                 -1021,                 65633,                 -3193,                 12565,                  1680,                  4129,,,,,                   -586,                -15004,                 34329,                -16449,                 12388,                 14678,,                     21,                 96322,                  8317,                 21019,                125679,                140357,                360715,                446601,                  3193,                -63817,                -26134,                359843,,                -35765,                    309,                  1067,                 -3745,,                -17436,                -55570,,                 78546,,,               -331200,                              0,                              0,,                -78225,               -107812,                  6778,                203239,                662267,                865506,                865506,                -59945,                     10,,,                220358,                283002,
4737,2014年01月01日至2014年09月30日,,                 40253,                 40253,,,                101834,                  9242,                 -6778,                 -1021,                 49097,                 -2417,                  8040,                  1680,                  4129,                    -50,                163756,,,                   -128,                 26060,                 20117,                -14141,                 -1826,                 30082,,                     38,                 74151,                -31800,                  4587,                 46976,                 77058,                240814,                281067,                  2417,                -44133,                -22653,                216698,,                -32104,                    309,                  1120,                   -426,                              0,                -15682,                -46783,,                287704,                 -4269,                -59945,               -331200,                              0,                              0,                     10,                -78225,               -185925,                    483,                -15527,                662267,                646740,                646740,,,,,,,
4737,2014年01月01日至2014年06月30日,,                 12506,                 12506,,,                 68272,                  6233,                  8784,                 -1021,                 32390,                 -1878,                  5824,                  1680,                  4129,,                124413,,,                    187,                 17949,                 20637,                -18559,                 -9796,                 10418,,                     55,                 55803,                -40777,                    302,                 15383,                 25801,                150214,                162720,                  1878,                -29116,                 -5165,                130317,,                -26843,                    309,                    722,                   -230,,                 -9522,                -35564,,                250132,,,               -331200,,                              0,,,               -141013,                 -3707,                -49967,                662267,                612300,                612300,                -59945,                              0,,,,,
4737,2014年01月01日至2014年03月31日,,                  5141,                  5141,,,                 34611,                  3161,                 -1741,                 -1021,                 15584,                 -1056,                  2912,                              0,                  4129,,                 56579,,,                    712,                 33557,                 24461,                  6100,                -18643,                 46187,,                     40,                 32067,                -53326,                    879,                -20340,                 25847,                 82426,                 87567,                  1056,                -11498,                 -2427,                 74698,,                -21931,                              0,,                   -230,,                 -4227,                -26446,,                222122,,                -59945,               -331200,,,,,               -169023,                   -579,               -121350,                662267,                540917,                540917,,                              0,                    -58,,,,
4737,2013年度,,                124078,                124078,,,                 90191,                 15152,                 12098,                   -300,                 22793,                 -1883,                 16819,                 13900,                              0,,,,,                    802,                 -7204,                -36604,                -20820,                -54471,               -118297,,                     45,                -42818,                 37661,                  4633,                   -479,               -118776,                 49994,                174072,                  1883,                -18095,                -28879,                128981,,               -376227,                    950,                  1125,                 -6158,,                -94177,               -474487,,                -10876,,,                              0,              1900000,             -1100000,,                -35157,                768949,                  6903,                430346,                231921,                662267,                662267,                 14982,                              0,,,                168770,                              0,
4737,2013年01月01日至2013年12月31日,,                124078,                124078,,,                 90191,                 15152,                 12098,                   -300,                 22793,                 -1883,                 16819,                 13900,,                              0,,,,                    802,                 -7204,                -36604,                -20820,                -54471,               -118297,,                     45,                -42818,                 37661,                  4633,                   -479,               -118776,                 49994,                174072,                  1883,                -18095,                -28879,                128981,,               -376227,                    950,                  1125,                 -6158,,                -94177,               -474487,,                -10876,,,,              1900000,             -1100000,,                -35157,                768949,                  6903,                430346,                231921,                662267,                662267,                 14982,,,,                168770,,                              0
4737,2013年01月01日至2013年09月30日,,                108303,                108303,,,                 59011,                 11993,                 14784,                 -1980,                  7854,                 -1654,                 13994,                 10701,                              0,                              0,,,,                  1871,                -18483,                -17123,                -86861,                -91918,               -212514,,                              0,                 66681,                 29247,                 -1936,                 93992,               -118522,                 -3819,                104484,                  1654,                 -7470,                -24743,                 73925,,               -256728,                    183,                    725,                   -680,,                -81059,               -337559,,                361435,,,                              0,,,                              0,                -35157,                341280,                  3197,                 80843,                231921,                312764,                312764,                 15002,,,,                114703,,
