證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他金融負債減少,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 短期借款減少,　　 其他金融負債增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 其他預付款項增加,　　 應付短期票券減少,　　 取得持有至到期日金融資產,　　　　 金融資產減損損失,　　　　　 預付費用（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 取得投資性不動產,　　 處分子公司股權（未喪失控制力）
2609,2015年01月01日至2015年09月30日,,             -4214507,             -4214507,,,              4685701,                 21181,                  3614,                 88130,              1338259,               -171339,                -50503,                 17397,               -274354,                 -4692,                557296,                536297,                565063,              7312050,,,                -47438,                 83875,                899490,                -78122,                779978,                -85439,               -270477,              1281867,,                 -1334,                557425,               -233591,                 34896,               -635215,               -129468,                186211,                -18475,               -239551,              1042316,              8354366,              4139859,                166185,                237743,             -1218249,               -235546,              3089992,,             -2308966,              2952528,             -8086489,              7831764,                              0,                              0,             -8615086,                382742,             -1450423,                226703,                -24607,             -1487517,                  2783,               -423570,            -11000138,,              1082974,              4998309,                              0,             -2674000,             17887963,            -16540512,               -246623,                -88989,                 -8591,                -82630,              4327901,                 81686,             -3500559,             21683555,             18182996,             18182996,,,,,,,,,,,,,,,,,,,,,,
2609,2015年01月01日至2015年06月30日,,                 73446,                 73446,,,              3073110,                 13442,                    667,                -64683,                888341,               -116427,                 -1231,                -35690,               -209892,                 -4142,                110978,               -258102,                449947,              3846318,,,                193357,                 65621,                349700,                 -7821,                385458,                -67190,                 -4087,                915038,,                  3715,                 98529,               -380826,               -196706,               -514096,                -84216,                138716,                -21064,               -955948,                -40910,              3805408,              3878854,                141832,                 75053,               -752423,               -182027,              3161289,,             -1794527,              2057781,             -6132387,              6135432,                              0,                              0,             -6214580,                334909,,                 29216,                -20495,               -951810,                  7965,               -182410,             -6730906,,,              6397200,,             -2500000,              8893760,            -11556075,               -195888,,                 -8201,                -23193,              1783012,               -141033,             -1927638,             21683555,             19755917,             19755917,                              0,                979561,               -204152,,,,,,,,,,,,,,,,,,,
2609,2015年01月01日至2015年03月31日,,                279077,                279077,,,              1513504,                  7123,                   -492,                -21791,                453240,                -55711,,                  2135,               -117959,                 -3636,                 76579,,                819597,              2672589,,,                 21883,                 -3802,                855614,                  4070,                190331,                -25410,                 95592,              1138278,,                   -148,               -617456,               -145692,               -412045,               -589070,               -118910,                106292,                -11520,             -1788549,               -650271,              2022318,              2301395,                 54759,                 12107,               -445985,                -96642,              1825634,,               -900934,                941192,             -4802387,              4704926,,                              0,             -3934441,                135989,,                  7098,                -14937,                              0,,                 -2271,             -2768046,,                240579,              1499054,,,              4898023,             -5995669,                -88259,,,                 -2049,                442594,               -189794,               -689612,             21683555,             20993943,             20993943,,,               -103028,              1093058,                  4661,                 -6057,,,,,,,,,,,,,,,,
2609,2014年度,,              1021996,              1021996,,,              6557493,                 32076,                  6919,                209933,              1774345,               -155037,                -66194,               -138084,             -2786915,                -21612,,,              1139794,,,,               -123339,                -32662,             -2019521,                 71717,                306511,               -143108,               -628111,             -2568513,,                   -503,              1898566,                130444,                437551,             -1087409,              1056982,                 38402,,              2519102,                -49411,              6540602,              7562598,                143367,                202879,             -1560936,               -567250,              5780658,,             -6617126,              6610890,            -21184278,             21244915,               -352181,                  3029,             -9378392,             10820819,,               -227115,                -19869,               -150989,,             -1021577,               -246045,,                  9190,                260680,              3850000,             -2674000,             24635975,            -23425995,               -286275,               -286284,,                -31975,              1816171,                700796,              8051580,             13631975,             21683555,             21683555,,,,,                 25829,                105366,,                 37295,              6590013,                 45069,                              0,                              0,                              0,                              0,               -340511,,,,,,,
2609,2014年01月01日至2014年09月30日,,                574054,                574054,,,              4983015,                 24570,                  8348,                 10389,              1332053,               -101135,                -65783,               -154504,             -1713243,                -18756,                280541,                172636,                518668,              5276799,,,                206278,                -90702,             -2909527,                 65100,               -464807,               -205794,               -866444,             -4265896,,                  9994,              1948023,                -62559,                236817,               -665519,              1096725,                107755,                 15984,              2687220,             -1578676,              3698123,              4272177,                 96663,                202879,             -1061680,               -538865,              2971174,,             -5258109,              5545243,            -13874262,             13905288,               -352181,                  3029,             -8380146,              6005098,                              0,                  1347,                -16803,               -990842,                 30459,             -1018389,             -4400268,,                434615,              1016798,              3850000,             -2674000,             17096680,            -19390639,               -221545,               -221474,                -38898,                -20086,               -168549,                 -4960,             -1602603,             13631975,             12029372,             12029372,,,,,,,,,,,,,,,,,,,,,,
2609,2014年01月01日至2014年06月30日,,               -875478,               -875478,,,              3257972,                 16395,                  5256,               -132911,                867027,                -64381,                 -1410,               -119384,             -1481307,                -13814,                242122,                 14087,                678959,              3268611,,,                239976,                -75904,             -2038627,                 79157,               -451650,               -231758,               -527622,             -3006428,,                 -5804,              2189185,                -67590,                181159,               -605623,                -17034,                -33795,                 20831,              1661329,             -1345099,              1923512,              1048034,                 59722,                 44579,               -722332,               -435805,                 -5802,,             -5858858,              6402679,             -6274262,              6320346,                -50000,                  3029,             -3092965,              2087304,,                  4047,                -12784,               -648671,                 30608,               -851535,             -2232769,,,              1000118,,             -2500000,             14669939,            -12800488,                -99983,,                -39493,                -20086,                236620,                -42273,             -2044224,             13631975,             11587751,             11587751,               -291707,                 57551,                -30938,,,,,,,,,,,,,,,,,,,
2609,2014年01月01日至2014年03月31日,,             -1481215,             -1481215,,,              1632001,                  7713,                  1282,                -40786,                434511,                -32795,,                     56,               -335092,                -12379,                263418,,                348123,              2266052,,,                  4867,                -54135,               -619129,                165553,               -245015,               -219469,               -131342,             -1098670,,                  1487,               -782459,               -308169,                -81345,               -558242,                 69493,                123567,                  9153,             -1526515,             -2625185,               -359133,             -1840348,                 29563,                 15876,               -361391,                -55306,             -2211606,,             -2794427,              2740098,             -3109262,              3129482,,                  3029,             -1931253,                447392,,                 -1083,                 -2135,               -264142,,                 -4637,             -1701791,,                228795,                500109,,,              6378125,             -6966897,                -15905,,,                 -2832,                123252,                287774,             -3502371,             13631975,             10129604,             10129604,,,                 42023,                 59176,                 25971,                -40166,,,,,,,,,,,,,,,,
2609,2013年度,,             -3014404,             -3014404,,,              7165304,                 41428,                  3467,               -362556,              1858362,               -106378,                -61127,               -118794,             -3626768,               -367078,,,             -2776472,,,,                503395,               -128955,                445889,               -526911,               -307063,                -66260,                373492,                293587,,                   -503,              2707774,                656733,                312939,               -563423,                 -6037,               -336455,,              2712546,              3006133,              4691650,              1677246,                 82225,                103926,             -1776042,               -623359,               -536004,,             -3723089,              3815098,            -30544178,             30706139,                -16895,                              0,             -9716918,              8454913,,                 10787,                -46047,               -114637,,               -990488,             -1314241,,                727928,                 79831,              9575092,             -3174000,             34773573,            -37590112,               -269513,               -172248,,               -111822,              3854515,                684135,              2688405,             10943570,             13631975,             13631975,,,,,                -39120,                 15786,,                 36129,              1685517,                -58482,               -100000,                359237,              1659213,             -1028256,                              0,,,,,,,
2609,2013年01月01日至2013年12月31日,,             -3014404,             -3014404,,,              7165304,                 41428,                  3336,               -362556,              1858362,               -106378,                -61127,               -118794,             -3626768,               -367078,,,             -2776472,,,,                503395,               -128955,                446020,               -526911,               -307063,                -66260,                373492,                293718,,                   -503,              3353992,                303097,                 20357,               -563423,                 -6037,               -336455,,              2712546,              3006264,              4691650,              1677246,                 82225,                103926,             -1776042,               -623359,               -536004,,             -3723089,              3815098,            -30544178,             30706139,                -16895,,             -9716918,              8454913,,                 10787,                -46047,               -114637,,               -990488,             -1314241,,,                 79831,              9575092,             -3174000,             34773573,            -37590112,               -269513,,,               -111822,              3854515,                684135,              2688405,             10943570,             13631975,             13631975,,                727928,               -172248,,                -39120,                 15786,,                 36129,              1685386,                -58482,               -100000,                359237,              1659213,             -1028256,                              0,,                              0,,,                              0,                              0,                              0
2609,2013年01月01日至2013年09月30日,,             -4441917,             -4441917,,,              5384001,                 31794,                  4567,               -257067,              1381195,                -67517,                -61067,               -165545,             -2340424,                -10392,                -22614,,                660072,,,,                300631,               -192764,               -166164,               -182958,               -641564,               -240786,                 18982,             -1104623,,                 -3935,              3115350,                -56479,                 12220,               -648523,                191537,               -156372,,              2438605,              1333982,              5870985,              1429068,                 50383,                 79489,             -1243446,               -386762,                -71268,,             -2780035,              3620000,            -20773406,             20875878,                -16895,                              0,             -7070020,              3662149,,                -97760,                -40586,                681628,,               -990480,             -3927495,,,                              0,              4609200,               -174000,             25435480,            -24856696,               -203340,,,                -65447,              5190685,                259027,              1450949,             10943570,             12394519,             12394519,,                387828,                -42109,,                -59159,                 99769,,,              4537003,                -15193,               -100000,,,               -838809,,,,,,,,
