證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 現金減資,　　 庫藏股票買回成本,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　 其他非流動負債增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 舉借長期借款,　　 應付租賃款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他預付款項增加,　　 發行公司債,　　 償還公司債,　　　　　 其他營業資產（增加）減少,　　 停業單位稅前淨利（淨損）,　　　　 股份基礎給付酬勞成本,　　　　 買回應付公司債損失（利益）,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 預付設備款減少
2481,2015年01月01日至2015年09月30日,,                490795,                490795,,,              1135916,                 54866,                 65226,                 22408,                273147,                 -9279,                 -4076,                    244,                175546,                -33945,                 11863,                 36610,                              0,                106565,              1835091,,,                  1874,                193175,             -1233741,                -41898,               -421177,               -110408,                 48716,             -1563459,,                -12445,                    720,                119821,                545371,                 50611,                  2441,                   -483,                706036,               -857423,                977668,              1468463,                  9279,               -367225,              1110517,,                              0,                -22301,                -25880,                -17500,                 22251,               -140725,               -592287,                 84470,                -80904,                -43915,                    587,                 19814,               -129186,                  4076,               -921500,,                803766,               -111653,                -65526,                -87451,                              0,                 -8691,                -42503,                              0,               -269030,                              0,                218912,               -443783,                -35854,                962341,                926487,                926487,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2015年01月01日至2015年06月30日,,                180522,                180522,,,                805768,                 37690,                 57781,                 -6092,                200982,                 -8199,                 -4076,                              0,                  2605,                 -3197,                  4068,                    364,                              0,                 71478,              1159172,,,                    555,                257148,               -267127,                  9318,               -356957,                -46116,                108787,               -294392,,                -12445,                -66412,                 92006,                 17254,                 27352,                  1636,                 89322,                148713,               -145679,              1013493,              1194015,                  8199,               -157791,              1044423,,                              0,               -125891,,,                 22251,                              0,               -423015,                  8103,                -22391,                -28580,                    477,                 17864,               -175197,                  4076,               -722303,,                937412,               -353117,                -59922,                -10631,                              0,,                -42503,,               -200264,                              0,                270975,               -466315,                126780,                962341,              1089121,              1089121,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2481,2015年01月01日至2015年03月31日,,                 61744,                 61744,,,                401394,                 14754,                 19622,                -17196,                100174,                 -2689,,                              0,                  2268,                 -4072,,,                 -1889,                  4671,                517037,,,               -172259,                -40088,                541697,                  5040,               -293929,                -59500,                -30790,                -49829,,,               -107683,               -139435,               -149285,                 19438,                    835,                140741,               -235389,               -285218,                231819,                293563,                  2689,                -61351,                234901,,                              0,,,,                 22251,,               -237271,                  7237,,                -10295,                    478,                              0,                -71347,,               -259189,,                559874,,                -37436,                              0,,,                -42503,                 -2240,               -100441,,                489730,               -371482,                 93960,                962341,              1056301,              1056301,                  9495,                              0,,                 20848,                   -585,                112476,                              0,,,,,,,,,,,,,,,,,,
2481,2014年度,,                260920,                260920,,,              1528464,                 66536,                 73857,                 15631,                467138,                 -9816,                 -4076,                  1957,                 28475,                -10582,                137666,                189274,,                -25389,,,,                 91247,                -55231,             -1154707,                -54726,               -462925,                 44921,               -140980,             -1732401,,                 -7255,                229274,                601745,                120059,                 33890,,                   -219,                992097,               -740304,              1718831,              1979751,                  9816,               -208128,              1781439,,                 19851,,                 -7638,,,                    177,             -1273292,                193999,,                -60609,,                 41408,               -362080,                  4076,             -1416289,,,               -978558,                -47414,                -25838,,,                -12185,              1018402,               -461035,                241745,               -741990,                169890,               -206950,              1169291,                962341,                962341,,               -477107,,                 37314,                              0,,,,              2459135,                  2252,                 12351,                 -9495,                              0,                              0,                              0,                              0,                              0,,,,,,,,
2481,2014年01月01日至2014年09月30日,,                320620,                320620,,,              1129297,                 45414,                 80225,                  2472,                365333,                 -6714,                 -4076,                   -968,                 26259,                 -9390,                135884,                              0,                -12603,               -110278,              1640855,,,                121508,                201989,               -882906,                -33534,               -355519,                139838,               -115211,               -923835,,                              0,                472186,                491572,                109483,                 31477,                  2260,                   -654,              1106324,                182489,              1823344,              2143964,                  6714,               -182168,              1968510,,                 19850,                              0,                              0,                              0,                              0,                    170,               -544191,                140095,               -135435,                -43867,                              0,                 41396,               -433760,                  4076,               -951666,,                112417,               -821134,               -230825,                -13342,                -12292,                              0,                              0,                 11380,               -360781,                230417,             -1084160,                 -1843,                -69159,              1169291,              1100132,              1100132,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2014年01月01日至2014年06月30日,,                159903,                159903,,,                745878,                 30167,                 43132,                 -9447,                243885,                 -6151,                              0,                   -710,                 16837,                 -7441,                136182,                              0,                 -5652,               -133365,              1053315,,,                 56500,                347650,               -715709,                -21428,               -133828,                129781,                -76395,               -413429,,                 -9444,                234870,                724027,                 74062,                 48810,                  1516,                              0,              1073841,                660412,              1713727,              1873630,                  6151,               -113534,              1766247,,                 19850,                              0,,,                              0,                    167,               -444520,                 74920,               -148156,                -24387,                              0,                 32558,               -436312,                              0,               -863954,,                              0,               -764332,                -19552,                -13250,                -12293,,                              0,,               -236608,                235227,             -1193368,                 -5957,               -297032,              1169291,                872259,                872259,                 61926,               -383014,                    454,,,,,,,,,,,,,,,,,,,,,,
2481,2014年01月01日至2014年03月31日,,                 47334,                 47334,,,                370585,                 15442,                 15843,                 -3440,                121184,                 -2193,,                 -1201,                  8588,                 -7892,,,                              0,                -13935,                502981,,,                -35213,                 17233,                -68429,                -23527,               -365635,                 21472,                -27324,               -481423,,,                162639,                549181,                128965,                 90847,                    756,                    836,                933224,                451801,                954782,              1002116,                  2193,                -27426,                976883,,                 14240,,,,                              0,,               -169900,                  2735,,                -14563,                              0,                 26443,               -435827,,               -533417,,                              0,,                              0,                 -5044,,,                              0,                              0,               -116735,,               -145042,                 -5557,                292867,              1169291,              1462158,              1462158,                              0,               -319358,,                 43455,                              0,                 74561,                221534,,,,,,,,,,,,,,,,,,
2481,2013年度,,               -799237,               -799237,,,              1487993,                 56740,                111923,                   -974,                402159,                 -8538,                 -3217,                  3766,                 10012,                -10374,                 57191,                364136,,                 -3216,,,,                 -5322,               -283780,               -544906,                 11297,                185502,                -50758,               -103700,               -791667,,                              0,                184636,                363416,                 26755,                -51609,,                -24253,                523513,               -268154,              2199447,              1400210,                  8538,                -89273,              1319475,,                 14760,,                -19725,,,                              0,             -1237979,                 48923,,                -22522,,                              0,               -165176,                  3217,             -1611678,,,               -266532,                -41075,                 -6612,,,                   -651,                 89035,               -397077,                              0,               -337860,                 88511,               -541552,              1710843,              1169291,              1169291,,                -15274,,                  6621,               -139563,,,,              2467601,                    618,                 23950,                              0,                115579,               -215262,                   -551,                500000,               -199674,,,,,,,,
2481,2013年01月01日至2013年12月31日,,               -799237,               -799237,,,              1487993,                 56740,                111923,                   -974,                402159,                 -8538,                 -3217,                  3766,                 10012,                -10374,                 57191,                364136,,                 -3216,,,,                 -5322,               -283780,               -544906,                 11297,                185502,                -50758,               -103700,               -791667,,                              0,                184636,                363416,                 26755,                -51609,,                -24253,                523513,               -268154,              2199447,              1400210,                  8538,                -89273,              1319475,,                 14760,,                -19725,,,                              0,             -1237979,                 48923,                              0,                -22522,,                              0,               -165176,                  3217,             -1611678,,,               -266532,                -41075,                 -6612,,                              0,                   -651,                 89035,               -397077,,               -337860,                 88511,               -541552,              1710843,              1169291,              1169291,,                -15274,,                  6621,               -139563,                              0,                              0,,              2467601,                    618,                 23950,                              0,                115579,               -215262,                   -551,                500000,               -199674,,                              0,                              0,                              0,                              0,                              0,,
2481,2013年01月01日至2013年09月30日,,               -501875,               -501875,,,              1110317,                 40014,                 90372,                 -5670,                288864,                 -5540,                 -3217,                  2948,                  4807,                 -7807,                 54216,                 23629,                              0,                 68918,,,,               -324331,               -341483,               -285577,                  7829,                145063,                -89225,                 -2088,               -889812,,,                234330,                418753,                 -3048,                -28922,,                 11426,                634162,               -255650,              1406201,                904326,                  5540,                -32976,                876890,,                 14644,,                -19569,,,                              0,               -948891,                 46965,                              0,                -33237,,                              0,               -135227,                  3217,             -1404281,,                              0,                              0,                -31315,                 -6623,                              0,,                   -664,                 88334,               -288527,                              0,                 73918,                -41010,               -494483,              1710843,              1216360,              1216360,,                -97292,,                  9818,               -139823,                 25202,                 84477,,              1661851,                  1623,,,                 11386,               -213564,,                500000,               -199674,                              0,,,,,,,
