證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動資產減少,　　 存入保證金減少,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 生物資產（增加）減少,　　 處分採用權益法之投資,　　 處分投資性不動產,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 現金減資,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產減少,　　 其他非流動負債減少,　　　　 股份基礎給付酬勞成本,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 處分子公司股權（未喪失控制力）,　　 預付投資款增加,　　 其他應收款增加,　　 其他非流動負債增加
4930,2015年01月01日至2015年09月30日,,                 73542,                 73542,,,                250004,                 12972,                 11189,                 13225,                 27658,                -83549,                 34080,                 -7123,                              0,                  2345,                260801,,,               -407851,                  6558,                  5981,               -745483,                 12335,               -215962,                  2845,                 11111,                 82893,                    409,             -1247164,,                  4277,                 -6243,                 16374,                 12601,                -39499,                -70721,                -83211,             -1330375,             -1069574,               -996032,                 71650,                -23032,                -40932,               -988346,,                -28182,                 79861,               -250088,                 35534,                 -3354,                 -6777,                 -2682,                 -4450,                -67554,               -283216,               -530908,,                720367,                  3948,               -537200,                -98069,                 89046,                 62376,             -1367832,              6994867,              5627035,              5627035,,,,,,,,,,,,,,,,,,,,,,,,,
4930,2015年01月01日至2015年06月30日,,                 36558,                 36558,,,                161338,                  8217,                  3120,                -45339,                 17162,                -56697,                 22494,                 -3962,                              0,                  1587,                107920,,,               -383666,                 14485,                    357,                 95230,                 -4198,                 -9652,                 -1057,                -49296,                  6179,                   -285,               -331903,,                -20445,                -73653,               -430689,                 -9389,                 29476,                 42466,               -462234,               -794137,               -686217,               -649659,                 51054,                -12104,                -33431,               -644140,,                              0,                 79861,               -144161,                 28535,                 -5578,                 -6777,,                 -4990,,,               -369878,,              1196095,,               -537200,                -76907,                583406,               -103639,               -534251,              6994867,              6460616,              6460616,               -279974,                -36794,                  1418,,,,,,,,,,,,,,,,,,,,,,
4930,2015年01月01日至2015年03月31日,,                 28766,                 28766,,,                 66181,                  4396,                 -5542,                -27118,                  7661,                -23526,                  7064,                 -3488,,                    800,                 26428,,,               -392551,,                -13292,                 14140,                 20532,                -25541,                 -2323,                170049,                 55006,                    509,               -173471,,                -16815,                -79927,               -331341,                -14040,                -61904,                -37252,               -551955,               -725426,               -698998,               -670232,                 26955,                 -6200,                -20672,               -670149,,                              0,,                -70876,                 10520,                   -382,,,                              0,,,               -199591,,              1085940,                    168,,                              0,              1086108,                -21502,                194866,              6994867,              7189733,              7189733,               -125568,                -13285,,                -10676,,,,,,,,,,,,,,,,,,,,,
4930,2014年度,,              1095345,              1095345,,,                303749,                 28603,                 -2130,                 79572,                 69054,               -251476,                 24679,                 -6146,                 15055,                  3065,,,,                 18461,                 -2690,                   -698,                 41582,                 -8740,                127114,                 -1597,                102417,                -75363,                 -1019,                199467,,                 20736,                -54220,               -605579,                  8055,                 16762,                 60468,               -553778,               -354311,               -903649,                191696,                184626,                -69253,                -43351,                263718,,                -27500,,               -207990,                106739,                 -3433,                 -7207,             -1074064,                -32060,,                626409,                729996,,               -319908,                 -1580,,               -103124,             -1034511,                253821,                213024,              6781843,              6994867,              6994867,,                  1162,,,,               -813363,                              0,               -549338,                              0,                              0,              1347940,                733101,                              0,                              0,             -1343000,,,,,,,,,,
4930,2014年01月01日至2014年09月30日,,                241715,                241715,,,                222534,                 11077,                 -3619,                 78268,                 55958,               -181544,                 13899,                 -7542,                 14376,                  2319,                205726,,,               -367027,                              0,                 -4366,               -245781,                 -5789,                116752,                 -1249,                 36521,                 12386,                              0,               -458553,,                  2424,               -194257,               -583133,                  3352,                 10983,                -26523,               -787154,             -1245707,             -1039981,               -798266,                117749,                -39054,                -23678,               -743249,,                -27500,                              0,               -113878,                 27122,                 -3248,                 -1450,                              0,               -234184,                  8274,               -347351,               -692215,,              1499470,                  2822,                              0,               -104654,              1397638,                 48804,                 10978,              6781843,              6792821,              6792821,,,,,,,,,,,,,,,,,,,,,,,,,
4930,2014年01月01日至2014年06月30日,,                 74733,                 74733,,,                154571,                  7790,                 -8543,                 74939,                 33566,               -118481,                  6934,                 -4372,                 14376,                  1560,                162340,,,               -347640,                              0,                 -6705,                297187,                -14672,                119176,                 -3108,                 -7254,                -57986,                  2878,                -18124,,                 27455,               -217836,               -689539,                  2139,               -186534,                156268,               -908047,               -926171,               -763831,               -689098,                 72260,                -16620,                -21824,               -655282,,                -17600,                              0,                -70916,                 19973,                 -2387,                   -800,,               -197570,,,               -524711,,              2415963,,                              0,                -71313,              2388673,                -43588,              1165092,              6781843,              7946935,              7946935,               -240923,                -14488,                 44023,,,,,,,,,,,,,,,,,,,,,,
4930,2014年01月01日至2014年03月31日,,                 11819,                 11819,,,                 79397,                 10958,                 -7299,                112834,                 12144,                -57266,                  2694,                 -2771,,                  1513,                152204,,,               -393048,,                 -1193,                266083,                 18461,                104373,                 -1405,                108589,                  7462,                   -455,                108867,,                 14064,               -213764,               -581941,                -15896,                -43296,                -22002,               -862835,               -753968,               -601764,               -589945,                 38154,                 -6929,                -14869,               -573589,,                -17600,,                -36365,                 11461,                 -2815,,,                    270,,,               -333525,,              1699268,                              0,,                 -2040,              1697228,                 64213,                854327,              6781843,              7636170,              7636170,               -277700,                -10776,,                              0,,,,,,,,,,,,,,,,,,,,,
4930,2013年度,,                 75465,                 75465,,,                348968,                 23092,                  1597,               -102948,                 30854,               -123366,                 18587,                -23573,                113421,                  2368,,,,                -13161,                              0,                  4573,                273657,                165306,                124139,                 -3419,                328304,                -16312,                 15663,                850552,,                              0,               -144970,               -163995,                -10781,                  5753,                 35476,               -278517,                572035,                848020,                923485,                153454,                -30440,                -69441,                977058,,               -146280,,               -242314,                107819,                   -615,                -31852,                              0,                 44800,,               -480799,               -579934,,                172160,                 -3458,,                -29367,                347330,                196843,                941297,              5840546,              6781843,              6781843,,                -35078,,,,                              0,                -13015,                275985,                -28198,                204385,                              0,                              0,                -53305,                261300,                              0,,,,,,,,,,
4930,2013年01月01日至2013年12月31日,,                 75465,                 75465,,,                348968,                 23092,                  1597,               -194091,                 30854,               -123366,                 18587,                -23573,                113421,                  2368,,,,                 77982,,                  4573,                273657,                165306,                124139,                 -3419,                328304,                -16312,                 15663,                941695,,,               -144970,               -163995,                -10781,                  5753,                 35476,               -278517,                663178,                848020,                923485,                153454,                -30440,                -69441,                977058,,               -146280,                              0,               -242314,                107819,                   -615,                -31852,,,                -35078,               -480799,               -579934,,                172160,,                              0,                -29367,                347330,                196843,                941297,              5840546,              6781843,              6781843,,                              0,                 -3458,,,,                -13015,                184842,                -28198,                204385,,,                -53305,                261300,,                              0,                 44800,,                              0,                              0,                              0,                              0,,,
4930,2013年01月01日至2013年09月30日,,                124261,                124261,,,                227270,                  6672,                  6200,                -91544,                 21014,                -94752,                 13667,                -16176,                 14278,                  1644,,,,                 -4943,,                  7712,               -166081,                175094,                252269,                 -3056,                315462,                 -5256,                 13043,                584244,,                  1682,                -31887,               -623352,                  4635,                  5772,                -33139,               -676289,                -92045,                -16787,                107474,                 99748,                -18097,                -56800,                132325,,               -146280,,               -151288,                 45195,                 -2644,                 -1640,,                              0,,               -546072,               -554773,,              1100937,                              0,,                -26666,              1278846,                188814,              1045212,              5840546,              6885758,              6885758,,                  7413,                 -3420,,,,                -13015,                 75258,,                204385,,,                -53305,                261300,,                 -5132,                 41290,,,,,,,,
4930,2013年01月01日至2013年06月30日,,                -12220,                -12220,,,                163437,                  4622,                  6840,                -69590,                  9384,                -60379,                  2893,                 -9317,                              0,                  1355,,,,               -326273,,                -11706,                298087,                112174,                165658,                 -4151,                243955,                -35489,                 -3730,                438525,,                  6486,               -104622,             -1085936,                 -9993,                 72099,                159479,               -962487,               -523962,               -474717,               -486937,                 65680,                 -4417,                -48886,               -474560,,                -15400,,               -136166,                 23526,                   -595,                   -600,,                 17470,,               -557529,               -668766,,              1038483,                    359,,                -20500,              1226337,                191898,                274909,              5840546,              6115455,              6115455,,                  5660,,,,,,                 49245,,,,,                -53305,                261300,,                 -5132,,,,,,,,,
4930,2013年01月01日至2013年03月31日,,                 51748,                 51748,,,                 78435,                  2468,                  7023,                -19338,                  2323,                -29642,                 -1987,                 -5324,,                  1095,,,,                 -6584,,                 -4077,                442318,                179218,                 63307,                -12085,                159815,                  5586,                  4206,                831704,,                  2374,               -124656,               -823969,                -16757,                -41177,                -44471,             -1048656,               -216952,               -181899,               -130151,                 26340,                 -1308,                -29291,               -134410,,                -11000,,                -50351,                  9565,                 -3484,,,                   -150,,               -212598,               -270258,,                278623,,,                 21333,                509789,                156217,                261338,              5840546,              6101884,              6101884,,                  2892,,,,,,                 35053,,,,,                -53305,                261300,,                 -5132,,                  1838,,,,,,,
