證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他預付款項增加,　　 其他預付款項減少,　　 存入保證金減少,　　 取得子公司股權,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得無形資產
9939,2015年01月01日至2015年09月30日,,              1066198,              1066198,,,              1493038,                  2462,                -38866,                179883,                 34000,                  6844,                 27798,                              0,                -14490,                              0,                 85469,                 -1770,              1774368,,,                  4479,                -81683,               -356096,                464692,                337226,                368618,,                 37935,               -528829,               -123353,                 -4957,               -619204,               -250586,              1523782,              2589980,               -159934,               -218743,              2211303,,                              0,                              0,                              0,                -15000,                    879,                -30287,             -1743827,                 89155,                 -2998,                              0,               -593931,                -34697,             -2330706,,                              0,               -213754,                500000,                              0,              1740000,             -3631444,                              0,               -681665,              2595000,               -213246,                -12976,                223727,                305642,                 52908,                239147,              2065813,              2304960,              2304960,,,,,,,,,,,
9939,2015年01月01日至2015年06月30日,,                840668,                840668,,,                973824,                  1725,                -14430,                122415,                 34000,                  4730,                 28481,,,                -15141,                -94322,                   -884,              1040398,,,                  3759,                -49954,             -1002567,                360102,                 82362,               -606298,,                  2444,                  5788,                 80786,                 -3293,                 85725,               -520573,                519825,              1360493,               -101800,               -172208,              1086485,,                              0,,                              0,                -15000,,                -30287,             -1168980,                 64565,                 -2105,,               -662156,                -33632,             -1847595,,                450291,,                              0,,              1500000,             -3614790,,,              2595000,,                -12976,                167899,              1085424,                -27123,                297191,              2065813,              2363004,              2363004,,,,,,,,,,,
9939,2015年01月01日至2015年03月31日,,                319421,                319421,,,                483853,                      5,                 -2689,                 63536,,                  1575,                 18215,,                -16089,,                -76536,                   -346,                471524,,,                 -6851,                 32934,               -150914,                452063,                 46794,                374026,,                -44345,               -399343,               -155654,                 -1650,               -600992,               -226966,                244558,                563979,                -53438,                -46268,                464273,,                              0,,,                -15000,,,               -643367,                 58603,                -20808,,                -18762,                -81473,               -720807,,                596443,,                              0,,              1500000,             -1661550,                              0,,,,                 75888,,                510781,                -45428,                208819,              2065813,              2274632,              2274632,,,,,,,,,,,
9939,2014年度,,              1141184,              1141184,,,              1882512,                      2,                -23803,                245236,,                  5716,                -15123,                              0,                 16342,,                 30547,                 -1534,,,,                 10393,                  8753,               -173854,                146694,               -345945,               -353959,,                -11633,                -87168,                 98953,,                 -6367,               -360326,              1779569,              2920753,               -215143,               -211530,              2494080,,                -12124,                              0,,                              0,                              0,                -48539,             -3421031,                149403,                              0,                   -253,             -1124962,                 28886,             -4388620,,              2121622,,                              0,               -424500,              2197029,             -1530306,,               -649620,,,                -12721,                 36324,              1737828,                 87442,                -69270,              2135083,              2065813,              2065813,,              2139895,                 -6519,                              0,                 40000,                              0,                              0,                              0,                              0,,
9939,2014年01月01日至2014年09月30日,,              1196792,              1196792,,,              1405098,                   -127,                -18547,                180145,                              0,                  2796,                -14981,                              0,                  2441,                              0,                -15891,                 -1000,              1539934,,,                  8073,               -104243,               -859418,                 29423,               -288142,             -1214307,,                 39905,                304521,                -59690,                 -4892,                279844,               -934463,                605471,              1802263,               -153764,               -170046,              1478453,,                -12124,                              0,                 40000,                              0,                              0,                -48539,             -2662895,                 84254,                              0,                  1816,               -837075,                 -1336,             -3435899,,              3071162,                              0,                350000,               -424500,              1394309,             -1515094,                              0,               -649620,                              0,                              0,                -12721,                 36324,              2249860,                 18235,                310649,              2135083,              2445732,              2445732,,,,,,,,,,,
9939,2014年01月01日至2014年06月30日,,                695551,                695551,,,                933430,                   -136,                 -8194,                117502,                              0,                              0,                -16476,,,                   -734,                 -6930,                   -609,              1017853,,,                     25,                  5255,             -1533290,                263033,               -207589,             -1472566,,                 -5581,                409729,                -54483,                 -3181,                346484,             -1126082,               -108229,                587322,               -101261,               -106060,                380001,,                -12124,,                 40000,                              0,,                -48539,             -1967664,                 70512,                    839,,                -39298,                   -561,             -1956835,,              2353298,,                160000,,                694309,             -1515094,,,                              0,,                -12721,                 36324,              1716116,                 78250,                217532,              2135083,              2352615,              2352615,,,,,,,,,,,
9939,2014年01月01日至2014年03月31日,,                270311,                270311,,,                466662,                     -3,                 -2879,                 56361,,                              0,                -15728,,                  2621,,                 15086,                   -222,                521898,,,                   -586,                 29924,             -1023142,                -36496,                -53609,             -1083909,,                 15078,                319231,               -144310,                 -1553,                188446,               -895463,               -373565,               -103254,                -64884,                 -9180,               -177318,,                              0,,,                              0,,,               -465796,                 51596,                 -9233,,               -107359,                    -34,               -530826,,                934898,,                300000,,                696210,             -1500000,                              0,,,,                 36324,,                467432,                 84609,               -156103,              2135083,              1978980,              1978980,,,,,,,,,,,
9939,2013年度,,              1357515,              1357515,,,              1740931,                   -679,                -21034,                190970,,                              0,                  8974,                    -20,                -10573,,                -15268,                 -4651,,,,                 10056,                 77583,               -174704,               -499997,               -192911,               -779973,,                 23464,                -36829,                259076,,                239433,               -540540,              1348110,              2705625,               -201598,               -272942,              2231085,,               -100000,                100020,,                -15000,                  1293,                              0,             -4275962,                 90567,                 -9372,                              0,                 57283,                 -8721,             -4242892,,                723147,,               -200000,                              0,              4986899,             -2068797,,               -779544,,,                -14657,                              0,              2579076,                 61498,                628767,              1506316,              2135083,              2135083,,              1888650,                 -6278,                -40000,                              0,                -43000,                              0,                -67972,                              0,,
9939,2013年01月01日至2013年09月30日,,              1393838,              1393838,,,              1292398,                   -687,                -23107,                137212,,                              0,                  6908,                    -20,                              0,                 -6612,                -16648,                 -4103,,,,                 14008,                -53810,               -950116,               -270960,               -102266,             -1363144,,                 82258,                 72104,                115697,,                268635,             -1094509,                290832,              1684670,               -144502,               -255752,              1284416,,               -100000,                100020,,                -15000,                  1293,                              0,             -3105759,                 68503,                -11250,                              0,                136426,                 -8789,             -2934556,,              1707393,,                280000,                              0,              1845032,               -644588,                -68077,               -779544,,,                -14657,                              0,              2325559,                 19671,                695090,              1506316,              2201406,              2201406,,              1385341,                 -1424,,                              0,,,,,,
9939,2013年01月01日至2013年06月30日,,                969066,                969066,,,                843700,                    312,                -19210,                 87483,,,                  7002,                    -20,                 -4025,,                 18374,                 -2754,,,,                  5867,                -22539,             -1299756,               -243514,                -46431,             -1606373,,                 57306,                202758,                 96938,,                356235,             -1250138,               -319276,                649790,                -96326,               -134898,                418566,,               -100000,                100020,,                -15000,,                              0,             -2280836,                 34652,                -18916,                              0,                  8677,                 -6284,             -2277687,,                925548,,                 50000,,              1843628,               -526095,                  1219,,,,                -14657,                              0,              2279643,                 29773,                450295,              1506316,              1956611,              1956611,,                930862,                   -767,,                              0,,,,,,
