證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分無活絡市場之債券投資,　　 短期借款增加,　　 現金增資,　　　　　 其他流動負債增加（減少）,　　 存出保證金減少,　　 短期借款減少,　　 取得無活絡市場之債券投資,　　 存入保證金減少,　　　　 處分採用權益法之投資損失（利益）
3432,2015年01月01日至2015年09月30日,,                 13485,                 13485,,,                 39087,                  1358,                 -1919,                 -9628,                  4067,                 -6319,                  1046,                  2093,                  6496,                 -4315,                              0,                 31966,,,               -377240,                  2998,                181629,                  1464,                  7493,                 24280,                    683,                  4040,               -154653,,                   -535,                -46929,                    538,                -26294,                    567,                -72653,               -227306,               -195340,               -181855,                 -3796,                 -9973,               -195624,,                122637,                -12000,                 -1884,                 13172,                  2371,                              0,                  6319,                   -119,                130496,,                 65740,                -58290,                              0,                  7450,                 -5418,                -63096,                612373,                549277,                549277,,,,,,,,,,,,
3432,2015年01月01日至2015年06月30日,,                -14280,                -14280,,,                 26761,                    923,                   -620,                 -1814,                  3200,                 -4809,                    792,                    722,                  1234,                 -4787,                              0,                 21002,,,                -91863,                  2844,                171734,                  1508,                  6921,                 18783,                   -221,                  3919,                113625,,                    165,                -43000,                    661,                -15018,                  1546,                -55646,                 57979,                 78981,                 64701,                 -2490,                 -6961,                 55250,,                 69444,                -12000,                 -1777,                  5423,                 -2091,                              0,                  4809,                    -49,                 63759,,                 61720,                -38562,                              0,                 23158,                -11048,                131119,                612373,                743492,                743492,                   -600,,,,,,,,,,,
3432,2015年01月01日至2015年03月31日,,                   -954,                   -954,,,                 13641,                    853,                    125,,                  1418,                 -2317,                    538,                    819,                    309,                  1553,                              0,                 16939,,,,                   -176,                128968,                    513,                  2393,                 14534,                  2360,                 -1737,                146855,,                   -739,                -36641,                   -772,                 -8495,                    563,                -46084,                100771,                117710,                116756,                 -1151,,                115605,,                 69245,,                   -279,                  1149,                 -1399,,                  2317,                    -42,                 70991,,                 41160,,,                 41160,                 -6072,                221684,                612373,                834057,                834057,,,,,,,,,,,,
3432,2014年度,,                 47893,                 47893,,,                 55725,                  1740,                  6052,,                  5221,                 -9340,                  2841,                  5441,                 10390,                -19277,                    858,,,,,                   -175,                 -9195,                    519,                 -6424,                  6012,                  3559,                 11301,                  5597,,                 -1077,                 -8115,                 -3120,                 17466,                   -365,                  4789,                 10386,                 67514,                115407,                 -5081,                 -1630,                108696,,,,                 -8172,                  2092,                   -963,                   -482,                  9340,                -15581,                 12261,,                 23782,,                     70,                 36092,                 25453,                182502,                429871,                612373,                612373,                 -2523,,                 57128,                 26027,                              0,                 12240,,,,,,
3432,2014年01月01日至2014年09月30日,,                 26207,                 26207,,,                 42100,                  1267,                  8034,                              0,                  4472,                 -5646,                  2265,                  4714,                     25,                 -9218,                    858,                 48871,,,                              0,                 -1169,                -30683,                    647,                   -649,                -17914,                  1723,                 -3889,                -51934,,                   -373,                  3943,                   -513,                   -939,                 -3881,                 -1763,                -53697,                 -4826,                 21381,                 -3772,                 -1095,                 16514,,                 22455,                              0,                 -3575,                  1885,                   -581,                   -483,                  5646,                              0,                 25347,,                 62545,                -29757,                     70,                 32858,                  6818,                 81537,                429871,                511408,                511408,,,,,,,,,,,,
3432,2014年01月01日至2014年06月30日,,                   -156,                   -156,,,                 28354,                    826,                  6607,                              0,                  2677,                 -3393,                  1689,                  3374,                    157,                 -1302,                    858,                 39847,,,                              0,                  1359,                 24772,                    288,                  1200,                 14340,                  5110,                 -3474,                 43595,,                      1,                 25873,                     66,                 -3445,                 -3694,                 18801,                 62396,                102243,                102087,                 -2452,                   -798,                 98837,,                -15302,                              0,                 -2746,                    918,                    -86,                   -305,                  3393,                              0,                -14128,,                 62545,                -19293,                     70,                 43322,                   -983,                127048,                429871,                556919,                556919,                              0,,,,,,,,,,,
3432,2014年01月01日至2014年03月31日,,                -13444,                -13444,,,                 14278,                    393,                  6265,,                  1310,                 -1721,                  1113,                    807,                    814,                -11254,                    858,                 12863,,,,                 -5863,                 28942,                  1970,                   -381,                  8773,                  3235,                  3906,                 40582,,                 -1498,                -23987,                   -202,                 -1058,                 -3346,                -30091,                 10491,                 23354,                  9910,                 -1065,,                  8845,,                -17645,,                 -1913,                    144,                   -147,,                  1721,                              0,                -17840,,                 62545,,,                 62545,                  8275,                 61825,                429871,                491696,                491696,,,,,,,,,,,,
3432,2013年度,,                -64876,                -64876,,,                 50392,                  4051,                 12316,,                  5333,                 -6772,                  4511,                  2796,                              0,                 10546,                    -43,,,,,                  5267,               -124901,                              0,                 -2016,                  4669,                -34583,                -17496,               -169060,,                    171,                 46143,                              0,                 63492,                    960,                110766,                -58294,                 13953,                -50923,                 -5423,                 -1079,                -57425,,,,               -164964,                 23248,                  3270,                              0,                  6772,                              0,                -90753,,                  1380,,                              0,                -71220,                 67426,               -151972,                581843,                429871,                429871,                -10883,,                 72247,                 40921,                -72600,                              0,,,,,,
3432,2013年01月01日至2013年12月31日,,                -64876,                -64876,,,                 50392,                  4051,                 12316,,                  5333,                 -6772,                  4511,                  2796,                              0,                 10546,                    -43,,,,                              0,                  5267,               -124901,,                 -2016,                  4669,                -34583,                -17496,               -169060,,                    171,                 46143,,                 63492,                    960,                110766,                -58294,                 13953,                -50923,                 -5423,                 -1079,                -57425,,,,               -164964,                 23248,                              0,,                  6772,,                -90753,,                  1380,,,                -71220,                 67426,               -151972,                581843,                429871,                429871,                -10883,,                 72247,                 40921,                -72600,,,                  3270,,,                              0,
3432,2013年01月01日至2013年09月30日,,                -70742,                -70742,,,                 36224,                  3071,                  7933,,                  4323,                 -6123,                  3779,                   -343,,                 -2579,                    -32,,,,,                  5101,               -107877,                 -1841,                 -1088,                 11743,                 -3797,                -20748,               -118507,,                   -656,                 47876,                  1392,                 54980,,                104282,                -14225,                 26507,                -44235,                 -4577,                   -692,                -49504,,,,               -137606,                 15443,,                              0,                  6123,,                -76696,,                              0,                -12772,                              0,                -78353,                 12177,               -192376,                581843,                389467,                389467,                 -5521,,                 40732,                 36977,,,                    690,                  2367,                -65581,,,
