證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款減少,　　 其他應收款－關係人減少,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 淨確定福利負債增加(減少),　　 取得投資性不動產,　　 其他應收款－關係人增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 應付款項增加,　　　　 未實現外幣兌換損失（利益）,　　　　　 預付款項（增加）減少,　　 收取之股利,　　 存出保證金增加,　　 其他應付款－關係人減少,　　 非控制權益變動,　　　　 非金融資產減損損失,　　　　　 其他營業負債增加（減少）,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 處分子公司,　　 處分投資性不動產,　　 舉借長期借款,　　 其他籌資活動,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　　　　 預付費用（增加）減少,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 存入保證金減少,　　 其他非流動負債減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2440,2015年01月01日至2015年09月30日,,                 -3781,                 -3781,,,                 27074,                    237,                 -8604,                 -7805,                 13439,                 -3291,                 -1679,                              0,                 19371,,,                   -977,                  4186,                 69003,                  1027,                -97642,                  2641,                -21762,,                 -2985,               -134901,                 18055,                 -2614,                 -5785,               -128230,               -149992,               -130621,               -134402,                  3358,                -12767,                 -3110,,,               -146921,               -146921,,                 -5871,                              0,                              0,                 32705,                 -9521,                  9552,                    457,                 27322,,              1191769,             -1158183,                 99937,                -32250,                  1072,                 -4861,                 97484,                  2185,                -19930,                256235,                236305,                236305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2015年01月01日至2015年06月30日,,                  8832,                  8832,,,                 18108,                    182,                  1887,                 -8743,                  8865,                 -2281,                    305,                              0,                 18323,,,                   -527,                    483,                 32603,                  3377,                -15364,                  9086,                 29658,,                 -2403,               -145520,                  9151,                     97,,               -143021,               -113363,                -95040,                -86208,                  2596,                 -8411,                   -572,,,                -92595,                -92595,,,,,                 32705,                  7033,                -17477,                  1124,                 19397,,                907812,               -883034,                 99928,                -21500,                  1157,                 -4993,                 99370,                -10960,                 15212,                256235,                271447,                271447,                 -4346,                 -3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2015年01月01日至2015年03月31日,,                -11320,                -11320,,,                  9112,                     91,                  7193,                 -3702,                  4430,                 -1085,                     41,,                 16080,,,                    115,                 47202,                 17481,                  5294,                -26790,                 -5087,                 38215,,                 -2927,                -96725,                  3443,                    204,                 -2665,                -98670,                -60455,                -44375,                -55695,                    354,                 -4102,                    899,,,,                -58544,,                   -263,,,,,                              0,                              0,                -16486,,                419154,               -417119,,                -10705,                    193,                 -5054,                 86385,                 -5696,                  5659,                256235,                261894,                261894,,,                 -4137,                -12985,                    899,                 99916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年度,,                   -462,                   -462,,,                 38720,                  4366,                  6069,                 13419,                 13960,                 -1898,,                  2513,,,,                 46540,               -225318,,                  7414,                 18453,                -23057,               -175968,,                    232,                -36407,,                  2722,                 -9068,                -42521,               -218489,               -151086,               -151548,                  1418,                -13410,                 -6911,,,,               -170451,,                -10318,                  1234,,,                              0,                -84872,                              0,                -88464,,              1660227,             -1312402,               -117653,                -43000,                  2329,                    752,                190253,                 21963,                -46699,                302934,                256235,                256235,,,                  4178,                              0,                  1314,,,                 -3712,                 -6034,                 67403,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年01月01日至2014年09月30日,,                -19504,                -19504,,,                 29105,                  3474,                  3054,                 12516,                  9978,                   -812,                 -1652,                  3156,                 58819,,,                 43999,               -149717,                -28286,                 11267,                 33986,                -20274,               -109025,,                 -2709,                 35583,               -127727,                 10376,                 -6395,                -90872,               -199897,               -141078,               -160582,                    570,                 -9489,                 -4809,,,               -174310,               -174310,,                 -6885,                    196,                      2,                              0,                  3789,                -71120,                  1464,                -72554,,              1249466,               -955151,               -117653,                -32250,                 -4250,                    687,                140849,                  1479,               -104536,                302934,                198398,                198398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年01月01日至2014年06月30日,,                -19574,                -19574,,,                 19543,                  2199,                 -3606,                 17146,                  5946,                 -1890,                   -840,                  2080,                 40578,,,                 27292,               -101198,                -22284,                 13526,                 42942,                 17763,                -21959,,                 -2172,                -11919,                -94741,                  7349,,               -108502,               -130461,                -89883,               -109457,                  1823,                 -5284,                 -3414,,,               -116332,               -116332,,,,,                              0,                   -500,                -59365,                 -5968,                -72094,,                959646,               -758005,                  1924,                -21500,                    320,                    618,                183003,                  5647,                    224,                302934,                303158,                303158,                 -7019,                 -6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年01月01日至2014年03月31日,,                -13332,                -13332,,,                  9820,                  1117,                  1027,                 16783,                  2555,                   -150,                 -1707,,                 29445,,,                 25489,                -93279,                -27350,                  8090,                 32247,                -54248,               -109051,,                   -512,                 89411,                -16880,                 10067,                  1761,                 83847,                -25204,                  4241,                 -9091,                    152,                 -2413,                 -2242,,,,                -13594,,                 -5923,,,,,                 12010,                   -730,                  4605,,                406483,               -399189,,                -10750,                    376,                    573,                 -2583,                  7934,                 -3638,                302934,                299296,                299296,,,                   -752,                              0,                              0,                    -76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2013年度,,                -78983,                -78983,,,                 58470,                  8720,                              0,                  2802,                 10631,                   -586,,                -15099,,,,                  4867,                -31379,,                -11323,                 -2195,                -48328,                -88358,,                -27554,                 22322,,               -162098,                 24696,               -142634,               -230992,               -164576,               -243559,                    586,                -10631,                 -4482,,,,               -258086,,                -29867,                132461,,,                -12815,                              0,                -10443,                 84792,,                832571,               -738181,                 37800,                -48035,                  4145,                 12633,                182571,                 10823,                 20100,                282834,                302934,                302934,,,                              0,                  5456,                              0,,,                 -2911,                  4389,                 66416,                 81638,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2013年01月01日至2013年12月31日,,                -78983,                -78983,,,                 58470,                  8720,,                    376,                 10631,                   -586,,                -15088,,,,                  4867,                -31379,,                -11323,                -17398,                -28789,               -103561,,                -27554,                 22322,,               -162098,                 24685,               -142645,               -246206,               -167002,               -245985,                    586,                -10631,                 -4482,,,,               -260512,,                -29867,                132461,,,,,,                 87218,,                832571,               -738181,                 37800,                -48035,                  4145,                 12633,                182571,                 10823,                 20100,                282834,                302934,                302934,,,                              0,,                              0,,,                 -2911,                  4389,                 79204,,,                -19539,,,,                              0,                 15203,,                              0,,,                -15376,                              0,                              0,                 81638,,,,,,,,,,,
2440,2013年01月01日至2013年09月30日,,                -90370,                -90370,,,                 46257,                  5820,                              0,                    587,                  8174,                   -410,                              0,                   -140,,,,                 14067,                 34684,                              0,                 -4326,                  8431,                  1271,                 45520,,                -27706,                -71026,                 89563,                -10509,                    167,                -19511,                 26009,                 86531,                 -3839,,                 -8174,                 -1705,,,,                -13308,,                -21286,                  1468,,,,                -19133,                     11,                -38951,,                 40850,                              0,                 19836,                -98110,,                    592,                -37154,                 11295,                -78118,                282834,                204716,                204716,,,                              0,,,,,,,                 60522,,                    234,                 -8607,                    410,                    -11,                 -3718,                  3396,,,,,,,,,,,,,,,,,,,,
