證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 償還公司債,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 現金增資
2915,2015年01月01日至2015年09月30日,,              5969923,              5969923,,,                244692,                 43510,                  6538,                    211,                214007,               -391567,             -7801982,                 -8239,                -61093,              1504468,                 37124,                 49052,             -6163279,,,                -26019,                113254,                  5871,             -1771089,                -49082,                  5209,             -1721856,,                  6994,                218227,                356990,                -35322,                -12099,                              0,                534790,             -1187066,             -7350345,             -1380422,               -128918,                -95197,             -1604537,,             -3027450,              1449705,                              0,                107253,                              0,                  2604,                 48088,             -2525909,                -44369,                 11776,                  3774,                 -7408,                   -640,                  1593,                 -3993,              2730910,             -1254066,,                347267,                469748,              9155000,             -1936431,                -14937,             -5493788,               -604984,              1921875,                 -4884,               -941612,              2719868,              1778256,              1778256,,,,,,,,,,,,,,,
2915,2015年01月01日至2015年06月30日,,              3612461,              3612461,,,                162452,                 32223,                 -9527,                -11411,                133203,                -17257,             -4480157,                    -63,                -37617,                454648,                 15413,                  2720,             -3755373,,,                 -3624,                 49108,                  1455,             -1682610,               -109127,                  9203,             -1735595,,                -38262,                 36841,                239940,                 24949,                 -8124,                              0,                255344,             -1480251,             -5235624,             -1623163,                -72209,                -66562,             -1761934,,             -2215983,              1202825,                     -7,                 60165,                              0,                  2582,                              0,,                -28967,                    722,                  4258,                 -5548,                    -28,                  1720,                   -668,              1349297,                370368,,                 70197,               -199865,              2670000,             -1230311,                 -5673,,                -31778,              1272570,                -25760,               -144756,              2719868,              2575112,              2575112,                              0,                              0,                              0,                              0,,,,,,,,,,,
2915,2015年01月01日至2015年03月31日,,              1719494,              1719494,,,                 79913,                 19765,                 -9847,                  1376,                 65790,,             -2474288,                    -33,                 63468,                454648,                  8348,                 -7047,             -1797907,,,                  3746,                 41573,                 11211,                 29161,               -123303,                  4144,                -33468,,                -31829,                114265,                 21041,                 51817,                 -4096,                              0,                151198,                117730,             -1680177,                 39317,                -33341,                  1515,                  7491,,               -438372,                374443,                              0,                 35665,,                  2611,,,                -12229,                    270,,                 -2131,                    -29,                    401,                     -2,,                -37846,,                 41388,               -199865,                862500,             -1557110,                  3618,,                  2979,               -846490,                -11356,               -888201,              2719868,              1831667,              1831667,,,,,                              0,                  1527,,,,,,,,,
2915,2014年度,,              8509986,              8509986,,,                332837,                 84650,                  1436,                 -7436,                256260,               -393868,             -8560790,                 -5957,               -602142,                 94696,,                163088,,,,                 16883,                -25824,                -11998,                -94988,                 16181,                 -5906,               -105652,,                 42049,                -56901,                163915,                -87462,,                              0,                 53121,                -52531,             -8689757,               -179771,               -140592,                 -4060,               -324423,,               -238949,              1899502,,,                 -6191,                 50576,                105001,                 -6000,               -125394,                 13397,,                 -2263,                   -283,                 -8206,                  1678,              3752082,              5334172,,             -1449933,             -1789120,             16557500,            -11762587,                 92308,             -4578157,             -1216574,             -4146563,                 63459,                926645,              1793223,              2719868,              2719868,                              0,                              0,,                              0,,                -52194,,                              0,             -8637226,                 -8480,                              0,                              0,                -48584,                              0,                              0
2915,2014年01月01日至2014年09月30日,,              6651580,              6651580,,,                258173,                 63769,                    758,                 -6176,                187537,               -393494,             -6442511,                 -5739,               -602153,                              0,                 11678,                -53274,             -6981432,,,                 -3079,                -11907,                -47279,                -12912,               -106621,                 -3051,               -184849,,                  2936,                118870,                203258,                 99284,                 -6465,                  8385,                426268,                241419,             -6740013,                -88433,               -101263,                 -1722,               -191418,,               -177179,              1899502,             -1113712,                777190,                 -5718,                 50576,                 22603,                              0,                -11632,                 12553,                 -1776,                 -7064,                    -76,                 -7525,                -13680,              3738528,              5162590,,             -1473108,             -1499263,             16557150,            -11856127,                 17867,             -4707172,               -695749,             -3656402,                  1257,              1316027,              1793223,              3109250,              3109250,,,,,,,,,,,,,,,
2915,2014年01月01日至2014年06月30日,,              3158099,              3158099,,,                173283,                 42062,                    667,                 -1121,                125521,                 -7796,             -3390616,                 -2005,               -286739,                              0,                  2747,               -203928,             -3547925,,,                 12503,                -23955,                -20647,                 65371,                -99574,                 -4774,                -71076,,                 11807,                 20389,                -92479,                 71264,                 -4467,                 17780,                 24294,                -46782,             -3594707,               -436608,                -60730,                    -16,               -497354,,               -177374,                743773,             -1113712,                              0,                 -5718,                 50576,                 21000,,                -17148,                  4299,                 -3492,                 -1745,                              0,                   -392,                -12574,              2233742,              1721235,,               -692246,               -749278,             11060550,             -8967250,                 11597,,                241444,                904817,                    206,              2128904,              1793223,              3922127,              3922127,                              0,                              0,                              0,                              0,,,,,,,,,,,
2915,2014年01月01日至2014年03月31日,,              1609809,              1609809,,,                 87216,                 24386,                     91,                    399,                 61778,,             -1878080,                    281,                 -2252,                              0,                  3911,               -148449,             -1850719,,,                 17129,                 63084,                  5440,                 44933,               -171819,                 -9618,                -51766,,                 13171,                -29722,                -86274,                 97879,                 -2284,                 23454,                 16224,                -35542,             -1886261,               -276452,                -29782,                  1778,               -304456,,                -77768,                  8928,               -894160,                              0,,                              0,,,                -22030,                              0,,                 -2342,                              0,                  1715,                 -1089,,               -986276,,                322929,                 70458,              9907950,             -8900200,                 14498,,                145702,              1561337,                  1398,                272003,              1793223,              2065226,              2065226,,,,,                   -915,                    470,,,,,,,,,
2915,2013年度,,             79091095,             79091095,,,                286940,                 81317,                    270,                  1197,                294583,               -205302,            -80078499,                    600,                   -434,                  5603,,                 96454,,,,                 25677,                  5909,                 44552,                 28731,                 52418,                  4586,                161873,,                -87023,                 -5104,                274342,                106772,,                    646,                280545,                442418,            -79040834,                 50261,               -154754,                  5072,                -99421,,               -390639,                  6311,,,                   -532,                  2410,                 24672,             -3783043,               -242147,                    228,,                 -4616,                   -136,                -19557,                -16819,              1898980,             -2504878,,                917941,                609672,             11528900,            -14522050,                 19828,             -2524303,               -512237,              2511751,                  2395,                -90153,              1883376,              1793223,              1793223,                              0,                    533,,                 -6000,,                -23980,,                 33486,            -79483252,                 -9088,                  6481,                  1665,                              0,                 35844,              7000000
2915,2013年01月01日至2013年09月30日,,              4986709,              4986709,,,                214653,                 63303,                    216,                    798,                206078,               -104106,             -5709897,                    560,                              0,,                  9310,                188680,,,,                 23740,                 45391,                 40584,                 99393,                -76953,                 -5231,                126924,,                -56504,                196234,                -62490,                104902,,                    710,                174941,                301865,             -4828007,                158702,               -188289,                  2592,                -26995,,                -10908,                              0,,,                   -532,                  2247,                 21715,             -3646315,               -126105,                  3427,                -24146,                -45771,                    -61,                 12871,                -83561,              1799194,             -2093006,,              3985504,                789474,             11528900,            -10983450,                 17987,             -2524303,               -428829,              2379283,                  1070,                260352,              1883376,              2143728,              2143728,,                    533,                -57299,                 -6000,,,,,             -5129872,                 -7911,,                 26139,                              0,                 36099,
2915,2013年01月01日至2013年06月30日,,              3155408,              3155408,,,                144314,                 36125,                    -85,                  1197,                130799,                -24276,             -3677868,                    487,                              0,,                  4006,                 51744,,,,                 32850,                 32724,                 45546,                149422,               -105390,                 -7984,                147168,,                -51882,                 41189,                308149,                144588,,                  3357,                440099,                587267,             -2745757,                409651,               -119208,                   -810,                289633,,                              0,                              0,,,                              0,                  1715,                    100,               -136728,                -85859,                  3418,                -22160,                -18138,                    -61,                  6529,                -71612,                953366,                597307,,                 89905,                 70200,             16591200,            -16318850,                 13913,,               -523199,                -82831,                  4480,                808589,              1883376,              2691965,              2691965,                              0,                    533,                -29700,                 -6000,,,,,             -3333024,                 -5302,,,                 -3563,,
