證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 預付投資款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 應付短期票券減少
2034,2015年01月01日至2015年09月30日,,                516999,                516999,,,                145096,                 20266,                   -342,                 -1752,                  6389,                    406,                170063,,,                 25436,                -14205,                666840,               -105267,              1121505,                 14595,                              0,              1708904,,                   -680,                   -280,                 24706,               -124674,               -118225,                   -558,                 -1790,               -221501,              1487403,              1657466,              2174465,                    342,                  1752,                -20556,               -139123,              2016880,,                              0,               -370332,               -327098,                  7409,                   -404,                              0,               -690425,,               -102720,                              0,                     20,                              0,               -707241,                              0,                 60456,               -740238,             -1489723,               -163268,                820104,                656836,                656836,,,,,,,,,,
2034,2015年01月01日至2015年06月30日,,                276922,                276922,,,                 95834,                 13176,                   -340,,                  5877,,                114953,,,                -24794,                 -3908,                662803,               -153873,                515253,                -13418,,                982063,,                   -925,                   -172,                 67417,               -140787,               -154841,                  2737,                 -1195,               -227766,                754297,                869250,              1146172,                    340,,                -13243,                -91489,              1041780,,,,               -286755,                  2784,                              0,                              0,               -654303,,               -376855,,                     24,,                -59421,                 54204,                              0,,               -382048,                  5429,                820104,                825533,                825533,                    406,               -370332,,,,,,,,
2034,2015年01月01日至2015年03月31日,,                166714,                166714,,,                 47993,                  6523,                     -3,,                     55,                     91,                 54659,,,                -34554,                 20076,                545701,                -49359,               -206844,                -15327,                              0,                259693,,                   -985,                   -327,                151628,                -97438,                -81833,                  7112,                   -546,                -22389,                237304,                291963,                458677,                      3,,                 -6578,                 10928,                463030,,,,                -64452,                    172,                              0,                              0,                -64280,,               -355825,,                              0,,                -47821,,                    980,,               -402666,                 -3916,                820104,                816188,                816188,,,,,,,,,,
2034,2014年度,,              1131653,              1131653,,,                179478,                 49159,                   -424,                 -4572,                  2213,                              0,,,,                 49910,                 -2143,                 -7836,                220812,                306060,                 33894,,                600697,,                  1339,                    352,               -152297,                 50329,                  5272,                 10291,,                -86270,                514427,                740281,              1871934,                    424,                  4572,                -49419,                -98762,              1728749,,                              0,,               -269458,                 11813,                -24880,                   -908,               -283433,,               -489470,,               -199603,                              0,                -35508,,                    969,               -555178,             -1278790,                166526,                653578,                820104,                820104,,,,                225854,                 -1556,,,,,
2034,2014年01月01日至2014年09月30日,,                966784,                966784,,,                132507,                 39407,                   -183,                              0,                     90,                              0,                171821,,,                  8437,                  9094,               -406248,               -126784,             -1339820,                 33884,                              0,             -1821437,,                              0,                    -16,                 -3873,                -12407,                  8898,                 14831,                 -1180,                  6253,             -1815184,             -1643363,               -676579,                    183,                              0,                -39025,               -111751,               -827172,,                              0,                              0,               -224094,                  5407,                      3,                   -908,               -219592,,              1718172,                              0,                -99673,                              0,                -23908,                              0,                    -88,               -555178,              1039325,                 -7439,                653578,                646139,                646139,,,,,,,,,,
2034,2014年01月01日至2014年06月30日,,                594911,                594911,,,                 86566,                 23427,                   -180,,                    360,,                110173,,,                  1248,                  7491,               -552771,               -500594,             -1600167,                  3506,,             -2641287,,                              0,                    100,                 85545,                -22066,                 40855,                    440,                   -793,                104081,             -2537206,             -2427033,             -1832122,                    180,,                -22679,                -70256,             -1924877,,,,               -165473,                  5136,                      3,                   -908,               -161242,,              2009273,,                    219,,                -17754,                              0,                   -896,,              1990842,                -95277,                653578,                558301,                558301,                              0,                              0,,,,,,,,
2034,2014年01月01日至2014年03月31日,,                342044,                342044,,,                 42451,                 10322,                     -3,,                    681,                              0,                 53451,,,                 48757,                 11985,               -343845,               -431634,               -382304,                 13388,                 -7542,             -1091195,,                              0,                     70,                 35946,                -24672,                -34185,                 13012,                   -316,                -10145,             -1101340,             -1047889,               -705845,                      3,,                 -9961,                              0,               -715803,,,,                -81752,                  4572,                      3,                   -908,                -78085,,                893063,,                -99795,,                 -6155,,                  1664,,                788777,                 -5111,                653578,                648467,                648467,,,,,,,,,,
2034,2013年度,,                743604,                743604,,,                167614,                 37068,                   -442,                 -5586,                  2826,                      9,,,,                -30114,                 35165,               -175436,               -124990,               -231140,                -25681,,               -552196,,                              0,                      8,                 85249,                 81180,                126411,                -10191,,                280536,               -271660,                -70171,                673433,                    442,                  5586,                -37257,                -16617,                625587,,                -78612,,               -215603,                 18476,                     12,                              0,               -275727,,                519530,,                199490,                600000,             -1035508,,               -170529,               -259083,               -146100,                203760,                449818,                653578,                653578,,,,                201489,                 -2121,,,,,
2034,2013年01月01日至2013年12月31日,,                743604,                743604,,,                167614,                 37068,                   -442,,                  2826,                      9,,,,,                 35165,               -175436,               -124990,               -231140,                -25681,,               -522082,,,                      8,                 85249,                 81180,                126411,                -10191,,                280536,               -241546,                -53631,                689973,                    442,,                -37257,                -16617,                636541,,                -78612,,               -215603,                 18476,                     12,                              0,               -286681,,                519530,                              0,                199490,                600000,             -1035508,,               -170529,               -259083,               -146100,                203760,                449818,                653578,                653578,                 10666,,,                187915,                 -2121,                -29826,               -394754,                383800,,
2034,2013年01月01日至2013年09月30日,,                560177,                560177,,,                125606,                 28729,                   -197,,                  2897,                      9,,,,                 -8898,                 30597,                -32904,                -59864,                216000,                -14035,                   -744,                130152,,,                     -6,                144227,                 38231,                 80622,                -11703,,                249797,                379949,                536993,              1097170,                    197,,                -34475,                -16581,              1046311,,                -78612,,               -163496,                 18396,                      3,                              0,               -223709,,                124682,                              0,                   -226,                600000,             -1023907,                              0,                -59669,               -259083,               -618203,                204399,                449818,                654217,                654217,,,,                157044,                 -1574,,,,,
