證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 應付短期票券增加,　　　　 金融資產減損損失,　　 存出保證金減少
3028,2015年01月01日至2015年09月30日,,                307200,                307200,,,                 21603,                  5912,                 -2886,                 11591,                 51332,                 -3358,                -34573,                   -342,                  7840,                              0,                              0,                 57119,,,                 59285,                -23452,               -625718,                -25791,                -45590,                -27513,               -688779,,                  4705,                -53491,                 33661,                -11043,                  1544,                -24624,               -713403,               -656284,               -349084,                  3358,                -51255,                 -8704,               -405685,,                 -2000,                 53033,                              0,                    550,                  6098,                  7052,                -14415,                    670,                   -118,                 -6753,                 34573,                 78690,,              1198104,                              0,               -887208,               -363500,                    250,                              0,                -52354,                 56290,               -323059,              1418952,              1095893,              1095893,,,,,,,,,
3028,2015年01月01日至2015年06月30日,,                197012,                197012,,,                 14302,                  3929,                 -2240,                 -5447,                 32105,                 -2588,                 -4989,                    -78,                 10852,                              0,                              0,                 45846,,,                 75084,                 -8816,                 62144,                -16968,               -352258,                 17492,               -223322,,                  4843,                828876,                 -9166,                -19554,                  1000,                805999,                582677,                628523,                825535,                  2588,                -32688,                 -1957,                793478,,                 -2000,                 53040,                              0,                    550,                  6098,                              0,                 -8501,                    309,                   -319,                 -4978,                  4989,                 49188,,                148111,                              0,,,                    250,                              0,               -738847,                -29628,                 74191,              1418952,              1493143,              1493143,                              0,               -887208,,,,,,,
3028,2015年01月01日至2015年03月31日,,                135012,                135012,,,                  7034,                  1909,                  3829,                 -4765,                 17154,                 -1003,,                   -252,                     -1,,,                 23905,,,                114810,                 16561,                860181,                -13839,                -39388,                 -9587,                928738,,                    563,               -175450,                -11283,                -28075,                    423,               -213822,                714916,                738821,                873833,                  1003,                -19732,                    -25,                855079,,                 -2000,,                              0,,                  6101,,                 -7545,                    304,                    898,                   -595,,                 -2837,,,                              0,,,                              0,,               -878123,                -19296,                -45177,              1418952,              1373775,              1373775,               -717048,               -161075,,,,,,,
3028,2014年度,,                414550,                414550,,,                 28576,                  7992,                 76095,                 -4255,                 81083,                 -5999,                -26350,                   -280,                -27329,                    -59,                 -1890,,,,               -206168,                190966,                542654,                  1106,               -617784,                 29028,                -60198,,                 -1018,               -341997,                 59973,                -34698,                 -7793,               -325533,               -385731,               -258147,                156403,                  5999,                -80030,                -34556,                 47816,,                -12496,,                -11912,                 47843,                  4887,                    870,                 -9600,                  1413,                 -3357,,                 26350,                 38167,,                411598,,,               -213600,                  2160,                 -1655,                169607,                 89148,                344738,              1074214,              1418952,              1418952,,               -128860,,                127584,                              0,                 -5831,                 99964,,
3028,2014年01月01日至2014年09月30日,,                300374,                300374,,,                 21566,                  6044,                 39958,                 -4244,                 60172,                 -4953,                -25415,                     36,                -26864,                    -59,                 -1890,                 64351,,,               -160825,                154646,                -72548,                -17143,               -521482,                 -1251,               -618603,,                  5139,                236819,                 20203,                -18202,                 -6761,                237198,               -381405,               -317054,                -16680,                  4953,                -59424,                -33908,               -105059,,                -12500,                              0,                -11912,                 46903,                  4887,                    870,                 -5061,                    969,                   -772,                 -5633,                 25415,                 43166,,                495903,                -99918,                              0,               -213600,                  1747,                    -17,                184115,                 34867,                157089,              1074214,              1231303,              1231303,,,,,,,,,
3028,2014年01月01日至2014年06月30日,,                196855,                196855,,,                 14500,                  4065,                  2535,                -13420,                 39341,                 -4169,                 -4261,                   -172,                -22009,                    -59,                 -1890,                 14461,,,               -169717,                155281,                 58700,                 -7523,               -220835,                 -5869,               -189963,,                 18233,                121194,                 49149,                -45151,                 -7482,                135943,                -54020,                -39559,                157296,                  4169,                -47084,                 -7410,                106971,,                -10500,                              0,                 -7234,                 38120,                  4887,                    870,                 -2582,                    697,                 -1430,                 -5154,                  4261,                 21935,,                              0,                -99918,,,                  1585,                    -17,               -201904,                 -5708,                -78706,              1074214,                995508,                995508,               -103554,                              0,,,,,,,
3028,2014年01月01日至2014年03月31日,,                114490,                114490,,,                  7460,                  1997,                 -6741,                 -1396,                 21868,                 -1272,,                   -192,                 -1780,,,                 19944,,,                 -6048,                109836,                422125,                   -313,                156947,                -11498,                671049,,                  1124,               -324365,                -27339,                -56261,                    355,               -406486,                264563,                284507,                398997,                  1272,                -20272,                    -57,                379940,,                              0,,                 -7235,,                  4887,,                   -134,                    709,                 -1085,                              0,,                 -2858,,,                -99918,,,                  1285,,               -344118,                 33652,                 66616,              1074214,              1140830,              1140830,               -245485,                              0,,,,,,,
3028,2013年度,,                271863,                271863,,,                 33234,                  8485,                -14117,                -11837,                 59690,                 -4923,                -17355,                   -101,                -48246,                              0,                -15259,,,,                  7091,               -208057,             -1497696,                 -9752,                210266,                 38106,             -1460042,,                 -3007,                 48752,                  6803,                 43936,                  3733,                100217,             -1359825,             -1370254,             -1098391,                  4923,                -58846,                -46144,             -1198458,,                              0,,                -18909,                 63729,                              0,                  2194,                 -6188,                    581,                  1055,,                 17355,                 24285,,              1102700,,,               -278000,                  1682,                              0,                926300,                 56415,               -191458,              1265672,              1074214,              1074214,,                              0,,                -10429,                -29629,                 -5903,                 99918,,
3028,2013年01月01日至2013年12月31日,,                271863,                271863,,,                 33234,                  8485,                -14117,                -11837,                 59690,                 -4923,                -17355,                   -101,                -48246,                              0,                -15259,,,,                  7091,               -208057,             -1497696,                 -9752,                210266,                 38106,             -1460042,,                 -3007,                 48752,                  6803,                 43936,                  3733,                100217,             -1359825,             -1370254,             -1098391,                  4923,                -58846,                -46144,             -1198458,,,,                -18909,,                 63729,                  2194,                 -6188,                    581,,                 -5903,                 17355,                 24285,,              1102700,,                              0,               -278000,                  1682,,                926300,                 56415,               -191458,              1265672,              1074214,              1074214,,,,                -10429,                -29629,,                 99918,                              0,                  1055
3028,2013年01月01日至2013年09月30日,,                374645,                374645,,,                 24876,                  6429,                -16812,                -11462,                 42559,                 -4014,                -17355,                    116,                -48246,                              0,                -14990,,,,                  1377,               -129870,               -725684,                 -6970,                 -3938,                 38863,               -826222,,                 -1690,               -473272,                  7800,                -12537,                 -5788,               -485487,             -1311709,             -1350608,               -975963,                  4014,                -42376,                -44350,             -1058675,,               -100000,,                -18909,                              0,                 63729,                  2194,                 -3594,                     12,                    -79,                 -5685,                 17355,                -75225,,                989774,,,               -278000,                  1327,                              0,                713101,                 36796,               -384003,              1265672,                881669,                881669,,,,                -38899,                -30248,,                              0,,
