證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現銷貨利益（損失）,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加,　　 存入保證金減少,　　 其他投資活動,　　 償還長期借款,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 因合併產生之現金流入,　　 預付設備款減少,　　 員工購買庫藏股,　　　　　 其他營業資產（增加）減少,　　 應付短期票券減少,　　 庫藏股票買回成本,　　 短期借款減少
1530,2015年01月01日至2015年09月30日,,                310158,                310158,,,                 80383,                  3106,                 -4700,                  7240,                 23823,                 -3278,                   -246,                  5964,                  2989,                -40918,                 74363,,,                 42956,                  1261,                -85646,                 38057,                -16508,                  3252,               -186647,                 16315,                -57562,               -244522,,                -88846,                  4030,                 -5692,                   -532,                 -7027,                   -851,                 -1674,                  2131,                -14499,                     -2,               -112962,               -357484,               -283121,                 27037,                  3278,                -86001,                -55686,,                  9537,                 -9211,                -61315,                  3611,                  2409,                 -3782,                 -7602,                 -1143,                -67496,,                 23615,                 22972,                395000,               -323923,                              0,                -23948,                 48015,                141731,                  6594,                 25143,                831447,                856590,                856590,,,,,,,,,,,,,,,,,,,,
1530,2015年01月01日至2015年06月30日,,                113402,                113402,,,                 53671,                  2109,                  7595,                  4000,                 14838,                 -2446,                 -1059,                  4999,                              0,                -40675,                 44035,,,                121985,                  1449,                -23667,                -11052,                -18587,                  3125,               -180801,                -59773,                   -746,               -168067,,                -38230,                    415,                 29112,                 -1549,                  1544,                  9299,                   -300,                 38332,                 -1487,                     -1,                 37135,               -130932,                -86897,                 26505,                  2446,                -52291,                -23340,,                  9537,                 -9211,                -31342,                  1793,                  2313,                              0,                 -7264,                 40087,                  5913,,               -102289,                102997,                395000,               -215385,                              0,                -14582,,                165791,                 -5161,                143203,                831447,                974650,                974650,                  1003,                     50,,,,,,,,,,,,,,,,,,
1530,2015年01月01日至2015年03月31日,,                 94317,                 94317,,,                 24226,                  1100,                   -747,,                  6896,                   -743,                    924,                              0,                  2568,                -40621,                 -6397,,,                 60819,                  1043,                 67938,                 18587,                -92808,                  2035,               -162100,                -26811,                 11933,               -119364,,                -48720,                  1273,                 63264,                 -1549,                -27002,                 -1440,                    426,                     47,                    -54,                     -2,                -13757,               -133121,               -139518,                -45201,                    743,                -25504,                -69962,,,                              0,                -13850,                    326,                  1842,                              0,                 -4996,                    -54,                -16732,,                 64000,                 49971,,,,                 -7181,,                106790,                 -2171,                 17925,                831447,                849372,                849372,,,,,,,,,,,,,,,,,,,,
1530,2014年度,,                361838,                361838,,,                103053,                  4751,                 20592,,                 24095,                 -2846,                 -9344,                   -700,                 -3928,                 -1206,,,,               -148119,                 -1359,               -230182,               -185390,                    107,                  3595,               -135426,                -44640,                  7842,               -733572,,                187334,                 -1581,                 42399,                  1480,                 28357,                  2550,                  6131,                 51479,                 54718,,                372645,               -360927,               -226460,                135378,                  2846,                -48387,                 89837,,,                  3070,               -156343,                  1036,                  2681,                 -1167,                 -6825,                -41162,               -198710,,                274273,                151902,,                 65385,               -183992,                -23920,,                283648,                  8652,                183427,                648020,                831447,                831447,,,,                134467,                   -222,                              0,                              0,,,,,,,,,,,,,
1530,2014年01月01日至2014年09月30日,,                230425,                230425,,,                 77125,                  3538,                  7571,                              0,                 17699,                 -1791,                 -2552,                   -638,                 -3318,                   -898,                 96736,,,               -123782,                   -301,               -122228,                -71895,                 -5274,                  3483,               -203995,                -23708,                -28638,               -576338,,                135694,                 -1153,                 60398,                    604,                -11512,                    782,                  6042,                131285,                 -5149,                      4,                316995,               -259343,               -162607,                 67818,                  1791,                -40575,                 29034,,                              0,                  3070,               -125237,                    714,                  4680,                   -717,                 -7319,                 -7234,               -132043,,                277866,                 19968,                              0,                100000,               -183992,                -17751,                              0,                196091,                  2168,                 95250,                648020,                743270,                743270,,,,,,,,,,,,,,,,,,,,
1530,2014年01月01日至2014年06月30日,,                145968,                145968,,,                 51585,                  2355,                  5682,                              0,                 10698,                 -1297,                   -415,                 -1226,                 -3152,                   -598,                 63632,,,                -61792,                   -782,               -127771,                -70377,                 -8931,                   -664,               -120773,                -20636,                 -3235,               -414961,,                126018,                   -297,                 25181,                     21,                  7061,                    195,                  4610,                 21796,                -16093,                      1,                168493,               -246468,               -182836,                -36868,                  1297,                -22528,                -58099,,                              0,                  3070,               -101001,                    714,                  4588,                   -467,                 -6364,                 -7873,               -107333,,                122600,                     42,                              0,                              0,                     -3,                -10750,,                111889,                 -5585,                -59128,                648020,                588892,                588892,                              0,                              0,,,,,,,,,,,,,,,,,,
1530,2014年01月01日至2014年03月31日,,                 84394,                 84394,,,                 25572,                  1189,                  1486,,                  4889,                   -501,                   -367,                   -415,                 -2754,                   -303,                 28796,,,                -47043,                    116,                -18166,                -24364,                 -8614,                   -173,                -98858,                -17146,                -10747,               -224995,,                 21852,                 -1233,                 85037,                  4266,                -18604,                     10,                  2564,                 19810,                -10459,                              0,                103243,               -121752,                -92956,                 -8562,                    501,                    325,                 -7736,,,                  3070,                -77805,                    714,                  4590,                   -286,                    486,                    563,                -68668,,                 40000,                              0,,,,                 -4835,,                 35165,                 -4413,                -45652,                648020,                602368,                602368,,,,,,,,,,,,,,,,,,,,
1530,2013年度,,                298939,                298939,,,                103283,                  4587,                  3308,,                 15942,                 -2220,                 -4252,                 -4910,                 -3503,                 -1180,,,,                -50718,                    806,                -21853,                190558,                    982,                  7340,               -214282,                -22501,                  7066,               -102602,,                -10750,                    979,                 56116,                    -12,                   -285,                   -159,                 -7643,                 26791,                 10331,,                 75014,                -27588,                 83467,                382406,                  2220,                -74741,                309885,,,                              0,               -293236,                 13662,                  1312,                 -3155,                  9932,                  3441,               -456185,,                154040,                 49757,,                268538,               -137991,                -15568,,                303398,                 19950,                177048,                470972,                648020,                648020,,,,                111055,                   -354,               -188141,                -15378,,,,,,,,,,,,,
1530,2013年01月01日至2013年12月31日,,                298939,                298939,,,                103283,                  4587,                  3308,,                 15942,                 -2220,                 -4252,                 -4910,                 -3503,                 -1180,,,,                -50718,                    806,                -21853,                190558,                    982,                  7340,               -214282,                -22501,                  7066,               -102602,,                -10750,                    979,                 56116,                    -12,                   -285,                   -159,                 -7643,                 26791,                 10331,,                 75014,                -27588,                 83467,                382406,                  2220,                -74741,                309885,,,,               -293236,                 13662,                  1312,                 -3155,,,               -456185,,                154040,                 49757,,                268538,               -137991,                -15568,,                303398,                 19950,                177048,                470972,                648020,                648020,,,,                111055,                   -354,               -188141,                -15378,                  9932,,                              0,                              0,                              0,                              0,                              0,                  3441,                              0,,,,
1530,2013年01月01日至2013年09月30日,,                201463,                201463,,,                 77246,                  3580,                 -1344,,                 11829,                 -1593,                   -729,                 -2365,,                    643,,,,                -73863,                   -191,                -39769,                133334,                -12941,                 15050,               -221198,                -25380,                -19837,               -244795,,                 28180,                     85,                 53364,                    -27,                -12414,                   -989,                 -2956,                  3709,                 -8555,,                 60394,               -184401,                -97134,                104329,                  1593,                -68865,                 37057,,,                              0,                -75482,                  3966,                  6510,                 -3035,                 12835,                  7101,                -48105,,                159040,                -30284,,                 10000,               -137991,                -11557,,                -26170,                 15780,                -21438,                470972,                449534,                449534,,,,                 87267,                     -3,,                -15378,,,,,,,,,,,,,
