證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他金融負債增加,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資性不動產損失（利益）,　　 存出保證金減少,　　 取得無形資產,　　 存入保證金減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 處分投資性不動產,　　 應付租賃款增加,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　　 應收票據－關係人（增加）減少,　　 取得投資性不動產,　　 應收款項減少,　　 其他非流動資產增加,　　 其他投資活動,　　 短期借款減少,　　　　　 應付建造合約款（增加）減少,　　 取得待出售非流動資產,　　 應收款項增加
2023,2015年01月01日至2015年09月30日,,               -903350,               -903350,,,              1120122,                  1144,                    -44,                -16218,                646149,                -54848,                -12323,              1048182,                 29608,                 20743,                -13333,                833837,               -528158,              3074861,,,                112436,               -251488,                248577,                993909,               -151433,                158301,              1095331,               -399865,                 41043,              1846811,,               -631843,               -188910,               -289507,                 23374,                 12819,                -12243,                 21834,                -18091,             -1082567,                764244,              3839105,              2935755,                 55149,                 23423,               -698703,               -313384,              2002240,,                -18373,               -291961,                              0,                              0,               -754938,                 98742,                -89271,                              0,             -4132223,                  1001,                              0,                -32369,                              0,                221409,                  3793,             -4994190,,                913005,                155000,                              0,                              0,                              0,             11424956,             -8440187,                    251,                    621,                   -152,               -333610,               -177671,              3542213,                128937,                679200,              8866805,              9546005,              9546005,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2015年01月01日至2015年06月30日,,               -251459,               -251459,,,                739431,                    874,                    -45,                -25239,                410011,                -33478,                -12023,                518838,                 16759,                 17121,,                784371,               -528102,              1870616,,,                100455,               -231234,                216046,              1018786,                -13582,                104430,                565013,               -322472,                -23599,              1413843,,               -263667,               -206782,                -35216,                  7868,                -59024,                 -3658,                -87469,                -15929,               -663877,                749966,              2620582,              2369123,                 33879,                 23123,               -443601,               -206430,              1776094,,                -18372,                -10000,                              0,,               -442220,                 76427,                -89271,                              0,             -2859732,                    961,,                -47429,                              0,                237503,                  8713,             -3143420,,                535577,,                155000,,,              6894715,             -5218775,                     67,                     32,                 -1258,,               -171487,              2193871,                -37203,                789342,              8866805,              9656147,              9656147,                -17902,,,,,,,,,,,,,,,,,,,,,,,,
2023,2015年01月01日至2015年03月31日,,                 82451,                 82451,,,                370041,                    336,                    -20,                -22512,                202785,                -18815,                 -8792,                116106,                  7309,                  2249,                -10893,                794839,               -528049,                904584,,,                 -8978,                -11483,                -16950,                579129,               -107695,                107138,               -631150,                 30860,                120744,                 61615,,                -96633,                -19864,                 22366,                  8509,               -182624,                -14048,               -130836,                -12204,               -425334,               -363719,                540865,                623316,                 18898,                  8792,               -238985,                -80512,                331509,,                -18372,                -10000,                              0,,               -339016,                 76427,                -89271,,             -1355267,                     51,,                              0,,                  3057,                  4406,             -1729440,,              1552328,                              0,                -75000,,,                356500,             -2023923,                              0,                     28,,,                 -1633,               -192629,                 -6271,             -1596831,              8866805,              7269974,              7269974,,                  1228,                 -2683,                   -114,                   -815,,,,,,,,,,,,,,,,,,,,
2023,2014年度,,              1360318,              1360318,,,              1465649,                  1891,                    392,               -224541,                904339,                -90735,                -17424,                -64601,                 30685,                 12862,                -47364,                128509,                     94,,,,               -551389,              1012028,               -342907,               -569270,               -190489,               -131083,                 49015,               -377129,               -184285,             -1285509,,                375772,                  5939,,                 17837,                 87191,                 20197,                -97812,,                398568,               -886941,                978399,              2338717,                 90370,                 69024,               -939575,               -453812,              1104724,,                -34160,                -15000,,                 25243,               -588135,               -398814,,                363798,             -4715700,                 33461,,                -10052,                -61941,                              0,                 -6948,             -4965605,,                292781,                              0,                -80000,              1551720,             -1344338,             11513881,             -6977559,                  1386,,,               -327068,               -294734,              4337242,                209478,                685839,              8180966,              8866805,              8866805,               -234199,,,,,,                              0,                   -217,              1865340,                -10556,                              0,                              0,                442643,                  1173,,,,,,,,,,,
2023,2014年01月01日至2014年09月30日,,                863649,                863649,,,              1102250,                  1338,                    345,               -220778,                673495,                -64710,                -17420,                -51391,                 22572,                 11008,                    463,                 70671,                    -71,              1527772,,,                    151,              1116975,               -268126,                -75800,               -198364,                 -6736,                138967,               -763585,                192308,                135790,,                -39295,                -32030,                  1692,                 11789,                -18715,                 21588,                -61972,                -10631,               -127574,                  8216,              1535988,              2399637,                 64717,                 69020,               -725612,               -387189,              1420573,,                -23655,                              0,                     37,                 25206,               -903192,                              0,                              0,                363797,             -2966362,                 31973,                 45000,                 -6269,                -22929,                              0,                  3693,             -3452701,,                 66603,                              0,                -80000,              1483290,             -1336693,              3899485,               -653012,                  4651,                    442,                              0,               -327068,               -294468,              2763230,                 43867,                774969,              8180966,              8955935,              8955935,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2014年01月01日至2014年06月30日,,                498853,                498853,,,                741177,                    988,                    -16,               -216687,                463648,                -40812,                -15350,                127257,                 16556,                  8150,,                 35336,                    -16,              1120694,,,                -29414,                896439,               -272154,               -158405,               -102765,                -50039,                 94740,               -642371,                 13425,               -250544,,               -541396,                124437,                 22466,                 20914,                 22274,                    484,                -92683,                 -8825,               -452329,               -702873,                417821,                916674,                 40789,                 15350,               -468624,               -241729,                262460,,                -10991,                              0,                     38,,                              0,                              0,                              0,                363797,             -1783234,                 31372,,                 -9527,                -20004,                              0,                  1233,             -1427316,,              2236940,,                              0,,,              5078176,             -5197085,                  4210,                    220,                              0,,                    954,              2123415,                  1095,                959654,              8180966,              9140620,              9140620,                    463,,,,,,,,,,,,,,,,,,,,,,,,
2023,2014年01月01日至2014年03月31日,,                114353,                114353,,,                381359,                    412,                     -8,                  7961,                227032,                -21427,                -10698,                 94221,                  7653,                  2617,                   -294,                 17668,                     -4,                706492,,,                -48202,               -211088,               -492308,               -205152,                -49636,                 30443,                -42980,               -506589,                -88645,             -1614157,,               -566091,                 -4133,                   -665,                 -2774,               -210582,                  5357,               -227522,                 -4196,             -1010606,             -2624763,             -1918271,             -1803918,                 17604,                 10698,               -254783,                -55438,             -2085837,,                              0,                              0,                     37,,                              0,                              0,                              0,,               -634107,                     35,,                 -5164,,                              0,                  1240,               -637959,,              2430844,                    915,                              0,,,                385971,                              0,                  4134,                    241,,,                      6,              2822111,                 76984,                175299,              8180966,              8356265,              8356265,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
2023,2013年度,,                614556,                614556,,,              1506809,                  1859,                    -22,                 87288,                999831,                -91585,                -16157,                 92260,                 34442,                 16300,                    541,                 63110,                  4741,,,,                 15859,               -102195,                421955,               -237515,                270080,                 23183,               -674031,                345859,                -51501,                 11694,,               -437268,                142208,,                    809,                 91598,                -10863,                261996,,                 40752,                 52446,              2410837,              3025393,                 91916,                 77207,               -988642,                -40112,              2165762,,                -27693,                 -7000,,                              0,               -169096,                              0,,                              0,               -629233,                 67842,,                 -9363,                              0,                 16986,                  7418,                -44149,,              2240722,                 89085,                              0,                              0,                              0,                 78880,             -3191863,                  5016,,,                              0,             -2480688,             -3258640,                 65524,             -1071503,              9252469,              8180966,              8180966,               -123281,,,,,,               -215247,                 -2498,              2358391,                 -7728,                  9401,                458236,                238353,                    208,,,,,,,,,,,
2023,2013年01月01日至2013年12月31日,,                614556,                614556,,,              1506809,                  1859,                    -22,                 87288,                999831,                -91585,                -16157,                 92260,                 34442,                 16300,,                 63110,                  4741,,,,                 15859,               -102195,                421955,               -237515,                270080,                 23183,               -674031,                345859,                -51501,                 11694,,               -437268,                217749,                -75541,,                 91598,                -10863,                261996,,                 40752,                 52446,              2410837,              3025393,                 91916,                 77207,               -988642,                -40112,              2165762,,                -27693,                 -7000,,,               -169096,,,                              0,               -629233,                 67842,,,,                 16986,                  7418,                -44149,,,                 89085,,                              0,,                 78880,             -3191863,,,,                              0,             -2480688,             -3258640,                 65524,             -1071503,              9252469,              8180966,              8180966,               -123281,                 -9363,,                  5016,,,               -215247,                 -2498,              2358391,                 -7728,                  9401,                458236,                238353,                    208,                    541,                              0,,                              0,,                              0,,              2240722,                    809,                              0,                              0
2023,2013年01月01日至2013年09月30日,,                396145,                396145,,,              1124566,                  1337,                   -112,                 64900,                752659,                -62919,                -16157,                 62507,                 26121,                  9345,                              0,                 55945,                  4260,,,,                  2299,               -142490,                431519,               -497538,                228379,                -46838,               -207604,               -164151,               -468568,             -1040081,,               -417517,                117009,                              0,                 -8631,                -27857,                -14280,                153667,,               -207486,             -1247567,                436210,                832355,                 52063,                 74057,               -758215,                -27475,                172785,,                -27005,,                              0,                              0,               -169096,,,                              0,               -653420,                 47098,                              0,                -32091,                              0,                  9485,                  3599,               -115440,,              3734390,                 89423,                              0,                              0,                              0,                 78880,             -1958030,                  3758,                    402,,                              0,                              0,              1948823,                 46860,              2053028,              9252469,             11305497,             11305497,               -123281,,,,,,               -215247,,              1683777,                 -9877,                  9402,                458235,                238353,,                   -147,                              0,               -175089,                              0,                              0,                              0,                              0,,,,
