證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 發放現金股利,　　 員工執行認股權,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 現金增資,　　　　　 遞延貸項增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 應付款項增加,　　 應付租賃款增加,　　 其他金融資產減少
3149,2015年01月01日至2015年09月30日,,             -3946133,             -3946133,,,                958794,                 65503,                  2002,                  7261,                223045,                 -7233,                   -881,               -291142,              2063777,                  1397,              3022523,,,                353094,                -16733,                110055,                 33468,                              0,                479884,,                 -6854,                -63384,                -96784,                 10698,                -15731,                    603,               -171452,                308432,              3330955,               -615178,                  7233,                -86305,                -11520,               -705770,,             -1577031,                  5522,                 -5133,                  1238,             -1575404,,              2929018,             -1730327,                              0,                370154,               -996779,                -36150,                  1766,                537682,                 51312,             -1692180,              4518508,              2826328,              2826328,,,,,,,,,,,,,,
3149,2015年01月01日至2015年06月30日,,             -3375347,             -3375347,,,                690718,                 44247,                 -2616,                -12472,                146402,                 -4908,                 -1672,               -317378,              2056018,                  1397,              2601341,,,                966370,               -136362,               -115467,                -14447,                    -19,                706706,,,               -132284,                 -9948,                -12388,                   -805,                 -5869,               -161294,                545412,              3146753,               -228594,                  4908,                -61736,                -11119,               -296541,,             -1263658,                  5095,                 -4507,               -134430,             -1397500,,              1360358,             -1236505,,                353155,               -690004,                -36150,                 -1613,               -250759,                -37684,             -1982484,              4518508,              2536024,              2536024,                  1605,                  6631,,,,,,,,,,,,
3149,2015年01月01日至2015年03月31日,,               -393082,               -393082,,,                345435,                 21137,                  3305,                -12948,                 74727,                 -2768,                  7178,               -328812,,                  1397,                107069,,,                755432,               -114737,               -183568,                    641,                     -4,                457764,,                  1366,                 47052,                -64465,                 10955,                 -1188,                 -2713,                 -8993,                448771,                555840,                162758,                  2768,                -22164,                 -9756,                133606,,               -678899,                              0,                 -3341,               -183966,               -866206,,                300000,               -441350,,                200000,               -322738,,                   -236,               -264324,                -17775,             -1014699,              4518508,              3503809,              3503809,                 -1582,,,,,,,,,,,,,
3149,2014年度,,             -2172353,             -2172353,,,              1343430,                 77398,                  5820,                 37685,                315335,                -11511,                 58010,                 16879,                526600,,,,,                257617,                  4213,                226777,                 25370,                  8384,                486669,,,                162097,                207971,                -32714,                 21522,,                358876,                845545,              3215191,              1042838,                 11511,                -94140,                  2464,                962673,,             -1413775,                 11293,                -11750,               -246444,             -1660676,,              3777764,             -3074845,                975000,              1670235,             -1445699,,                              0,              1902455,                 55986,              1260438,              3258070,              4518508,              4518508,,                -35692,,              2369646,                              0,                              0,,,,,,,,
3149,2014年01月01日至2014年09月30日,,             -1171690,             -1171690,,,                983825,                 56003,                  8031,                 12243,                223047,                 -9495,                 47473,                  2813,                 31394,                              0,              1355334,,,                251826,                -63759,                -19171,                 10121,                  8377,                187394,,                -15466,                247651,                193692,                -37304,                 14453,                  6710,                409736,                597130,              1952464,                780774,                  9495,                -47809,                 -9096,                733364,,             -1331830,                  7334,                -11011,               -245730,             -1581237,,              2679627,             -2491781,                975000,              1051000,             -1099759,                              0,                  2826,              1116913,                  7701,                276741,              3258070,              3534811,              3534811,,,,,,,,,,,,,,
3149,2014年01月01日至2014年06月30日,,               -874516,               -874516,,,                634068,                 34797,                 -3294,                    117,                146305,                 -5128,                 29099,                  1247,                              0,                              0,                837211,,,                434095,               -158735,                -82835,                -29327,                  8355,                159672,,,                230497,                 82150,                -36374,                  9937,                  8293,                294503,                454175,              1291386,                416870,                  5128,                -30381,                 -8690,                382927,,               -965853,                  4105,                -11122,                    379,               -972491,,              1707946,             -1062514,,                463000,               -767127,                              0,                    448,                341753,                -18903,               -266714,              3258070,              2991356,              2991356,                              0,                -11881,,,,,,,,,,,,
3149,2014年01月01日至2014年03月31日,,               -427926,               -427926,,,                305688,                 15808,                    337,                 12517,                 73568,                 -1207,                 10968,                  1210,,                              0,                418889,,,                496349,               -113411,                 50697,                  1722,                  6298,                441655,,                -17212,                145055,               -145782,                  1848,                -18552,                    -42,                -34685,                406970,                825859,                397933,                  1207,                -30834,                 -8244,                360062,,               -305788,                  3024,                 -3370,                    413,               -305721,,                277973,               -299425,,                363000,               -503366,,                  2765,               -159053,                  1091,               -103621,              3258070,              3154449,              3154449,                              0,,,,,,,,,,,,,
3149,2013年度,,             -1242253,             -1242253,,,              1153875,                 65880,                     15,                 53169,                162735,                -14250,                 16509,                   -384,                              0,,,,,                853367,              1561202,                 11689,                 44294,                    364,              2426127,,,               -716708,                 84581,                 83631,                -32140,,               -580636,              1845491,              3283040,              2040787,                 14250,               -191522,               -454094,              1409421,,             -1816975,                 24719,                 -7258,                 -1214,             -1800728,,              2316361,             -2811427,                              0,              1908600,             -2175475,,                  9231,               -968974,                 73751,             -1286530,              4544600,              3258070,              3258070,,                -44789,,              1437549,               -265526,                 49262,,,,,,,,
3149,2013年01月01日至2013年12月31日,,             -1242253,             -1242253,,,              1153875,                 65880,                     15,                 53169,                162735,                -14250,                 16509,                   -384,,,,,,                853367,              1561202,                 11689,                 44294,                    364,              2426127,,,               -716708,                 84581,                 83631,                -32140,,               -580636,              1845491,              3283040,              2040787,                 14250,               -191522,               -454094,              1409421,,             -2112523,                 24719,                 -7258,,             -2096276,,              2316361,             -2811427,,              1908600,             -2175475,,                 12916,               -669741,                 70066,             -1286530,              4544600,              3258070,              3258070,,                -44789,,              1437549,               -265526,                 49262,,,                              0,,                              0,                295548,,                 -1214
3149,2013年01月01日至2013年09月30日,,               -639301,               -639301,,,                796465,                 53833,                    133,                 41670,                123129,                -11224,                  5896,                    -98,                              0,,,,,                766629,              1061853,               -145862,                 -3161,                    362,              1681876,,,               -631532,                102524,                 20172,                 15781,                   -392,               -494303,              1187573,              2197377,              1558076,                 11224,                -72756,               -268273,              1228271,,             -1610168,                 23749,                -25418,                   -969,             -1612806,,              1605667,             -2107065,                              0,              1171700,             -1399336,,                              0,               -949560,                 63830,             -1270265,              4544600,              3274335,              3274335,,                -45507,,              1009804,               -265526,,                 47562,                   -856,                 45000,,,,,
3149,2013年01月01日至2013年06月30日,,               -211012,               -211012,,,                491516,                 24151,                    633,                 73836,                 80309,                 -8286,                              0,                    111,,,,,,                283038,                806735,               -563390,                410034,                     36,                849677,,,               -375779,                145004,                 -5562,                  3820,,               -283342,                566335,              1228605,              1017593,                  8286,                -91579,               -175460,                758840,,             -1376188,                     24,                -20966,                 -1125,             -1398255,,                797606,             -1009088,,                342700,               -491578,,                  5053,               -355307,                 77191,               -917531,              4544600,              3627069,              3627069,,                -58284,,                662270,,,                -28492,                -50610,,                   -215,                              0,                              0,                              0,
3149,2013年01月01日至2013年03月31日,,                177080,                177080,,,                220494,                 12204,                  1583,                 50493,                 40394,                 -5057,                              0,                     65,,,,,,               -559870,                269870,                 -9785,                -61023,                  1269,               -359539,,                -39955,                391387,                 -3681,                   -262,                  2949,                 -4307,                346131,                -13408,                306768,                483848,                  5057,                -23986,                -23975,                440944,,               -883579,                    932,                 -2712,                   -801,               -886160,,                288017,               -620471,,                230329,               -284483,,                  3860,               -382748,                 45818,               -782146,              4544600,              3762454,              3762454,,,,                320176,,,,,,,,,,
3149,2012年01月01日至2012年12月31日,,                862126,                862126,,,                609077,                 11363,                -12567,                -38605,                 79680,                -12490,                 18300,                 -1846,,,,,,               -529033,             -1527214,                 87244,               -214663,                   -517,             -2145618,,,                389096,                234072,                    947,                 31354,,                655469,             -1490149,               -837237,                 24889,                 12490,                -84631,               -157021,               -204273,,             -4220644,                389675,                -32634,,             -3923981,,              2902125,             -2341968,,              3312854,             -1982202,,                     10,              4320652,                -47794,                144604,              4399996,              4544600,              4544600,,                 38565,,                652912,               -423946,                              0,,,              2515000,,                -61521,                338779,,                  1143
3149,2012年01月01日至2012年09月30日,,                616248,                616248,,,                407729,                 25394,                -13943,                -27341,                 38761,                 -9736,                              0,                    289,,,,,,               -282225,               -990661,                -43452,                299754,                              0,               -700288,,,                623767,                 19074,                   -317,                 27977,                      8,                532230,               -168058,                253095,                869343,                  9736,                -47390,               -160712,                670977,,             -3777834,                377773,,,             -3454611,,              1879965,             -1533062,,              1491304,               -368754,,                 -1051,              1044456,                -41207,             -1780385,              4399996,              2619611,              2619611,,                 11865,,                421153,               -423946,,                304431,               -138279,                              0,,                -56545,                              0,,                  1995
3149,2012年01月01日至2012年06月30日,,                439615,                439615,,,                267828,                 15976,                 -7729,                 -2657,                 28137,                 -8527,,                   -735,,,,,,                579941,               -523479,                 57915,               -217979,                              0,               -117416,,                  5434,                439978,                109820,                   -384,                118626,,                542551,                425135,                717428,              1157043,                  8527,                -29788,                -96764,              1039018,,             -1921971,                377773,,                   -267,             -1583446,,                479624,               -682274,,                924920,               -197699,,                  3320,                527891,                -40812,                -57349,              4399996,              4342647,              4342647,,,,                292293,,,                -13814,               -130497,,                   -426,                -38981,                              0,                              0,
