證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 處分備供出售金融資產,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 短期借款增加,　　 庫藏股票處分,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　 取得無活絡市場之債券投資,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 存入保證金減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 其他應收款－關係人增加,　　 處分無活絡市場之債券投資
2492,2015年01月01日至2015年09月30日,,              1083553,              1083553,,,                789104,                  8360,                    -28,                 35725,                 67030,                -49047,                -42566,                  3540,               -214807,                  1671,                              0,                -87639,                 -2523,                -20317,                  6345,                  3326,                498174,,,                 13591,                -30992,               -665671,                  2903,                -16804,                 13403,                262207,                 86664,                  7258,               -327441,,                -39663,                  3281,                  4729,                -32999,                 -2984,                 22950,                -44686,               -372127,                126047,              1209600,                 60403,                 97924,                -67119,                -23555,              1277253,,                258523,                -38808,                202927,                251202,                  2730,                              0,                              0,               -624101,                 51351,                 21277,                 -3792,                 69334,                190643,,               -961279,               -199701,                270000,                -35465,               -204920,               -106160,                 71724,                -54843,             -1220644,                 78222,                325474,              1845907,              2171381,              2171381,,,,,,,,,,,,,,,,,,,
2492,2015年01月01日至2015年06月30日,,                566726,                566726,,,                531854,                  5895,                    -25,                 -4858,                 45581,                -34472,                 -1750,                  3540,               -167875,                    345,                              0,                -48584,                  1785,                              0,                -29825,                  2443,                304054,,,                  7294,                -44225,                120608,                  1308,                    706,                 12758,                150880,                 54982,                  2169,                306480,,                -37324,               -118804,                  4786,                -58292,                 -1085,                -23602,               -234321,                 72159,                376213,                942939,                 35389,                    346,                -55697,                -12141,                910836,,                248886,                 -1272,                245640,,                              0,                              0,                              0,               -383018,                  8108,,                 -3792,                 69334,                214135,,,                              0,                270000,                -36238,,                -75037,,                -13068,               -640846,               -184432,                299693,              1845907,              2145600,              2145600,                              0,                 10479,                 19770,                              0,               -858227,                 71724,,,,,,,,,,,,,
2492,2015年01月01日至2015年03月31日,,                177182,                177182,,,                270996,                  2982,                     -3,                 -3836,                 26739,                -20521,                              0,                  3540,                  7928,                  1680,                              0,                -23947,                 -2116,,                -17773,                  1512,                247181,,,                277818,                  8074,                235533,                  1926,                -12942,                  6246,                -12429,                 27061,                   -970,                530317,,                 -6688,               -172676,                 14190,               -186741,                 -4566,                -21451,               -377932,                152385,                399566,                576748,                 27019,                              0,                -26289,                 -3996,                573482,,                              0,                   -530,                251374,,,,                              0,               -198019,                  8093,                 17922,,                 69334,                148174,,               -233614,                              0,                              0,                -27961,,                -48708,                 71724,                 -9419,               -247978,                -87981,                385697,              1845907,              2231604,              2231604,,,,,,,,,,,,,,,,,,,
2492,2014年度,,                700112,                700112,,,              1341188,                 11015,                     -5,                -32390,                100569,               -116275,                -32843,                 42148,                -78678,                 -4988,                 -2415,                -34780,                  7435,,                  4919,                 12020,,,,             -1780641,                -27375,               -633490,                  2442,                -27458,                 -6848,               -550615,                910657,                   -641,             -2113969,,                  6604,                470310,                -15960,                200270,                 16644,                  3236,                681104,             -1432865,               -215945,                484167,                109495,                 32843,               -102035,                -43667,                480803,,               -255257,                -36991,,               -251202,                  1200,               -844352,                 55532,               -610216,                 67284,,                              0,                103539,             -1544383,,                              0,                 39704,               -683687,                 26143,,               -224235,                132892,                 11067,                -49742,                375153,               -738169,              2584076,              1845907,              1845907,,                              0,                -29966,,                648374,,,                              0,                              0,              1216920,                              0,                256046,                              0,                              0,                              0,                              0,,,
2492,2014年01月01日至2014年09月30日,,                436049,                436049,,,              1045604,                  8128,                     62,                -16935,                 77287,                -94042,                -32398,                 42148,                -35216,                 -6869,                 -2401,                -23630,                  9128,                  6942,                 18614,                  8961,              1005383,,,             -1377016,                -38499,               -622674,                  2021,                -16487,                  4359,               -227894,                807449,                 -2008,             -1470749,,                -25488,                690787,                 -7186,                 84794,                 57116,                  2360,                802383,               -668366,                337017,                773066,                 94439,                 32398,                -78642,                -39516,                781745,,               -148571,                -23496,               -127590,               -242138,                  1200,               -429983,                 55205,               -383465,                 63314,                 -3914,                              0,                -32184,             -1271622,,                278157,                 39789,               -680218,                 -3711,                              0,               -192749,                132892,                 11067,               -414773,                156333,               -748317,              2584076,              1835759,              1835759,,,,,,,,,,,,,,,,,,,
2492,2014年01月01日至2014年06月30日,,                 83972,                 83972,,,                728381,                  5464,                     62,                 -8564,                 52456,                -69028,                   -560,                 42148,                  3450,                 -6802,                 -2407,                -13171,                  8391,                              0,                -45052,                  5989,                700757,,,               -716163,                -15493,               -193214,                  3288,                 -1601,                  1561,                 15193,               -153414,                -10208,             -1070051,,                -27640,                352641,                  8440,                -70432,                 13808,                  2903,                279720,               -790331,                -89574,                 -5602,                 36841,                    560,                -52476,                -15893,                -36570,,               -298803,                   -598,                211888,,                  1200,                -54666,                 55349,               -224434,                 32748,,                              0,                -26918,               -308212,,,                 39702,               -387500,                 -3775,,                -72387,,                              0,                234530,                -67861,               -178113,              2584076,              2405963,              2405963,                              0,                              0,                 -3978,                              0,                525598,                132892,,,,,,,,,,,,,
2492,2014年01月01日至2014年03月31日,,                 -8809,                 -8809,,,                377968,                  2482,                              0,                 -1408,                 25612,                -31281,                              0,                              0,                 14193,                 -3789,                 -2424,                              0,                  3195,,                 37720,                  3020,                425288,,,               -297016,                 -4881,                184411,                  3011,                -36173,                  4811,                 -7206,                215983,                -26085,                 36855,,                 -2160,                170409,                -13974,               -228999,                 39756,                  7926,                -27042,                  9813,                435101,                426292,                 20112,                              0,                -24385,                 -1531,                420488,,               -297130,                   -604,                -25110,,,,                 55739,               -108069,                  3375,                 -4430,,                -39840,               -416069,,                373920,                 39885,               -430845,                  4370,,                -72387,                              0,                              0,                -85057,                 60992,                -19646,              2584076,              2564430,              2564430,,,,,,,,,,,,,,,,,,,
2492,2013年度,,               -450123,               -450123,,,              1749239,                 10131,                 -5096,                    380,                105397,                -95958,                -21168,                              0,                195783,                 -2312,                              0,                   -835,                  5104,,                 23209,                 10390,,,,               -221189,                 27097,               -376832,                -26542,                 -6873,                 -4620,                -75107,               -758971,               -227358,             -1670395,,               -131213,                126064,                  2692,                254423,                -42665,                139341,                348642,             -1321753,                637245,                187122,                132950,                 58160,               -124872,                -22706,                230654,,                              0,                 -3187,,                              0,                  5238,                              0,                              0,               -396559,                 36715,,                              0,                  4567,               -588360,,                              0,                290037,             -1398721,                  3096,,                -52380,                              0,                -10837,               -480401,                425778,               -412329,              2996405,              2584076,              2584076,,                  1500,                 11403,,                688404,,,                -15266,                              0,              1958998,                              0,               -220253,                              0,                              0,                -27784,                              0,,,
2492,2013年01月01日至2013年12月31日,,               -450123,               -450123,,,              1749239,                 10131,                 -5096,                    380,                105397,                -95958,                -21168,,                195783,                 -2312,,                   -835,                  5104,,                 23209,                 10390,,,,               -221189,                 27097,               -376832,                -26542,                 -6873,                 -4620,                -75107,               -758971,               -227358,             -1670395,,               -131213,                126064,                  2692,                254423,                -42665,                139341,                348642,             -1321753,                637245,                187122,                132950,                 58160,               -124872,                -22706,                230654,,,                 -3187,,,                  5238,                              0,,               -396559,                 36715,,                              0,                  4567,               -588360,,                              0,                290037,             -1398721,                  3096,,                -52380,,                -10837,               -480401,                425778,               -412329,              2996405,              2584076,              2584076,,                  1500,                 11403,,                688404,,,                -15266,                              0,              1958998,                              0,               -220253,                              0,                              0,                -27784,                              0,,,
2492,2013年01月01日至2013年09月30日,,               -367227,               -367227,,,              1353688,                  7589,                 -6457,                  2653,                 81044,                -69450,                -20583,                              0,                106209,                 -7208,                              0,                   -835,                  9953,,                  3604,                  7916,,,,                 -2297,                 17461,               -364524,                -14009,                  9766,                -10712,               -255813,                -42456,               -218234,               -880818,,               -163660,                358020,                 13528,                 86713,                -28716,                142434,                410162,               -470656,                982201,                614974,                101867,                 57575,                -95735,                -17609,                661072,,,                 -2326,,                              0,                  3737,                              0,                              0,               -269331,                 32452,                  8227,,                 -2392,               -238881,,                487718,                249885,             -1151847,                 14568,,                -52380,                              0,                -10838,               -462894,                270806,                230103,              2996405,              3226508,              3226508,                  1843,                  1599,,,,,,                -15266,,              1452857,,                 16937,,,                -27784,,                              0,,
