證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得子公司股權,　　　　　 應收帳款－關係人（增加）減少,　　 取得無活絡市場之債券投資,　　　　　 其他金融負債增加（減少）,　　 取得備供出售金融資產,　　 償還長期借款
1233,2015年01月01日至2015年09月30日,,                165223,                              0,                165223,,,                 44339,                  1694,                    511,                   -210,                -12810,                    848,                    493,                              0,                              0,                 34865,,,                   -232,                 39013,                 -1396,                  2067,                 -2069,                   -622,                 15236,                 51997,,                 -4719,                 16885,                -36947,                 -8008,                  3937,                  1469,                 -2093,                              0,                -29476,                 22521,                 57386,                222609,                    210,                   -394,                -42947,                179478,,                              0,                 -9690,                              0,                -88709,                  1154,                 -4993,                  3098,                    -72,                 12810,                -86402,,                174000,               -115000,                    534,                   -146,               -191487,                              0,                -10111,               -142210,                 -1670,                -50804,                202105,                151301,                151301,,,,,,,,,,,
1233,2015年01月01日至2015年06月30日,,                112658,                              0,                112658,,,                 28833,                  1130,                    222,                   -184,                 -9221,,                    463,                              0,                              0,                 21243,,,                  1045,                 41554,                 -6193,                 25292,                  4590,                 -2756,                 -9928,                 53604,,                 -2098,                  2352,                -43386,                 -9760,,                  1046,,                    889,                -50957,                  2647,                 23890,                136548,                    184,                   -222,                -21263,                115247,,                              0,,                              0,                -42486,                    688,                 -2272,                    190,                    -73,                  9221,                -34732,,                 24000,                -60000,                    534,                   -146,                 -1244,                              0,                              0,                -36856,                   -864,                 42795,                202105,                244900,                244900,,,,,,,,,,,
1233,2015年01月01日至2015年03月31日,,                 72792,                              0,                 72792,,,                 14423,                    565,                    198,                    -69,,,                    -20,,                              0,                 15097,,,                   -427,                 18092,                    979,                 26045,                  1993,                 -2110,                 -7598,                 36974,,                -24777,                  3611,                -61708,                 -3502,,                    625,                 -3325,                    411,                -88665,                -51691,                -36594,                 36198,                     69,                   -148,                   -210,                 35909,,,,                              0,                -10289,                    170,                 -1925,                              0,                              0,,                -12044,,                 15000,                -30000,                    534,,,,,                -14466,                 -1096,                  8303,                202105,                210408,                210408,,,,,,,,,,,
1233,2014年度,,                278652,,                278652,,,                 60699,                  2184,                    605,                   -547,                -12952,,                  1308,                   -224,                 -6519,,,,                    245,                 -5609,                 -1290,                -33675,                 -1117,                    293,                 -3846,                -44999,,                 -2138,                 -8841,                 -4969,                  2456,                 -1770,,,,                -16612,                -61611,                -17057,                261595,                    547,                   -665,                -45622,                215855,,,,                 -6150,                -52480,                    769,                   -881,                  1101,                 -2114,                 12952,                -41823,,                 55000,                -50000,                    412,,               -209726,                  1903,                              0,               -192513,                  1223,                -17258,                219363,                202105,                202105,,                 44554,                 -1350,                  4980,                              0,                  9898,,,,,
1233,2014年01月01日至2014年09月30日,,                220760,                              0,                220760,,,                 45727,                  1620,                    311,                   -357,                 -9559,                              0,                  1287,                   -224,                 -6519,                 32286,,,                     16,                 43265,                   -334,                -21741,                 -2508,                   -786,                   -421,                 17491,,                -26022,                 14061,                -49491,                 -2052,                 -1621,                    570,                 -1337,                              0,                -65892,                -48401,                -16115,                204645,                    357,                   -270,                -44825,                159907,,                 -4131,                              0,                 -6150,                -40061,                    624,                   -881,                    527,                 -2115,                  9559,                -42628,,                135000,                -80000,                              0,                              0,               -209726,                  1903,                  9256,               -143567,                    303,                -25985,                219363,                193378,                193378,,,,,,,,,,,
1233,2014年01月01日至2014年06月30日,,                160179,                              0,                160179,,,                 30516,                  1055,                     73,                   -267,                 -8339,,                    746,                   -118,                 -6519,                 17147,,,                   -101,                 24504,                   -798,                   -498,                  3721,                 -1946,                 18009,                 42891,,                 -3935,                  2210,                -47818,                 -3678,,                    570,,                 -1002,                -53653,                -10762,                  6385,                166564,                    267,                   -133,                -22235,                144463,,                -12909,,                 -6150,                -35232,                    575,                   -701,                    173,                 -2115,                  8339,                -48020,,                              0,                -40000,                              0,                              0,                 -1364,                    944,                  4602,                -35818,                    297,                 60922,                219363,                280285,                280285,,,,,,,,,,,
1233,2014年01月01日至2014年03月31日,,                100281,                              0,                100281,,,                 15093,                    487,                     73,                    -46,,,                   -321,,                 -6519,                  8767,,,                 -6580,                 43306,                   -436,                 26941,                  1689,                     72,                 14245,                 79237,,                -24622,                 -8104,                -69412,                   -918,,                    303,                 -3582,                  1052,               -105283,                -26046,                -17279,                 83002,                     46,                   -133,                   -880,                 82035,,,,                 -6150,                -29001,                    345,                   -262,                     65,                 -2114,,                -37117,,                              0,                -40000,                              0,,,,,                -40000,                    317,                  5235,                219363,                224598,                224598,,,,,,,,,,,
1233,2013年度,,                277692,,                277692,,,                 57099,                    629,                    491,                   -413,                -13724,,                    835,                              0,                 -4473,,,,                  5810,                 10164,                    522,                 -2575,                   -477,                   -649,                -18673,                 -5878,,                 -6023,                 -4433,                 27803,                  7731,                  1043,,,,                 25911,                 20033,                 60477,                338169,                    413,                   -453,                -46963,                291166,,,,                 -2563,                -49954,                  1502,                 -2610,                  1833,                 -6492,                 13724,                -33973,,                 20000,                -30000,                              0,,               -210025,                              0,                -12174,               -220172,                   -375,                 36646,                182717,                219363,                219363,,                 40444,                   -210,                  9960,                    627,                 12027,,,,,
1233,2013年01月01日至2013年12月31日,,                277692,,                277692,,,                 57099,                    629,                    491,                   -413,                -13724,,                    835,,                 -4473,,,,                  5810,                  9620,                    522,                 -2575,                   -477,                   -649,                -18673,                 -5878,,                 -6023,                 -4433,                 27803,                  2940,                  1043,,                  4791,,                 25911,                 20033,                 60477,                338169,                    413,                   -453,                -46963,                291166,,,,                  2816,                -49954,                  1502,                 -2610,                  1833,                 -6492,                 13724,                -28594,,                 20000,                -30000,                              0,                              0,               -210025,,                 -4176,               -225551,                   -375,                 36646,                182717,                219363,                219363,,                 40444,                   -210,                  9960,                    627,                 -1350,                    544,                              0,,                              0,                              0
1233,2013年01月01日至2013年09月30日,,                220750,,                220750,,,                 42484,                    305,                    314,                   -244,                -13200,,                    816,                              0,                              0,,,,                    129,                 37583,,                 17924,                 -3224,                   -989,                -24117,                 22231,,                -11851,                  5592,                -22798,                  2981,                    245,,,,                -26152,                 -3921,                 26554,                247304,                    244,                   -314,                -46728,                200506,,,,                              0,                -20845,                  1502,                 -1033,                    962,                    -99,                 13200,                -12273,,                              0,                -10000,,,               -210025,                              0,                              0,               -220025,                   -405,                -32197,                192677,                160480,                160480,,                 30475,                   -321,,,,                 -5075,                 -5960,,,
1233,2013年01月01日至2013年06月30日,,                144216,                              0,                144216,,,                 28665,                    220,                              0,                   -212,                 -8833,,                    858,                              0,                              0,,,,                    402,                 41248,,                 21634,                    687,                    -25,                    216,                 64461,,                -29537,                   -875,                -22113,                    275,                    208,,,,                -49721,                 14740,                 35438,                179654,                    212,                              0,                -23112,                156754,,,,                              0,                -13624,                    279,                   -858,                    900,                    -99,                  8833,                -10529,,,                -50000,,,                 -1440,                              0,                              0,                -51440,                     85,                 94870,                192677,                287547,                287547,,                 20698,                   -342,,,,                    299,                 -5960,                  2663,,
1233,2013年01月01日至2013年03月31日,,                 82973,                              0,                 82973,,,                 14410,                    109,                    144,                    -59,,,                    524,,                              0,,,,                   -756,                 15292,                    155,                 27245,                    794,                   -224,                    246,                 42752,,                -25095,                    -33,                -38605,                   -476,,,                  1840,                    982,                -61185,                -18433,                 -3305,                 79668,                     59,                   -144,                   -238,                 79345,,,,                              0,                 -8120,                     91,                   -253,                    100,                              0,,                 -3202,,,                -50000,,,,,,                -50000,                    246,                 26389,                192677,                219066,                219066,,                 15128,                    202,,,,,                  4980,,,
1233,2012年01月01日至2012年12月31日,,                286767,,                286767,,,                 54002,                  1158,                    484,                   -461,                -19308,,                    727,,                              0,,,,                   -760,                  5383,                   -706,                  4537,                   -482,                    223,                    119,                  6786,,                 -6837,                  3075,                -27912,                 -1820,                  1364,,                 -4559,,                -38855,                -32069,                  4533,                291300,                    461,                   -462,                -61732,                229567,,,,                              0,                -43843,                  1164,                 -2315,                  2732,                   -193,                 19308,               -122813,,                 50000,                              0,                    579,                   -416,               -209761,,                              0,               -159736,                    -59,                -53041,                235758,                182717,                182717,,                 36602,                 -2166,                              0,                              0,                              0,                 -1528,                 -9960,,                -89706,                   -138
1233,2012年01月01日至2012年09月30日,,                245246,,                245246,,,                 40037,                  1007,                    259,                   -317,                -19304,,                    334,,,,,,                   -427,                 24908,                 -5793,                 24342,                 -1644,                    469,                 -3779,                 38076,,                -12507,                  9947,                -51801,                 -1159,                    579,,,,                -56245,                -18169,                  3847,                249093,                    317,                   -278,                -61470,                187662,,,,,                -27739,                    735,                 -1600,                  2320,                   -193,                 19304,               -106839,,                 50000,                              0,                    579,                   -132,               -209761,,,               -159427,                     46,                -78558,                235758,                157200,                157200,,                 22016,                 -1304,,,,,                 -9960,,                -89706,                   -113
1233,2012年01月01日至2012年06月30日,,                160388,,                160388,,,                 26385,                    711,                      9,                   -251,                -14390,,                   -216,,,,,,                   -123,                    674,                 -2084,                 31506,                  2319,                    486,                 -3232,                 29546,,                -18320,                 -4104,                -45514,                 -3652,                  3366,,,,                -69037,                -39491,                -27243,                133145,                    251,                     -9,                -36640,                 96747,,,,,                -18528,                    580,                   -591,                    576,                    -50,                 14390,               -103289,,,                              0,,                     -1,                 -1400,,,                 -1477,                   -164,                 -8183,                235758,                227575,                227575,,                 12248,                   -813,,,,,                 -9960,,                -89706,                    -76
1233,2012年01月01日至2012年03月31日,,                 78867,                              0,                 78867,,,                 13207,                    354,                      4,                    -46,,,                    -84,,,,,,                   -900,                 46886,                   -874,                 35075,                    862,                    279,                    -25,                 81303,,                -43881,                  4615,                -62732,,                  1219,,,,               -101081,                -19778,                 -6343,                 72524,                     46,                     -4,                 -1311,                 71255,,,,,                -10479,                    305,,                    259,,,                -14895,,,                    -36,,                     -1,,,,                    -37,                    156,                 56479,                235758,                292237,                292237,,                 13435,                   -302,,,,,                 -4980,,,
