證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 無活絡市場之債務工具投資到期還本,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 取得子公司股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產減少,　　　　 金融資產減損損失,　　　　　 應付票據增加（減少）,　　　　　 其他金融負債增加（減少）,　　 其他籌資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
6282,2015年度,,                834766,                834766,,,                497887,                 25961,                 11852,                              0,                  7051,               -104235,                 29482,                  4942,                    680,                              0,                  3797,                477417,,,                              0,                -20300,               -113070,                              0,                401175,                644175,                333578,                  8690,                 26440,                  2678,              1283366,,                              0,                 21773,               -289233,                    -93,               -288987,                 -9193,                              0,               -565733,                717633,              1195050,              2029816,                110226,               -141573,              1998469,,                200000,                              0,               -341478,                  5257,                -90320,                              0,                 -6010,                 14084,                              0,               -218467,,               -241921,                   -188,               -840495,                 45523,               -237871,                              0,                 -7281,             -1282233,                -18673,                479096,              2665388,              3144484,              3144484,,,,,,,,,,,
6282,2015年01月01日至2015年09月30日,,                625932,                625932,,,                372294,                 21424,                 13631,               -396887,                  6494,                -85676,                 13175,                  3728,                    487,                              0,                  1832,                -49498,,,                              0,               -101384,                -17763,                              0,                309872,                355237,                374595,                  9618,                  4286,                    739,                935200,,                              0,                 92926,               -539013,                    -81,               -269769,                 -6610,                              0,               -722547,                212653,                163155,                789087,                 85059,               -106892,                767254,,                200000,                              0,               -263949,                  1120,                -91319,                              0,                 -4561,                 15046,,               -143663,,                -11179,                   -225,               -840495,                 39641,               -237871,                              0,                 -6964,             -1057093,                 36211,               -397291,              2665388,              2268097,              2268097,                              0,,,,,,,,,,
6282,2015年01月01日至2015年06月30日,,                270569,                270569,,,                246840,                 15355,                  6807,                              0,                  6332,                -63456,                  7861,                  2779,                    199,                              0,                   -370,                222347,,,,                -11895,                  2155,                              0,                728345,                331458,                367900,                 29984,                -24118,                  1113,              1424942,,,                  8217,             -1034620,                    -12,               -321182,                 -4364,                              0,             -1351961,                 72981,                295328,                565897,                 68237,                -32279,                601855,,                200000,                              0,               -220611,                    287,                -28360,,                 -3420,                  2742,,                -49362,,                              0,                   -240,,                 36379,,,                 -5723,                182571,                -38392,                696672,              2665388,              3362060,              3362060,                152155,,,,,,,,,,
6282,2015年01月01日至2015年03月31日,,                155070,                155070,,,                121960,                  8178,                   -196,                              0,                  4675,                -33720,                    421,                    932,                    256,,                   -293,                102213,,,,                -10082,                    530,                              0,                638627,                179689,                162789,                 35482,                 11628,                    545,              1019208,,,                  5667,               -679543,                    199,               -225138,                 -2228,                              0,               -901043,                118165,                220378,                375448,                 28392,                -27466,                376374,,,                              0,               -130077,                     91,                -27596,,                   -711,                -19462,,               -177755,,                              0,                    -16,,                 32630,,,                 -3889,                492021,                -15514,                675126,              2665388,              3340514,              3340514,                463296,                              0,,,,,,,,,
6282,2014年度,,              1387492,              1387492,,,                464239,                 46320,                 -5577,                 -3955,                 15731,               -198745,                  6288,                  7832,                   -488,                 -6174,                 -1213,                324258,,,                              0,                 10813,                 -5953,                  4531,                432845,               -642548,               -309972,                -43021,                -26655,                   -900,               -580860,,                              0,                 -2955,                 56362,                     27,                 24838,                 -8009,                              0,                 70263,               -510597,               -186339,              1201153,                201322,               -396902,              1005573,,                              0,                -47744,               -622010,                 39386,                -40057,                              0,                -19977,                -23629,                              0,               -714031,,               -156608,                    455,               -936454,                 76013,                              0,                -80946,                -15523,             -1113063,                 77419,               -744102,              3409490,              2665388,              2665388,,,,,,,,,,,
6282,2014年01月01日至2014年09月30日,,              1057086,              1057086,,,                344558,                 36883,                 -2683,                 -3955,                 11772,               -160222,                  4614,                  8913,                   -638,                 -6174,                  4298,                237366,,,                              0,                  7411,                 -1277,                  4531,                  5099,               -401870,               -561695,                 -7915,                -24193,                   -300,               -980209,,                              0,                    145,                739325,                    105,                 -6747,                 -4975,                 11719,                739572,               -240637,                 -3271,              1053815,                152604,               -327430,                878989,,                              0,                -47744,               -479527,                 39112,                -45977,                              0,                -17668,                -24503,,               -576307,,                              0,                   -218,               -936454,                 52464,                              0,                -80946,                -11746,               -964473,                   -786,               -662577,              3409490,              2746913,              2746913,                 12427,,,,,,,,,,
6282,2014年01月01日至2014年06月30日,,                659436,                659436,,,                228998,                 25620,                  2328,                    122,                  7319,               -111297,                  2522,                 17083,                   -909,                 -6174,                  2427,                168039,,,,                 16726,                -13865,                  4531,               -163807,               -399377,               -288457,                -49256,                    970,                    -29,               -892564,,,                 -8609,                505907,                    -15,                 -5851,                 -3202,                 -9581,                478649,               -413915,               -245876,                413560,                104682,               -216122,                302120,,                              0,                -40079,               -255790,                 11708,                -33747,,                -10784,                -25343,,               -354035,,               -241801,                   -440,,                 27773,,,                 -7387,               -221855,                -19936,               -293706,              3409490,              3115784,              3115784,                              0,,,,,,,,,,
6282,2014年01月01日至2014年03月31日,,                256318,                256318,,,                113410,                 13045,                  2857,                  8055,                  3099,                -54176,                    345,                  4283,                   -825,,                  1696,                 91789,,,,                 13551,                     86,                  3375,                698007,                -30702,               -170344,                -28362,                -12224,                   -325,                473062,,,                 -8245,               -349085,                    -43,               -160744,                 -1669,                 -1275,               -521061,                -47999,                 43790,                300108,                 59403,                -17936,                341575,,,                -40078,               -149349,                  8885,                 -6751,,                 -7732,                   -612,,               -195637,,               -248327,                              0,,                 23696,,,                 -3239,               -227778,                  2696,                -79144,              3409490,              3330346,              3330346,                              0,                     92,,,,,,,,,
6282,2013年度,,              1522071,              1522071,,,                409224,                 83542,                 99168,                 37800,                  7268,               -150753,                 18414,                  5078,                  1848,                              0,                 11721,,,,               -133287,                   -537,                   -398,                 -3794,                183588,                 97406,                177259,                  2364,                -56023,                  1678,                268256,,                158035,                 -3174,               -177750,                    -71,                143209,,,                117546,                385802,                909112,              2431183,                 91646,               -161547,              2361282,,,                -51900,               -512226,                 10165,                              0,                  1176,                -25495,                 -2431,                     73,               -580638,,,                    144,               -772532,                 82715,,                              0,                 -7283,               -773521,                 74175,              1081298,              2328192,              3409490,              3409490,                -76565,,,                523310,                 -2703,,,,,,
6282,2013年01月01日至2013年12月31日,,              1522071,              1522071,,,                409224,                 83542,                 99168,                 37800,                  7268,               -150753,                 18414,                  5078,                  1848,,                 11721,,,,               -133287,                   -537,                   -398,                 -3794,                183588,                 97406,                177259,                  2364,                -56023,                  1678,                268256,,                158035,                 -3174,               -177750,                    -71,                143209,,,                117546,                385802,                909112,              2431183,                 91646,               -161547,              2361282,,,                -51900,               -512226,                 10165,                              0,                  1176,                -25495,,                     73,               -580638,,,                    144,               -772532,                 82715,,,                 -7283,               -773521,                 74175,              1081298,              2328192,              3409490,              3409490,                -76565,,,                523310,                 -2703,                 -2431,                              0,                              0,,,
