證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動負債增加,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產減少
2702,2015年01月01日至2015年09月30日,,                 81323,                 81323,,,                 94557,                  5860,                 17796,                 -1801,                  2254,                  4346,                123012,,,                     12,                -15101,                -32870,                    479,                 -2429,                     63,                              0,                              0,                -49846,,                    107,                 -4220,                 20847,                 -1828,                   -913,                 13993,                -35853,                 87159,                168482,                  1801,                -17455,                 -1335,                151493,,               -340374,                446828,             -1406824,                 -1989,               -343455,                              0,                 36072,                    -24,                              0,             -1609766,,                827977,                  4000,                453568,                -33917,                              0,                -13512,              1238116,                -29533,               -249690,                540537,                290847,                290847,,,,,,,,
2702,2015年01月01日至2015年06月30日,,                 49236,                 49236,,,                 60934,                  2613,                 10531,                 -1249,                    928,                 -3059,                 70698,,,                    304,                 -6152,                -31180,                     68,                 -1204,                     93,,                              0,                -38071,,                    253,                 -1956,                -13525,                 -1841,                     36,                -17033,                -55104,                 15594,                 64830,                  1249,                -10609,                 -1374,                 54096,,               -337559,                244019,                -33704,                    -38,                              0,                 34821,,                      3,                              0,                -92458,,                              0,                 -2000,                 70000,                -20335,                              0,,                -37335,                -12722,                -88419,                540537,                452118,                452118,                -85000,,,,,,,
2702,2015年01月01日至2015年03月31日,,                 22084,                 22084,,,                 30819,                  1321,                  5332,                   -686,                              0,                 -2047,                 34739,,,                    491,                 -5512,                              0,                    496,                   -728,                     56,,                              0,                 -5197,,                    299,                     61,                 -7517,                 -1270,                   -533,                 -8960,                -14157,                 20582,                 42666,                    686,                 -5350,                    -91,                 37911,,               -200450,                105890,                -17663,,                              0,                              0,                 34678,                     -3,                              0,                -77531,,                              0,                 22000,                              0,                 -7002,                              0,                              0,                -20002,                 -5267,                -64889,                540537,                475648,                475648,                -35000,                     17,,,,,,
2702,2014年01月01日至2014年09月30日,,                 75762,                 75762,,,                 88503,                  3788,                 16026,                 -2295,                              0,                 -3610,                102412,,,                  1096,                  2841,                 -5164,                    334,                   -375,                   -157,                              0,                              0,                 -1425,,                    387,                   -166,                 -3397,                    147,                   -147,                 -3176,                 -4601,                 97811,                173573,                  2295,                -16097,                -33325,                126446,,               -206377,                227249,                -24038,                 -1037,                              0,                -33897,                              0,                     17,                              0,                -38083,,                 25000,                -25000,                162061,               -184998,                     25,                              0,                -22912,                  9019,                 74470,                406341,                480811,                480811,,,,,,,,
2702,2014年01月01日至2014年06月30日,,                 54444,                 54444,,,                 59065,                  2530,                 10699,                 -1394,                              0,                   -177,                 70723,,,                    947,                 -5571,                 -4779,                     46,                   -642,                   -962,,                              0,                -10961,,                    420,                    997,                 -6878,                  1551,                   -591,                 -4501,                -15462,                 55261,                109705,                  1394,                -10998,                -15940,                 84161,,                -72212,                 93126,                -15102,                 -1008,                              0,                -32946,,                      4,                              0,                -28138,,                              0,                 40000,                162061,               -178332,                              0,,                -14271,                   -179,                 41573,                406341,                447914,                447914,                -38000,,,,,,,
2702,2014年01月01日至2014年03月31日,,                 21812,                 21812,,,                 29575,                  1268,                  5463,                   -591,                              0,                   -178,                 35537,,,                  1307,                 -3817,                -27279,                    303,                   -973,                    -68,,                              0,                -30527,,                    450,                    821,                 -4437,                 -2670,                   -608,                 -6444,                -36971,                 -1434,                 20378,                    591,                 -5488,                 -3299,                 12182,,                -93376,                157267,                -10424,,                              0,                              0,                   -390,                     15,                              0,                 52490,,                105000,                 35000,                              0,                 -9582,                              0,                              0,                 -9582,                  9403,                 64493,                406341,                470834,                470834,               -140000,                   -602,,,,,,
2702,2013年01月01日至2013年12月31日,,                 63936,                 63936,,,                114648,                  4977,                 20414,                 -1242,                 21338,                -12040,,,,                   -175,                  1726,                 -4934,                    -91,                   -630,                     49,                -14905,                    -18,                -18978,,                    -28,                   -775,                  5768,                  3716,                    -17,                  8664,                -10314,                137781,                201717,                  1242,                -20384,                -42516,                140059,,               -295393,                271641,               -177692,,                              0,,,                   -201,                 -1986,               -204388,,                660000,                 24000,                130000,                -29240,                     80,                -16501,                121339,                  8386,                 65396,                340945,                406341,                406341,               -647000,                   -757,,                148095,                              0,,,
2702,2013年01月01日至2013年09月30日,,                 54416,                 54416,,,                 85776,                  3738,                 15089,                   -754,                 21340,                -10772,,,,                    271,                    940,                 -3768,                    286,                   -763,                     61,                -14785,,                -17758,,                     25,                 -2480,                 -4984,                    403,                   -709,                 -7745,                -25503,                 88914,                143330,                    754,                -15131,                -36881,                 92072,,               -203720,                179936,                -83288,                   -484,,,,                   -267,                 -1986,               -109809,,,                 19000,                 80000,                -19813,,,                 46219,                  5240,                 33722,                340945,                374667,                374667,                -33000,,,                114417,                              0,                     32,,
2702,2013年01月01日至2013年06月30日,,                 37257,                 37257,,,                 56906,                  2487,                  9985,                   -527,                 19470,                -10213,,,,                    771,                 -1573,                  8873,                    -32,                   -489,                   -265,,,                  7285,,                 -1735,                 -2408,                 -4932,,                    103,                 -8972,                 -1687,                 76421,                113678,                    527,                -10088,                 -5232,                 98885,,               -261356,                237619,                -56169,,,,,                 -2676,,                -82582,,                  6000,                 35000,,                -13182,,,                 27838,                 12498,                 56639,                340945,                397584,                397584,,,,                 78108,,                     20,                              0,
2702,2013年01月01日至2013年03月31日,,                 21274,                 21274,,,                 27826,                  1235,                  4931,                   -286,,                   -396,,,,                    277,                     65,                  9851,                    260,                   -828,                   -201,,,                  9424,,                     -3,                   -528,                 -2582,,                 -1941,                 -5054,                  4370,                 37680,                 58954,                    286,                 -4965,                 -2565,                 51710,,                -38337,                 14751,                -27817,,,,,,,                -52228,,,                 35000,,                 -6549,,,                 15451,                  8641,                 23574,                340945,                364519,                364519,                -13000,,,                 33310,,                              0,                              0,                   -825
