證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　　　　 其他營業負債增加（減少）,　　　　　 其他金融資產（增加）減少,　　　　 其他項目,　　 其他非流動負債減少,　　　　　 應付票據增加（減少）,　　 其他金融資產增加
3046,2015年01月01日至2015年09月30日,,               -127340,               -127340,,,                 32725,                  2387,                  3706,                 -4237,                -24068,                    318,                     15,                              0,                 10846,,,                -27962,                 -7372,                  1348,                 -8814,                  1176,                -41624,,                 14650,                 15649,                  1679,                    -62,                 -1084,                  7245,                   -211,                 37866,                 -3758,                  7088,               -120252,                  4482,                 -3667,                 -2602,               -122039,,                              0,                              0,                 -3306,                     49,                    258,                 -3275,                              0,                 24068,                 17794,,                794450,               -760084,                              0,                 34366,                 -6347,                -76226,                856794,                780568,                780568,,,,,,,,,,,,,
3046,2015年01月01日至2015年06月30日,,               -122857,               -122857,,,                 22582,                  1626,                  2379,                 -3044,                              0,                   -378,                     19,                              0,                 23184,,,                 -5523,                   -709,                  2495,                -24802,                   -208,                -28747,,                  3377,                    -14,                 -2381,                   -480,                 -2670,                 -4243,                   -247,                 -6658,                -35405,                -12221,               -135078,                  3175,                 -2375,                 -2471,               -136749,,,                              0,                 -2785,                     17,                    250,                 -1175,                              0,                              0,                 -3693,,                              0,                -10318,                              0,                -10318,                  4850,               -145910,                856794,                710884,                710884,                              0,,,,,,,,,,,,
3046,2015年01月01日至2015年03月31日,,                -57852,                -57852,,,                 11389,                    850,                  1168,                 -1540,,                 -1074,                      5,                              0,                 10798,,,                -17658,,                    968,                 -3494,                  2577,                -17607,,                -14969,                     77,                   -490,                 -1092,                 -2547,                -12754,                   -224,                -31999,                -49606,                -38808,                -96660,                  1595,                 -1188,                   -173,                -96426,,,                              0,                 -1550,                     15,                              0,                    -17,                              0,,                 -1552,,,                -23116,                              0,                -23116,                  7335,               -113759,                856794,                743035,                743035,,,,,,,,,,,,,
3046,2014年度,,               -273044,               -273044,,,                 35210,                  3751,                  4425,                 -9362,                -18788,                  3960,                    -91,                 -7210,,,,                -71629,,                  4753,                -11654,                -10641,                -89171,,                 -9230,                   -686,                -11658,                    417,                -17829,                  6337,,                -32944,               -122115,               -110220,               -383264,                  9864,                 -4391,                 -2378,               -380169,,                 12165,,                -44517,                    890,,                 -3281,                 -9809,                 18788,                -25676,,,                115806,,                116072,                  1807,               -287966,              1144760,                856794,                856794,,,                 11895,                   -295,                     88,                    266,                              0,,,,,,
3046,2014年01月01日至2014年09月30日,,               -211832,               -211832,,,                 23826,                  2771,                  3281,                 -7417,                -18788,                  7430,                    -76,                 -7210,                  3817,,,                -27309,                    -99,                  6824,                -23544,                -11306,                -55434,,                -31756,                   -651,                 -4980,                  1323,                 -2162,                 -5841,                   -440,                -44507,                -99941,                -96124,               -307956,                  7660,                 -3283,                 -1752,               -305331,,                 12165,                              0,                -28764,                    837,                  1048,                 -3281,                 -9558,                 18788,                 -8765,,                876266,               -799447,                    273,                 77092,                  4156,               -232848,              1144760,                911912,                911912,,,,,,,,,,,,,
3046,2014年01月01日至2014年06月30日,,               -136121,               -136121,,,                 14769,                  1725,                  2128,                 -5164,                 -1597,                  4953,                    -76,                 -7210,                  9528,,,                 14354,                              0,                  2753,                 -8911,                 -6664,                -98468,,                -38119,                   -758,                 -9475,                    120,                 -4409,                 -3937,                    110,                -56468,               -154936,               -145408,               -281529,                  5100,                 -2158,                 -1421,               -280008,,,                 12165,                -24422,                    870,                  1128,                 -1385,                 -9926,                  1597,                -19973,,                 46461,                              0,                    288,                 46749,                 -3301,               -256533,              1144760,                888227,                888227,               -100000,,,,,,,,,,,,
3046,2014年01月01日至2014年03月31日,,                -48521,                -48521,,,                  7233,                    798,                    975,                 -2666,,                  2476,                    -37,                 -7210,                  1569,,,                 -2216,,                  2439,                 25361,                 -2290,                 23294,,                -58197,                 -7195,                -22473,                   -866,                 -4714,                    -58,                     53,                -93450,                -70156,                -68587,               -117108,                  2789,                 -1007,                    179,               -115147,,,                 12165,                -12331,                    287,                    698,                              0,                 -9317,,                 -8498,,,                 36707,                    289,                 36996,                  1558,                -85091,              1144760,              1059669,              1059669,,,,,,,,,,,,,
3046,2013年度,,               -166425,               -166425,,,                 29919,                  3566,                  3234,                -12830,                -11181,                    826,                   -181,                -12082,,,,                 52864,,                 -9003,                -49615,                    416,                 -5338,,                 26240,                -12753,                  8433,                    867,                 10607,                    642,,                 33568,                 28230,                 29501,               -136924,                 13176,                 -3254,                 -4679,               -131681,,                 23039,,                -24824,                    794,,                 -3037,                 -1269,                 11181,                  5341,,,                -27260,,                -26137,                 11246,               -141231,              1285991,              1144760,              1144760,,,                  1271,                   -468,                   -543,                   -143,                  1266,,,,,,
3046,2013年01月01日至2013年12月31日,,               -166425,               -166425,,,                 29919,                  3566,                  3234,                -12830,                -11181,                    826,                   -181,                -12082,,,,                 52864,                              0,                 -9003,                -49615,                    416,                 -5338,,                 26240,                -12753,                  8433,                    867,                 10607,                    642,,                 33568,                 28230,                 29501,               -136924,                 13176,                 -3254,                 -4679,               -131681,,                 23039,,                -24824,                    794,                              0,                 -3037,                 -1269,                 11181,                  5341,,                              0,                -27260,,                -26137,                 11246,               -141231,              1285991,              1144760,              1144760,,,                  1271,                   -468,                   -543,,                  1266,,,,                   -143,,
3046,2013年01月01日至2013年09月30日,,               -127586,               -127586,,,                 22362,                  2769,                  2389,                -10174,                -11181,                              0,                   -520,                   -245,,,,                 62884,                              0,                 -6977,                -28304,                  5110,                 32713,,                 -2326,                 -6822,                  6287,                  2218,                 12477,                  6313,,                 17546,                 50259,                 55659,                -71927,                 10494,                 -2470,                 -3985,                -67888,,                    447,,                 -9007,                    523,                              0,                 -3037,                 -1269,                 11181,                 -5866,,                              0,                -70314,                              0,                -70314,                  8759,               -135309,              1285991,              1150682,              1150682,,,                  5400,                   -657,                 -4704,,,                     56,,,,,
3046,2013年01月01日至2013年06月30日,,                -63618,                -63618,,,                 16339,                  1963,                  1625,                 -6903,                 -1781,                              0,                   -142,                              0,,,,                 -5537,                    -26,                 -6037,                -17736,                  6589,                -22747,,                 37592,                 -6395,                    938,                  1985,                  8511,                  3082,,                 45570,                 22823,                 33924,                -29694,                  7156,                 -1628,                 -2942,                -27108,,                              0,,                 -2116,                    145,,                 -1140,                   -151,                  1781,                 -4926,,                              0,                -40508,                              0,                -40508,                  7130,                -65412,              1285991,              1220579,              1220579,,,                 11101,                   -143,                 -3445,,,,                              0,,,,                              0
3046,2013年01月01日至2013年03月31日,,                -17100,                -17100,,,                  8573,                  1018,                    800,                 -3310,,                              0,                              0,                              0,,,,                -12621,                    -34,                 -7268,                -15629,                  4291,                -31127,,                 26062,                 -1724,                  1499,                  1463,                 -1229,                  2267,,                 28034,                 -3093,                  3988,                -13112,                  3487,                   -843,                 -1421,                -11889,,                              0,,                 -1322,                              0,                    485,,                              0,,                   -837,,                              0,                 -9731,                              0,                 -9731,                  4157,                -18300,              1285991,              1267691,              1267691,                    134,,                  7081,                   -304,,,,,,                              0,,,
3046,2012年01月01日至2012年12月31日,,                -19161,                -19161,,,                 45933,                  7133,                  4346,                -11864,                -11461,                              0,                   -661,                              0,,,,                 63753,                    764,                 -6750,                127122,                 18432,                203321,,               -186773,                  2321,                -52232,                 -3394,                  5833,                 -9185,,               -242530,                -39209,                 -5783,                -24944,                 11337,                 -4271,                -11821,                -29699,,                              0,,                -17129,                    978,                    958,                 -4947,                 -1627,                 11461,                -10306,,                 68270,                              0,,                 68270,                -14366,                 13899,              1272092,              1285991,              1285991,,,                 33426,                    900,                              0,,                              0,,,,                              0,,
3046,2012年01月01日至2012年09月30日,,                 10891,                 10891,,,                 35900,                  5471,                  2799,                 -8608,                -11461,,                    -44,                              0,,,,                 39789,                    764,                -22235,                 96240,                  6544,                121102,,               -170603,                   -460,                -33878,                   -306,                  1164,                   -234,,               -204071,                -82969,                -58912,                -48021,                  8266,                 -2728,                 -1746,                -44229,,                              0,,                -11823,                    360,,                 -4949,                 -1506,                 11461,                 -6483,,                 75194,                              0,,                 75194,                -18864,                  5618,              1272092,              1277710,              1277710,,,                 24057,                    309,                    -26,,,                              0,,,,                    -63,
3046,2012年01月01日至2012年06月30日,,                 28136,                 28136,,,                 23566,                  3639,                  1914,                 -5381,                              0,,                              0,,,,,                 15126,                    764,                 -3249,                 27927,                  3334,                 43902,,                -81311,                  4617,                -27017,                 -2911,                  7025,                   -636,,               -100301,                -56399,                -32661,                 -4525,                  5005,                 -1935,                   -886,                 -2341,,,,                 -7882,                              0,,                 -2758,                 -1389,                              0,                -96565,,                 69849,                              0,,                 69849,                 -6305,                -35362,              1272092,              1236730,              1236730,,,                 23738,                    -68,                    -50,,,,,,,,                -84486
3046,2012年01月01日至2012年03月31日,,                 32880,                 32880,,,                 12361,                  1785,                    933,                 -2659,,,,,,,,                -81586,                    505,                  4791,                 27205,                 -5978,               -109182,,                -68919,                 -6441,                -11820,                  3142,                  1352,                   -172,,                -89421,               -198603,               -186183,               -153303,                  2412,                   -936,                   -754,               -152581,,,,                 -3731,,                   -128,                   -653,,,                 -4512,,,                 79893,,                 79893,                 -9907,                -87107,              1272092,              1184985,              1184985,                  2375,,                 12420,,,,,                 -6563,                -56494,,,,
