證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 發行公司債,　　 償還公司債,　　　　　 預付款項（增加）減少,　　　　　 預收款項增加（減少）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 附買回票券及債券負債增加,　　 支付之股利,　　 舉借長期借款,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 負債準備增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　 其他籌資活動
3047,2015年01月01日至2015年09月30日,,                178874,                  2243,                181117,,,                 62770,                  9100,                    294,                 -3496,                 10765,                 -5898,                  1270,                  1775,                    320,                              0,                 -6096,                              0,                 70804,,,                  3821,               -102129,                152177,                177657,                -11385,                  4614,                224755,,               -176666,                -53611,                -15177,                 -1375,               -246829,                -22074,                 48730,                229847,                  4810,                 -4242,                 -6794,                223621,,                -51160,                 89970,                 -3703,                 11498,                -50440,                -18616,                -53490,                  4939,                   -202,                 -3773,               -214457,                 -1175,                  8527,               -282082,,                148312,                -35298,                   -325,               -119333,                              0,                -65252,                -28628,               -100524,                 19352,               -139633,              1270535,              1130902,              1130902,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2015年01月01日至2015年06月30日,,                 36777,                  2219,                 38996,,,                 41568,                  5824,                   -421,                 10305,                  7375,                 -4135,                    952,                  1970,                 -7835,                              0,                  2717,                              0,                 58320,,,                 -1978,                -85153,                140058,                190355,                    985,                  7966,                252233,,               -181448,                -36475,                -14945,                 -1345,               -234213,                 18020,                 76340,                115336,                  3652,                 -3042,                   -469,                115477,,                -36616,                 67070,,                     94,                -50440,                -18616,                -38551,                  4595,                   -942,                 -2035,               -195246,                              0,                  8527,               -262160,,                405635,                -35298,                   -323,,                              0,,                 -2916,                367098,                 -8853,                211562,              1270535,              1482097,              1482097,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2015年01月01日至2015年03月31日,,                   -444,                  2215,                  1771,,,                 20511,                  2952,                  2640,                  3571,                  3315,                 -1601,                    476,                  1126,                 -1837,,,                              0,                 26643,,,                 -3417,                -64420,                123148,                 35002,                -20864,                  7165,                 76614,,                -37389,                -83459,                  1513,                 -1315,               -120650,                -44036,                -17393,                -15622,                  2263,                 -1157,                 12057,                 -2459,,                -15724,                 36454,,                     94,                -50440,,                -22117,                    279,                 -1987,                   -996,               -252017,,,               -297927,,                275884,                   -431,                   -160,,                              0,,                   -925,                274368,                 -2511,                -28529,              1350535,              1322006,              1322006,                 -4510,                  8527,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年度,,                228140,                 -8759,                219381,,,                 79822,                 11035,                  5405,                -28437,                 19567,                 -7326,                  3050,                  8519,                   -360,                  1819,,                 -1702,,,,                  9242,                -15418,                -88351,                -31491,                -50439,                 47641,               -128816,,                  2735,                 37523,                 44028,,                 84871,                -43945,                 49824,                269205,                  6363,                 -9972,                -74097,                191499,,                -46678,                 25096,                -17467,,,                 -9045,               -162505,                  5202,                  1584,                -13721,                -17238,                              0,,               -235634,,                -40000,                 -1703,                    -58,               -136541,                 23602,,                  9016,               -145684,                 -4987,               -194806,              1545341,              1350535,              1350535,                  2377,                   -862,,                              0,                 93769,                    585,                              0,                              0,                              0,,,,,,,,,,,,,,,,,
3047,2014年01月01日至2014年09月30日,,                169212,                 -2240,                166972,,,                 59422,                  7602,                  2038,                -21175,                  9111,                 -6339,                  2287,                  3366,                   -208,                  1819,                 21194,                 -1702,                 77415,,,                 17248,                 38438,               -257446,                 22690,                -18520,                 32207,               -165383,,                -84259,                 -4932,                 16678,                  3237,                -69276,               -234659,               -157244,                  9728,                  6196,                 -1659,                -50974,                -36709,,                -43097,                 19923,                              0,                              0,                              0,                              0,               -144101,                  4604,                 -2948,                 -5368,                 13226,                -14635,                   -502,               -172898,,                -29900,                 -1275,                   -220,               -136541,                 23602,                              0,                              0,               -144334,                 -9719,               -363660,              1435481,              1071821,              1071821,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年01月01日至2014年06月30日,,                109035,                 -2233,                106802,,,                 39485,                  5398,                  2433,                -14538,                  6284,                 -4689,                  1525,                  2175,                   -208,                  1819,                 13711,                 -1702,                 51693,,,                 10591,                 60470,               -341349,               -164887,                -19059,                 11598,               -442636,,                182360,                 -3945,                  8831,                  1730,                188976,               -253660,               -201967,                -95165,                  4567,                   -997,                -25296,               -116891,,                -37849,                 12640,,                              0,                              0,                              0,               -126691,                  5861,                 -2889,                 -2343,                 30830,                  3139,                              0,               -117302,,                 -9900,                   -848,                      6,,                 23603,,                              0,                 12861,                   -581,               -221913,              1435481,              1213568,              1213568,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年01月01日至2014年03月31日,,                 79753,                    -38,                 79715,,,                 20293,                  1770,                              0,                 -4497,                  3128,                 -1907,                    762,                  1207,                              0,,,                   -827,                 37414,,,                  3451,                -34463,                -78265,               -114663,                -18074,                 -7559,               -249573,,                207347,                 47692,                 21737,                    222,                276998,                 27425,                 64839,                144554,                  1907,                   -490,                 -5366,                140605,,                 -1559,                              0,,                              0,                              0,,                -79807,                  2377,                 -3077,                   -976,                  2564,,,                -78425,,                 13000,                   -422,                    -58,,                 21171,,                              0,                 33691,                 14657,                110528,              1545341,              1655869,              1655869,                 17485,                  2053,,,,,,,,,,,,,,,,,,,,,,,,
3047,2013年度,,                258368,                -13471,                244897,,,                 84723,                  6167,                 22771,                  6608,                 15894,                 -7654,                  4530,                  1695,                   -774,                              0,,                -47018,,,,                  6249,                -12166,                 27349,                120629,                 55735,                -40484,                157312,,                -78397,                 15744,                 -4605,,                -65606,                 91706,                196148,                441045,                  7654,                 -4570,                -37125,                407004,,                -10985,                              0,                              0,,,                              0,                -59362,                  2721,                  9568,                -14837,                140050,                 -7070,,                 70173,,               -191305,                 -1673,                   -325,                -22538,                 10163,,                 30054,                 16909,                 -4325,                489761,              1055580,              1545341,              1545341,                  4689,                 -1474,,                 12811,                104442,                  1652,                 11562,                395000,               -202467,,,,,,,,,,,,,,,,,
3047,2013年01月01日至2013年12月31日,,                258368,                -13471,                244897,,,                 84723,                  6167,                 22771,                  6608,                 15894,                 -7654,                  4530,                  1695,                   -774,,,                -47018,,,,                  6249,                -12166,                 27349,                120629,                 55735,                -40484,                157312,,                -78397,                 15744,                  1615,,                -65606,                 91706,                196148,                441045,                  7654,                 -4570,                -37125,                384466,,                -10985,                              0,,,,,                -59362,                  2721,                  9568,                -14837,                140050,                 -7070,,                 70173,,               -191305,                 -1673,                   -325,,                 10163,,                 30054,                 39447,                 -4325,                489761,              1055580,              1545341,              1545341,                  4689,                 -1474,,                 12811,                104442,                  1652,                 11562,                395000,               -202467,,                 -6220,,,,,                -22538,                              0,,,,,,,,,
3047,2013年01月01日至2013年09月30日,,                179808,                -12701,                167107,,,                 59090,                  6470,                 27062,                   -214,                 12477,                 -3289,                  3398,                    352,                   -774,                              0,,                -18468,,,,                -15003,                -31429,                 78459,                177654,,                  1089,                202047,,               -240185,                 24091,                 -2799,,               -221775,                -19728,                 80933,                248040,                  3289,                 -3772,                -16907,                230650,,                              0,                              0,,,,,                -40015,                  2047,                 -2166,                 -4927,                140530,                  1427,,                108458,,               -201305,                 -1251,                   -325,                -22538,                  5601,,                 31569,                  4284,                  3288,                346680,              1055580,              1402260,              1402260,                  1746,,,                 12811,                100661,                  1438,                 11562,                395000,               -202467,                 -8723,                 -4320,,,                230650,,,,,,,,,,,,
