證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款增加,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應付建造合約款增加（減少）,　　 預付投資款增加,　　　　 買回應付公司債損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 其他非流動負債增加
3673,2015年01月01日至2015年09月30日,,            -20754547,            -20754547,,,              7454195,                109090,                  2121,                105304,                975921,               -737416,                208440,                155401,                -45504,                    -68,                -60451,                764595,             18095560,                              0,              2651207,             29678395,,,               -939233,              1765190,             -4380884,               -155363,             -3710290,,                854232,               -639891,               -669881,             -1183983,                123942,                   -290,             -1515871,             -5226161,             24452234,              3697687,                838030,               -362422,              4173295,,                              0,                834783,                              0,               -295822,                  3528,               -498037,                378179,                 29570,               -114870,                -16535,                    483,                    139,             -4318466,                 -3147,             -4000195,,                              0,            -13460703,              7781249,                              0,              7212979,             -8538962,                    142,                              0,                              0,                              0,               -165692,              4112916,                 31182,               -841916,               -378796,             -4247601,              1758602,             -2315899,             29539623,             27223724,             27223724,,,,,,,,,,,,,,
3673,2015年01月01日至2015年06月30日,,             -2006207,             -2006207,,,              4776673,                 74717,                  3356,                 -1308,                663550,               -529374,                158723,                105543,                -39713,                    -70,,,                127662,                -21448,                811617,              6129928,,,              2277168,              2339704,             -1751301,               -150852,              2714719,,             -6826009,               -121991,               -302808,                -25706,                 28419,                   -215,             -7248310,             -4533591,              1596337,               -409870,                722063,               -322584,                -10391,,                              0,              4316534,                              0,               -157654,,               -349130,                199963,                              0,                 -3743,                -11417,                    482,                    134,             -3214125,                 -1037,                789284,,                              0,            -10956830,              7781249,                              0,              3134958,             -3958840,                  1042,                              0,                              0,                              0,,              4112916,                 29293,               -592617,               -378796,               -827625,             -1088012,             -1136744,             29539623,             28402879,             28402879,                  9277,                              0,,,,,,,,,,,,
3673,2015年01月01日至2015年03月31日,,             -1102265,             -1102265,,,              2366666,                 38252,                 -3387,                -60322,                330528,               -302333,                106372,                 53242,                -36074,,,,                 70081,                              0,                829073,              3392098,,,              2711022,              2828303,             -1766016,                -64134,              3709175,,             -4074500,               -282500,               -318669,                -24016,                -29955,                   -133,             -4729773,             -1020598,              2371500,              1269235,                530814,               -116916,              1683133,,                              0,              1957794,,                -35174,,               -224241,                 48731,                 -1203,,                 -3301,                    231,,             -2047183,                              0,               -304637,,                              0,             -2121017,,,              2206283,             -2881714,                  5230,                              0,,                              0,,,                  8722,               -331538,,             -3114034,               -448027,             -2183565,             29539623,             27356058,             27356058,,                   -291,,,,,,,,,,,,
3673,2014年度,,                575412,                575412,,,              7889564,                163581,                 -3120,                137447,              1430786,             -1310941,                171629,                389068,                 29207,                    -89,,,              2108808,               -928179,               -363481,,,,              1047012,              1862015,              2093724,                -38690,              4934955,,                 12647,                 52325,               -400207,                -51997,                 50433,,               -338379,              4596576,             14310856,             14886268,              1087455,             -1562193,             14411530,,,,               -150000,,,             -3688691,                  8899,                 34450,,               -112903,                  6139,,             -9585529,               -531646,            -21498746,,             10509340,,,            -11091658,              3511367,             -4071928,                              0,                -25615,                 -7729,                 -2991,             -1646549,,                192918,             -1133280,               -424324,             -4190449,              2517895,             -8759770,             38299393,             29539623,             29539623,,                 -1696,,              9714280,                -29106,                 -1580,             -7477769,                              0,                              0,,,,,
3673,2014年01月01日至2014年09月30日,,                  5960,                  5960,,,              5619121,                125652,                 -1398,                131532,              1101481,             -1026758,                131201,                361885,                  8270,                              0,                              0,                290693,                              0,               -575528,               -144094,              6022057,,,               -512024,              3612254,                994919,                -44304,              4050845,,             -2400440,                342586,               -140007,                -14096,                168530,                     43,             -2043384,              2007461,              8029518,              8035478,                890318,               -792817,              8132979,,             -2865361,                              0,               -150000,                              0,                              0,             -3578024,                  3808,                -26517,                              0,                -82776,                  4402,                      1,             -8081731,               -441502,            -15217700,,              7828977,                              0,                              0,            -11045273,              3078546,             -3696082,                              0,                -26973,                 -7697,                 -2770,             -1646549,                              0,                177845,               -872340,               -424324,             -6636640,                769027,            -12952334,             38299393,             25347059,             25347059,,,,,,,,,,,,,,
3673,2014年01月01日至2014年06月30日,,                288453,                288453,,,              3658023,                 84744,                 -7846,                 42898,                760430,               -739475,                 88714,                606251,                  7573,                              0,,,                              0,               -669733,               -289914,              3541665,,,              1877237,              3213451,              1453532,                 13704,              6557924,,             -4954720,               -140091,                608392,                              0,                108709,                     10,             -4377700,              2180224,              5721889,              6010342,                616077,               -602874,              6023545,,             -3771619,                              0,               -150000,                              0,,             -1894246,                100369,                 -4326,               -452800,                -40360,                    996,                              0,             -5817799,               -442871,            -12489518,,              5708981,                              0,                              0,            -11078507,                491960,             -2058726,                              0,                -26914,                 -7720,                 -2055,,                              0,                139925,               -561065,               -424324,             -7818445,                234794,            -14049624,             38299393,             24249769,             24249769,                              0,                -16862,,,,,,,,,,,,
3673,2014年01月01日至2014年03月31日,,                 98399,                 98399,,,              1807408,                 42306,                      8,                -16013,                411375,               -381164,                 38451,                177827,                 -1639,,,,                              0,               -303989,                -92984,              1681586,,,              6132037,              3377857,              1573562,                -74505,             11008951,,             -7810763,               -503204,               -198119,                              0,                596337,                    455,             -7915294,              3093657,              4775243,              4873642,                223785,               -418752,              4678675,,             -7663936,                              0,,                              0,,             -1337427,                  4200,                 -2534,,                -31820,                    738,,             -2983663,               -419126,            -12433675,,              5481224,                              0,,,                 10343,             -1516751,                              0,                -26765,,                 -1345,,,                 23788,               -260155,,              3710339,                952423,             -3092238,             38299393,             35207155,             35207155,,                   -107,,,,,,,,,,,,
3673,2013年度,,              8904183,              8904183,,,              6392841,                167718,                  6641,                              0,              1078076,               -819915,                130791,                833267,                 71666,                              0,,,              3187652,                              0,                 -2599,,,,             13142200,             -3655668,              4257901,                -96201,             13648232,,            -10220231,             -1673509,               -167499,                 -5030,               -329199,,            -12396161,              1252071,             12298209,             21202392,                786007,             -3462203,             18526196,,,,                              0,,,             -5709564,                 45170,                 36946,,                -65795,                  7839,,            -14745759,               -496309,            -28210648,,             28965087,,,                              0,              8335812,             -6186989,                 15714,                              0,                -30035,                -10555,             -6870195,,                200396,               -499001,                    891,             23921125,                824771,             15061444,             23237949,             38299393,             38299393,,                     -6,,             11046138,                              0,                   -693,             -5978727,             -1304443,                              0,,,,,
3673,2013年01月01日至2013年12月31日,,              8904183,              8904183,,,              6392841,                167718,                  6641,,              1078076,               -819915,                130791,              1923186,                 71666,                              0,,,                892555,              1205178,                 -2599,,,,             13142200,             -3655668,              4257901,                -96201,             13648232,,            -10220231,             -1673509,               -167499,                 -5030,               -329199,,            -10453144,              3195088,             14241226,             23145409,                786007,             -3462203,             20469213,,,,,,,             -5709564,                 45170,                 36946,,                -65795,                  7839,               -496315,            -16688776,,            -30153665,,             28965087,,                              0,                              0,              8335812,             -6186989,                 15714,,                -30035,                -10555,             -6870195,                              0,                200396,               -499001,                    891,             23921125,                824771,             15061444,             23237949,             38299393,             38299393,,,,             11046138,,                   -693,             -5978727,             -1304443,,,,                              0,              1943017,
3673,2013年01月01日至2013年09月30日,,              9938098,              9938098,,,              4644727,                123244,                 -3732,                              0,                726249,               -536039,                112396,                500730,                 19186,,,,                584106,                              0,               -165226,,,,             17708138,                 41679,                352221,               -211112,             17890926,,            -11697556,             -1674283,               -394706,                              0,                431005,,            -12211159,              5679767,             11685408,             21623506,                489212,             -2686746,             19425972,,,,                              0,,,             -4242574,                 42357,               -132155,,                -58015,                     37,                    931,            -12795469,                              0,            -22204400,,             25390671,,,                              0,              7012101,             -6027475,                 21002,                              0,                -30085,                 -8469,             -6870195,,                182313,               -312432,                -87819,             19269612,                434721,             16925905,             23237949,             40163854,             40163854,,,,              6005641,,                    -67,             -3713831,             -1305681,,              1124448,,,,
