證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付設備款減少,　　 發行公司債,　　 償還公司債,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分其他資產損失（利益）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　 其他預付款項增加,　　 員工執行認股權,　　 其他預付款項減少,　　 存入保證金減少
3042,2015年01月01日至2015年09月30日,,                796083,                796083,,,                732502,                 13394,                   -908,                -37898,                 32150,                -24439,                 -1118,                 -8061,                 -5588,                 -2279,                 -1628,                 10210,                 11807,                718144,,,                235993,                 11700,                -71832,                  2253,                 11457,                    -56,                  5336,                -20468,                 30636,                205019,,                -13834,                 99733,                    532,                -91314,                   -990,                  5512,                 -9756,                -10117,                194902,                913046,              1709129,                -14965,               -154413,              1539751,,             -1243690,                871995,               -130819,                 97788,                -50280,                -50000,                  6101,               -361885,                 14431,                              0,                  7957,                              0,                 53244,                 -3147,                              0,                 22466,                  6618,               -759221,,                156572,              1100000,               -794854,                 23946,               -774393,                   -806,               -289535,                 25437,                516432,              1768404,              2284836,              2284836,,,,,,,,,,,,,,,,,,
3042,2015年01月01日至2015年06月30日,,                460265,                460265,,,                482052,                  8894,                 -2245,                -34241,                 21189,                -16752,,                 -4930,                 -6446,                 -1254,,                              0,                              0,                446267,,,                353023,                -10460,                283798,                   -607,                 13828,                    -69,                -22060,                -12387,                 12807,                617873,,,                 18935,                    204,                -79175,                   -911,                -18216,                 -6537,                -85700,                532173,                978440,              1438705,                -14965,                -98987,              1324753,,               -391684,                154548,               -130819,                 21254,                -50280,                -50000,,               -265062,                 14387,                              0,                  8112,                              0,                 53244,                 -1100,                 -8546,                 15784,,               -630162,,                              0,                700000,               -700000,                 31883,,,                   -861,                -21923,                671807,              1768404,              2440211,              2440211,                -32744,,,,,,,,,,,,,,,,,
3042,2014年度,,              1145755,              1145755,,,                926535,                 21874,                  1306,                -37489,                 46989,                -21850,                 -1118,                -19304,                 -3611,                 27324,                 -6621,                 47569,                 20528,,,,               -334988,                -22552,               -283424,                  2561,                 23535,                     76,                -24521,                 -8750,                -12587,               -660650,,,                181504,                    144,                 11023,                    112,                 15481,,                200166,               -460484,                551867,              1697622,                -29248,               -134111,              1534263,,             -4366187,              4089723,                -89617,                122468,                              0,,                 70824,               -474248,                 34967,                 -7577,,                -28801,,                -97338,                -38621,                 20456,                 18160,               -802874,,                              0,                450000,               -576773,                  1448,               -681465,,               -886796,                 94275,                -61132,              1829536,              1768404,              1768404,                -80006,,                 10219,              1012351,                 -8098,                  7917,                -65000,                              0,                              0,                              0,,,,,,,,
3042,2014年01月01日至2014年09月30日,,                822642,                822642,,,                692238,                 17972,                  2195,                -14586,                 35243,                -17543,                 -1118,                -16327,                     45,                 -1163,                              0,                 28269,                 11324,                736549,,,               -237689,                -30107,               -222202,                 -5001,                  6476,                   -294,                -96068,                -18015,                -16035,               -618935,,                -17329,                315379,                   -134,                -69853,                   -733,                 -1416,                 -3847,                222067,               -396868,                339681,              1162323,                -23131,               -107764,              1031428,,             -1547189,                956980,                -89617,                 27611,                              0,                              0,                              0,               -324651,                 34398,                    -93,                              0,               -152153,                              0,                -87536,                -57858,                 16491,                  1118,             -1222499,,               -142806,                586890,               -400000,                    623,               -681465,                              0,               -636758,                 36251,               -791578,              1829536,              1037958,              1037958,,,,,,,,,,,,,,,,,,
3042,2014年01月01日至2014年06月30日,,                517828,                517828,,,                462338,                 13316,                  1472,                -20601,                 23487,                 -9096,,                -11027,                   -181,                 -1163,,                  1936,                  7228,                467709,,,               -237659,                -42988,                 38713,                 -3749,                 10276,                              0,                -94022,                -47272,                -29288,               -405989,,,                174784,                   -106,                -73243,                   -858,                 -4538,                 -3847,                 92192,               -313797,                153912,                671740,                -14429,                -79356,                577955,,               -833469,                844904,                -89617,                 27610,                              0,                              0,,               -164668,                 33884,                   -101,                              0,               -197405,                              0,                 -2939,                -80021,                  7824,,               -453998,,                100035,                134393,               -337500,                    663,,,               -102409,                 -7086,                 14462,              1829536,              1843998,              1843998,                              0,,,,,,,,,,,,,,,,,
3042,2014年01月01日至2014年03月31日,,                253048,                253048,,,                230452,                  6492,                    564,                 13793,                 11431,                 -5132,,                 -4982,                  1483,,,                  1936,                  3487,,,,,                -36572,                 62575,                 -4034,                 25506,                              0,               -136905,                -14314,                    360,               -103384,,,                219446,                     67,               -128911,                    588,                 -6831,,                 84359,                -19025,                240499,                493547,                 -6989,                -18059,                468499,,               -946249,                426636,                -69618,,                              0,,,                -42095,                 11460,                   -230,                              0,                -96400,,                              0,,                  4810,,               -731645,,                186387,                              0,               -100000,                  1819,,,                 88206,                 41974,               -132966,              1829536,              1696570,              1696570,,,,                259524,,,,                -19959,                              0,                              0,,,,,,,,
3042,2013年度,,              1061765,              1061765,,,                886327,                 43714,                    706,                 -2714,                 45830,                -13887,                 -1035,                -13446,                 -1264,                 -6368,                              0,                 21072,                  7912,,,,               -455332,                 -3304,                816843,                  1050,                -10168,                   -122,               -176930,                  8755,                -30632,                150160,,,               -528776,                 -2118,                 49450,                  1015,                -23261,,               -511113,               -360953,                606769,              1668534,                -28542,               -104602,              1535390,,             -1913892,              1924782,               -179665,                186034,                -47840,,                              0,               -763200,                 58575,                   -179,,                -24443,,                -45224,                              0,                 12189,                  1035,               -625127,,                416519,                750000,             -1393471,                  1527,               -681465,,               -662990,                 11516,                258789,              1570747,              1829536,              1829536,                              0,,                    875,                967722,                 -7423,                              0,                              0,                166701,                800000,               -556100,,,,,,,,
3042,2013年01月01日至2013年12月31日,,              1061765,              1061765,,,                886327,                 43714,                    706,                 -2714,                 45830,                -13887,                 -1035,                -13446,                 -1264,                 -6368,,                 21072,                  7912,,,,,                 -3304,                816843,                  1050,                -10168,                   -122,               -176930,                  8755,                -30632,                605492,,,               -528776,                 -2118,                 49450,                  1015,                -23261,,               -511113,                 94379,              1062101,              2123866,                -28542,               -104602,              1990722,,             -2924571,              2480129,               -179665,                186034,                -47840,,,               -763200,                 58575,                   -179,,                -24443,,                -45224,                              0,                 12189,                  1035,             -1080459,,                416519,                750000,             -1393471,                  1527,               -681465,,               -662990,                 11516,                258789,              1570747,              1829536,              1829536,                              0,,                    875,                967722,                 -7423,,,                166701,                800000,               -556100,,                              0,                              0,                              0,                              0,                              0,,
3042,2013年01月01日至2013年09月30日,,                787819,                787819,,,                661463,                 19980,                     30,                -16330,                 33597,                -16166,                 -1035,                 -6711,                    -81,                   -138,,                  5443,                  8590,,,,               -229393,                 -7104,                806167,                    906,                  1034,                   -101,               -389657,                   -650,                -44895,                136307,,                -26907,               -209188,                 -2052,                -36708,                    102,                -13940,,               -288693,               -152386,                536256,              1324075,                -21266,                -99565,              1203244,,             -1620902,              1206323,               -168540,                 90138,                -47840,,,               -594774,                  1221,                              0,                  1954,               -204489,,                -20024,                              0,                 14450,                  1035,             -1234184,,                508238,                550000,               -982313,                    529,               -681465,,               -361111,                 28848,               -363203,              1570747,              1207544,              1207544,,,,                688642,                              0,,,                107264,                800000,               -556100,                              0,,,,,,,
3042,2013年01月01日至2013年06月30日,,                492918,                492918,,,                433337,                 21417,                     30,                 11234,                 21722,                 -7089,,                 -3250,                  1972,                   -138,,                              0,                  2249,,,,,                -11558,                792137,                 -2843,                -42232,                    -98,               -330649,                 -6495,                -28001,                370261,,,               -239382,                 -1777,                  3944,                    123,                 -7764,,               -244856,                125405,                606889,              1099807,                -14274,                -88894,                996639,,               -462549,                152200,               -168540,                 90138,                -47840,,,               -319506,                              0,                              0,                  2126,               -207351,,                -24026,                              0,                  7135,,               -950198,,                266970,                400000,               -654875,                    541,,,                256536,                 66362,                369339,              1570747,              1940086,              1940086,,,,                481484,                              0,,,                 28015,                800000,               -556100,,,,,,,,
