證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 備供出售金融資產減資退回股款,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金增加,　　 其他非流動資產減少,　　 其他非流動資產增加,　　 短期借款增加,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　 舉借長期借款
2489,2015年01月01日至2015年09月30日,,                846461,                846461,,,                 35305,                 20758,                              0,               -814676,                  1715,                -48987,               -522442,                              0,                 22098,                     67,                              0,                  1804,                              0,                333747,                              0,               -970611,,,                 90102,                     -5,             -1563455,                785859,                -48339,             -1673478,               -782805,             -3192121,,                     -3,                127236,              2158900,                -17893,                  5092,                -79876,                    185,              2193641,               -998480,             -1969091,             -1122630,                 64271,                522442,                 -1715,               -200214,               -737846,,                 -1875,                 78370,                 -4955,                              0,                  3375,                -28480,                              0,                 15900,                -10213,                 52122,,                              0,                -41300,                 -7084,                     77,             -1334979,                              0,               -308632,                              0,                              0,               -119997,             -1811915,                  5622,             -2492017,              6771182,              4279165,              4279165,,,,,,,,,,,,,
2489,2015年01月01日至2015年06月30日,,                222270,                222270,,,                 23306,                 13878,,               -547494,                  1141,                -33109,                 -9779,                              0,                170233,                     67,,                -21936,                              0,                              0,,               -403693,,,                349011,                   -315,               -742192,                521130,                  2062,             -1429697,                -44954,             -1344955,,                     -3,                138063,                574775,                274112,                 -5199,               -135240,                     63,                846571,               -498384,               -902077,               -679807,                 37863,                  9779,                 -1141,                -95747,               -729053,,                              0,                 34723,                 -2746,                              0,,                 -6776,,                 15900,                 -8186,                 36290,,                              0,                -41300,                 -4427,                     77,,,,                              0,,                -15974,                -61624,                -39906,               -794293,              6771182,              5976889,              5976889,                  3375,,,,,,,,,,,,
2489,2015年01月01日至2015年03月31日,,                 80339,                 80339,,,                 11715,                  6825,,               -278686,                    576,                -16777,                 -1073,                              0,                 90752,,,                 -6533,                              0,                              0,,               -193201,,,                159356,                      3,                182183,              1200106,                 -1474,               -559044,                -12353,                968777,,                     91,                  1888,               -502442,                230621,                 -6369,               -109850,                    163,               -385898,                582879,                389678,                470017,                 26190,                  1073,                   -576,                -38048,                458656,,                              0,                  2299,,                              0,,                 -1741,                              0,                 15900,                 -2936,                 13522,,                              0,                -41300,                 -2247,                     77,,,,                              0,,,                -43470,                -16269,                412439,              6771182,              7183621,              7183621,,,,,,,,,,,,,
2489,2014年度,,                974462,                974462,,,                 55376,                 24380,                              0,               -133029,                 14452,                -94722,               -186771,                 77250,                -73766,                  2241,                              0,                -62903,                 -2513,                107289,                              0,,,,               -166527,                    -10,                249643,                676801,                -47402,              1124727,                 42757,              1879989,,                      3,               -254750,             -2286077,               -504817,                 -3968,                 89157,,             -2960775,             -1080786,             -1353502,               -379040,                 79888,                186771,                -15066,               -161877,               -289324,,               -107376,                262148,                 -3215,                 46471,,                -47186,                              0,,                -30745,               -195161,,             -2474230,                              0,                 -8918,                    262,             -1843943,                              0,,                403537,                              0,                -61143,             -3984435,                 73362,             -4395558,             11166740,              6771182,              6771182,,,               -272716,                   -323,                    559,               -315817,                              0,,,,,,
2489,2014年01月01日至2014年09月30日,,                777771,                777771,,,                 35313,                 17793,                              0,               -102149,                 13713,                -71996,               -178130,                 77250,               -161940,                  2691,                              0,                -66351,                 -2513,                 76846,                              0,               -359473,,,                -31618,                     -3,                347888,              1928284,                -12544,               -459905,                 40494,              1812596,,                 12689,               -119834,             -1843519,               -391667,                 75541,                 -3699,                    -66,             -2270555,               -457959,               -817432,                -39661,                 72446,                178130,                -14604,               -108732,                 87579,,                -56354,                120732,                              0,                 46471,                              0,                -42806,                              0,                    752,                 -7284,                 61511,,             -2474230,                              0,                 -6409,                    361,             -1843943,                              0,                              0,                403537,                              0,                -11921,             -3932605,                -34749,             -3818264,             11166740,              7348476,              7348476,,,,,,,,,,,,,
2489,2014年01月01日至2014年06月30日,,                618380,                618380,,,                 22116,                 12520,,               -216573,                 11698,                -45716,                -15802,                 46200,               -148823,                    251,,                -66377,                 -2513,                 24461,,               -378558,,,                235795,                              0,                -78608,              2230407,                -44834,                283425,                 25062,              2651247,,                              0,               -123982,             -1955009,                 78428,                 30296,                 22342,                    -56,             -1947981,                703266,                324708,                943088,                 45177,                 15802,                -12517,                -35178,                956372,,                -31133,                108706,                              0,                 46471,,                -15720,,                    682,                 -6202,                102804,,             -1876830,                              0,                 -4293,                    419,,,,                322829,,                              0,             -1557875,                -52293,               -550992,             11166740,             10615748,             10615748,                              0,,,,,,,,,,,,
2489,2014年01月01日至2014年03月31日,,                405420,                405420,,,                 11093,                  7600,,               -162793,                  8404,                -19771,                   -952,                 46200,                -59548,,,                -41410,                 -2513,                  7000,,               -206690,,,                -61812,                     -3,                136642,                708451,                -12426,                560272,                 13315,              1344439,,                              0,                -71433,             -1677482,                466903,                   -628,                 11187,                    -33,             -1271486,                 72953,               -133737,                271683,                 19609,                    952,                 -9209,                   -146,                282889,,                 -1012,                 65128,,                 46471,,                -11163,                    255,                    616,                 -2951,                 97344,,             -1560130,                              0,                 -2125,                    190,,,,                322829,,,             -1239236,                  1645,               -857358,             11166740,             10309382,             10309382,,,,,,,,,,,,,
2489,2013年度,,              1339952,              1339952,,,                 53414,                 59216,                 -6428,               -419051,                 35135,                -75108,               -134758,                              0,               -158768,                -12259,                    945,                -26807,                              0,                 58375,                 14297,,,,                879174,                    577,               -596725,                576729,                143588,                718349,                344088,              2065780,,                   -143,               -279774,               -887084,               -241436,                -68398,                 39734,,             -1437161,                628619,                 16822,              1356774,                 76273,                471357,                -35448,               -231639,              1637317,,               -186124,                  2028,               -772068,                              0,,                -45075,                 61390,,                 -8274,               -945555,,              2474230,               -308255,             -3432107,                  4238,             -2016043,                 59843,,                              0,                  5000,                 -6243,             -3219337,                 78328,             -2449247,             13615987,             11166740,             11166740,,,               -611797,                    -60,                              0,                  2319,                    249,,,,,,
2489,2013年01月01日至2013年12月31日,,              1339952,              1339952,,,                 53414,                 59216,                 -6428,               -444297,                 35135,                -75108,               -134758,,               -158768,                -12259,                    945,                              0,,                 58375,                 14297,,,,                792882,                    577,               -596725,                576729,                143588,                718349,                344088,              1979488,,                   -143,               -279774,               -887084,               -241436,                -68398,                 39734,,             -1437161,                542327,                -67909,              1272043,                 76273,                471357,                -35448,               -231639,              1552586,,               -186124,                    640,               -685949,,,                -45075,                 61390,                  2319,                 -8274,               -860824,,,               -308255,             -3432107,                  4238,             -2016043,                 59843,,                              0,                  5000,                 -6243,             -3219337,                 78328,             -2449247,             13615987,             11166740,             11166740,,,               -610236,                    -60,,,,                    249,              2474230,,,,
2489,2013年01月01日至2013年09月30日,,                952895,                952895,,,                 30516,                 49421,                 -6428,               -502216,                 32677,                -63150,                 -4965,,                -71067,                -12259,                    945,                              0,,,                 14297,,,,                808452,                    -13,                141676,                -32398,                 91669,               -938000,                249996,                321382,,                   -143,               -224521,                -57412,                298206,                -30071,,,                -29692,                291690,               -240539,                712356,                 64622,                341564,                -34674,               -226533,                857335,,               -152220,                              0,               -646142,,,                 -8374,                 59655,                    747,                 -7627,               -754436,,,               -308255,             -3430981,                  4553,             -2016043,                 47198,,                              0,                  5000,                 -6243,             -5704771,                 41481,             -5560391,             13615987,              8055596,              8055596,,,               -532229,                  1767,,,,                   -475,,                -17518,,,
2489,2013年01月01日至2013年06月30日,,                624685,                624685,,,                 20407,                 38081,                 -6428,               -393175,                 26759,                -38315,,,                -37012,                -12941,                    945,,,,                 14297,,,,                530096,                    -24,                -90250,                -31511,                 78587,                101858,                178339,                767095,,                   -143,               -232778,               -637727,                452529,                -27771,,,               -438944,                328151,                -59231,                565454,                 38446,,                -27014,               -213192,                363694,,                -74280,,               -332974,,,                 -4955,                 58560,                    623,                 -6983,               -360733,,,               -308255,             -1087466,                     59,,                 42005,,                              0,                  5000,                 -6243,             -1354900,                 43382,             -1308557,             13615987,             12307430,             12307430,,,               -387382,                  1178,,,,                   -724,,                 -9749,                 15517,                              0,
2489,2013年01月01日至2013年03月31日,,                305528,                305528,,,                 10258,                 24379,                 -6428,               -217059,                 18183,                -17063,,,                 24674,,,,,,                 14297,,,,                -10084,                    -20,                327749,               -111367,                 66747,              1110467,                 41708,              1425200,,                    -75,               -183399,             -1979686,                 89886,                -27106,,,             -2108246,               -683046,               -831805,               -526277,                 17280,,                -17993,                -44964,               -571954,,                -47579,,,,,                 -1085,,                    660,                 -1762,                -50490,,,               -308255,,                     49,,                 11523,,                              0,,                 -6243,               -209013,                 33404,               -798053,             13615987,             12817934,             12817934,,,               -148759,                    589,,,,                   -724,,                -18179,                  9724,,                 93913
