證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 處分投資性不動產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得無形資產,　　 收取之股利,　　　　 其他項目,　　　　 處分投資損失（利益）,　　　　　 應付建造合約款（增加）減少,　　 其他應收款－關係人減少,　　 預付投資款增加,　　 其他應收款減少
1618,2015年01月01日至2015年09月30日,,                -29315,                -29315,,,                 78485,                    386,                  2626,                     74,                 -4923,                 -1012,                    110,                              0,                              0,                 21500,                    622,                 97868,,,                 -5008,               -244786,                 -3055,                   -720,                -89635,                -31826,                    -30,               -375060,,                -35610,                241099,                -54160,                 23213,                 -7254,                      1,                167289,               -207771,               -109903,               -139218,                    -74,                 -1565,               -140857,,                              0,                -75584,                 99701,                              0,                -21677,                      2,                -13112,                 13681,                    -37,                              0,                 -2169,                  5073,                  5878,,                      4,                 -1000,                -48173,                -49169,                    183,               -183965,                781581,                597616,                597616,,,,,,,,,,,,,,,,,,,
1618,2015年01月01日至2015年06月30日,,                -71787,                -71787,,,                 53026,                    257,                    928,                     48,                 -3627,                 -1045,                    110,,,                 16000,                    222,                 65919,,,                 -9253,                -74448,                 -3404,                 -4219,                 59420,                 -4141,                     10,                -46512,,                -29839,                 98291,                -54899,                 20047,                 27470,                     10,                 87151,                 40639,                106558,                 34771,                    -48,                 -1430,                 33293,,,                -75584,                 99701,,                -11777,                      2,                 -8757,                  9430,                    -37,,                 -1297,                  3720,                 15401,,                      4,                 -1000,,                   -996,                   -119,                 47579,                781581,                829160,                829160,                     37,                -10514,                   -445,                 26516,,,,,,,,,,,,,,,
1618,2015年01月01日至2015年03月31日,,                -53830,                -53830,,,                 27141,                    128,                  1565,                     23,                 -1804,                   -312,                              0,,,                 27000,                    384,                 54125,,,                 -6111,               -131147,                    592,                  3549,                 54709,                  1021,,                -81418,,                  1917,                 92490,                -48835,                   -830,                   -220,                      1,                 44078,                -37340,                 16785,                -37045,                    -23,                   -187,                -37255,,,                 -1084,                 20201,,                 -5794,                              0,                              0,                  1496,                    -37,,                   -949,                  1875,                 15708,,,                 -1000,,                 -1000,                    -53,                -22600,                781581,                758981,                758981,                     37,                 -4068,                   -445,,                              0,,,,,,,,,,,,,,
1618,2014年度,,                -28369,                -28369,,,                116390,                    840,                   -861,                    108,                 -6696,                   -829,                -18092,                -26866,,                 16197,                 -1004,,,,                  9678,                 69619,                   -684,                 -6137,               -104810,                   -323,                     41,                -32363,,                -12834,               -122499,                -39120,                 -7342,                 -4122,,               -230531,               -262894,               -189642,               -218011,                   -108,                 -6626,               -224745,,                  3040,,,                   -203,                -12863,                 44025,                 -2508,                              0,                   -247,                147908,                 -9273,                  6347,                195021,,,,                              0,                              0,                    280,                -29444,                811025,                781581,                781581,,                    253,                -44614,                              0,,,                 -5935,                 73252,                              0,               -227694,                240554,                              0,                  5935,,,,,,
1618,2014年01月01日至2014年09月30日,,                 -4202,                 -4202,,,                 88338,                    669,                    -48,                     84,                 -4794,                    224,                -18092,                -26866,                   -160,                 15697,                   -661,                 54391,,,                  5648,                -13305,                 -1964,                 -7140,               -126077,                     32,                              0,               -142806,,                -43517,                -86629,                -38378,                 -6688,                    992,                              0,               -174220,               -317026,               -262635,               -266837,                    -84,                 -6435,               -273356,,                  3200,               -103738,                140880,                   -203,                 -8983,                 44025,                 -8438,                  6999,                   -120,                147908,                 -9138,                  4455,                216847,,                              0,                              0,                              0,                              0,                     94,                -56415,                811025,                754610,                754610,,,,,,,,,,,,,,,,,,,
1618,2014年01月01日至2014年06月30日,,                -42709,                -42709,,,                 59761,                    415,                  2017,                     59,                 -3223,                    319,                   -910,,,                 11000,                    686,                 70124,,,                  1043,               -207291,                              0,                 -9638,                  3881,                    780,                              0,               -211219,,                 -2068,                -61767,                 -2338,                 -6907,                  8965,                              0,               -109174,               -320393,               -250269,               -292978,                    -59,                 -6282,               -299319,,,                -89380,                126255,,                 -4851,                    910,                 -6471,                  5035,                              0,,                 -1715,                  2909,                 32692,,                              0,                              0,,                              0,                     10,               -266617,                811025,                544408,                544408,                     -3,                      9,                -45059,                              0,,,,,,,,,,,,,,,
1618,2014年01月01日至2014年03月31日,,                -14992,                -14992,,,                 30437,                    207,                    709,                     29,                 -1625,                    495,                   -910,,,                 13000,                    187,                 42529,,,                  9604,                -94442,                              0,                 -8865,                -90005,                  4998,,               -178718,,                    662,                -20786,                -11511,                    257,                 10869,                              0,                -59884,               -238602,               -196073,               -211065,                    -29,                   -131,               -211225,,,                -14880,                              0,,                 -1717,                    910,                 -1588,                              0,                              0,,                   -720,                  1314,                -16681,,,                              0,,                              0,                    102,               -227804,                811025,                583221,                583221,                    -11,                      3,                -39375,,                              0,,,,,,,,,,,,,,
1618,2013年度,,                -64308,                -64308,,,                158604,                    562,                   -214,                    122,                 -5263,                 -1777,                              0,                              0,,                 70243,                   -177,,,,                -10874,                 20660,                  5603,                  1537,                284105,                    312,                              0,                312751,,                -48522,                 13131,                -72926,                -24763,                  2414,,               -130459,                182292,                391083,                326775,                   -124,                -37237,                289414,,                              0,,,                              0,                -10455,                              0,                              0,                    468,                 -4480,                              0,                 -5632,                  5180,               -171558,,,,               -120432,               -120432,                    112,                 -2464,                813489,                811025,                811025,,                 11408,                 45033,                -44826,,,                -13309,                208791,                -56619,               -172000,                 59500,                   -829,                 13309,,,,,,
1618,2013年01月01日至2013年12月31日,,                -64308,                -64308,,,                158604,                    562,                   -214,                    122,                 -5263,                 -1777,                              0,,,                 70243,                   -177,,,,                -10874,                 20660,                  5603,                  1537,                284105,                    312,,                312751,,                -48522,                 13131,,                -24763,                  2414,,               -130459,                182292,                391083,                326775,                   -124,                -37237,                289414,,                              0,,,,                -10455,                              0,,                    468,                 -4480,,                 -5632,                  5180,               -171558,,,                              0,               -120432,               -120432,                    112,                 -2464,                813489,                811025,                811025,,                 11408,                 45033,                -44826,,,                -13309,                208791,                -56619,               -172000,                 59500,                   -829,                 13309,,                              0,                -72926,                              0,,
1618,2013年01月01日至2013年09月30日,,                -30975,                -30975,,,                122517,                    416,                  1763,                     96,                 -3734,                    200,                              0,                              0,                              0,                 32500,                    269,,,,                 -6174,               -171291,                  5560,                  1000,                285144,                  2544,,                128184,,                -46479,                 20146,                -28357,                -22354,                  6693,,               -106020,                 22164,                176191,                145216,                    -96,                -36456,                108664,,                              0,,,                              0,                 -8458,                              0,                              0,                    482,                 -4384,                              0,                 -3888,                  3622,                -60333,,,,               -120432,               -120432,                     75,                -72026,                813489,                741463,                741463,,                 11401,                  9157,                -44826,,,,                154027,                -56619,                -23000,                 32000,                    -88,,                              0,,,,,
