證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　　 其他金融負債增加（減少）,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 取得投資性不動產,　　 現金增資
1455,2015年01月01日至2015年09月30日,,                108381,                108381,,,                525202,                 24470,                -56597,                 29966,                   -224,                -32942,                 -6589,                -60803,                422483,,,                -97115,                  4424,                 20381,                 25159,                -32161,                -67218,                -16717,                   -702,               -163949,,                  6977,                   -171,               -810953,                 -2081,                -21973,                  3769,                 25537,                   -222,                    109,               -799008,               -962957,               -540474,               -432093,                    224,                 32942,                -28838,                -24302,               -452067,,                -48347,                              0,                -10000,                -73192,                 10535,                   -717,                              0,                   -497,                -25589,               -121961,               -269768,,                707000,                              0,               -300000,                900000,               -579000,                              0,                   -221,               -122353,                605426,                    325,               -116084,                194720,                 78636,                 78636,,,,,,,,,,,
1455,2015年01月01日至2015年06月30日,,                214931,                214931,,,                350497,                 16293,               -103433,                 19467,                   -167,                -20566,                 -5148,                -10863,                246080,,,                 -4191,                  4424,                -62999,                 34416,                 -2632,               -344033,                -22962,                 -1319,               -399296,,                -27067,                   -171,               -187316,                 -1069,                -50315,                  2727,                 23468,,                    -43,               -238254,               -637550,               -391470,               -176539,                    167,                 19821,                -18504,                -24302,               -199357,,                -62891,                              0,                -10000,                -52184,                  8015,                   -313,                              0,                   -166,                -18904,                -13002,               -149445,,                              0,                -90000,               -300000,                900000,               -246000,                              0,                   -221,,                263779,                   -171,                -85194,                194720,                109526,                109526,                              0,                  1532,                              0,,,,,,,,
1455,2015年01月01日至2015年03月31日,,                -77462,                -77462,,,                177489,                  8129,                -39925,                  9507,                    -46,,                 -2031,                 -5644,                147479,,,                -70746,                  4424,                 97154,                 43339,                -23325,               -235814,                   -184,                    146,               -185006,,                -17766,                    207,               -221906,                 -1137,                -54691,                  1345,                 59058,                    100,                     13,               -234777,               -419783,               -272304,               -349766,                     46,,                 -9250,                     16,               -358954,,                -66715,                 33192,                -10000,                -15892,                  4220,                   -409,                              0,                              0,                 -8761,                 -1789,                -66154,,                 15000,,                              0,              1015000,               -738000,                              0,                   -321,,                291679,                    -62,               -133491,                194720,                 61229,                 61229,                              0,,,,,,,,,,
1455,2014年度,,                 85510,                 85510,,,                692275,                 32646,                 82056,                 50008,                   -293,                -31430,                   -843,                -74663,,,,                 31744,                 -3147,               -284851,                 26625,                 26769,              1035457,                     19,                   -262,                832354,,                 31090,                    171,                607326,                  2195,                   -272,                    472,                  1623,                    251,,                642557,              1474911,              2312680,              2398190,                    293,                 31430,                -49511,                 -9760,              2370642,,,                 89004,,               -145852,                  2052,                              0,                    732,                 -4243,                -26317,               -246277,               -330313,,               -167141,,               -850000,                300000,             -1147000,                    350,                              0,               -122353,             -1986144,                    254,                 54439,                140281,                194720,                194720,                              0,,                              0,,                 88013,                837769,                              0,                   -299,                    588,                              0,
1455,2014年01月01日至2014年09月30日,,                 56400,                 56400,,,                515492,                 24625,                 99568,                 40579,                   -181,                -31431,                   -867,                -70704,                577081,,,                -32411,                   -917,                -92557,                 49482,                 17402,                929449,                 -4035,                    124,                866537,,                 13730,                    174,                231434,                  1650,                -33088,                  2961,                 73252,                      6,                   -272,                289847,              1156384,              1733465,              1789865,                    181,                 31186,                -39835,                 -9753,              1771644,,                              0,                 93131,                              0,               -123986,                  2052,                              0,                    964,                   -343,                -19934,               -154519,               -202635,,                              0,               -157141,               -350000,                              0,             -1024000,                    350,                              0,               -122353,             -1653144,                     26,                -84109,                140281,                 56172,                 56172,,,,,,,,,,,
1455,2014年01月01日至2014年06月30日,,                 24364,                 24364,,,                340318,                 16818,                 68639,                 29490,                    -93,                -26548,                    118,                -70700,                358042,,,                 64638,                 -1072,               -555677,                 49806,                  3961,                474601,                -17553,                    125,                 18829,,                 42018,                              0,                190975,                  1001,                -61414,                  2366,                 40087,,                   -249,                215200,                234029,                592071,                616435,                     93,                 23149,                -29623,                 -9740,                600314,,                              0,                 92731,                              0,                -94166,                  1012,                              0,                    414,                   -220,                -14244,               -128634,               -143107,,                185859,                              0,                              0,                              0,               -900000,                    350,                              0,,               -463791,                   -161,                 -6745,                140281,                133536,                133536,                              0,                    416,                250000,,,,,,,,
1455,2014年01月01日至2014年03月31日,,                 99799,                 99799,,,                169196,                  8669,                 49909,                 15350,                    -26,,                    -12,                -56126,                186960,,,                 78887,                 -2272,               -199134,                 41862,                 33072,               -428525,                 -1084,                   -156,               -477350,,                 19439,                              0,                250446,                  1832,                -56685,                  1369,                 43968,                    379,                    -45,                260703,               -216647,                -29687,                 70112,                     26,,                -14912,                 -1424,                 53802,,                              0,                 63997,                              0,                -64872,                     12,                              0,                    411,                   -220,                 -8323,                 -2900,                -11895,,                782004,,               -300000,                              0,               -450000,                    350,                              0,,                 32354,                    -28,                 74233,                140281,                214514,                214514,                              0,,,,,,,,,,
1455,2013年度,,                406207,                406207,,,                639287,                 33675,               -124390,                 69911,                   -106,                -24585,                 10607,                -69883,,,,                 37011,                 -1261,                248568,                 17349,                 16708,                158602,                  3200,                   -125,                480057,,               -141764,                              0,               -693670,                     38,                 30495,                  1005,                -32378,                   -148,,               -836942,               -356885,                282746,                688953,                    106,                 24585,                -71341,                    -15,                642288,,,                 36125,,               -279535,                119141,                   -541,                              0,                 -1164,                -30988,               -730755,               -887767,,                -42182,,                              0,              1100000,             -1300000,                              0,                   -300,                              0,                257518,                    182,                 12221,                128060,                140281,                140281,                              0,,                500000,,                105115,                639631,                      5,                   -520,                    600,                   -650,
1455,2013年01月01日至2013年12月31日,,                406207,                406207,,,                639287,                 33675,               -124390,                 69911,                   -106,                -24585,                 10607,                -69883,,,,                 37011,                 -1261,                248568,                 17349,                 16708,                158602,                  3200,                   -125,                480057,,               -141764,,               -693670,                     38,                 30495,                  1005,                -32378,                   -148,,               -836942,               -356885,                282746,                688953,                    106,                 24585,                -71341,                    -15,                642288,,,                 36125,                              0,               -279535,                119141,                   -541,,                 -1164,                -30988,               -730755,               -887767,,,                -42182,,              1100000,             -1300000,,                   -300,                              0,                257518,                    182,                 12221,                128060,                140281,                140281,,,                500000,,                105115,                639631,                      5,                   -520,                    600,                   -650,                              0
1455,2013年01月01日至2013年09月30日,,                299804,                299804,,,                472754,                 24244,                -75765,                 51398,                    -45,                -24585,                 11807,                -57369,,,,                 85181,                 -7964,                -79479,                 56640,                  7860,                184599,                -18760,                              0,                228082,,               -115247,                              0,               -603699,                     53,                  9180,                  3637,                -15750,                     38,,               -722251,               -494169,                -12436,                287368,                     45,                 21281,                -51683,                    -11,                257000,,,                 52759,,               -217716,                115542,,                   -736,                   -926,                -23612,               -698243,               -772332,,                -73447,,               -150000,                700000,                              0,                   -300,,                              0,                476253,                              0,                -39079,                128060,                 88981,                 88981,,,,,                 79294,                481733,                      5,                   -463,                    600,,
