證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 庫藏股票處分,　　　　　 預付款項（增加）減少,　　 處分子公司,　　 其他借款減少,　　　　　 預付費用（增加）減少,　　 附買回票券及債券負債減少,　　　　　 遞延貸項增加（減少）,　　 存出保證金增加,　　 其他借款增加,　　 存入保證金增加,　　 其他非流動資產增加,　　 其他投資活動,　　 其他非流動負債增加
1319,2015年01月01日至2015年09月30日,,              1281032,              1281032,,,              1955010,                168982,                              0,                109842,                 -4723,               -240142,                 12422,                              0,                   -436,              2000955,,,                 59070,                313388,                 -3738,                 10947,                 76205,                227299,                -58628,                624543,,                 -6024,               -202679,                 22011,               -612740,                  7463,                -48652,                -19715,                   -966,               -861302,               -236759,              1764196,              3045228,                  4723,                255338,               -234700,              3070589,,                 48788,                              0,                 10950,             -2844654,                 50631,               -362616,                              0,                114916,             -2981985,,                              0,               -513071,                              0,               -570000,              1200000,              2229181,             -1658986,               -437693,                -17073,                -88877,                -38144,                105337,                -19105,                174836,              1195358,              1370194,              1370194,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2015年01月01日至2015年06月30日,,                713457,                713457,,,              1297428,                103953,                              0,                 72737,                 -3118,               -175541,                 11602,                              0,                   -290,              1306771,,,                 70578,                245450,                    481,                -41111,                114215,                156535,                -26990,                519158,,                 80879,               -285950,                  6513,               -351401,                    883,                -29555,                -13748,                 -1139,               -593518,                -74360,              1232411,              1945868,                  3118,                 54428,               -165005,              1838409,,                              0,                              0,,             -1930580,                 50926,               -134245,                              0,                124977,             -1893831,,                              0,               -810701,                              0,               -450000,              1200000,              1754535,             -1429050,,                -17073,                -64746,                -38144,                144821,                 -9181,                 80218,              1195358,              1275576,              1275576,                 -4909,,,,,,,,,,,,,,,,,,,,,,,,
1319,2015年01月01日至2015年03月31日,,                502207,                502207,,,                643758,                 57173,                              0,                 36291,                 -1846,                -76851,                 -2302,                              0,                   -145,                656078,,,                115783,                108823,                 10074,               -307787,                  7997,                -72767,                 26280,               -111597,,                 41482,               -137190,                -22357,               -494383,                  1923,                -40404,                 -7599,                 -1111,               -659639,               -771236,               -115158,                387049,                  1846,                307800,                -26650,                670045,,                              0,                              0,,             -1106479,                 30194,                -46177,                              0,                 93571,             -1076333,,                              0,               -115667,                              0,               -199999,              1200000,                700000,               -995151,,                -17073,                -51104,                -17074,                503932,                 -5395,                 92249,              1195358,              1287607,              1287607,                -47442,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年度,,              1200009,              1200009,,,              2395431,                224478,                    273,                126847,                -10867,               -422607,                 -1265,                  1474,                   -581,,,,                -79977,               -613258,                 -8153,                -70729,                -15135,               -408951,                -42223,             -1238426,,                -62397,                481703,                 30621,                555474,                  6591,                 61597,,                 -2293,              1041561,               -196865,              2116318,              3316327,                 10885,                239942,               -261363,              3305791,,,                  6461,                 36500,             -3721139,                116306,               -291815,               -257744,,             -4068639,,              1049609,,                570000,                              0,,              1355888,               -923725,               -650625,               -357953,               -105860,                -21764,                915570,                -29193,                123529,              1071829,              1195358,              1195358,,,                              0,                              0,                              0,              2313183,                -29735,                              0,                 42792,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1319,2014年01月01日至2014年09月30日,,              1158570,              1158570,,,              1775745,                164826,                    273,                 92664,                 -5612,               -281080,                 -9562,                  1711,                   -436,              1738529,,,                 19051,               -139920,                -23131,                -58202,                -40185,               -210115,                -14822,               -467324,,                 -2799,                239951,                  4617,               -164287,                  2361,                -13938,                -21915,                 -2313,                 41677,               -425647,              1312882,              2471452,                  5630,                239942,               -252772,              2464252,,                 17704,                  6223,                 36500,             -2606033,                 64113,               -142506,               -332111,                              0,             -2956110,,                800440,                              0,                605000,                              0,                              0,              1264252,               -872915,               -650625,               -357953,                -84502,                -21343,                682354,                -29709,                160787,              1071829,              1232616,              1232616,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年01月01日至2014年06月30日,,                881166,                881166,,,              1171940,                107162,                    273,                 60714,                 -3969,               -199674,                 -7375,                  1711,                   -290,              1130492,,,                  4311,                -48394,                -14357,                -41398,                106326,               -157518,                  5999,               -145031,,                 29156,                 79227,                   -746,               -130444,                 -2379,                 58018,                -14419,                 -2341,                 16072,               -128959,              1001533,              1882699,                  3988,                 74394,               -165200,              1795881,,                 12026,                  6223,,             -1633185,                 41531,               -107834,               -295939,                              0,             -1977178,,                832208,                              0,                640000,                              0,                              0,                638545,             -1098805,,               -357953,                -67377,                -11328,                575290,                -41026,                352967,              1071829,              1424796,              1424796,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1319,2014年01月01日至2014年03月31日,,                480618,                480618,,,                580447,                 52298,                    173,                 29030,                 -1810,                -85580,                 -1135,                  1711,                   -145,                574989,,,                  1764,                  1406,                 -6577,                 -1107,                 61325,                -34604,                 -1769,                 20438,,                -42292,                138663,                -17107,               -173151,                  2801,                 26204,                 -7112,                 -2309,                -74303,                -53865,                521124,              1001742,                  1829,                              0,                -29712,                973859,,                 41621,                  6223,,               -743555,                 22532,                -45655,                -46918,                              0,               -765752,,                403026,                              0,                469440,                              0,                              0,                374751,             -1141053,,                              0,                -44128,                              0,                 62036,                -12801,                257342,              1071829,              1329171,              1329171,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1319,2013年度,,              1698445,              1698445,,,              2204172,                197207,                -13551,                104218,                -12352,               -242503,                 -1377,                              0,                 -3822,,,,                  3995,               -707534,                 -5156,                -73641,               -337657,                -84764,               -192291,             -1397048,,                 39760,                262685,                 39436,                237765,                 -2566,                -51408,,                     21,                492170,               -904878,              1388464,              3086909,                 12335,                117328,               -180620,              3035952,,,                              0,                              0,             -2622621,                 28772,               -263460,               -374474,,             -3349749,,                235294,,                              0,               -650000,,              1476207,               -571365,               -201968,               -347711,                -85769,                 -9628,                -45927,                 41702,               -318022,              1389851,              1071829,              1071829,,,                 39622,                 14770,                  6958,              2293342,                -33523,                -57075,                              0,                 16739,               -146995,                 69365,                109013,,,,,,,,,,,,
1319,2013年01月01日至2013年12月31日,,              1698445,              1698445,,,              2204172,                197207,                -13551,                104218,                -12352,               -242503,                 -1377,,                 -3822,,,,                  3995,               -707534,                 -5156,                -73641,               -337657,                -11942,               -192291,             -1397048,,                 39760,                262685,                 39436,                237765,                 -2566,                -51408,,                     21,                492170,               -904878,              1388464,              3086909,                 12335,                117328,               -180620,              3035952,,,,                              0,             -2622621,                 28772,               -263460,               -374474,                              0,             -3349749,,                235294,,               -650000,,                              0,                904842,                              0,               -201968,               -347711,                -85769,                 -9628,                -45927,                 41702,               -318022,              1389851,              1071829,              1071829,,,                 39622,                 14770,                  6958,              2293342,                -33523,                -57075,,                 16739,               -146995,                 69365,                109013,                -72822,                              0,                              0,,,,,,,,,
1319,2013年01月01日至2013年09月30日,,              1321905,              1321905,,,              1646331,                182720,                -16283,                 75361,                 -7913,               -170229,                   -126,                              0,                 -2834,,,,                  7839,               -365411,                 -2823,                -63964,               -352893,                 -4745,                -84259,               -866256,,                 13434,                199385,                  7816,                 82525,                    381,                -46213,,                     15,                232484,               -633772,              1073255,              2395160,                  7895,                117328,               -164727,              2355656,,,                              0,                              0,             -1949260,                 15543,               -158654,               -128805,,             -2405994,,                277279,,                              0,               -310000,,              2467113,             -2464999,                              0,                              0,                -67760,                 -9628,                  1018,                 27066,                -22254,              1389851,              1367597,              1367597,,,,,,              1707027,                -24859,                -37823,                              0,,               -146995,,                109013,,,,,,,,,,,,
