證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　 現金增資
1476,2015年01月01日至2015年09月30日,,              3688701,              3688701,,,                555622,                -23250,                 -3023,                 27480,                 -6613,                 -2260,                  1357,                              0,                549313,,,                -64717,             -1008604,                    191,                -34696,                -14475,             -1122301,,                369678,                 66588,                 22215,                  3746,                462227,               -660074,               -110761,              3577940,                  6613,                -27480,               -783601,              2773472,,                              0,                              0,               -428934,                 24586,                 -2900,                              0,                 -6520,               -136157,                  1889,                              0,               -548036,,                              0,               -124297,                 70062,                              0,                -11627,                              0,                 -9635,             -2087899,                              0,             -2163396,                -32649,                 29391,              1849871,              1879262,              1879262,,,,,,,,,,,
1476,2015年01月01日至2015年06月30日,,              2124258,              2124258,,,                361177,                -23250,                 -3023,                 18265,                 -4661,                 -2369,                    188,                              0,                346327,,,               -595605,               -999733,                 54315,                -27473,                 -1894,             -1570390,,                518039,               -182744,                 26106,                  2743,                364144,             -1206246,               -859919,              1264339,                  4661,                -18265,               -448084,                802651,,                              0,                              0,               -325504,                 16864,                 -2615,                              0,                 -3772,                -30289,                  1889,                              0,               -343427,,                              0,                -21356,                 27979,                              0,                -11627,                              0,                 -9635,,                              0,                -14639,                 18368,                462953,              1849871,              2312824,              2312824,,,,,,,,,,,
1476,2015年01月01日至2015年03月31日,,                859042,                859042,,,                176116,                -15000,                 -3023,                  9232,                   -844,                   -872,                  1254,,                166863,,,                468231,               -626639,                -66721,                -19342,                 -1294,               -245765,,                269192,               -263640,                 15853,                  1831,                 23236,               -222529,                -55666,                803376,                    844,                 -9232,                   -927,                794061,,                              0,,               -139850,                 14133,                 -2181,                              0,                 -1421,                -11486,,,               -140805,,                 52437,,,                 -1043,                -11627,,                 -9635,,,                 30132,                 13457,                696845,              1849871,              2546716,              2546716,,,,,,,,,,,
1476,2014年度,,              3738406,              3738406,,,                552267,                -16203,                  8551,                 28799,                 -3902,                 -2505,                  9554,                    345,,,,               -524662,                133719,                -88615,                 46944,                  8741,               -423873,,                 -2554,                 38503,               -104961,,                -65510,               -489383,                 87523,              3825929,                  3902,                -28799,               -657104,              3143928,,                  7209,                  3210,             -1486445,                  8208,,                  1616,                 -8299,               -164186,                  1608,                -14736,             -1651815,,                898964,,                 74085,                 -3910,,,                 -2264,             -1756646,                -10814,               -800585,                -52144,                639384,              1210487,              1849871,              1849871,,                576906,                  3502,                              0,                              0,,,,,,
1476,2014年01月01日至2014年09月30日,,              2606457,              2606457,,,                378206,                -31203,                 -6099,                 19576,                 -3517,                 -2048,                  1309,                    345,                356569,,,               -471053,               -166942,               -100628,                 48899,                 -5831,               -695555,,                287459,               -109286,                -56191,                  3497,                125479,               -570076,               -213507,              2392950,                  3517,                -19576,               -657700,              1719191,,                  7209,                  3210,             -1242212,                  7872,                              0,                  1502,                 -3088,               -179521,                  1608,                -14736,             -1418156,,              1027760,                              0,                              0,                -24142,                              0,                    100,                              0,             -1756646,                -10814,               -763742,                -13568,               -476275,              1210487,                734212,                734212,,,,,,,,,,,
1476,2014年01月01日至2014年06月30日,,              1553234,              1553234,,,                240039,                -33203,                 -6148,                 13096,                 -3104,                   -162,                  2362,                    345,                213225,,,               -203775,               -107921,               -116131,                 44558,                   -239,               -383508,,                 66953,               -174734,                -67690,                  2591,               -172880,               -556388,               -343163,              1210071,                  3104,                -13096,               -380143,                819936,,                  4779,                  3210,             -1059045,                  6834,                              0,                  1539,                 -2651,               -173003,                  1608,                -14736,             -1231465,,                488748,                              0,                              0,                -10703,                              0,                    100,                              0,,                -10814,                467331,                  7074,                 62876,              1210487,              1273363,              1273363,,,,,,,,,,,
1476,2014年01月01日至2014年03月31日,,                804018,                804018,,,                117311,                  7837,                   -505,                  6135,                   -312,                              0,                 -1292,,                129174,,,                 44794,               -101261,                -34643,                 11219,                 -6248,                -86139,,                -23354,               -245371,                 -6256,                  1702,               -273279,               -359418,               -230244,                573774,                    312,                 -6135,                 -4072,                563879,,                     36,,               -491877,                  2812,                              0,                  1416,                              0,               -122613,,,               -610226,,                278003,,,                -10430,                              0,,                              0,,,                267573,                  2775,                224001,              1210487,              1434488,              1434488,,,,,,,,,,,
1476,2013年度,,              3318179,              3318179,,,                418464,                 24273,                     -3,                 19862,                 -2663,                              0,                 25519,                              0,,,,               -492214,               -772695,                -50502,                 -5886,               -113221,             -1434518,,                405711,                141881,                140256,,                690938,               -743580,               -258128,              3060051,                  2663,                -19862,               -509142,              2533710,,                              0,                              0,             -1173262,                  2690,,                    347,                 -7807,               -467391,                              0,                              0,             -1692905,,                213805,,                              0,                -46040,,,                -24000,             -1230144,                              0,             -1086379,                 -4985,               -250559,              1461046,              1210487,              1210487,,                485452,                  3090,                   -121,                -47361,,,,,,
1476,2013年01月01日至2013年12月31日,,              3318179,              3318179,,,                418464,                 24273,                     -3,                 19862,                 -2663,,                 25519,,,,,               -492214,               -772676,                -50502,                 -5886,               -113221,             -1434499,,                405711,                141881,                140256,,                690938,               -743561,               -258128,              3060051,                  2663,                -19862,               -509142,              2533710,,,,             -1173262,                  2690,                              0,                    347,                 -7807,               -467391,,,             -1692905,,                213805,                              0,,                -46040,,                              0,                -24000,             -1230144,,             -1086379,                 -4985,               -250559,              1461046,              1210487,              1210487,,                485433,                  3090,                   -121,                -47361,,                              0,                              0,                              0,                    -19,                              0
1476,2013年01月01日至2013年09月30日,,              2376249,              2376249,,,                300970,                 24276,                      5,                 14395,                 -1976,                              0,                 23003,                              0,,,,               -432319,               -784059,                -93271,                 -8166,                -90154,             -1407969,,                327374,                 96338,                 64351,,                490372,               -917597,               -556924,              1819325,                  1976,                -14395,               -514831,              1292075,,                              0,                              0,               -724640,                  2832,,                    999,                 -3532,               -456204,                              0,                              0,             -1228031,,                 37993,,,                -27798,,                              0,                -12000,                              0,                              0,                 -1805,                  2066,                 64305,              1461046,              1525351,              1525351,,                360673,                  2309,                   -125,                -47361,,,,,,
