證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 應付款項減少,　　 預付設備款減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 其他應付款－關係人減少,　　　　　 遞延借項（增加）減少,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金增加
1443,2015年01月01日至2015年09月30日,,               -121456,               -121456,,,                 58633,                 13428,                 10534,                 -3834,                 72049,                 -2411,                              0,                   -862,                 -4805,                              0,                              0,                142732,,,                 -9025,                 -1428,                 65287,                 -1768,                214855,                -21519,                -54666,               -105301,                   -199,                -48592,                 -9875,                 27769,,                 -8374,                  9709,                 -8001,                 -2281,                  5087,                -15000,                    356,               -101760,                  2904,                 -2607,               -119967,                -92198,                 50534,                -70922,                  3606,                              0,                -72043,                   -198,               -139557,,                 -1587,                              0,                              0,                 -4235,                 21232,                 14006,                              0,                 -7067,                              0,                 -3734,                 18615,,                              0,               -122321,                 30000,                196700,                              0,                    399,                 37591,                142369,                -35341,                -13914,                 64622,                 50708,                 50708,,,,,,,,,,,,,,,
1443,2015年01月01日至2015年06月30日,,               -130426,               -130426,,,                 38608,                  9250,                  4086,                  1693,                 47368,                 -1647,,                   -951,                   -171,                              0,                              0,                 98236,,,                 -9726,                   -712,                 21203,                 -1431,                206888,                   -263,               -111169,                -51303,                   -117,                  8854,                  7691,                 69915,,                -27531,                 11400,                 99601,                 -2334,                -64995,                -15000,                    393,                -47050,                  2095,                 -2104,                -45525,                 24390,                122626,                 -7800,                  3158,,                -47526,                   -198,                -52366,,,                  1827,                              0,                 -7332,                 14681,                    741,,                 -4924,,                              0,                  4993,,                 44710,,,,                -32200,                    354,                 34126,                 46990,                 26555,                 26172,                 64622,                 90794,                 90794,                              0,                              0,,,,,,,,,,,,,
1443,2015年01月01日至2015年03月31日,,                -93580,                -93580,,,                 19388,                  4785,                 -4598,                   -202,                 22245,                   -813,,                   -764,                   -173,                              0,                              0,                 39868,,,                  1647,                 -2665,                 21841,                 -4218,                211537,                   -177,                -58086,                -33154,                   -228,                  3495,                  4113,                144105,,                -16692,                              0,                 45423,                 -4577,                -79836,                              0,                    479,                 29070,                  1353,                 -1052,                -25832,                118273,                158141,                 64561,                    172,,                -22225,                   -305,                 42203,,,                  3007,                              0,                   -961,                 14826,                    404,,                 -2961,,,                 16426,,                              0,                   -332,,,                -16100,,,                -16439,                 11117,                 53307,                 64622,                117929,                117929,                     -7,,                  2111,                              0,,,,,,,,,,,
1443,2014年度,,               -237319,               -237319,,,                 95812,                 21192,                 27567,                 -4032,                109864,                 -3195,                   -369,                 -6557,               -189993,,                380775,,,,                 16049,                 -5816,                 41502,                  2123,               -232289,                 19344,               -133115,                 81166,                   -312,                -26093,                -19981,               -257422,,                 19007,                   -338,                -72401,                  4577,                -10900,                 -9272,                     -7,                 55161,                  1059,,                -21863,               -279285,                130686,               -106633,                  2593,                    369,               -114268,                 -3153,               -221092,,                   -833,                              0,                 14540,                 -5405,                535789,                 11497,                    494,                              0,                 13079,                              0,                576414,,                              0,               -201929,,                              0,                -77409,                  1018,,               -313387,                -56634,                -14699,                 79321,                 64622,                 64622,,,                  8481,,,                -21093,                409971,                 -8749,                              0,                 -2000,                    772,                -35067,,,
1443,2014年01月01日至2014年09月30日,,               -353052,               -353052,,,                 84584,                 15264,                  3375,                   -167,                 81999,                 -2364,                   -238,                    440,                   -729,                -21162,                   -848,                160154,,,                  7842,                 -5034,                 50164,                     17,               -154589,                 20449,                249672,                -57945,                 -1963,                -13637,                 -3963,                 91013,,                 34304,                   -217,                -24700,                  8544,                 40842,                  8521,                  1162,                 21460,                 22854,                 -7762,                105008,                196021,                356175,                  3123,                  2874,                    238,                -85974,                 -1951,                -81690,,                              0,                    167,                 14539,                   -122,                    729,                 11418,                    494,                              0,                 18873,                 -2302,                 43796,,                 96205,                              0,                              0,                              0,                -59780,                    367,                 12792,                 49584,                -25625,                -13935,                 79321,                 65386,                 65386,,,,,,,,,,,,,,,
1443,2014年01月01日至2014年06月30日,,               -167742,               -167742,,,                 61580,                 11023,                    765,                   -112,                 53659,                 -1577,,                 -7152,                   -729,                -10716,                   -848,                105893,,,                  4996,                 -5034,                 40504,                  1538,                -11541,                 19800,               -128356,                -46106,                   -347,                  1647,                  6491,               -116408,,                 -6063,                   -115,                -33775,                  8885,                 59975,                 22770,                    637,                  6938,                  1623,                 -5974,                 54901,                -61507,                 44386,               -123356,                  2208,,                -57289,                 -1931,               -180368,,,                    167,                  5384,                              0,                    729,                 12561,,                 -5769,,                 -2115,                 10957,,                149729,,,,                -32200,                              0,                              0,                105499,                 43447,                -20465,                 79321,                 58856,                 58856,                   -505,                -11525,,,,,,,,,,,,,
1443,2014年01月01日至2014年03月31日,,                -74145,                -74145,,,                 32379,                  5432,                  1782,                   -937,                 26958,                   -766,,                 -4662,                              0,                -10716,                   -848,                 48622,,,                 19642,                 -3327,                 14459,                 -5246,                 -8902,                    694,               -111969,                  3113,                   -902,                    426,                  1118,                -90894,,                  2438,                   -140,                  2429,                  2144,                -24000,                 10566,                    387,                -42895,                    986,                 -3187,                -51272,               -142166,                -93544,               -167689,                  1377,,                -30655,                    -45,               -197012,,,                    167,                  5384,                              0,                              0,                 11846,,                 -4155,,,                 13349,,                191772,                              0,,,                -16100,,,                164807,                 16490,                 -2366,                 79321,                 76955,                 76955,                    -17,,                    107,                -10848,,,,,,,,,,,
1443,2013年度,,               -173355,               -173355,,,                122639,                 19471,                -27356,                   -425,                103569,                 -2757,                   -195,                 -2461,                   -200,,                              0,,,,                  1274,                 -4574,                182211,                 -4364,                     70,                -19906,                -47481,                -45990,                  7653,                 -9412,                              0,                 59481,,                 16950,                 -4879,                -84197,                 -6035,                -17874,                 -6683,                   -157,                  7557,                 24878,,                -81473,                -21992,                190283,                 16928,                  2789,                    195,               -103617,                    211,                -83494,,                              0,                     17,                              0,                -42839,                  5717,                 28053,                              0,                -22628,                              0,                   -599,                -31402,,                171780,                              0,,                 35187,                              0,                  1383,,                208350,                -87710,                  5744,                 73577,                 79321,                 79321,,,                              0,,,                    -10,                212275,                -11033,                     89,                              0,                    788,                              0,,,
1443,2013年01月01日至2013年12月31日,,               -173355,               -173355,,,                122639,                 19471,                -27356,                   -425,                103569,                 -2757,                   -195,                 -2461,                   -200,,,,,,                  1274,                 -4574,                182211,                 -4364,                     70,                -19906,                -47481,                -45990,                    -73,                 -9412,                  7726,                 59498,,                 16950,                 -4879,                -84197,                 -6035,                -17874,                 -6683,                   -157,                  7557,                 24878,,                -81473,                -21975,                190300,                 16945,                  2789,                    195,               -103617,                    211,                -83477,,,,,                -42839,                  5717,,,                -22628,,                   -599,                -31419,,                171780,,,                 35187,                              0,                  1383,                              0,                208350,                -87710,                  5744,                 73577,                 79321,                 79321,,,,,,                    -10,                212275,                -11033,                     89,,                    788,,                              0,                     17,                 28053
1443,2013年01月01日至2013年09月30日,,               -108931,               -108931,,,                 89023,                 14602,                  3143,                   -199,                 73458,                 -2044,                    -63,                  1793,                   -200,                              0,                              0,,,,                  1755,                 -6308,                -15201,                 -7100,                  5135,                -15479,               -208924,                -92193,                   -444,                 -3330,,               -356817,,                 26320,                 -5217,                103233,                 11899,                169945,                  3413,                  1398,                 85414,                  5381,,                393746,                 36929,                216442,                107511,                  2695,                     63,                -74028,                   -355,                 35886,,,                              0,                              0,                -25584,                  5605,                  7690,                              0,                -20727,                              0,                              0,                -32228,,                 63554,,,                 51634,                              0,                              0,                              0,                 57028,                -55911,                  4775,                 73577,                 78352,                 78352,                   -613,,,,,,                179513,                 -8040,,,                    788,                -57547,                -14728,,
1443,2013年01月01日至2013年06月30日,,                -39715,                -39715,,,                 59572,                  9045,                  2014,                 -2139,                 50783,                 -1396,                              0,                  3804,                              0,                              0,                              0,,,,                 -1852,                 -5181,                -51406,                 -3848,                -13010,                 -4720,               -211790,                -61342,                 -2475,                 -8501,,               -379834,,                 39256,                 -5217,                 89823,                 18592,                 45222,                   -982,                 74296,                    881,                  4701,,                262017,               -117817,                  3866,                -35849,                    933,                              0,                -49962,                   -127,                -85005,,,,                              0,                -19514,                              0,                  6810,,                -16455,,                              0,                -29159,,                235793,,,                 30000,                -40270,,,                179734,                -82437,                -16867,                 73577,                 56710,                 56710,                   -628,                              0,,,,                              0,                121683,                 -4555,,,,                -45161,                -15709,                              0,
1443,2013年01月01日至2013年03月31日,,                 -8265,                 -8265,,,                 29060,                  4310,                   -137,                    -69,                 28034,                   -788,                              0,                  3890,                              0,                              0,                              0,,,,                   -234,                 -5581,                 -7585,                 -1466,                  6492,                 -5217,                -72825,                -33816,                 -2149,                 -9419,                 -2807,               -142061,,                 10125,                  4340,                -15642,                  1180,                -34007,                   -389,                    330,                 37445,                  3852,,                  5563,               -136498,                -72198,                -80463,                    346,                              0,                -26596,                    -94,               -106807,,,,                              0,,,,,,                 -9646,                              0,                 -2577,,                163300,,,,                -21538,,                              0,                141109,                -46105,                -14380,                 73577,                 59197,                 59197,                   -653,,,                              0,,                              0,                 64300,                 -1671,,,,,                 -7454,                              0,                  7069
1443,2012年01月01日至2012年12月31日,,               -315329,               -315329,,,                121523,                 18292,                 55021,                   -297,                109859,                 -5624,                   -307,                  1900,                    -48,,,,,,                  2507,                    186,               -142660,                  5186,                  5623,                 -2467,                156971,                -13197,                   -513,                 11888,                -59873,                -36349,,                -14156,                  5217,                 81442,                  6035,                 73428,                -45074,                    395,                 70761,                     55,,                173806,                137457,                437776,                122447,                  5340,                    307,               -110322,                    -55,                 17717,,,,,               -106094,                     85,,,                -21081,,                 -1542,               -147195,,               -220969,,,                318741,                              0,                  6266,                              0,                104038,                 40636,                 15196,                 58381,                 73577,                 73577,,,,,,                              0,                300319,                 -4297,                              0,,                              0,,                              0,                              0,                -18563
1443,2012年01月01日至2012年09月30日,,               -168375,               -168375,,,                 95626,                 14035,                 51350,                    -65,                 80723,                 -1830,                   -173,                   -849,                    -48,,,,,,                 -9980,                 -4560,               -135661,                  1557,                 -1518,                   -496,                 57040,                -54527,                -10432,                 -3628,                              0,               -217246,,                 33885,                  7457,                 96762,                  7456,                 35342,                  9571,                  1202,                106381,                  1468,,                296194,                 78948,                317717,                149342,                  1726,                    173,                -81522,                    -53,                 69666,,,,,                -57600,                     85,,,                -14453,,,                -89843,,               -287451,,,                429340,                -80480,                  4038,                -50794,                 14653,                 39986,                 34462,                 58381,                 92843,                 92843,,,,,,,                238769,                 -3330,,,                              0,,                -53041,                 -2000,                -17875
1443,2012年01月01日至2012年06月30日,,               -173298,               -173298,,,                 64434,                  9720,                 21126,                   -150,                 54232,                 -1212,,                   -523,                    -48,,,,,,                 -6662,                    444,               -133257,                  5437,                   -653,                   -802,                 68221,                -56263,                -39975,                 -4919,                              0,               -184554,,                 26002,                  3201,                112425,                  9857,                 24119,                 -5872,                    783,                 49561,                 40049,,                256685,                 72131,                219710,                 46412,                    720,,                -50249,                    137,                 -2980,,,,,                -55245,                     87,,,                -13679,,,                -65833,,                 -1427,,,                140000,                -30609,                  4012,                -12420,                 99556,                 32383,                 63126,                 58381,                121507,                121507,,,,,,,                147579,                 -3440,,,,,                -16125,,                  3004
1443,2012年01月01日至2012年03月31日,,                -87069,                -87069,,,                 31068,                  4971,                 14597,                    -77,                 26559,                   -506,,                   -330,,,,,,,                 -7629,                 -4557,                -36158,                  2884,                -90955,                     23,                186462,                -44601,                -15995,                  7695,                              0,                -12315,,                 23067,                              0,                 82003,                              0,                -63222,                -21628,                    333,                 34759,                    -67,,                 54298,                 41983,                118265,                 31196,                    319,,                -26029,                     97,                  5583,,,,,                -34169,                     39,,,                 -2468,,,                -36961,,                 24259,,,,                -15807,                    696,,                  9148,                 38460,                 16230,                 58381,                 74611,                 74611,,,,,,,                 76282,                   -947,,,,,                 -9484,,                   -363
