證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 非控制權益變動,　　 其他金融資產減少,　　　　 金融資產減損損失
3607,2015年01月01日至2015年09月30日,,                833282,                833282,,,                597359,                 13480,                  3184,                    981,                 28825,                 -6826,                   -221,                 73366,                 -1898,                  1645,                              0,                -29571,                -54431,                              0,                625893,,,                              0,                  1229,                648474,                 45612,                 84487,                -92279,                    281,                687804,,                    163,                 52629,               -309199,                 -2265,                  8855,                    -56,               -249873,                437931,              1063824,              1897106,                  6826,                    221,                -23936,               -206597,              1673620,,                              0,                -28485,                              0,               -214403,                 24707,                  4827,                -23329,                -26888,                -86153,               -349724,,                              0,                800000,                650000,             -1157164,                  1417,               -517450,                  2195,               -221002,                 -9465,              1093429,              1622331,              2715760,              2715760,,,,,,,,,,,
3607,2015年01月01日至2015年06月30日,,                585471,                585471,,,                391839,                  8520,                 -3890,                   -255,                 17045,                 -2892,,                  3431,                 -2561,                  1095,                              0,                -46370,                 -5444,                              0,                360518,,,                              0,                  4792,                794234,                 63304,                 55440,                -51301,                 -1499,                864970,,                   -242,                -55785,               -256142,                 -2191,                -14518,                    -39,               -328917,                536053,                896571,              1482042,                  2892,,                -15790,               -134916,              1334228,,                              0,                -28485,                              0,               -204795,                 10755,                    294,                -21657,                 21915,                -40099,               -262072,,                254300,                800000,                100000,               -306195,                 -1260,,                  2195,                849040,                -57826,              1863370,              1622331,              3485701,              3485701,,,,,,,,,,,
3607,2015年01月01日至2015年03月31日,,                313490,                313490,,,                195467,                  4608,                 -2140,                   -351,                  9724,                 -1141,,                 18420,                 -3138,,                              0,                  3080,                  3853,,                228382,,,                              0,                -66718,                474970,                 21071,                 58421,                -38741,                 -2109,                446894,,                   -406,               -209900,               -164812,                 -4535,                  4556,                    -17,               -375114,                 71780,                300162,                613652,                  1141,,                 -8550,                -40091,                566152,,                              0,                -28485,,                -99794,                  6940,,                 -3176,                -17007,                  6430,               -134902,,,,                              0,               -260378,                              0,,                  2075,                317036,                -30452,                717834,              1622331,              2340165,              2340165,                    190,                575600,                   -261,,,,,,,,
3607,2014年度,,              1086968,              1086968,,,                778272,                 17546,                  8638,                 -4363,                 37978,                -11481,                   -767,                -12719,                 -6066,,                 -8674,                 57285,                -31478,                  5168,,,,                 -2501,                 -4790,               -949172,                -83738,               -390466,                -47606,                 -6452,             -1484725,,                   -211,                 97317,                287779,                  1922,                  9139,,                396133,             -1088592,               -259253,                827715,                 11481,                 44200,                -31871,                -96207,                755318,,                 10677,               -295121,               -185565,               -484956,                158612,,                -39858,                -34021,               -371765,             -1244732,,               -149025,,                966050,               -557450,                 93067,               -379182,                 29526,                  2986,                 94278,               -392150,              2014481,              1622331,              1622331,                 -2735,,,,                              0,                              0,                829339,                    187,                              0,,
3607,2014年01月01日至2014年09月30日,,                422979,                422979,,,                593825,                 10711,                    888,                 -3448,                 27321,                 -7177,                   -210,                -37589,                 -4878,                  1584,                 -8674,                 79809,                 -8527,                  5678,                649313,,,                 -2133,                -20127,               -217363,               -143067,               -337786,                -33800,                -17276,               -771552,,                   -161,                117837,                 36474,                   -413,                 17750,                    142,                171629,               -599923,                 49390,                472369,                  7177,                    210,                -22544,                -96207,                361005,,                 10677,               -295121,               -185565,               -389535,                133622,                -19339,                -34201,               -109896,               -154769,             -1044127,,                  3075,                              0,              1018680,               -529167,                    247,               -379182,                 24179,                137832,                 37357,               -507933,              2014481,              1506548,              1506548,,,,,,,,,,,
3607,2014年01月01日至2014年06月30日,,                185176,                185176,,,                403640,                  6218,                 -5235,                 -3896,                 17070,                 -6032,,                -34011,                 -2022,                  1059,                 -8674,                 30820,                  1020,                  5678,                405635,,,                 -1867,                 -3153,                106106,                -55904,               -103361,                -67752,                -19008,               -144939,,                   -731,                   -716,                -22306,                 -2228,                 24744,                     97,                 -1140,               -146079,                259556,                444732,                  6032,,                -14085,                -51507,                385172,,                 10677,                -60922,               -185565,               -257519,                 69318,                 -3147,                -23722,               -105533,                -58371,               -614784,,               -149025,                              0,                191667,               -129343,                    678,,                 19512,                -66511,                -26192,               -322315,              2014481,              1692166,              1692166,,,,,,,,,,,
3607,2014年01月01日至2014年03月31日,,                  8938,                  8938,,,                205282,                  4108,                 -2346,                 -3161,                  8703,                 -2687,,                -12201,                 -3515,,                 -8674,                 53632,                 -8083,,                231058,,,                 -1373,                -15599,                628972,                 -1683,                -14368,                -16605,                -11821,                567523,,                   -512,               -211257,               -145652,                 -5181,                -13820,                     51,               -376371,                191152,                422210,                431148,                  2687,,                 -7219,                 -6770,                419846,,                 10677,                -60922,,               -158547,                 19370,,                   -296,                 -2233,                -41704,               -233221,,,,                100000,               -124685,                    355,,                  9616,                -11389,                 17901,                193137,              2014481,              2207618,              2207618,                    434,                  3325,                              0,,,,,,,,
3607,2013年度,,                581370,                581370,,,                806800,                 15253,                -18927,                  4655,                 44549,                -11788,                 -2350,                -45405,                -10530,,                -18434,                -73866,                 -8624,                 84179,,,,                 -1436,                 10668,                274481,                  1820,                199827,                 59778,                 19399,                564537,,                   -550,                -87547,                 12323,                  2165,                 12347,,                -61301,                503236,              1273947,              1855317,                 11788,                 26769,                -39200,                -64336,              1790338,,                 21634,                -17895,                              0,               -654084,                100873,,                -18614,               -136945,               -227565,               -929723,,                -12147,,              1310279,             -1653623,                    408,               -347263,                 27051,               -564671,                 82431,                378375,              1636106,              2014481,              2014481,                  2873,,,,                  5206,                     -7,                770711,                    -39,                110624,,
3607,2013年01月01日至2013年12月31日,,                581370,                581370,,,                806800,                 15253,                -18927,                  4655,                 44549,                -11788,                 -2350,                -45405,                -10530,,                 65745,                -73866,                 -8624,,,,,                 -1436,                 10668,                274481,                  1820,                199827,                 59778,                  2354,                547492,,                   -550,                -87547,                 12323,                  2165,                 12347,,                -61301,                486191,              1256902,              1838272,                 11788,                 26769,                -39200,                -64336,              1773293,,                 21634,                -17895,,               -654084,                100873,,                -18614,               -136945,               -210520,               -912678,,                -12147,                              0,              1310279,             -1653623,                    408,               -347263,                 27051,               -564671,                 82431,                378375,              1636106,              2014481,              2014481,                  2873,,,,                  5206,                     -7,                770711,                    -39,                110624,                              0,                              0
3607,2013年01月01日至2013年09月30日,,                276005,                276005,,,                606345,                 11084,                -17245,                 -2342,                 30838,                 -3844,                 -1818,                -20843,                -10493,,                -18434,                 21129,                 -9832,                 84287,,,,                 -1303,                 13391,                617216,                 -2392,                 63682,                 11629,                 11492,                713715,,                   -626,               -194236,               -112325,                   -861,                 -1407,,               -309483,                404232,              1078209,              1354214,                  3844,                 20537,                -26131,                -58568,              1293896,,                 21634,                -17895,                              0,               -459607,                 77306,                -11981,                -11397,               -137834,               -215466,               -755240,,                -13322,,                654610,               -950000,                    344,               -347263,                 21227,               -523780,                 14108,                 28984,              1636106,              1665090,              1665090,,,,,                  5152,                     -7,                673977,                    -28,                110624,,
