證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 其他投資活動,　　　　 非金融資產減損迴轉利益,　　 預付投資款增加,　　 其他非流動資產減少,　　 其他非流動負債增加
2430,2015年01月01日至2015年09月30日,,                291547,                 -7537,                284010,,,                166816,                  7694,                  5515,                     37,                    208,                 -9262,                 -1569,                  9226,                 11095,                 25041,                 29506,                244307,,,                  2017,                  3727,                -62205,               -127221,                262921,                 12521,                 -5733,                 86027,,                -19869,               -467424,                -32770,                -51751,                 -6746,                -49483,                  6951,                 -3136,                -42016,               -666244,               -580217,               -335910,                -51900,                  8635,                  5681,                   -208,                -62248,               -100040,,                 -1237,                137242,               -243340,                 13205,                              0,                  8580,                 -7111,                -17660,                              0,                   -651,               -110972,,                  1300,                  8172,                              0,                -66985,                 28182,                -29331,                   -740,               -241083,              1233938,                992855,                992855,,,,,,,,,,,,
2430,2015年01月01日至2015年06月30日,,                154456,                 -7537,                146919,,,                117676,                  5071,                  6747,                    -69,                     84,                 -6089,,                  5651,                  6384,                 25041,                 75847,                236343,,,                    765,                  3374,                  9575,                  1129,                 12571,                -16122,                 -5037,                  6255,,                -18784,                245923,                -17320,                -60527,                 -2905,                 65000,                 -7636,                 -2035,                -35895,                165821,                172076,                408419,                555338,                  5410,,                    -36,                -57376,                503336,,                 -1237,                137242,               -164335,                     75,                              0,                  6362,                 -6811,                -62501,                              0,                   -561,                -91766,,                 23900,                  7878,                              0,                              0,                              0,                 31778,                 -2573,                440775,              1233938,              1674713,              1674713,,,,,,,,,,,,
2430,2015年01月01日至2015年03月31日,,                178967,                 -7537,                171430,,,                 63255,                  2472,                  8754,                   -429,,                 -3149,,                  1852,                  2641,,,                 75396,,,                    765,                  3740,                 19675,                  2689,                297927,               -100515,                 -4748,                219533,,                -15054,               -515849,                -36995,               -124575,,                -44199,                   -302,                   -946,                -28722,               -766642,               -547109,               -471713,               -300283,                  2700,,,                   -343,               -297926,,                 -1237,                137242,                -88643,                     53,                              0,                  1569,                 -5524,                 -6756,                              0,,                 36704,,                  3100,                  6677,                              0,,                              0,                  9777,                  1826,               -249619,              1233938,                984319,                984319,,,,,,,,,,,,
2430,2014年01月01日至2014年09月30日,,                487431,               -158474,                328957,,,                203033,                 14016,                  1590,                   -605,                              0,                -18983,                              0,                 -3986,                  1314,                 13260,                              0,                209639,,,                  4671,                  6918,                126119,                -71660,                599414,                -26745,                 -1482,                637235,,                  7364,               -440109,                 -4189,                -29705,                   -774,                -34043,                 -1291,                 -3416,                -20709,               -526872,                110363,                320002,                648959,                 18829,                  2398,                              0,               -162922,                507264,,                              0,                              0,               -318137,                 20716,                 -4940,                              0,                -14918,                              0,                 46487,                              0,               -270792,,                              0,                              0,                 -4207,               -334926,                 27500,               -311633,                  1496,                -73665,              3053867,              2980202,              2980202,,,,,,,,,,,,
2430,2014年01月01日至2014年06月30日,,                343431,               -104849,                238582,,,                137422,                  9676,                  2346,                   -576,                              0,                -12734,,                 -3860,                 -2089,                 13260,                              0,                143445,,,                  8500,                  6427,                 51713,                -20525,                241879,                -15829,                 -1196,                270969,,                  1613,               -606328,                  7633,                -89726,                              0,                -39660,                 -7793,                 -2293,                -13630,               -750184,               -479215,               -335770,                -97188,                 12817,,                              0,                -98246,               -182617,,                              0,                              0,               -141877,                 14966,                 -1804,                              0,                 -7150,                              0,                 29645,                              0,               -106220,,                              0,                              0,                 -4493,               -334926,                 17600,               -321819,                    723,               -609933,              3053867,              2443934,              2443934,,,,,,,,,,,,
2430,2014年01月01日至2014年03月31日,,                238038,                -44410,                193628,,,                 69156,                  2540,                    690,                   -515,,                 -6644,,                 -1790,                    594,,,                 64031,,,                  6758,                  4847,                 19788,                -21953,                183936,               -128015,                   -839,                 64522,,                  1916,               -792158,                -26238,               -157030,,               -112372,                   -602,                 -1185,                 -6481,             -1094150,             -1029628,               -965597,               -771969,                  6918,,,                   -902,               -765953,,                              0,                              0,                -83878,                     94,                 -1686,                              0,                 -6960,                              0,                 15669,,                -76761,,                              0,                              0,                   -808,,                 17600,                 16792,                  4133,               -821789,              3053867,              2232078,              2232078,,,,,,,,,,,,
2430,2013年01月01日至2013年12月31日,,                614889,,                614889,,,                270686,                  8941,                 -5962,                 -1326,                              0,                -27517,,                 15133,                 61192,                 23737,,,,,                   -239,                  2626,                309155,                 52564,                 19043,                 25414,                 -6425,                402138,,                -15286,               -121369,               -141126,                -30470,,                  9976,                -34158,,                -41636,               -378849,                 23289,                346358,                961247,                 28087,,                              0,               -142773,                846561,,                 42510,,               -256405,                 30510,,                  5747,                 -8852,                -12008,                              0,,               -307914,,,                  1584,,               -334926,                 34361,               -298981,                -11557,                228109,              2825758,              3053867,              3053867,,                -21815,                323069,                              0,                 -4780,               -106680,                    174,                 -2910,,,,
2430,2013年01月01日至2013年09月30日,,                542107,,                542107,,,                194114,                  6756,                  9469,                 -1792,                              0,                -20917,,                 15256,                 15227,                              0,,,,,                  1165,                  8298,                255202,                -20093,                407816,                -13008,                 -4596,                634784,,                -25413,               -463736,               -177715,                 77457,,                -97581,                -65198,,                -34825,               -790717,               -155933,                 36209,                578316,                 22107,,                              0,               -141805,                458618,,                 42510,,               -187251,                  6347,                  1774,,                 -4370,,                 41535,,               -205961,,,                  1702,,               -334926,                 34361,               -298863,                 -6332,                -52538,              2825758,              2773220,              2773220,,                -21815,                192142,,                 -3706,               -106680,                    174,,                 -4156,                              0,,
2430,2013年01月01日至2013年06月30日,,                356439,,                356439,,,                132990,                  4692,                 -3349,                    608,,                -12994,,                  4477,                  1547,,,,,,                 -2643,                    -44,                110577,                 19787,                244226,                -61697,,                307600,,                 66814,                 57298,               -105131,                 -8810,,                -23814,                   -411,,,                -16615,                290985,                418956,                775395,                 12462,,,                -83180,                704677,,,,                -68684,                  7747,                 -2442,,                 -3141,,                 17558,,                -69962,,,                  7355,,               -334926,                 19401,               -308170,                  1168,                327713,              2825758,              3153471,              3153471,,,                127971,                 -2606,                 -2561,                -21000,,,                              0,,,
2430,2013年01月01日至2013年03月31日,,                244538,,                244538,,,                 66906,                  2577,                 -6615,                    671,,                 -6490,,                     36,                  1095,,,,,,                 -6653,                  1078,                171517,                  8177,                127732,               -155153,,                151133,,                 12807,                 83162,               -179897,                -91539,,,               -130884,,,               -306351,               -155218,                -97303,                147235,                  7406,,,                  2606,                157247,,,,                -11122,,,,                 -3085,,,,                -34000,,,,,,                 15000,                 24410,                  1422,                149079,              2825758,              2974837,              2974837,,,                 57915,                  4435,,                -21000,,,                   -265,,                  1207,                  9410
