證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他投資活動,　　 其他非流動負債增加,　　　　　 遞延貸項增加（減少）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 退還（支付）之所得稅,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 發放現金股利,　　 非控制權益變動,　　　　　 其他金融資產（增加）減少
6289,2015年01月01日至2015年09月30日,,               -174033,                              0,               -174033,,,                 45060,                  2403,                  4113,                 11800,                -25652,                     97,                -53499,                -12160,                -27838,,,                  7030,                 13661,                   -184,                 -1575,                 50752,                 35943,                   -100,                 13460,                118987,,                -53508,                -10252,                 -7706,                 -3495,                    414,                -74547,                 44440,                 16602,               -157431,                 25940,                 -7623,               -139114,,                    269,                              0,                164615,                 -4021,                    -60,                160803,,                289151,               -271252,                              0,                 -6266,                 -8000,                 25000,                -58093,                              0,                -29460,                    534,                 -7237,                 14385,                  7148,                  7148,,,,,,,,,,,,,,,,,,,
6289,2015年01月01日至2015年06月30日,,               -107666,                              0,               -107666,,,                 29939,                  1678,                  4113,                  8243,                -19352,                     97,                -52514,                 -8088,                -35884,,,                  5075,                  6130,                 -1512,                  1046,                 37040,                 35943,                  8495,                 10365,                102582,,                -57600,                 -8668,                -10800,                 -7508,                     -4,                -84580,                 18002,                -17882,               -125548,,                 -5323,               -130871,,                    269,,                156415,                 -4462,,                152222,,                156727,               -158281,                              0,                 -4158,,                 25000,                -44241,,                -23953,                   -987,                 -3589,                 14385,                 10796,                 10796,                              0,                  1000,,,,,,,,,,,,,,,,,
6289,2015年01月01日至2015年03月31日,,                -46539,                              0,                -46539,,,                 14978,                  1006,                              0,                  4279,                -11545,                     97,                -28729,                 -4079,                -23993,,,                  4089,                  8822,                    265,                    469,                  8982,,                     89,                  2137,                 24853,,                -43321,                 -9344,                 -6989,                  2952,                    142,                -56560,                -31707,                -55700,               -102239,,                 -3124,               -105363,,                    269,,                 97635,                 -3691,                              0,                 94213,,                103755,               -107503,                              0,                 -2070,,                 25000,                -20793,,                 23389,                   -359,                 11880,                 14385,                 26265,                 26265,                              0,                 25000,,,,,,,,,,,,,,,,,
6289,2014年度,,               -418350,                              0,               -418350,,,                 61204,                  4773,                    171,                 11794,                -62522,                    321,                -52116,                -15880,,,,                 -5064,                 51788,                 48813,                  5438,                 53782,,                -14938,                 -3265,                136554,,                 33341,                 -1688,                -10512,                  8783,                 -2959,                 26965,                163519,                258685,               -159665,                 43114,                -11726,               -128277,,,                    289,                 84918,               -101229,                    -90,                -12927,,                341293,               -333042,                 25588,                 -4660,,                 15012,                -70202,,                 81989,                 16212,                -43003,                 57388,                 14385,                 14385,,                108000,,                              0,                147421,                 95166,                              0,                  3185,                              0,,,,,,,,,,
6289,2014年01月01日至2014年09月30日,,               -141458,                              0,               -141458,,,                 41238,                  3604,                    171,                  9084,                -31634,                    321,                -52116,                -11830,                -41162,,,                  1129,                 30865,                 48292,                  5448,                 -9109,                              0,                -13288,                 -2804,                 60533,,                  5252,                 10278,                  4423,                  5587,                 -2803,                 22737,                 83270,                 42108,                -99350,                 43114,                 -9015,                -65251,,                              0,                    289,                 84918,                -61250,                    -90,                 23867,,                285062,               -269150,                 25588,                 -2608,                              0,                 15012,                -50163,                 -2999,                    742,                    529,                -40113,                 57388,                 17275,                 17275,,,,,,,,,,,,,,,,,,,
6289,2014年01月01日至2014年06月30日,,                -63232,                              0,                -63232,,,                 25309,                  2345,                    171,                  5941,                -21684,                              0,                -52116,                 -7906,                -47940,,,                   -821,                 33891,                 48575,                  3463,                -24835,                              0,                -13193,                 -2675,                 44405,,                -20363,                 23191,                  2878,                  2090,                 -3349,                  4141,                 48546,                    606,                -62626,,                 -5865,                -68491,,                              0,,                 84918,                -41060,,                 43858,,                169151,               -147000,                 25588,                   -576,,                 15012,                -30259,,                 31916,                   -504,                  6779,                 57388,                 64167,                 64167,                   -306,                              0,,,,,,,,,,,,,,,,,
6289,2014年01月01日至2014年03月31日,,                -53851,                              0,                -53851,,,                 13385,                  1602,                   -171,                  2819,                -13346,                              0,                -15017,                 -4011,                -14739,,,                  1689,                 12236,                 47253,                  3316,                  6306,,                 -4914,                     59,                 65945,,                -31855,                 15589,                  7353,                  1843,                 -2266,                 -9489,                 56456,                 41717,                -12134,,                 -2822,                -14956,,                              0,,                 25825,                 -7994,                   -428,                 17403,,                102191,               -100000,                  3953,                              0,,                              0,                -12832,,                 -6688,                   -286,                 -4527,                 57388,                 52861,                 52861,                   -153,                              0,,,,,,,,,,,,,,,,,
6289,2013年度,,               -640012,                 33228,               -606784,,,                148022,                  6644,                 18133,                  8221,                -34429,                              0,                 29477,                -10190,,,,                  7234,                 68979,                -44477,                 -3471,                107845,,                  3711,                 -9909,                129912,,                  4900,                -42200,                -29406,                  5712,                  2634,                -58867,                 71045,                432700,               -174084,                 38090,                 -6429,               -142423,,,                              0,                              0,               -132359,                 -6520,               -311691,,                157000,               -247000,                              0,                              0,,                128854,                -36876,,                  1978,                 -4925,               -457061,                514449,                 57388,                 57388,,                              0,,                195777,                              0,                361655,                   -507,                              0,               -172812,,,,,,,,,,
6289,2013年01月01日至2013年12月31日,,               -640012,                 33228,               -606784,,,                148022,                  6644,                 18133,                  8221,                -34429,                 29477,,                -10190,,,,                  7234,                 68979,                -44477,                 -3471,                107845,,                  3711,                   -301,                139520,,                  4900,                -42200,                -22571,,                  2634,                -58867,                 80653,                442308,               -164476,                 38090,                 -6429,               -132815,,,,,               -132359,                 -6520,               -311691,,                157000,               -247000,,,,                128854,                -36876,                              0,                 -7630,                 -4925,               -457061,                514449,                 57388,                 57388,                 -1123,,,                195777,                              0,                361655,                   -507,,               -172812,                 -9608,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,
6289,2013年01月01日至2013年09月30日,,               -365550,                 33228,               -332322,,,                140390,                  4946,                              0,                  5929,                 13442,                              0,                 29477,                 -9049,,,,                  8553,                 77568,                 -4336,                 42273,                 20293,,                  9578,,                153929,,                -31936,                -29889,                -24680,,                  7188,                -79824,                 74105,                259240,                -73082,,                 -5974,                -79056,,,                              0,                              0,               -108023,                 -6095,               -286930,,                157000,               -237000,                              0,                              0,,                 48850,                -15259,                              0,                -49109,                  3270,               -411825,                514449,                102624,                102624,,,,,,                185135,                   -507,,               -172812,                 -2700,,,,,,,,,
