證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他金融資產增加,　　　　　 其他應收款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他預付款項減少,　　 應付短期票券增加,　　 預付設備款減少,　　 其他預付款項增加,　　 存入保證金減少,　　　　　 其他流動負債增加（減少）
1720,2015年01月01日至2015年09月30日,,                381906,                              0,                381906,,,                111919,                  6145,                  1658,                    577,                  3005,                 -1855,                -12361,                 20563,                    517,                              0,                              0,                              0,                              0,                  5133,                135301,,,                  4168,                -24047,                 59567,                -23380,                 33695,                  2527,                              0,                 52530,,                -97926,                -14564,                -57537,                 -1017,                  9609,                              0,               -161435,               -108905,                 26396,                408302,                  1653,                 12361,                 -3034,                -84593,                334689,,                -35912,                              0,                              0,                              0,                              0,                              0,                              0,                -54725,                  1779,                 -9825,                 -1721,                    649,                -50952,                   -191,               -150898,,                 58172,                              0,                 20000,                 28000,                -53417,                  2912,               -178696,                 22090,                              0,               -100939,                  9739,                 92591,                543233,                635824,                635824,,,,,,,,,,,,
1720,2015年01月01日至2015年06月30日,,                257969,                              0,                257969,,,                 77245,                  4107,                    945,                    299,                  1960,                 -1347,                 -1983,                  9228,                  1119,                              0,                              0,                              0,                              0,                  5181,                 96754,,,                  3927,                -13410,                 89780,                -18289,                 11505,                  2367,                              0,                 75880,,                -65073,                -31561,                -67919,                 -7886,                  7315,                              0,               -165124,                -89244,                  7510,                265479,                  1415,                  1983,                 -2004,                -43359,                223514,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -28072,                    658,,                 -1709,,                -38096,                 -4288,                -70753,,                              0,                 39032,                -40000,                 40000,                -79250,                  2861,                              0,                 20026,                              0,                -17331,                    508,                135938,                543233,                679171,                679171,                    105,                    649,,,,,,,,,,
1720,2015年01月01日至2015年03月31日,,                132902,                              0,                132902,,,                 38353,                  2075,                    462,                   -123,                    836,                   -387,,                  4840,                  1573,,,,                              0,                  3210,                 50839,,,                 18926,                -11335,                 72231,                -11603,                  3298,                -14187,                              0,                 53355,,                -16285,                -17477,                -50784,                -28816,                  3181,,               -110181,                -56826,                 -5987,                126915,                    387,,                   -843,                 -2277,                124182,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -32773,                     93,,                   -490,,                -19986,                   -156,                -53444,,                              0,                -10968,                              0,                              0,                 -3250,                  1132,                              0,                   -716,                              0,                -13802,                   -270,                 56666,                543233,                599899,                599899,                   -132,                              0,                 -3975,,,,,,,,,
1720,2014年度,,                458594,                              0,                458594,,,                146124,                  6438,                 10178,                 -1630,                  6353,                 -3946,                 -7186,                  5161,                    610,                  1423,                              0,                   -788,                  2630,                 10834,,,,                 80482,                  4369,                -58005,                 18393,               -208311,                103495,                 -1027,                -60604,,                 68742,                -35034,                  9443,                 21051,,                              0,                 76742,                 16138,                192339,                650933,                  4032,                  7186,                 -6678,                -73168,                582305,,                -66846,                              0,                              0,                    788,                              0,                -40359,                              0,               -113475,                  1073,,                 -6429,,                -57624,                 -1079,               -285866,,                              0,               -154287,,                 81750,                -40000,                  2195,               -446740,                 -3438,                              0,               -530520,                  9373,               -224708,                767941,                543233,                543233,                  1434,                 -3349,,,                176201,                 12540,                              0,                 30000,,,,
1720,2014年01月01日至2014年09月30日,,                362020,                              0,                362020,,,                109157,                  5287,                  4066,                   -279,                  4510,                 -2586,                 -7185,                  5751,                    654,                    612,                              0,                              0,                              0,                  6430,                126417,,,                 44058,                -15881,                 21226,                 19311,               -160984,                 40095,                              0,                -52175,,                  9994,                  4290,                -52677,                  8424,                  8839,                              0,                -21130,                -73305,                 53112,                415132,                  2677,                  7185,                 -4864,                -62266,                357864,,                              0,                              0,                -12000,                              0,                              0,                -40359,                              0,                -78683,                  2336,                  2482,                 -2507,                 -3349,                -39873,                 -3204,               -175157,,                -49581,                              0,                170000,                 86250,                -40000,                    940,               -446740,                  1859,                              0,               -277272,                 -1181,                -95746,                767941,                672195,                672195,,,,,,,,,,,,
1720,2014年01月01日至2014年06月30日,,                239985,                              0,                239985,,,                 72306,                  3489,                  2053,                   -144,                  2731,                 -1752,                 -2168,                     29,                    320,                    612,                              0,                              0,                              0,                    748,                 78224,,,                 59049,                -20276,                 15193,                 13208,                -52934,                 62679,                              0,                 76919,,                 13470,                -14936,                -78318,                   -203,                  4356,                              0,                -75631,                  1288,                 79512,                319497,                  1892,                  2168,                 -1557,                -42173,                279827,,                              0,                              0,                              0,                              0,                              0,                -40359,                              0,                -51278,                    491,,                   -446,,                -29413,                   -927,               -121194,,                              0,                 -3716,                -60000,                110000,                -80000,                     21,                              0,                   -151,                              0,                -33846,                    716,                125503,                767941,                893444,                893444,                  3442,                 -2704,,,,,,,,,,
1720,2014年01月01日至2014年03月31日,,                112726,                              0,                112726,,,                 36154,                  1742,                    495,                   -250,                  1075,                   -853,,                 -1450,                    509,,,,                              0,                    102,                 37524,,,                 44154,                 16241,                -16231,                  7473,                 27872,                 -5544,                              0,                 73965,,                 -4968,                 18085,                -75925,                  5527,                  2807,,                -54474,                 19491,                 57015,                169741,                  1055,,                   -689,                              0,                170107,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -13064,                    128,,                   -257,,                -17978,                   -389,                -28051,,                              0,                -16593,                -10000,                              0,                              0,                     37,                              0,                  3042,                              0,                -23514,                    778,                119320,                767941,                887261,                887261,                  3509,                              0,                              0,,,,,,,,,
1720,2013年度,,                368919,                   -206,                368713,,,                134964,                  6298,                  5074,                   -166,                  9589,                 -4397,                 -7259,                 -3149,                  1945,                              0,                              0,                     45,                              0,                -15876,,,,                -19632,                 87571,                -27780,                -13407,                -12463,               -118276,                              0,               -103987,,                -27335,                 42263,                 71496,                  9011,,                 -3702,                 96156,                 -7831,                119237,                487950,                  4241,                  7259,                 -4040,                -59954,                435456,,                              0,                  2015,                 -1303,                   -182,                  1755,               -173518,                              0,               -390727,                  7976,,                -38325,,                     29,                -10115,               -595650,,                              0,                -37190,,                127000,                -10000,                 -2144,               -203749,                -15585,                              0,               -151668,                116709,               -195153,                963094,                767941,                767941,                  6745,                              0,,,                127068,                  4423,                              0,                -10000,,,,
1720,2013年01月01日至2013年12月31日,,                368919,                   -206,                368713,,,                134964,                  6298,                  2254,                   -166,                  9589,,,                 -3149,                 -4994,                              0,                              0,                     45,,                -17134,,,,                -19632,                 88575,                -25964,                -13563,                -12463,               -118276,,               -101323,,                -27335,                 42263,                 71496,                  9011,,                 -3702,                 96156,                 -5167,                122540,                491253,,,                 -4040,                -59954,                427259,,                              0,                  2015,                 -1303,                   -182,                  1755,               -173518,                              0,               -384402,                  7976,,                -38325,,,                 -9501,               -590756,,                215255,               -252445,                -10000,                117000,,,               -203749,                -15585,                              0,               -151668,                120012,               -195153,                963094,                767941,                767941,                  6745,,,,                127707,                  4423,,,                     29,                 -2045,                 -2144,
1720,2013年01月01日至2013年09月30日,,                329685,                   -206,                329479,,,                100776,                  4800,                  2454,                    153,                  7998,                 -3127,,                 -5250,                 -5508,                              0,                              0,                   -137,,                -12428,,,,                -33775,                 85823,                 23236,                -11181,                 -8937,               -107995,,                -52829,,                -52225,                 48331,                 -1179,                  5670,,                 -2149,                  7564,                -45265,                 44466,                373945,                  3173,,                 -1713,                -60049,                315356,,                              0,                  2015,                 -1485,                              0,                              0,                -87403,                              0,               -232409,                  7552,,                -13769,,                -16544,                    900,               -344319,,                              0,               -167189,                -40000,                137000,                -20000,                 -2105,               -203749,                -35375,                              0,               -331418,                108273,               -252108,                963094,                710986,                710986,                 -1964,                              0,,,                 89731,                  9116,                 -1212,,,,,
