證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 取得子公司股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 取得投資性不動產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　 存出保證金減少,　　 短期借款減少,　　 償還公司債,　　 存入保證金增加,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 員工執行認股權,　　　　　 其他營業負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　 不動產、廠房及設備轉列費用數,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產
3003,2015年01月01日至2015年09月30日,,                401173,                401173,,,                104714,                  1953,                    850,                  2466,                  8698,                -13069,                 -2924,                      4,                 -4069,                    348,                 98971,,,                 14698,                  5876,                 48829,                 -9839,                -18795,                -37406,                  3363,,                    207,                 -2312,                -29672,                 -4112,                -35889,                -32526,                 66445,                467618,                 13069,                -97116,                383571,,                              0,                 25439,                              0,                 -1750,                -42973,                     84,                    -87,                 -3656,                -19096,                -42039,,                263020,                              0,                -33263,               -153966,                 -7938,                 -8371,                              0,                 59482,                 15901,                416915,              1125093,              1542008,              1542008,,,,,,,,,,,,,,,,,,,
3003,2015年01月01日至2015年06月30日,,                224248,                224248,,,                 68338,                  1296,                    850,                    853,                  5193,                 -8276,                 -1802,                     15,                 -2436,                    128,                 64159,,,                 20498,                 -4491,                 59224,                 -3129,                -21964,                223817,                273955,,                 -2023,                  7403,                -23952,                 -1677,                -20249,                253706,                317865,                542113,                  8276,                -63696,                486693,,               -221050,,,                 -1750,                -36281,                     75,                   -761,                   -649,                 -6914,               -267330,,                303558,,                -20657,,                 -7938,                 -4664,,                270299,                -18844,                470818,              1125093,              1595911,              1595911,                              0,,,,,,,,,,,,,,,,,,
3003,2015年01月01日至2015年03月31日,,                 92081,                 92081,,,                 35260,                    672,                    850,                    190,                  2696,                 -3783,                 -1253,                     15,                   -759,                    224,                 34112,,,                 18910,                 38693,                 27810,                -11834,                  6511,                 43830,                123920,,                 -1905,                -30539,                 12231,                   -201,                -20414,                103506,                137618,                229699,                  3783,                -14413,                219069,,                              0,                 20299,,                 -1750,                -19870,                     10,                   -674,                   -412,                 -4298,                 -6695,,                  9441,,                -11150,,,                 -2226,,                 -3935,                 -8155,                200284,              1125093,              1325377,              1325377,,                              0,,,,,,,,,,,,,,,,,
3003,2014年度,,                537835,                537835,,,                138287,                  2811,                  1839,                 -2368,                 12471,                -15236,                 -3788,                   -118,                 -2674,                 -8383,,,,                -20467,                 -2031,               -102528,                 -4313,                -13307,               -146886,               -289532,,                  2177,                 -2500,                 48112,                -42149,                  5640,               -283892,               -161051,                376784,                 15236,               -113859,                278161,,,,                -71250,                              0,                -47810,                    452,                   -390,                 -3011,                 -7460,               -135410,,,                 50000,                -48291,               -151382,,                 -8906,                  1684,               -215001,                 22505,                -49745,              1174838,              1125093,              1125093,                              0,,,                122841,                 -5941,                              0,                              0,                              0,                -58156,                              0,                     50,,,,,,,,
3003,2014年01月01日至2014年09月30日,,                393946,                393946,,,                103009,                  2164,                  1839,                 -1444,                  9751,                -10572,                 -1594,                   -121,                 -2541,                 -6737,                 93754,,,                 -1779,                 11032,                -90162,                -10708,                -24216,                 12653,               -103180,,                   -881,                 14515,                 -1887,                -33798,                -22051,               -125231,                -31477,                362469,                 10572,               -100877,                272164,,                -18926,                              0,                -71250,                              0,                -24658,                    451,                   -448,                 -1749,                -23147,               -139727,,                 14580,                 12851,                              0,               -151382,                              0,                 -6701,                  1684,               -128968,                  2136,                  5605,              1174838,              1180443,              1180443,,,,,,,,,,,,,,,,,,,
3003,2014年01月01日至2014年06月30日,,                274921,                274921,,,                 67648,                  1518,                  1840,                 -2376,                  6881,                 -6689,                    331,                   -106,                 -1948,                 -8630,                 58469,,,                    335,                 -4977,                -62818,                    399,                -36259,                -14638,               -117958,,                   -930,                 13593,                  2325,                -17999,                 -3011,               -120969,                -62500,                212421,                  6689,                -68165,                150945,,                -29281,,,                              0,                -33019,                    353,                   -497,                 -1654,                 -6949,                -71047,,                 89648,,                -24761,,                              0,                 -4442,,                 60445,                -10864,                129479,              1174838,              1304317,              1304317,                              0,,,,,,,,,,,,,,,,,,
3003,2014年01月01日至2014年03月31日,,                136815,                136815,,,                 33927,                    786,                  1840,                 -2183,                  3838,                 -2998,                    350,                   -209,                 -1068,                 -3239,                 31044,,,                 16921,                 21975,                -42662,                   -924,                -17488,                -93973,               -116151,,                 -1201,                  2860,                -24184,                -16024,                -38549,               -154700,               -123656,                 13159,                  2998,                -10484,                  5673,,                 -8709,                              0,,                              0,                 -4530,                    301,                    172,                 -1654,                 -9729,                -24149,,                129648,,                -12379,,,                 -2051,,                115218,                 -2644,                 94098,              1174838,              1268936,              1268936,,                              0,,,,,,,,,,,,,,,,,
3003,2013年度,,                423317,                423317,,,                134965,                  3168,                              0,                -20465,                 21438,                -10677,                  4062,                     -1,                 -4164,                  5103,,,,                    575,                -87496,                 23330,                 -1903,                  2804,               -144240,               -206930,,                 -4997,                 -3783,                   -952,                 52801,                 43069,               -163861,                -17933,                405384,                 10677,                -83327,                332734,,,,                              0,                -11357,                -97658,                 10736,                              0,                   -838,                -95625,               -260428,,,                188000,               -183954,                -97466,,                -10367,                -14016,               -270829,                 30808,               -167715,              1342553,              1174838,              1174838,                 12499,,,                145928,                              0,                  3816,                -71250,                  1748,               -127488,                -25538,                              0,,,,,,,,
3003,2013年01月01日至2013年12月31日,,                423317,                423317,,,                134965,                  7705,,                -20465,                 21438,                -10677,                  4062,                     -1,                 -4164,                  5103,,,,                    575,                -87496,                 23330,                 -1903,                  2804,               -148777,               -211467,,                 -4997,                 -3783,                   -952,                 52801,                 43069,               -168398,                -17933,                405384,                 10677,                -83327,                332734,,,,,                -11357,                -97658,                 10736,                  1748,                   -838,                -95625,               -260428,,,                188000,               -183954,                -97466,,                -10367,                -14016,               -270829,                 30808,               -167715,              1342553,              1174838,              1174838,                 12499,                              0,,                150465,                  3816,,                -71250,,               -127488,                -25538,,                              0,                              0,                              0,,,,,
3003,2013年01月01日至2013年09月30日,,                293653,                293653,,,                101289,                  2435,                              0,                -15240,                 16176,                 -7424,                  2984,                     -1,                 -3967,                  6672,,,,                 10078,                -27151,                 47466,                 -5131,                  9777,               -206270,               -171231,,                 -3927,                  1319,                -24814,                 30137,                  2715,               -168516,                -53101,                240552,                  7424,                -76356,                171620,,,,                              0,,                -96795,                 10718,                              0,                   -799,                -94440,               -175506,,                 70000,                 16417,,                -97466,,                 -7715,                -14079,                -58381,                  9753,                -52514,              1342553,              1290039,              1290039,                 12491,,,                115415,                  4058,,,                  1752,,                -25538,,,,,,,,,
