證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 存出保證金減少,　　 存出保證金增加,　　 取得備供出售金融資產
6216,2015年01月01日至2015年09月30日,,                224226,                224226,,,                  4556,                    407,                 -3594,                  7980,                    206,                  4293,                 13848,,,                   -349,                  6732,                -30864,                  1135,                -23346,,                -13079,                 28790,                 15711,                 -7635,                  6213,                230439,                  3594,                -36534,                197499,,                 -1358,                    115,                -54936,                              0,                   -479,                -56658,,                 16090,               -165814,                 19571,               -130153,                    780,                 11468,                563653,                575121,                575121,,,,,,,,
6216,2015年01月01日至2015年06月30日,,                132291,                132291,,,                  3026,                    407,                 -2784,                  5202,,                  3074,                  8925,,,                     32,                -43181,                -34978,                  2996,                -75131,,                 60272,                 23455,                 83727,                  8596,                 17521,                149812,                  2784,                -24252,                128344,,                 -1053,                    269,                -50611,                              0,                              0,                -51339,,                 49770,,                 15762,                 65532,                 -2703,                139834,                563653,                703487,                703487,                     56,,,,,,,
6216,2015年01月01日至2015年03月31日,,                 38453,                 38453,,,                  1518,                    219,                 -1731,                  2350,,                    403,                  2759,,,                    341,                -16442,                 -1575,                -11013,                -28689,,                 19630,                 12136,                 31766,                  3077,                  5836,                 44289,                  1731,                   -173,                 45847,,                   -177,                     66,,                    496,                    -20,                    365,,,,                  1036,                  1036,                 -1499,                 45749,                563653,                609402,                609402,,,,,,,,
6216,2014年度,,                231481,                231481,,,                  6737,,,                  9498,,                 10991,,,,                   -499,                -64214,                 22771,               -140224,               -182166,,                -13183,                 20631,                  7448,               -174718,               -147492,                 83989,                  4021,                -18692,                 69318,,                 -3763,                  1962,,                    496,                   -581,                 -1886,,,               -124450,                 33712,                -90738,                  2777,                -20529,                584182,                563653,                563653,,,                              0,                 27226,                              0,,,
6216,2014年01月01日至2014年09月30日,,                161599,                161599,,,                  5209,                    406,                 -3018,                  6290,                              0,                  8709,                 17596,,,                   -519,                -50911,                -17415,                -35634,               -104479,,                  4425,                 30617,                 35042,                -69437,                -51841,                109758,                  3018,                -18692,                 94084,,                 -3343,                  1795,                              0,                    751,                              0,                   -797,,                              0,               -124450,                 33439,                -91011,                    -33,                  2243,                584182,                586425,                586425,,,,,,,,
6216,2014年01月01日至2014年06月30日,,                115105,                115105,,,                  3684,                    314,                 -2200,                  3920,,                  4699,                 10417,,,                 -1549,                  9319,                -10094,                -30092,                -32416,,                 11204,                 23888,                 35092,                  2676,                 13093,                128198,                  2200,                -11077,                119321,,                   -885,                              0,                              0,                    751,                    -26,                   -160,,                              0,,                 21879,                 21879,                 -1795,                139245,                584182,                723427,                723427,                              0,,,,,,,
6216,2014年01月01日至2014年03月31日,,                 52330,                 52330,,,                  1932,                    149,                   -795,                  1743,,                  4203,                  7232,,,                   -991,                 13185,                  1892,                    280,                 14366,,                 -1880,                 15738,                 13858,                 28224,                 35456,                 87786,                    795,                    -79,                 88502,,                   -687,                              0,,                    751,                              0,                     64,,,,                 10182,                 10182,                     35,                 98783,                584182,                682965,                682965,,,,,,,,
6216,2013年度,,                175194,                175194,,,                  7485,,,                  9062,,                  2724,,,,                  1817,                 -3834,                 -7376,                -15013,                -24406,,                 19438,                  6284,                 25722,                  1316,                 23137,                198331,                  1890,                -19824,                180397,,                 -4076,                              0,,                  2178,                              0,                 13198,,,               -101626,                  8910,                -92716,                  5934,                106813,                477369,                584182,                584182,,,                  2550,                 21821,                 15096,,,
6216,2013年01月01日至2013年12月31日,,                175194,                175194,,,                  7485,,                 -1890,                  9062,,                  4614,,,,                  1817,                 -3834,                 -7376,                -15013,                -24406,,                 19438,                  6284,                 25722,                  1316,                 23137,                198331,                  1890,                -19824,                180397,,                 -4076,,,                  2178,,                 13198,,,               -101626,                  8910,                -92716,                  5934,                106813,                477369,                584182,                584182,,,                  2550,                 21821,                 15096,,,                              0
6216,2013年01月01日至2013年09月30日,,                116531,                116531,,,                  5561,                     50,                 -1316,                  6369,,                  2747,,,,                  1527,                -10841,                 -7203,                    387,                -16130,,                  5011,                 20967,                 25978,                  9848,                 25809,                142340,                  1316,                -11647,                132009,,                 -3829,                              0,,,,                 11558,,,               -101626,                  5739,                -95887,                  3896,                 51576,                477369,                528945,                528945,,,                  2550,                 15961,                 15097,                    290,,
