證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 處分承受擔保品提存損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 處分承受擔保品損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分待出售資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 償還公司債,　　 發行金融債券,　　 其他借款減少,　　 附買回票券及債券負債減少,　　 償還特別股負債,　　 存入保證金減少,　　 庫藏股票買回成本,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 出售及攤銷不良債權之損失,　　　　 不影響現金流量之收益費損項目合計,　　 採用權益法之被投資公司減資退回股款,　　 已收現之出售不良債權,　　 發行公司債,　　 其他借款增加,　　 現金增資,　　 非控制權益變動,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 購買承受擔保品,　　　　 其他項目
2888,2015年01月01日至2015年06月30日,,              7753499,              7753499,,,                820885,                187951,                701259,            -12856057,              3133544,            -38126102,             -1895335,             81650422,                              0,                124513,                    -52,                              0,               -705030,             -7496319,                  5293,                              0,               -246818,                 26974,                              0,             25325128,,,               -531803,             -2444300,             16259599,              2798255,             -2864983,              1335158,              2305107,            -72852325,             -1516547,            -57511839,,            -13431434,               -986760,             15700321,                -54183,              4312870,             -1126199,              4414615,            -53097224,            -27772096,            -20018597,             31874815,              2479461,             -2972769,                -53299,             11309611,,              2561999,             -1614471,                 10827,              4266973,                -41428,                              0,               -580091,                              0,                103273,              4707082,,               -400080,               -876539,                              0,             -2304091,             -3679856,                              0,               -259711,               -840150,                   -282,             -8360709,                983606,              8639590,            158692624,            167332214,             58307185,            109025029,,,,,,,,,,,,,,,,,,,,,,,,
2888,2015年01月01日至2015年03月31日,,              4263295,              4263295,,,                418851,                 91897,                338405,             -6096124,              1563519,            -18809967,               -163190,             39109344,                              0,                 55913,                   -675,,               -705030,             -4336871,,                              0,               -246818,,                              0,             11219254,,,            -10149272,            -13893613,             18205291,              1393032,               -489496,                107676,              1911206,            -28340880,             -1558259,            -32814315,,            -12209109,             -3474639,              8782200,                -37157,              1435141,              2484451,             -3019113,            -35833428,            -24614174,            -20350879,             18356542,                294020,             -1274818,               -553325,             -3528460,,              2561999,             -1136841,                  9963,             -1167156,                 -5277,                              0,               -496453,,                121434,               -112331,,                799676,,,,                -49631,                              0,             -1344852,,                   -214,                220432,                546249,             -2874110,             59425032,             56550922,             56550922,,                815453,,,,,,,,,,,,,,,,,,,,,,,
2888,2014年01月01日至2014年09月30日,,              9274578,              9274578,,,              1144770,                276461,              1428308,             10055698,              4494687,            -50347272,             -7560811,            122065042,                -12820,                -69326,               -459784,                 41145,,            -13554757,,                -20081,                -48620,,,,,,               -117161,            -12801205,             -2406241,             -4891398,             -7549606,            -25598585,            -50934752,            -18987600,             -3130136,           -126416684,,              3294955,                 95822,             30408385,               -223181,              4109790,               -102586,             37583185,            -88833499,            -21335451,            -12060873,             44889090,              8506433,             -4923764,               -346877,             36064009,,,               -835322,                778488,             -3955450,               -110612,                 12820,                -34917,                 39835,             -3464693,             -7363174,,             -3598394,                              0,              2500000,             -2596299,                340859,             -1654000,             -1208379,,,             -1656285,                 36010,             27080560,             43625253,             70705813,             70705813,,,,                              0,                 65408,             67498048,                 95296,                111381,              5000000,                              0,                              0,               -440072,,,,,,,,,,,,,
2888,2014年01月01日至2014年06月30日,,              4085564,              4085564,,,                757270,                173374,                816528,               -183805,              2957267,            -33189544,             -1515985,             72681782,                -28810,                102419,                  1468,                  5909,                              0,            -10518036,                              0,                -20081,                              0,                              0,                 15990,             32055746,,,             -1355202,            -10065371,            -10678937,             -4989128,            -11529675,            -19968526,            -37129153,             17252256,              1004110,            -77459626,,              4935387,              3065554,             29868492,                -92534,              2257154,             -1989769,             38044284,            -39415342,             -7359596,             -3274032,             29589334,              1838062,             -2917652,                 69368,             25305080,,                              0,               -498520,                  2001,             -4751871,                -66268,                 12820,                -44487,                  3077,             -2812668,             -8155916,,              1399320,                              0,              2500000,             -4097382,              5876077,             -1654000,             -1389645,                              0,                              0,              2634370,               -453354,             19330180,            148581933,            167912113,             50396699,            117515414,,,,,,,,,,,,,,,,,,,,,,,,
2888,2014年01月01日至2014年03月31日,,              1723265,              1723265,,,                376990,                 84977,                411071,              9425915,              1460081,            -16368681,               -114529,             37441328,                 -7592,                -25314,                 -3923,,                              0,             -3858126,,                -20081,                              0,,                  3282,             28805398,,,                473877,             -5256500,              8562347,             -2660019,            -18426944,            -22447796,            -21126276,             -6207019,                682379,            -66405951,,              3137956,              1885465,             19856088,                -50922,                460779,             -1538267,             23751099,            -42654852,            -13849454,            -12126189,             16520080,                311188,             -1250674,               -442466,              3011939,,                              0,               -280323,                  5205,             -4096926,                -76089,                  4310,                -31528,,               -810154,             -5285505,,              1949431,,,,              6168814,             -1654000,             -1621336,,                              0,              2175259,               -367539,               -465846,             43494373,             43028527,             43028527,,             -2667650,,,,,,,,,,,,,,,,,,,,,,,
2888,2013年01月01日至2013年09月30日,,             13219248,             13219248,,,              1189308,                220455,                531958,              9455557,              4188701,            -45281961,             -7005779,             75685065,                -13412,                  1684,                 35029,             -7654757,,             -7012324,,                -89928,                 -1380,,,,,,             14922321,            -18114609,            -22902564,               -337202,                773671,            -21055588,            -35833347,            -46867995,             -2772400,           -132187713,,              1381058,             -6800061,             30115109,               -263611,              1043478,              4302023,             29777996,           -102409717,            -78139778,            -64920530,             39107862,              7306111,             -3310791,             -1507196,            -23324544,,,               -508713,                 10598,               -623663,               -124635,                 13412,               -202548,              8881343,             -1360970,              6125774,,              2948836,             -5000000,                              0,                              0,            -11597514,                              0,                 30375,,,             -3315316,                330504,            -20183582,             65485403,             45301821,             45301821,,,,                 21723,                              0,             24269939,                 40950,                              0,                              0,              4147112,              6500000,               -344125,,,,,,,,,,,,,
2888,2013年01月01日至2013年06月30日,,              8797086,              8797086,,,                795345,                143625,                446976,             16063033,              2792560,            -29870796,               -584137,             50399405,                 -2880,                  2517,                 -3470,             -7640211,,             -4899513,,                 -2105,,,,,,,             11595151,             -9697918,            -25509409,             -4546918,              2436051,             -9069109,            -23537638,            -42245644,               -192962,           -100768396,,                263154,              3401936,             26726628,               -168249,              2534826,              2787530,             35545825,            -65222571,            -37560499,            -28763413,             24049577,                646355,             -2595904,               -441134,             -7104519,,,               -244005,                  9379,             -2159050,                -96518,                  2880,               -201931,              8875435,             -1332666,              4853524,,              1799121,             -5000000,                              0,                              0,            -11908493,                              0,             -1685366,,,            -10716615,                252547,            -12715063,             65485403,             52770340,             52770340,,,,                 21723,,             27662072,,,,              4141050,              1937073,,,,,,,,,,,,,,
2888,2013年01月01日至2013年03月31日,,              8740789,              8740789,,,                388242,                 71802,                280338,             10951029,              1412828,            -14666741,,             25115541,                 -2130,                     50,                   -203,             -7627644,,             -1882396,,                 -2105,,,,,,,             20354658,              6649261,,             -5789506,              7743350,              2805965,,               -565485,                611306,             31809549,,             -1290866,             -4940317,              2752462,                -79323,              2868177,              1216190,                526323,             32335872,             46398362,             55139151,             14057123,                 71058,             -1163808,               -566926,             67536598,,,                -78055,                  6929,             -1022397,                -32130,                  2130,               -201371,              8750189,               -426350,            -67242891,,               -399731,,,,            -10823251,,             -1492160,,,            -13452422,               -213747,            -13372462,             65485403,             52112941,             52112941,,               -737280,,,,             14062490,,,,,,,            -93853953,             67104684,                              0,           -107751386,             68020939,              6698045,            -14474154,                              0,                              0,,                 13989,                              0,                 23879
2888,2012年01月01日至2012年09月30日,,             12260389,             12260389,,,              1162004,                236684,                934965,            -10650488,              3826884,            -42919341,             -6912271,             73094156,                -91974,                 -2063,                 -3068,                -13818,,            -18455460,                315164,               -162979,                              0,,,,,,               -260938,            -21779958,,              8739644,              3513236,            -39805600,,                 51868,                 60729,            -49481019,,             -5538314,                 52367,             41191599,               -256307,                995641,             -1200449,             35244537,            -14236482,            -13878087,             -1617698,             32283058,              6984150,             -2680310,             -2118470,             32850730,,,               -588442,                 14678,                747888,                -84254,                 94480,             -4402799,                106155,              1364403,            -32534506,,                550002,                              0,,,             10747430,,              1112631,,,             12403287,                190354,             12909865,             69192191,             82102056,             82102056,,,,                              0,,                358395,                 15166,,              5000000,             -4696315,                              0,               -310461,           -200197880,            212674487,                100450,           -179139418,            168169890,              8894698,            -40427238,                 23427,                -51026,                  1368,                149464,                     -3,
2888,2012年01月01日至2012年06月30日,,              9101233,              9101233,,,                768247,                171157,                251569,             -3279321,              2543002,            -28524910,             -1293353,             55712394,                -89774,                     13,                   -375,                 22660,,            -16408845,,                              0,,,,,,,              7917354,            -24490245,,             15464893,              3328967,            -30549819,,                165538,               -290907,            -28454219,,             -2610970,             -3648785,             25276055,               -152589,              1111754,              4484222,             24459687,             -3994532,              5877932,             14979165,             22505131,              1370673,             -2557692,             -1794708,             34502569,,,               -441195,                 10781,                436992,                -63161,                 92280,             -4060045,                 39230,              1269916,            -22810563,,               -999665,                              0,,,             10706981,,               -711564,,,              9167410,                 18296,             20877712,             69192191,             90069903,             90069903,,,,                              0,,              9872464,,,              5000000,             -4828342,                              0,,           -138881624,            141312823,                100450,           -114897634,            115910892,             11767313,            -35361117,                  8400,               -100250,                              0,                 45389,                     -3,
