證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 應付短期票券減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金減少
1612,2015年01月01日至2015年09月30日,,                 28655,                 28655,,,                 62406,                  4731,                   -760,                    439,                 -3626,                -30947,                 -5132,                              0,                              0,               -116834,                 19634,                   -994,                -71083,,,                 49547,                 21467,               -153799,                -19498,                184051,                  8498,                     19,                 90285,,                    102,                -19142,                 35149,                 11074,                 85201,                    -47,                 -7492,                104845,                195130,                124047,                152702,                  3659,                   -439,                 -2943,                152979,,                              0,               -119305,                330473,               -133169,                 17121,                 -9600,                 -9607,                              0,                 -8089,                              0,                 -4061,                              0,                 -2263,                 -7278,                    490,                              0,                 30947,                              0,                 85659,,                    682,                              0,                              0,                              0,               -194491,                   -340,               -194149,                  2461,                 46950,                826847,                873797,                873797,,,,,,,,,,
1612,2015年01月01日至2015年06月30日,,                 32775,                 32775,,,                 41526,                  3158,                   -703,                    279,                 -2212,                 -9392,                 -8352,                              0,                              0,                -69322,                 19634,                   -676,                -26060,,,                -29181,                -19428,                -31365,                 -6615,                153170,                 -3313,                      2,                 63270,,                   -187,                -47589,                    211,                -18571,                 97690,                    -23,                    113,                 31644,                 94914,                 68854,                101629,                  2363,                   -279,                 -2461,                101252,,                              0,               -113914,                237616,                -47434,                 16458,                              0,                -57743,                              0,                 -5869,                              0,                              0,                  5592,                              0,                 -1455,                    490,                              0,                  9392,                              0,                 43133,,                    795,,                              0,                              0,,                   -340,                    455,                 -1524,                143316,                826847,                970163,                970163,                              0,                              0,                              0,                              0,,,,,,
1612,2015年01月01日至2015年03月31日,,                 23629,                 23629,,,                 20753,                  1843,                    892,                    106,                 -1496,                   -725,                 -5069,                              0,                              0,                -15317,,                   -356,                    631,,,                 18196,                  7209,               -102069,                -35192,                 84621,                  4435,                     -2,                -22802,,                  1547,                -14865,                 23763,                 13167,                 33494,                     35,                     20,                 57161,                 34359,                 34990,                 58619,                  1756,                   -106,                 -2344,                 57925,,,                -40144,                 64731,                 -9087,                              0,,                -29473,                              0,                 -2364,                              0,                -22399,,,                   -382,                    490,                              0,                    725,                              0,                -37903,,                  4704,                              0,,                              0,,,                  4704,                   -640,                 24086,                826847,                850933,                850933,,                              0,                              0,                              0,                              0,,,,,
1612,2014年度,,                274088,                274088,,,                 84412,                  6040,                 -9157,                  1301,                 -6849,                -25515,                -42631,                 -1017,                -85931,                -60414,                  8455,                 -1289,,,,                 41103,                  4149,                206418,                   -103,                -50061,                 -6923,                    930,                195513,,                   -607,                -96653,                -91073,                  6052,                -28709,                 -1006,,               -219122,                -23609,               -156204,                117884,                  7367,                 -1301,                 -3179,                120771,,                              0,               -190578,                 92402,               -140313,                 18500,                              0,                -35873,                178542,                -22737,                  2350,                 -4600,                              0,                    -67,                -43955,,                 -7461,                 25515,                              0,               -128195,,                              0,                -42507,                -30000,                     77,               -243113,                -11983,               -327526,                  3350,               -331600,              1158447,                826847,                826847,,                     80,                              0,,,,                              0,               -132595,                 -7126,                              0
1612,2014年01月01日至2014年09月30日,,                246665,                246665,,,                 63640,                  4366,                 -9061,                  1137,                 -5494,                -22626,                 -9144,                   -890,                -85931,                -47158,                              0,                   -970,               -112131,,,                 26852,                 -3573,                 65483,                 -4100,                 14265,                 -9941,                    785,                 89771,,                  4242,                -98817,                -92066,                -16502,                 19040,                     25,                    469,               -183609,                -93838,               -205969,                 40696,                  6009,                 -1137,                 -3064,                 42504,,                              0,               -190578,                 75055,                -80268,                  6219,                              0,                -64480,                178542,                -13476,                  2177,                -45921,                              0,                    -67,                -35085,                              0,                 -5475,                 22626,                              0,               -150731,,                              0,                -49559,                -30000,                     76,               -243113,                   -478,               -323074,                  1068,               -430233,              1158447,                728214,                728214,,,,,,,,,,
1612,2014年01月01日至2014年06月30日,,                191996,                191996,,,                 42410,                  2767,                  3357,                    947,                 -3879,                 -3366,                 -2657,                   -767,                -85931,                -37502,                              0,                   -647,                -85268,,,                 -2431,                -30962,                118485,                 -1593,                 68806,                -12789,                    -30,                139486,,                   -565,                -82270,                -90443,                    321,                 10912,                     10,                    352,               -161683,                -22197,               -107465,                 84531,                  4073,                   -947,                 -2890,                 84767,,                              0,                 -3956,                 46470,                -95468,                  6081,                              0,               -155481,                  3118,                -12960,                  2032,                              0,                    284,                    -67,                 -1652,                              0,                 -1576,                  3366,                              0,               -209809,,                 35897,,                -30000,                     77,,                              0,                  5974,                    103,               -118965,              1158447,              1039482,              1039482,                              0,                              0,                              0,                              0,,,,,,
1612,2014年01月01日至2014年03月31日,,                101377,                101377,,,                 21258,                  1738,                  1638,                    476,                 -1979,                 -2161,                 -2153,                   -210,                              0,                -22671,,                   -323,                 -4387,,,                -16153,                 -6295,                -62297,                    659,                 63531,                -16731,                   -506,                -37792,,                   -436,                 81037,                -90058,                 -8754,                 18970,                    224,                    237,                  1220,                -36572,                -40959,                 60418,                  2219,                   -476,                 -2724,                 59437,,,                 -2053,                 26845,                 -7852,                  6081,,               -143461,                    438,                 -4799,                  1996,                 -7536,,,                   -352,                              0,                 -1507,                  2161,                              0,               -130039,,                  5510,                              0,,                     77,,,                  5587,                  1156,                -63859,              1158447,              1094588,              1094588,,                              0,                              0,                              0,                              0,,,,,
1612,2013年度,,                 35338,                 35338,,,                 94113,                  6590,                 29319,                  2134,                 -7428,                -23604,                 54245,                -69241,                              0,                -63682,                 21887,                 -1375,,,,                -36414,                 29040,                  2075,                -11053,                132941,                -10117,                   -652,                105820,,                 -1039,                 84588,                -18136,                  4245,                -23923,                    958,,                 46828,                152648,                195606,                230944,                  6836,                 -2134,                 -5017,                230629,,                              0,               -119594,                122848,                -40661,                  5409,                -22907,                              0,                              0,                -81407,                210030,                              0,                  2610,                              0,                              0,,                -11128,                 23604,                  1433,                 90371,,                    339,                              0,                              0,                              0,                -71314,                   -279,                -72494,                  1542,                250048,                908399,              1158447,              1158447,,                    134,                              0,,,,                              0,                 42958,                    135,                 -1240
1612,2013年01月01日至2013年12月31日,,                 35338,                 35338,,,                 94113,                  6590,                 29319,                  2134,                 -7428,                -23604,                 54245,                -69241,,                -63682,                 21887,                 -1375,,,,                -36414,                 29040,                  2075,                -11053,                132941,                -10117,                   -652,                105820,,                 -1039,                 84588,                -18136,                  4245,                -23923,                    958,,                 46828,                152648,                195606,                230944,                  6836,                 -2134,                 -5017,                230629,,                              0,               -119594,                122848,                -40661,                  5409,                -22907,,,                -81407,                210030,                              0,                  2610,,,,                -11128,                 23604,                  1433,                 90371,,                    339,,,                              0,                -71314,                   -279,                -72494,                  1542,                250048,                908399,              1158447,              1158447,,                    134,                              0,,,,                              0,                 42958,                    135,                 -1240
1612,2013年01月01日至2013年09月30日,,                 29868,                 29868,,,                 71695,                  4774,                  3130,                  1594,                 -5312,                -22938,                -22882,                  1122,                              0,                -50593,                  3517,                 -1052,,,,                 -9467,                 21324,                 -5391,                 -2240,                212072,                -30836,                     75,                185537,,                  7849,                 49965,                -39511,                      5,                -14989,                    -60,,                  4409,                189946,                173001,                202869,                  4873,                 -1594,                -18568,                187580,,                     39,               -115534,                106334,                -38284,                  3616,                   -186,                              0,                              0,                -31649,                  7491,                              0,                  1219,                              0,                -47393,,                 -5652,                 22938,                  1433,                -95628,,                 -1466,,                              0,                              0,                -71314,                   -279,                -73059,                  1044,                 19937,                908399,                928336,                928336,,,                              0,,,,,                -16945,                  1150,
1612,2013年01月01日至2013年06月30日,,                  2627,                  2627,,,                 48873,                  3431,                  3565,                    995,                 -3740,                   -570,                -10894,                  1144,                              0,                -43203,                  3543,                   -708,,,,                     19,                -14110,                 79317,                   -453,                 41396,                -11996,                     37,                 94210,,                    627,                125315,                -39211,                -15187,                -10798,                     21,,                 61803,                156013,                158449,                161076,                  3863,                   -995,                 -5132,                158812,,                              0,                -86460,                 72634,                -16875,                  3616,                              0,                              0,                              0,                -69960,                  7433,                 -5070,                              0,                              0,,,                 -3637,                    570,                  1433,                -96277,,                  9798,,                              0,                              0,,                   -279,                  9519,                  2031,                 74085,                908399,                982484,                982484,                              0,                     39,                              0,                              0,,,,                  2436,                  1036,
1612,2013年01月01日至2013年03月31日,,                 20730,                 20730,,,                 24582,                  1197,                  1715,                    501,                  1968,                    243,                  3764,                              0,                              0,                -28521,,                   -354,,,,                -12837,                 -8594,                 86595,                -16811,                -52292,                -16540,                     15,                -20464,,                    236,                 42704,                -18767,                -16347,                  2392,                     66,,                 11208,                 -9256,                 -4161,                 16569,                 -1845,                   -501,                   -194,                 14029,,,                -51898,                 41221,                -16875,                  3682,,                              0,                              0,                -20598,                              0,                 -3183,,,,,                              0,                   -243,                  1433,                -46422,,                              0,                    -18,,                              0,,,                    -18,                  1811,                -30600,                908399,                877799,                877799,,                     39,                              0,                              0,                              0,,,                  5095,                    924,
1612,2012年01月01日至2012年12月31日,,                108362,                108362,,,                101434,                  2627,                  1498,                  1892,                 -5566,                -43889,                 70241,                    122,,                 -8059,                 31820,                 -2335,,,,                 -2430,                  4946,               -139771,                 30350,                 98681,                136745,                    -94,                128427,,                    152,                 -9044,                -72595,                 -1203,                 42469,                   -171,,                -42274,                 86153,                241138,                349500,                  5652,                 -1892,                -57397,                295863,,                              0,                -71547,                 10549,                -39694,                 15390,                -17106,,,                -31053,                  1245,                 -5337,                              0,,,,                 -7612,                 43889,                  4520,                -90850,,                 26757,,,                    710,                -97245,                   -401,                -80179,                 -1776,                123058,                785341,                908399,                908399,,                  5906,                -10000,,,,                  5200,                154985,                 -1882,                              0
1612,2012年01月01日至2012年09月30日,,                252735,                252735,,,                 76131,                  1345,                   -674,                  1328,                 -4087,                -20670,                -58193,                    116,,                 -4968,                 21163,                 -1981,,,,                -19897,                   -681,                -82514,                -26045,                -14857,                126109,                   -196,                -18081,,                  3601,                 83454,               -109084,                  6220,                 30026,                   -149,,                 12670,                 -5411,                  4099,                256834,                  3816,                 -1328,                -22857,                236465,,                     43,                -22740,                              0,                -36841,                 14077,                -17106,,,                -20913,                  1246,                 -5179,,,,,                 -6604,                 23308,                  4520,                -66189,,                 19774,,,                    710,                -97245,                   -398,                -87159,                 -1911,                 81206,                785341,                866547,                866547,,,                -10000,,,,,                  9510,                 -1398,
1612,2012年01月01日至2012年06月30日,,                157347,                157347,,,                 50693,                    288,                   -396,                    862,                 -2715,                 -3473,                -41135,                     97,,                 -4968,                  6064,                 -1362,,,,                 -8165,                 23064,               -359489,                  2081,                -76336,                132653,                   -724,               -286916,,                   -905,                 49225,                -42623,                  7799,                -44240,                   -133,,                -32251,               -319167,               -315212,               -157865,                  2909,                   -862,                -34419,               -190237,,                     43,                -22410,                              0,                -36728,                 14077,                -17721,,,                 -9396,                  1246,                 -5942,,,,,                              0,                  3473,                    658,                -72700,,                 30359,,,                    710,,                   -398,                 20671,                   -643,               -242909,                785341,                542432,                542432,                              0,                              0,                -10000,                              0,,,,                  3955,                 -1374,
1612,2012年01月01日至2012年03月31日,,                122757,                122757,,,                 25200,                    149,                 -2791,                    415,                  1296,                    143,                 -4364,                     97,,                              0,,                   -611,,,,                -29979,                    557,               -283648,                -14362,                 65085,                130726,                     -1,               -131622,,                 -1021,                 41559,                -96564,                 10340,                 54463,                   -117,,                  7280,               -124342,               -104808,                 17949,                 -1326,                   -415,                   -120,                 16088,,                     43,                              0,                              0,                              0,                              0,,                -36360,,                 -5020,                  1246,                 -2798,,,,,,                   -143,                   -112,                -43144,,                 11202,                              0,,                    710,,,                  1912,                 -1255,                -26399,                785341,                758942,                758942,,,                -10000,                              0,                              0,,,                 19534,                 -1380,
