證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 應收款項增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損迴轉利益,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 應付短期票券減少,　　 取得子公司股權,　　 處分無形資產,　　 對子公司之收購（扣除所取得之現金）
6214,2015年01月01日至2015年09月30日,,                370070,                370070,,,                109666,                 39760,                  8918,                 57179,                 11433,                -18196,                -41636,                -64859,                 -7989,                -24396,                  1249,                  7774,                 -7646,                 71257,,,              1448339,                -15513,                 27930,                 -5754,                -31272,                -59315,                  1464,              1365879,,               -932156,               -200149,                135010,                 10684,                    480,               -986131,                379748,                451005,                821075,                -11250,               -143962,                665863,,                118244,                -64860,                              0,                  1334,                    983,               -221614,               -106427,                 11966,                 -6057,                -11011,                 -7017,                 11631,                 13379,                 19559,                147317,                  7551,                -85022,,                658634,                              0,                 -1057,               -401087,                 48736,                -26096,                110450,                -28969,               -827348,               -466737,                 60768,                174872,              2309983,              2484855,              2484855,,,,,,,,,,,,,,
6214,2015年01月01日至2015年06月30日,,                416385,                416385,,,                 71018,                 27097,                     46,                -90288,                  7237,                -13035,                 -7126,                -53080,                 -7989,                 -3177,                    874,                    408,                 -1403,                -69418,,,                163009,                 30268,                -76583,                 -8326,                -38277,               -153341,                 -4255,                -87505,,               -593762,               -198025,                 37985,                 13241,                 -2932,               -743493,               -830998,               -900416,               -484031,                 -7108,                -99469,               -590608,,                 13001,                -32989,,                  1734,                    583,,                -65980,                 11951,                  8358,                 -8317,                  3609,                 24890,                   -202,                 13086,                 53656,                  7487,                 31111,,                422400,                              0,                 -1127,,                 48736,,                110450,                 -6371,                              0,                574088,                -40692,                -26101,              2309983,              2283882,              2283882,                              0,                    244,,,,,,,,,,,,
6214,2015年01月01日至2015年03月31日,,                180387,                180387,,,                 35506,                 13523,                              0,                -59802,                  3198,                 -5651,                   -110,                -14252,                 -8241,                 -1115,                    874,                     43,                   -974,                -37001,,,                358766,                -32494,                150170,                 -3000,                122627,               -108308,                -10607,                477154,,               -895792,               -309145,                 92106,                 -3980,                 -2323,             -1119134,               -641980,               -678981,               -498594,                 -2831,                 -1681,               -503106,,                              0,,,                  1334,                              0,,                -29611,                 11951,                 19776,                 -5064,                  3867,                 26157,                  9237,                  6975,                    110,                    117,               -201884,,                433173,                              0,                 -1142,,                 22224,,                              0,,,                454255,                -16307,               -267042,              2309983,              2042941,              2042941,                -10192,               -236541,,,,,,,,,,,,
6214,2014年度,,                925553,                925553,,,                144885,                 53118,                  6760,                -45768,                 11175,                -22971,                -36277,               -119540,               -229638,                -47840,                 60607,,                 -3127,,,,                 69410,                  2852,                258338,                -34124,               -189967,                -99193,                 -4059,                  3257,,                160542,                -63479,               -180344,                  5670,,                -78278,                -75021,               -272046,                653507,                -11354,                -98679,                543474,,                 51578,,                -45000,                 17516,                  3239,,                -83598,                360731,                  5346,                -30471,                 50663,                -47308,                  9889,                 22973,                235367,                 10066,                560907,,               -238589,                -38479,                    425,               -798070,                135211,,                280028,               -230754,                 66652,               -823576,                 95071,                375876,              1934107,              2309983,              2309983,,                -17176,,                              0,                 31591,                              0,               -197025,                   -667,                 17092,                              0,                              0,                              0,,
6214,2014年01月01日至2014年09月30日,,                555713,                555713,,,                108327,                 39851,                    822,                -53886,                  9173,                -16755,                -34241,                -53353,                    698,                -43017,                    607,                 10531,                 -1531,                -32774,,,                763261,                -11274,                426152,                -39589,               -125433,                -94193,                -21491,                897433,,               -516422,               -285608,               -199336,                  3832,                    364,               -997170,                -99737,               -132511,                423202,                 -9125,                -81656,                332421,,                 51578,                              0,                -22940,                  8050,                  3239,                              0,                -66478,                     41,                 40678,                 -9943,                 48068,                 17679,                 12907,                 17430,                 84651,                 10023,                194983,,                 30335,                -38479,                 14588,               -798070,                121707,                              0,                280028,               -230754,                 66652,               -553993,                 25077,                 -1512,              1934107,              1932595,              1932595,,,,,,,,,,,,,,
6214,2014年01月01日至2014年06月30日,,                485394,                485394,,,                 72073,                 26725,                    986,               -127484,                  7625,                -10698,                -28225,                -43891,                    284,                -44687,                    607,                  8820,                   -184,               -138049,,,               -139782,                 -3452,                453799,                -16789,                123343,                -56837,                -19698,                340584,,               -601784,               -277126,                  6006,                  9448,                    127,               -863329,               -522745,               -660794,               -175400,                 -7865,                -64135,               -247400,,                 51578,                              0,,                              0,                  2429,,                -32965,                     11,                 29036,                 -3038,                 48765,                -19214,                 10693,                 11062,                 78635,                  7174,                161226,,               -447658,                -38479,                   -301,,                100246,,                280028,                 -5097,                   -773,               -112034,                  2367,               -195841,              1934107,              1738266,              1738266,                -22940,                              0,,,,,,,,,,,,
6214,2014年01月01日至2014年03月31日,,                228441,                228441,,,                 36341,                 13890,                   -396,                -52856,                  5381,                 -5410,                 -1790,                -11590,                    285,                -43918,                              0,                    259,                 -1970,                -61774,,,               -228317,                -50286,                439891,                -10663,                343978,               -112275,                -15793,                366535,,               -835852,               -385370,                 78247,                  1755,                    104,             -1141116,               -774581,               -836355,               -607914,                 -5383,                 -1964,               -615261,,                 50164,,,                              0,                  1529,,                -14329,                      9,                 -2808,                 -2084,                 -2834,                 -9206,                  6774,                  6316,                  1816,                              0,                 35347,,                 52865,                 -1673,                 -1332,,                 76502,,                146162,,,                272524,                 26755,               -280635,              1934107,              1653472,              1653472,                              0,                              0,,,,,,,,,,,,
6214,2013年度,,                939730,                939730,,,                147812,                 69456,                  3856,               -279780,                 18164,                -20214,                -43561,                -79272,                  3128,                 -9765,                  9440,,                   -744,,,,               -569966,                 29808,               -409418,                 15772,                213508,               -108412,                 -3773,               -832481,,                 46466,                127462,                118605,                 -1212,,                294474,               -538007,               -732421,                207309,                -17740,                -59366,                130203,,                 11020,,                              0,                  3861,                 10010,,                -79651,                  1539,                 19352,                -27435,               -161028,                 84877,                  3212,                 19029,                147989,                              0,                 42148,,                199358,                 -6692,                   -737,                              0,                 99766,,                              0,                -30782,               -472419,               -248896,                 39119,                -37426,              1971533,              1934107,              1934107,,                  6157,,                  9880,                -18971,                 -3843,               -194414,                  3153,                  1486,                  1730,                -30190,                 -7200,,
6214,2013年01月01日至2013年12月31日,,                939730,                939730,,,                147812,                 69456,                  3856,               -279780,                 18164,                -20214,                -43561,                -79272,                  3128,                 -9765,                  9440,                              0,                   -744,,,,               -569966,                 29808,               -409418,                 15772,                213508,               -108412,                 -3773,               -832481,,                 46466,                127462,                118605,                 -1212,,                294474,               -538007,               -732421,                207309,                -17740,                -59366,                130203,,                 11020,,                              0,                  3861,                 10010,,                -79651,                  1539,                 19352,                -27435,               -161028,                 84877,                  3212,                 19029,                147989,,                 42148,,                199358,                 -6692,                   -737,,                 99766,,,                -30782,               -472419,               -248896,                 39119,                -37426,              1971533,              1934107,              1934107,,                  6157,,                  9880,                -18971,                 -3843,               -194414,                  3153,                  1486,                  1730,                -30190,                 -7200,,                              0
6214,2013年01月01日至2013年09月30日,,                619137,                619137,,,                111086,                 56254,                 -2109,               -148737,                 12762,                -14666,                -42456,                -73100,                  2382,                 -6073,                  5252,,                    644,,,,                 55049,                -23277,                211931,                 -1482,                187818,               -229030,                -21434,                179575,,               -733958,               -112165,                174027,                 59057,,               -615966,               -436391,               -535587,                 83550,                -12278,                -52514,                 18758,,                  1785,,                              0,                  3861,                  1331,,                -71059,                 11117,                 21739,                -16445,               -156424,                  1503,                 -1044,                 13613,                146947,                              0,                -35143,,                305499,                 -5019,                   -537,                              0,                 51509,,                              0,                -30782,               -472419,               -189139,                 37848,               -167676,              1971533,              1803857,              1803857,,                  6157,,                  7729,                 -4321,                 -3843,                -99196,                 -2927,                  1486,,                -30190,                 -7200,                    290,
6214,2013年01月01日至2013年06月30日,,                387240,                387240,,,                 74200,                 36952,                 -1854,                -76123,                  7866,                 -9500,                -29052,                -39735,                  1969,                 -3534,                  3806,                  1468,                   -741,,,,               -192657,                -23408,                 69747,                 -8795,                328853,               -268751,                -29422,               -124433,,               -538093,               -187285,                161763,                 19216,,               -545806,               -670239,               -700728,               -313488,                 -7494,                -42023,               -363005,,                  1785,,,                  3861,                    333,,                -50142,                  9196,                 41175,                -15562,                              0,                  8452,                -59201,                  8967,                 90220,                              0,                 45531,,                 65648,                 -3346,                   -559,,                 23525,,                              0,                -15306,                              0,                 62550,                 55038,               -199886,              1971533,              1771647,              1771647,                              0,                  6157,,                  5711,,                 -1922,                -30489,                 -1407,,,                   -212,                 -7200,                    290,
6214,2013年01月01日至2013年03月31日,,                164037,                164037,,,                 37116,                 18096,                 -2300,                -35367,                  3839,                 -4801,                 -1632,                -16989,                     -8,                 -2487,,                    417,                   -628,,,,               -414702,                  1440,                522641,                  7943,                205037,               -112687,                -13726,                195946,,               -798356,               -260674,                207983,                  7575,,               -844067,               -648121,               -650822,               -486785,                 -3826,                   -616,               -491227,,                    395,,,                  3632,                              0,,                -26344,                  6717,                 38276,                 -1942,                              0,                 -9533,                 -8123,                  5163,                 60095,,                 74493,,                132341,                 -1673,                   -594,,                 21588,,                              0,,,                134462,                 37693,               -244579,              1971533,              1726954,              1726954,,                  6157,,                  3004,,                   -961,                 -2701,                   -595,,,                -10000,                 -7200,,
6214,2012年01月01日至2012年12月31日,,                326544,                326544,,,                148063,                 61058,                 12366,                -51599,                 15218,                -21495,                -53297,               -127494,                  6769,                 -8790,                 51608,                 56200,                    155,,,,              1153520,                 56610,               -119378,                 70159,               -617525,                 46452,                -12491,                577347,,                 83936,                -26604,                -76594,                 22217,,                 -8265,                569082,                708250,              1034794,                -15229,                -57497,                962068,,                  4756,,               -247980,                 28015,                 47048,,               -103860,                    870,                -32061,                -49594,                  8323,                 62475,                -36436,                 21734,                 57796,,               -512427,,                132175,                 -6000,                    -98,,                 16400,,,                -28251,               -469665,               -375424,                -61720,                 12497,              1959036,              1971533,              1971533,,                 -5870,,                 36394,                 17856,                 -3844,                139168,                -11220,                              0,                 54048,                              0,                -19985,,               -321691
6214,2012年01月01日至2012年09月30日,,                137575,                137575,,,                108691,                 42822,                  3404,                -32856,                 10224,                -15592,                -48428,                -97026,                  6204,                 -4081,                 14608,,                  3800,,,,              1248430,                 39434,                337823,                 62688,               -483766,                102272,                -11233,              1295648,,               -606198,               -156564,                -90686,                  1030,,               -859106,                436542,                461804,                599379,                -10198,                -49386,                539795,,                  4243,,               -243959,                  6981,                 42097,,                -77858,                    741,                  5424,                -17830,                   -343,                195411,                -10790,                 15824,                 48428,                  3455,               -319434,,                111157,                 -4000,                 -1787,,                  1341,,,                -28251,               -469665,               -398705,                -43156,               -221500,              1959036,              1737536,              1737536,,                 -5860,,                 27517,                  8858,                 -2883,                 25262,                 -6688,                              0,                 36293,                              0,                 -7500,                              0,               -321691
6214,2012年01月01日至2012年06月30日,,                 22651,                 22651,,,                 72965,                 27331,                  3368,                 21634,                  6245,                -10936,                -34899,                -58429,                  9710,                 -1049,                 12794,                  8098,                  2746,,,,                140152,                 58950,                373093,                 35102,               -312275,                 88853,                -18156,                365719,,               -375849,               -137851,                -95884,                  1750,,               -612393,               -246674,               -169496,               -146845,                 -6249,                -46786,               -199880,,                  2074,,               -240941,                  3529,                  4383,,                -58975,                    484,                  2359,                -14576,,                143540,                   -471,                 10449,                 38351,,               -109794,,                105008,                 -2000,                 -1730,,                    816,,,                -27027,,                 75067,                -21044,               -255651,              1959036,              1703385,              1703385,,                              0,,                 19522,,                 -1922,                 77178,                 -4559,,,                              0,                              0,                              0,
6214,2012年01月01日至2012年03月31日,,                 89379,                 89379,,,                 37153,                 12995,                    -37,                -43502,                  2744,                 -6012,                   -580,                -32691,                     81,                   -813,                  2850,                    984,                     71,,,,                130072,                 57645,                247927,                 44068,               -119107,                 33110,                -12718,                380997,,               -637987,               -285067,                 76345,                  3160,,               -847962,               -466965,               -484583,               -395204,                 -2607,                   -809,               -398620,,                  2074,,                -92903,                  1815,,,                -17403,                    214,                  9364,                 -1251,,                129489,                  6403,                  6014,                    580,,                 44396,,                140613,                              0,                    -83,,                    816,,,,,                141346,                -51706,               -264584,              1959036,              1694452,              1694452,,                              0,,                 10100,,                   -961,                -17618,                 -4413,,,                              0,                              0,                              0,
