證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　 存出保證金增加,　　　　 處分採用權益法之投資損失（利益）,　　　　　 應收票據（增加）減少
5243,2015年01月01日至2015年09月30日,,                236351,                236351,,,                365823,                 10177,                    256,                  4529,                -10828,                -11695,                   -934,                357328,,,                   -340,                -24761,                248329,                 15279,                 25303,                -10209,                253601,,               -117715,                 22168,                -90776,                 81286,               -105037,                148564,                505892,                742243,                 10828,                 -4529,                -26447,                722095,,               -101864,               -294128,                  5010,                  2595,                 -1948,                -12371,                 -4542,                              0,               -407248,,                189771,               -451322,               -196843,                              0,               -458394,                 61799,                -81748,              1990764,              1909016,              1909016,,,,,,,
5243,2015年01月01日至2015年06月30日,,                150626,                150626,,,                240358,                  7182,                    417,                  3287,                 -9194,                 -8150,                   -145,                233755,,,                   -562,                290866,                411634,                 16652,                 17887,                 44744,                781221,,               -412052,               -161265,               -166906,                -68267,               -808490,                -27269,                206486,                357112,                  9194,                 -3287,                -21361,                341658,,,               -232950,                  4250,                  2205,                 -1555,                 -2566,                 -4537,                              0,               -235153,,               -136923,,,,               -136923,                 -7588,                -38006,              1990764,              1952758,              1952758,,,,,,,
5243,2015年01月01日至2015年03月31日,,                 73676,                 73676,,,                123694,                  3066,                 10288,                  1620,                 -5514,                 -3915,                  2020,                131977,,,                   -633,                144025,                529028,                 13671,                153028,                 78174,                917293,,               -357035,               -232493,               -239569,                 37767,               -791330,                125963,                257940,                331616,                  5514,                 -1509,                -11165,                324456,,,               -129025,                     30,                  1165,                 -1071,                 -3142,                   -115,,               -132158,,                -84268,,,,                -84268,                 15330,                123360,              1990764,              2114124,              2114124,                    718,,,,,,
5243,2014年度,,                578313,                578313,,,                428822,                 15016,                -16186,                  8095,                -10111,                 -9680,                  9094,,,,,               -524173,                -26065,                  7199,               -276284,                -73110,               -892433,,                578523,                 40708,                 47322,                 41845,                708398,               -184035,                243774,                822087,                 10111,                 -8296,                -39425,                784477,,,               -656695,                  6954,                 -2083,                 -2844,                -23388,                 -1434,                  2987,               -676503,,                198194,               -257898,,                -20782,                -80486,                120570,                148058,              1842706,              1990764,              1990764,                  2759,,                427809,                              0,,,
5243,2014年01月01日至2014年09月30日,,                429660,                429660,,,                317532,                 13957,                              0,                  6617,                 -7270,                 -4651,                  6399,                332584,,,                              0,               -666383,                -52915,                 19702,               -290716,                -49362,             -1039674,,                848781,               -136652,                 51722,                 -1622,                762229,               -277445,                 55139,                484799,                  7270,                 -6804,                -19633,                465632,,                              0,               -477575,                  4825,                   -639,                 -1031,                -26673,                   -885,                  2987,               -498991,,                 25139,               -257898,                              0,                -20782,               -253541,                 43644,               -243256,              1842706,              1599450,              1599450,,,,,,,
5243,2014年01月01日至2014年06月30日,,                250310,                250310,,,                207898,                  9585,                              0,                  4786,                 -4035,                 -3126,                    506,                215614,,,                              0,               -750883,                549167,                 23464,               -280476,                -67543,               -526271,,                505865,                -76041,                -17339,                -20723,                391762,               -134509,                 81105,                331415,                  4035,                 -3790,                 -1468,                330192,,,               -261395,                  3877,                 -1023,                              0,                -16815,                   -885,                  2987,               -273254,,                182787,,,,                182787,                 30918,                270643,              1842706,              2113349,              2113349,,,,,,,
5243,2014年01月01日至2014年03月31日,,                105671,                105671,,,                104408,                  4132,                 -5588,                  2041,                 -1357,                 -1764,                    203,                102767,,,                              0,               -465559,                719299,                  4697,               -240510,                -21808,                 -3881,,                138107,               -148455,                 91023,                 -9362,                 71313,                 67432,                170199,                275870,                  1357,                 -2110,                 -3590,                271527,,,                -84668,                              0,                   -766,                              0,                 -4086,                   -346,,                -89866,,                  1298,,,,                  1298,                 44056,                227015,              1842706,              2069721,              2069721,                    692,,,,,,
5243,2013年度,,                391214,                391214,,,                441133,                 14070,                 11610,                 10872,                 -6074,                 -5352,                -23544,,,,,                -62896,                 32338,                -20307,                 33417,                -91602,               -109050,,               -264922,                161058,                235625,                  3925,                135686,                 26636,                471986,                863200,                  6074,                -12042,                -14937,                842295,,,               -314086,                 59255,                 -3661,                   -987,                 22439,                 -6341,                  2049,               -241332,,               -254952,                              0,,                              0,                420828,                 38486,              1060277,                782429,              1842706,              1842706,                  2635,,                445350,                675780,,,
5243,2013年01月01日至2013年12月31日,,                391214,                391214,,,                441133,                 16705,                 11610,                 10872,                 -6074,                 -5352,                -23544,,,,,                -62896,                 32338,                -20307,                 33417,                -91602,               -109050,,               -264922,                161058,                235625,                  3925,                135686,                 26636,                471986,                863200,                  6074,                -12042,                -14937,                842295,,,               -314086,                 59255,                 -3661,                   -987,                 22439,                 -6341,                  2049,               -241332,,               -254952,,,,                420828,                 38486,              1060277,                782429,              1842706,              1842706,,,                445350,                675780,,                              0,                              0
5243,2013年01月01日至2013年09月30日,,                279432,                279432,,,                334087,                  9959,                 15998,                  8095,                 -4062,                 -3234,                -20363,,,,,               -109999,               -250518,                -12626,                -10936,                -33154,               -417233,,                 -2030,                120419,                163756,                -28545,                253600,               -163633,                178813,                458245,                  4062,                 -9225,                -11312,                441770,,,               -217122,                 33726,,                              0,                  1759,                 -6329,                  2049,               -189448,,                 40956,                              0,,                              0,                 40956,                 19535,                312813,                782429,              1095242,              1095242,                  1966,,                342446,,                 -3531,,
