證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 預付設備款減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 處分無形資產,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 處分子公司,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 存入保證金減少,　　 員工執行認股權,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　 其他金融負債減少,　　 處分無活絡市場之債券投資
1734,2015年01月01日至2015年09月30日,,               -143511,               -143511,,,                137079,                 31834,                 14945,                 15613,                -10185,                    -76,                    590,                  3419,                    -51,                193168,,,                -21777,                 57912,                 51432,                 78109,                   -632,                  1596,                166640,,                -16205,                -21825,                -56427,                 12731,                    954,                 -2155,                  4107,                -78820,                 87820,                280988,                137477,                 10030,                -15538,                -49738,                 82231,,                              0,                              0,                 -5013,                              0,                 -3419,               -216156,                    342,                   -528,               -119002,                 -9687,                 -6899,               -360362,,                 12000,                              0,                 60000,                -40826,                              0,               -129017,                -97843,                 -5360,               -381334,              1263099,                881765,                881765,,,,,,,,,,,,,,,,,,,,,,
1734,2015年01月01日至2015年06月30日,,                -86829,                -86829,,,                 91269,                 20359,                 13970,                 10310,                 -7108,                    -65,                    591,                  3419,                    -34,                132711,,,                    387,                 52281,                 10964,                 95536,                -10658,                  2040,                150550,,                -35764,                -13755,                -31602,                  7765,                    519,                 -2781,                  2168,                -73450,                 77100,                209811,                122982,                  5543,                -10289,                -43964,                 74272,,,,                -12524,,                 -3419,                -94866,                    332,                    -60,               -118948,                 -8333,                 -3721,               -241539,,                 30000,                              0,                 60000,                -23108,                              0,,                 66892,                -19777,               -120152,              1263099,              1142947,              1142947,,,,,,,,,,,,,,,,,,,,,,
1734,2015年01月01日至2015年03月31日,,                -57960,                -57960,,,                 44712,                 10061,                 11753,                  5117,                 -3266,                   -356,                    591,,                    -17,                 68595,,,                   -622,                 35027,                 21261,                 39910,                 -9652,                  1881,                 87805,,                -23040,                -26097,                -30427,                  9389,                  3968,                    626,                 -3897,                -69478,                 18327,                 86922,                 28962,                  1782,                 -5084,                -23652,                  2008,,,,                -27503,,                 -3419,                -48125,                    332,                     20,                -60750,                 -3336,                 -3437,               -146218,,,                              0,                              0,                -11460,,,                -11460,                -14233,               -169903,              1263099,              1093196,              1093196,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
1734,2014年度,,                207365,                207365,,,                170930,                 22076,                 -5758,                 20268,                -13514,                  6407,,                  1092,                    -68,,,,                 -5568,                 10819,                 18721,               -127318,                 27935,                 16820,                -58591,,                -27650,                -40182,                -24177,                -16324,                   -185,,                 10837,                -98017,               -156608,                 44825,                252190,                  8810,                -20246,                -92174,                148580,,                -33780,                              0,,,,               -249370,                  3239,                  2543,                -42007,                -25408,                 -2914,               -369482,,                              0,                -82838,                432000,               -203134,                  4244,               -119460,                618374,                 12970,                410442,                756380,              1166822,              1166822,                              0,,,,                              0,                              0,                201433,                   -336,                -21785,                              0,                              0,                587562,                              0,                              0,,,,,,,,
1734,2014年01月01日至2014年09月30日,,                130594,                130594,,,                126405,                 13778,                 -1696,                 15072,                 -9394,                    240,                              0,                    978,                    -51,                145332,,,                  3797,                 76815,                 21125,                -79224,                 37279,                  2530,                 62322,,                -18847,                -46822,                -52420,                 -5249,                    500,                   -312,                              0,               -123150,                -60828,                 84504,                215098,                  6132,                -14996,                -92496,                113738,,                -33779,                              0,                              0,                 28716,                              0,               -185630,                  1603,                  3027,                -39528,                 -5560,                  1535,               -229616,,                              0,               -274838,                391773,                              0,                  1540,               -119460,                   -985,                   -423,               -117286,                756380,                639094,                639094,,,,,,,,,,,,,,,,,,,,,,
1734,2014年01月01日至2014年06月30日,,                183424,                183424,,,                 82113,                  8206,                  6365,                  9816,                 -5705,                   -103,                    196,                    978,                    -34,                101832,,,                  2407,                  7447,                 19737,                    655,                 33927,                 -1008,                 63165,,                -56938,                -16372,                -42845,                 -7071,                   -308,                   -959,                              0,               -124493,                -61328,                 40504,                223928,                  3324,                 -9931,                -68651,                148670,,,,                -48110,,                              0,               -124888,                    255,                  2919,                -11042,                 -2928,                 -1400,               -185194,,                              0,               -274838,                400000,                -25503,                  1462,,                101121,                 -7667,                 56930,                887970,                944900,                944900,,,,,,,,,,,,,,,,,,,,,,
1734,2014年01月01日至2014年03月31日,,                 79731,                 79731,,,                 40319,                  3956,                  3042,                  4905,                 -2510,                    -79,                              0,,                    -17,                 50010,,,                  6599,                -17654,                 15420,                    878,                    287,                  4791,                 10321,,                -37216,                -23873,                -59667,                  5229,                    645,                 -1606,                              0,               -116488,               -106167,                -56157,                 23574,                  2967,                 -4834,                -20067,                  1640,,,,                -24500,,                              0,                -67868,                    114,                    264,                 -9440,                   -674,                              0,                -94002,,,               -244838,                300000,                -12651,,,                 42473,                 -2953,                -52842,                887970,                835128,                835128,                    394,                  8102,                    -38,,,,,,,,,,,,,,,,,,,
1734,2013年度,,                409989,                409989,,,                148420,                 19922,                   -902,                 18561,                 -9630,                    502,,                  3501,                              0,,,,                 27844,                -44408,                  1465,               -222872,                -39712,                 -1383,               -279066,,                 35419,                 53881,                 83635,                 81725,                    725,,                              0,                251134,                -27932,                -31076,                378913,                  5179,                -18543,                -68457,                297092,,                -94888,                  6080,,,,               -549066,                  1709,                              0,                 -9841,                -15815,                -39252,               -617701,,                200279,                              0,                  7467,               -146279,                 35789,                -89595,                554272,                  5695,                239358,                517022,                756380,                756380,                 12747,,,,               -196228,                    -37,                 -3144,                 -4251,                -54687,                 -4122,                142181,                360066,                171544,                 15001,,,,,,,,
1734,2013年01月01日至2013年12月31日,,                409989,                409989,,,                148420,                 19922,                   -902,                 18561,                 -9630,                    502,                              0,                  3501,                              0,,,,                 27844,                -44408,                  1465,               -222872,                -41673,                    578,               -279066,,                 35419,                 53881,                 83635,                 81725,                    725,,                              0,                251134,                -27932,                -31076,                378913,                  5179,                -18543,                -68457,                297092,,                -94888,                  6080,,,                              0,               -549066,                  1709,                              0,                 -9841,                -15815,                -39252,               -617701,,                200279,                              0,                  7467,               -146279,                 35789,                -89595,                554272,                  5695,                239358,                517022,                756380,                756380,                 12747,,,,               -196228,                    -37,                 -3144,                 -4251,                -54687,                 -4122,                142181,                360066,                171544,                 15001,,                              0,                              0,                              0,                              0,,,
1734,2013年01月01日至2013年09月30日,,                350389,                350389,,,                108526,                 13190,                  2562,                 13573,                 -6591,                    -46,,                  2824,                    -51,,,,                 27991,                  9550,                  3349,                -42456,                -64846,                  4319,                -62093,,                 -2385,                  2439,                 13738,                 29236,                    868,,,                 39104,                -22989,                -81229,                269160,                  3592,                -13474,                -35764,                223514,,                -94889,                  6080,,,,               -444817,                  1701,                              0,                 -9587,                 -9572,                -15268,               -548706,,                 23531,                              0,                 84327,,                    346,                -89595,                565220,                    177,                240205,                517022,                757227,                757227,,                              0,,,               -192190,                    -37,                -58240,                 -4792,               -118414,                 -2108,                138168,,                171544,                375067,,,,,,,,
