證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項減少－處分資產,　　 存出保證金增加,　　 其他應收款增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付設備款減少,　　 收取之利息,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他非流動負債增加,　　 其他借款減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金減少,　　 其他非流動資產減少,　　 其他非流動負債減少,　　 處分子公司股權（未喪失控制力）,　　　　　 應付帳款－關係人增加（減少）,　　 應付短期票券增加,　 匯率變動對現金及約當現金之影響,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他營業資產（增加）減少,　　 處分持有至到期日金融資產,　　　　　 其他營業負債增加（減少）,　　 預收款項增加－處分資產
2913,2015年01月01日至2015年09月30日,,                581378,                581378,,,                 46915,                    877,                 43794,                    252,                 29025,                 -1015,               -504624,                              0,                 -3474,                 -5892,               -394142,,,                    527,                -49695,                 54463,                   -131,                    968,                 59266,               -266462,                -12659,                 25800,                 -8195,               -196118,,                -30137,                -70952,                 -9985,                 -9328,                176930,                 14662,                 -1314,                 69876,               -126242,               -520384,                 60994,                -55874,                  5120,,                 80000,                -15000,                  8787,                -25115,                -93087,                      4,                 -8080,               -746769,                -78775,                    -57,                -55305,                718796,             -1296274,                -35507,                              0,                  2999,                  1815,                              0,             -1541568,,                -23514,                              0,                              0,              3351192,             -2079413,               -150278,               -475293,                999983,               -102472,                -28357,                              0,              1491848,                -44600,                180420,                135820,                135820,,,,,,,,,,,,,,,,,,,,,,,,
2913,2015年01月01日至2015年06月30日,,                406053,                406053,,,                 30507,                    666,,                    161,                 16682,                   -992,               -361849,                              0,                 -3938,                 -5892,               -324655,,,                 -2009,                  2633,                 48956,                   -107,                  2248,                 59266,               -270793,                 -7873,                 21924,                -12027,               -157782,,                -32097,                -68291,                -13101,                 16093,                283758,                  8901,                   -842,                194421,                 36639,               -288016,                118037,                -55874,                 62163,,                 80000,,                  8787,                -25115,                -59097,                              0,                 -8503,               -747126,                -76896,                    -57,                -51599,                515600,               -593274,                -24621,,                  3000,                  1794,                              0,               -977107,,                              0,                              0,                              0,                805000,               -757521,                -98755,,                999983,,                -16661,,                939528,                 24584,                180420,                205004,                205004,                  7482,                              0,,,,,,,,,,,,,,,,,,,,,,
2913,2015年01月01日至2015年03月31日,,                201218,                201218,,,                 15087,                    381,,                     36,                  7261,                   -435,               -151787,                              0,                 -3938,,               -133395,,,                  3009,                -42210,                 61430,,                 -8600,                 30472,                  7902,                 -4337,                  6335,                 -2068,                 51933,,                -21356,                -18783,                 -5094,                -18796,                 20402,                    296,                   -389,                -43720,                  8213,               -125182,                 76036,                   -122,                 75914,,                 80000,,                  8787,,                -29239,,                 -8491,                   -530,                   -359,                    -57,                -46634,                220290,               -302387,                -18026,,                  3000,                  1235,,                -92411,,,                              0,,                 80000,                 -9470,,,,,                 -7218,,                 15428,                 -1069,                180420,                179351,                179351,                  1934,                              0,                              0,                -49818,,,,,,,,,,,,,,,,,,,,
2913,2014年度,,                876597,                876597,,,                 83093,                  4099,,                    -45,                 39408,                 -4731,               -530263,                    265,                -94482,                -24972,,,,                 -1059,               -206613,                -88656,                              0,                 51193,                  3094,                  9533,                -11793,                 48649,                  4235,               -191417,,                 26447,                -42175,                 50120,                 -8225,                 46219,                -21325,,                 48048,               -143369,               -670997,                205600,               -107878,                 97722,,,                              0,                 44000,                342238,               -136691,                     13,                -11008,                   -721,                -33651,                   -745,               -361295,                803440,,                              0,,,                  4815,                -50000,                605364,,                -58500,               -193500,                 -1200,              2250999,             -2161361,,               -360154,,,                -39313,                -13117,               -651080,                 52006,                128414,                180420,                180420,,,,                -76329,,               -527628,                              0,                 -3013,                              0,                              0,                  4969,                              0,                  1395,,,,,,,,,,,
2913,2014年01月01日至2014年09月30日,,                575110,                575110,,,                 62145,                  3076,                              0,                     24,                 29582,                 -3918,               -336761,                    228,                 -1295,                              0,               -246919,,,                    -34,               -213843,                -80090,                              0,                 46389,                  7776,                 26279,                 -4575,                 50384,                 -4050,               -171764,,                 40291,                -59111,                 52605,                -41856,                  7421,                -19885,                 -2208,                -22743,               -194507,               -441426,                133684,               -107862,                 25822,,                              0,                              0,                 44000,                              0,                -79989,                     14,                    -20,                 -1010,                 -7800,                   -733,                -73017,                516325,                              0,                -12000,                -57669,                              0,                  4584,                -50000,                282685,,                 -2769,               -193500,                 -1200,              2095537,             -1672540,                -28412,               -360154,                              0,                              0,                -29220,                -13118,               -205376,                103131,                128414,                231545,                231545,,,,,,,,,,,,,,,,,,,,,,,,
2913,2014年01月01日至2014年06月30日,,                334107,                334107,,,                 41194,                  2012,,                     15,                 19447,                 -3074,               -179763,                    190,                 -1285,                              0,               -121264,,,                    -57,               -263092,                -41338,                              0,                 36133,                 15135,                 41251,                 -5881,                 73130,                -14747,               -159466,,                 34452,                -57397,                 80681,                -25772,                -70226,                 -4542,                 -1459,                -44263,               -203729,               -324993,                  9114,               -100422,                -91308,,                              0,,                 44000,                              0,                -63296,                     14,               -277443,                 -1108,                 -1900,                   -706,                -63215,                287618,                              0,                 -8977,,                              0,                  3086,                -50000,               -131927,,                -15569,               -193500,                 -1200,              1815252,             -1422584,                 23361,,                              0,,                -19647,,                463942,                240707,                128414,                369121,                369121,                              0,                277829,,,,,,,,,,,,,,,,,,,,,,
2913,2014年01月01日至2014年03月31日,,                158602,                158602,,,                 20506,                    965,,                     11,                  9798,                 -2256,                -85596,                    153,                 -1323,,                -57742,,,                 -5025,                -60961,                -40199,,                 28689,                  3816,                 21358,                -11018,                  5699,                -15560,                -73201,,                 18964,               -104744,                 23076,                 14086,                -15868,                    -14,                   -375,                -64875,               -138076,               -195818,                -37216,                   -874,                -38090,,                              0,,                 44000,,                -41174,,               -129013,                 -1152,                -10358,                   -311,                 -5249,                141072,                              0,                 -2144,,                              0,                  2808,,                 -1521,,,                -43948,,                  3590,               -118217,,,,,                 -9520,,                 11750,                -27861,                128414,                100553,                100553,                177016,                 97368,                -50000,                -44539,,,,,,,,,,,,,,,,,,,,
2913,2013年度,,                968641,                968641,,,                 75480,                  4856,,                 -2029,                 74680,                -10337,               -870773,                              0,                   -156,                              0,,,,                 -1853,                -75439,                 46323,                      2,                -27157,                -25009,                250537,                   -478,                 91111,                 25498,                283535,,                -74527,                 82255,                  3469,                 80012,                -75469,                 -6771,,                  4142,                287677,               -440602,                528039,                -20476,                507563,,,                -11000,                  1882,                              0,               -524201,                              0,                              0,                              0,                              0,                   -688,                -21866,              1523901,,                -64406,,,                  9578,                              0,                874247,,                -51198,               -199251,                              0,                448331,               -724063,,                              0,,,                -58054,                -28332,             -1352477,                 29333,                 99081,                128414,                128414,,,,               -370576,,               -728279,                 -1784,                 -3043,                -80000,                 41047,                              0,               -451547,                 82213,,,,,,,,,,,
2913,2013年01月01日至2013年12月31日,,                968641,                968641,,,                 75480,                  4856,,                 -2029,                 74680,                -10337,               -870773,,                   -156,,,,,                 -1853,                -75439,                 46323,                      2,                -27157,                -25009,                250537,                   -478,                 91111,                 25498,                283535,,                -74527,                 82255,,                 80012,                -75469,                 -6771,,                  4142,                287677,               -440602,                528039,                -20476,                507563,,,                -11000,                  1882,                              0,               -524201,,,                              0,,                   -688,                -21866,              1523901,,                -64406,,,                  9578,                              0,                874247,,                -51198,               -199251,                              0,                448331,               -724063,                              0,                              0,                              0,,                -58054,                -28332,             -1352477,                 29333,                 99081,                128414,                128414,,                              0,,               -370576,,               -728279,                 -1784,                 -3043,                -80000,                 41047,                              0,               -451547,                 82213,                              0,,,                              0,                              0,                              0,                  3469,,,,
2913,2013年01月01日至2013年09月30日,,                655840,                655840,,,                 59123,                  4597,,                 -2035,                 59707,                 -3475,               -548082,                              0,                   -159,,,,,                   -847,                -28979,                 -9000,                      2,                -34912,                 25613,                 -6026,                 -4112,                -27666,                 -2655,                -88582,,                -70732,                 68523,                 11296,                 58899,                 21660,                 -1400,,                 83683,                 -4899,               -435223,                220617,                -20018,                200599,,,                -11000,                              0,                 68250,               -270157,                    675,                              0,                              0,                              0,                   -556,                -19610,              1034245,,                -38894,                              0,,                  3369,                              0,                726181,,                              0,                              0,                              0,                252000,               -559077,,                              0,,,                -44966,                -28788,               -919926,                  6854,                 99081,                105935,                105935,                 64482,,,               -330256,,               -430324,,                 -2779,                -80000,                 39859,,               -363547,,                 -1784,                 90226,,,,,,,,,
2913,2013年01月01日至2013年06月30日,,                480776,                480776,,,                 38936,                  2750,,                 -2038,                 40461,                 -1976,               -430605,                              0,                              0,,,,,                 -3030,                 -9136,                 12799,                      1,                  4139,                 32633,                -28961,                  3847,                -25163,                 -1954,                -14825,,                -55485,                -28523,                 -3346,                 54856,                 26682,                    336,,                 -8812,                -23637,               -376109,                104667,                -14243,                 90424,,,                -11000,                              0,                 60600,               -135031,                    676,                              0,                              0,                              0,                   -647,                -18956,                804836,,                -25027,,,                  1964,                              0,                636141,,                              0,               -142775,                              0,                252000,               -397607,                              0,,,,                -30961,                  3856,               -703908,                 22657,                 99081,                121738,                121738,                166695,                              0,,,,               -352472,,                 -1548,                -80000,                 38726,,               -555116,,                 -1784,,,,,,,,,,
2913,2013年01月01日至2013年03月31日,,                264530,                264530,,,                 19341,                  1307,,                 -1922,                 21023,                 -1841,               -254504,                              0,                              0,,,,,                              0,                -10824,                 11529,                     -2,                  5194,                 32344,                -21481,                  5981,                 -7544,                 12734,                 27931,,                -70060,                -47755,                  1567,                 49622,                 24039,                 -1058,,                -46205,                -18274,               -234870,                 29660,                    166,                 29826,,,                -11000,                              0,                 31200,                -33452,                    657,               -397495,                              0,                -24326,                   -259,                 -1200,                421822,,                -15942,,,                  1833,,                -69754,,,                              0,,,               -125649,,,,,                -16259,                  3856,                 77352,                 37424,                 99081,                136505,                136505,                103694,                219712,                              0,               -115211,,               -216596,,                   -776,                -80000,                 38408,,,,                 -1784,                  7209,                              0,,,,,,,,
2913,2012年01月01日至2012年12月31日,,                750352,                750352,,,                 52599,                  4088,,                 -8543,                 48310,                   -847,               -595052,,                -41537,,,,,                  6510,                 -2791,                 -5437,                    103,                137946,                -14064,                 68707,                -20416,                680275,                  1140,                851973,,                -50164,                -64236,,               -351499,                 99270,                 28091,,               -318278,                533695,                  1295,                751647,                 -1837,                749810,,,                   -282,                 16416,                 -4363,               -234319,,,                -16621,,                 -1210,             -4664492,              1024881,,                              0,,,                    844,                  7177,             -3840069,,               -166145,               -240397,                 -5683,              1476032,                              0,              1064541,               -154110,                900000,,                -25843,                 -8676,              3051877,                -38382,                137463,                 99081,                 99081,,                 23536,,                              0,,               -532400,                 -4430,                 -3044,                              0,                              0,                 31900,                              0,                188622,                 15720,,,                    404,                  8481,                   -303,                 12014,,,,
2913,2012年01月01日至2012年09月30日,,                234513,                234513,,,                 28580,                  3279,,                -15465,                 31733,                   -770,               -422019,,                -12573,,,,,                 12247,                -18502,                 91144,                    104,                 67345,                 15924,                  9108,                -27740,               -219448,                  6101,                -77632,,                -54027,                -48414,,               -184132,                108394,                 14040,,               -162094,               -239726,               -627154,               -392641,                 -1826,               -394467,,,                              0,                 16133,                135010,               -169554,                              0,,,,                 -1675,                -13698,                699906,,                  6760,,,                    834,,                633636,,                -49292,                -88202,                 -5683,                143926,               -107672,                 26713,               -154110,,,                -16422,                 34732,               -202886,                 36961,                137463,                174424,                174424,                              0,                 13191,,                              0,,               -387428,                 -5014,                 -1844,                              0,                -47299,,                    -67,,                              0,                              0,                    678,                    110,,                   -303,                  8903,                -13915,                  7219,,
