證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 舉借長期借款,　　 償還特別股負債,　　 庫藏股票買回成本,　　 其他非流動資產減少
8210,2015年01月01日至2015年09月30日,,                440803,                440803,,,                100095,                  5092,                 -5306,                  6663,                -18725,                    -26,                 87793,,,                    455,               -105295,                  1441,                 25892,                 -1106,                198460,                -12691,                 -6293,                    600,                101463,,                   -297,               -140983,                -14263,                -45311,                 40634,                    350,               -159870,                -58407,                 29386,                470189,                 13997,                 -6652,               -200017,                277517,,                 63625,                -42430,                    471,                 -4072,                 17594,,                  9930,                 -4607,                 62162,               -359178,               -291693,                 15723,                 19141,              1597947,              1617088,              1617088,,,,,,,,,,
8210,2015年01月01日至2015年06月30日,,                273343,                273343,,,                 66095,                  3595,                 -4646,                  3517,                -14054,                     25,                 54532,,,                    455,                 27575,                  1889,                 30531,                              0,                146664,                 -2045,                 -5940,                  2307,                201436,,                   -226,               -272799,                -13107,                  3566,                 33216,                    234,               -249116,                -47680,                  6852,                280195,                  8845,                 -2969,               -138859,                147212,,                 63625,                -29830,                    379,                 -3191,                 30983,,                              0,                 -2507,,,                -69645,                -25343,                 83207,              1597947,              1681154,              1681154,                -67138,,,,,,,,,
8210,2015年01月01日至2015年03月31日,,                129944,                129944,,,                 32715,                  1757,                 -6186,                  1776,                 -7264,                      4,                 22802,,,                    446,                 82289,                    820,                 19504,                   -644,                 13772,                -13964,                 -4011,                    722,                 98934,,                   -123,               -167171,                 -7335,                -14529,                 -4285,                    118,               -193325,                -94391,                -71589,                 58355,                 12615,                   -388,                -29864,                 40718,,                 63625,                 -4611,                              0,                 -2181,                 56654,,                 27966,                 -1589,,,                 26377,                -19747,                104002,              1597947,              1701949,              1701949,                              0,                   -179,,,,,,,,
8210,2014年度,,                709894,                709894,,,                129116,                  5757,                 -2828,                 10130,                -33216,                  1091,,,,                   -455,               -185419,                 -1263,                  5945,                  1693,               -221827,                -13710,                  1659,                   -796,               -414173,,                    492,                228368,                  4666,                 92856,                   -998,                    -83,                325301,                -88872,                 21178,                731072,                 44227,                 -9803,               -116931,                648565,,,               -114122,                    575,                 -9744,               -187102,,                 21823,                 -5964,,               -299315,               -283456,                  7725,                185732,              1412215,              1597947,              1597947,                              0,                   -186,,                              0,                110050,                -63625,                              0,                              0,                              0,
8210,2014年01月01日至2014年09月30日,,                527426,                527426,,,                 96499,                  4091,                 -5084,                  7057,                -25482,                     46,                 77127,,,                              0,                -75758,                   -500,                -18410,                  1376,               -174802,                -25290,                 -5636,                    769,               -298251,,                    123,                 17647,                    895,                  7377,                 13852,                    310,                 40204,               -258047,               -180920,                346506,                 36021,                 -6745,                -89727,                286055,,                              0,                -90531,                    569,                 -8927,                -98889,,                306397,                 -4291,                              0,               -299315,                  2791,                  3500,                193457,              1412215,              1605672,              1605672,,,,,,,,,,
8210,2014年01月01日至2014年06月30日,,                403060,                403060,,,                 62768,                  2470,                 -1652,                  4212,                -17431,                     31,                 50398,,,                              0,               -126478,                    841,                -24238,                    175,               -306611,                 14083,                 -4030,                    401,               -445857,,                    246,                231362,                 -6992,                 58685,                  9059,                    190,                292550,               -153307,               -102909,                300151,                 24601,                 -4073,                -64501,                256178,,                              0,                -53237,                    569,                 -6796,                -59464,,                 66116,                 -2813,,,                 63303,                -19215,                240802,              1412215,              1653017,              1653017,                              0,,,,,,,,,
8210,2014年01月01日至2014年03月31日,,                170916,                170916,,,                 31347,                  1173,                   -650,                  2019,                 -8668,                     20,                 25241,,,                   -451,                -32791,                   -129,                 -4237,                     78,               -154294,                 -2950,                 -5593,                 -1565,               -201932,,                    369,                100799,                  2141,                  1159,                  4916,                     91,                109475,                -92457,                -67216,                103700,                  9438,                 -2023,                -11997,                 99118,,                              0,                -13302,                    452,                 -2351,                -20691,,                              0,                 -1491,,,                -24492,                 -3124,                 50811,              1412215,              1463026,              1463026,                -23001,                 -5490,,,,,,,,
8210,2013年度,,                454936,                454936,,,                122921,                  3387,                  1948,                  4774,                -32962,                    206,,,,                 12924,                -39022,                    856,                 19211,                  4141,                 -9852,                 -4321,                  8759,                  5340,                 -1964,,                   -514,                -84298,                -44358,                -11397,                  4618,                    329,               -135620,               -137584,                -36968,                417968,                 26874,                -29079,               -124276,                291487,,,               -551173,                 14326,                 -5008,               -544838,,                173591,                              0,,               -300315,               -159190,                 53609,               -358932,              1771147,              1412215,              1412215,                              0,                 -2983,,                    342,                100616,                              0,                162808,               -182734,                -12540,
8210,2013年01月01日至2013年12月31日,,                454936,                454936,,,                122921,                  3387,                  1948,                  4774,                -32962,                    206,,,,                 12924,                -39022,                    856,                 19211,                  4141,                 -9852,                 -4321,                  8759,                  2357,                 -4947,,                   -514,                -84298,                -44358,                -11397,                  4618,                    329,               -135620,               -140567,                -39951,                414985,                 26874,                -29079,               -124276,                288504,,,               -551173,                 14326,                 -5008,               -541855,,                173591,,,               -300315,               -159190,                 53609,               -358932,              1771147,              1412215,              1412215,                              0,,,                    342,                100616,,                162808,               -182734,                -12540,
8210,2013年01月01日至2013年09月30日,,                342142,                342142,,,                 92835,                  2366,                  1297,                  2566,                -24887,                  1775,,,,                  9819,                -47890,                    353,                 33787,                    677,                -62314,                -10011,                  7821,                    928,                -66830,,                   -391,                -47477,                -45785,                -57631,                 13116,                    241,               -137927,               -204757,               -128463,                213679,                 24949,                   -595,               -108216,                129817,,,               -270325,                  5526,                 -5607,               -398766,,                 83493,                              0,,               -300315,                -59875,                 29338,               -299486,              1771147,              1471661,              1471661,                              0,               -128360,,                    342,                 76294,,                163522,,                 -6575,
8210,2013年01月01日至2013年06月30日,,                241100,                241100,,,                 62134,                  1402,                 -1012,                  1481,                -16537,                  2050,,,,                 -5258,                -47385,                 -1408,                 36479,                    886,                -18157,                 -4809,                  6552,                  1678,                -31422,,                   -268,                -60743,                -21422,                -40822,                 11956,                    178,               -111121,               -142543,                -92686,                148414,                 16537,                   -162,                -68482,                 96307,,,                -20745,                  5149,                 -2246,               -144854,,                 24864,                              0,,                              0,                 24864,                 55904,                 32221,              1771147,              1803368,              1803368,                              0,               -127012,,                    339,                 49857,,,,                              0,
