證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 保證責任準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 處分承受擔保品損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分無形資產,　　 處分承受擔保品,　　 概括承受他公司之淨現金收取數,　　 取得投資性不動產,　　 附賣回票券及債券投資增加,　　 應收款項減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資減少,　　 應付商業本票增加,　　 發行金融債券,　　 償還金融債券,　　 附買回票券及債券負債增加,　　 附買回票券及債券負債減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 應付款項增加,　　 應付款項減少,　　 其他負債增加,　　 其他負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 因合併產生之現金流入,　　 其他資產減少,　　 央行及同業融資增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　 取得子公司股權,　　　　 金融資產重分類淨損失（利益）,　　 發行公司債,　　 償還特別股負債
2891,2015年01月01日至2015年09月30日,,             29646467,             29646467,,,              1477690,                826515,                837990,             -4100538,             16137308,            -56905608,             -1334255,             77530488,                 -1908,                -15335,                -48144,               -657842,                 65149,                -33921,                 98140,                              0,                   -702,                    -93,              2813375,             36688309,,,             21494562,            -19229261,            -17462409,              1417068,             26226877,           -191484878,                -29386,            -49090895,            -67553383,           -295711705,,            -13696070,             26518204,                537722,              3680996,            282366893,               -125290,                430516,                581921,            300294892,              4583187,             41271496,             70917963,             57529810,              1326158,            -20823689,             -4441187,            104509055,,               -955706,                 70508,                 18030,               -688802,                232833,             -8255143,              1099177,               -734476,                              0,                 12141,                              0,               -334049,                              0,              1479683,            -22250766,            -30306570,,            -22544212,                 36490,             32000000,            -22157420,                              0,            -13307105,             10057737,                              0,               -892117,                646092,                              0,            -12358398,               -582754,                              0,                 -3003,            -29104690,              1728262,             46826057,            325668807,            372494864,            108589927,            260513564,              3391373,,,,,,,,,,,,
2891,2015年01月01日至2015年06月30日,,             20238549,             20238549,,,                943098,                562840,               -606708,             -2821007,             10813136,            -37264949,               -264385,             51871739,                   -380,                -12975,                 -9172,                  8522,                    722,                -17989,                 97578,,                   -541,                    304,             -3428339,             19871494,,,             19653663,             25357043,             25624419,              1195475,             -1389451,            -79068383,                -33010,            -42673822,            -43517584,            -94851650,,            -10496646,            -20523724,               -828210,             -3716167,            106813961,                -73143,                103930,            -11815467,             59464534,            -35387116,            -15515622,              4722927,             38358675,                279006,            -15768640,             -3129070,             24462898,,               -753441,                 16756,                  6648,,                232833,             -4067366,                 31461,               -388963,                              0,                  2318,                              0,               -229964,,              1741192,                              0,             -3186883,,            -18113153,              1323779,             17000000,            -20253020,                              0,             -4164332,              8070057,,               -512270,                 92184,,,                              0,                              0,,            -16556755,             -3084531,              1634729,            325668807,            327303536,             81480934,            242948256,              2874346,                              0,                221643,                              0,,,,,,,,,
2891,2015年01月01日至2015年03月31日,,             11486607,             11486607,,,                422547,                224202,               -239094,             -1523929,              5522517,            -18565890,                -54107,             29679011,                    180,                -15135,                -14684,                  1589,,                 -1847,                 56734,,                   -422,                    402,             -1670706,             13821368,,,             22016302,             17300955,            -93853283,              1121631,              1416865,            -13433745,                -10568,            -26331219,            -21080360,           -112853422,,             -7173966,             -5263553,               -906230,                351409,             83634053,                -52090,                 33396,             -1261517,             69361502,            -43491920,            -29670552,            -18183945,             19890760,                 53522,             -9519102,               -780978,             -8539743,,               -330797,                              0,                    278,,,             -1466559,                  1255,               -221739,                              0,                  2318,                              0,               -225160,,              2197055,             -2834958,             -2878307,,             -3728016,              1114200,,            -16249020,                              0,             -4495231,              8070057,,               -385046,,             -6456555,,                              0,,,            -22129611,             -1188708,            -34736369,            325668807,            290932438,            101287458,            186736570,              2908410,,,                              0,,,,,,,,,
2891,2014年度,,             45161214,             45161214,,,              1421105,                776744,              3644750,             -3420682,             20880860,            -67442151,               -992951,            104063750,                 -5645,                -57543,                 11428,                 17169,                    573,                -25241,                 29176,,                              0,                  1673,            -10243846,,,,            -36892592,             -4592857,            -40038236,               -589373,            -12431895,           -103851387,                396608,            -31662655,           -102886566,           -332548953,,                924870,             32023755,                661210,              6252387,            188304785,                179325,                422987,            -14527885,            214241434,           -118307519,            -69611427,            -24450213,             65479205,              1045605,            -21571490,             -4414928,             16088179,,             -3075629,                 20353,                139383,,,             -8549899,                 49059,             -1522618,                    716,                  7071,             54711077,               -150018,,                514655,,             28624488,,,              6915896,             35000000,             -5996990,                207273,,             32764694,                928291,,             16870044,,             -5590370,,                    -82,                    257,             82750727,             -1703364,            125760030,            199908777,            325668807,            133647130,            188185775,              3835902,,            -13519662,              1651714,,                              0,                 36923,             48696092,                              0,                              0,,,
2891,2014年01月01日至2014年09月30日,,             41413075,             41413075,,,              1013283,                551937,                132439,             -3223783,             15126159,            -48734828,               -921575,             75372384,                 -5049,                -55569,                 26620,                  2132,                              0,                -10677,                              0,                 -8355,                 -1280,                  1229,            -12863539,             26401528,,,              1488264,             17806558,            -41312440,               -506642,             -9361451,            -95140472,                357265,            -19332175,            -82671918,           -228673011,,             10211845,              8106217,                248497,             12767729,            164676043,               -111400,                129245,              8637767,            204665943,            -24007068,              2394460,             43807535,             47678702,                951418,            -15767318,             -3833105,             72837232,,             -2316071,                  5502,                137165,                              0,                              0,             -6642545,                 21161,             -1287275,                  1617,                  7044,             54711077,               -143618,                -15016,              1095868,             -4923625,             40651284,,             -5441561,              6554192,             35000000,             -2496990,              4964810,                              0,                              0,                 48781,                              0,                              0,             -3939367,             -5590370,                              0,                    -82,                    257,             29099670,             -1504027,            141084159,            199908777,            340992936,            153800879,            185780606,              1411451,,,,,,,,,,,,
2891,2014年01月01日至2014年06月30日,,             30651953,             30651953,,,                645359,                319379,                870400,             -5848674,              9275786,            -29664414,                -92162,             39211515,                 -2455,                -39929,                -43686,                  2575,                              0,                 -8081,                              0,,                   -953,                    808,            -14143133,                482335,,,                598055,             14839009,             36137330,                223982,            -26891384,            -74720556,                429719,            -15672660,            -61560167,           -126616672,,             -3012213,              3826842,               -138283,             15299207,            126661953,               -100615,                 -4310,                244870,            142777451,             16160779,             16643114,             47295067,             29006682,                133083,             -8856089,             -1784287,             65794456,,             -2044966,                  5140,                 22528,,                              0,             -4833882,                 15318,               -170731,                  1617,                  7144,              6507724,                -97357,,                872091,             -6199591,             42288388,,                              0,              1449730,             35000000,               -300000,                 81862,                              0,                              0,,                -24619,                822414,,,                -28703,                    -82,,             40137002,                 89818,            148309664,            199908777,            348218441,            153967496,            192405534,              1845411,             48203353,                              0,              3136400,,,,,,,,,
2891,2014年01月01日至2014年03月31日,,              8903474,              8903474,,,                316152,                144745,                511326,             -6376023,              4319028,            -13875631,                 -4854,             20288726,                   -207,                -12704,                -19882,                  2756,,                 -4089,                              0,,                    -49,                    396,                537284,              5826974,,,              2508730,              6796244,             20164490,                158843,              8188863,            -45460539,               -161323,            -12630984,            -41396523,            -61832199,,             -3461491,             12424344,                -90668,              2690700,             59881539,              1089097,                 73603,                 50930,             72658054,             10825855,             16652829,             25556303,             14148828,                  4785,             -3834054,               -178410,             35697452,,             -1733691,                  3256,                    661,,,             -2058209,                  6132,               -103796,                    716,                  4368,              6497092,                              0,,                773591,             -5788087,             -2397967,,                              0,                299957,,                              0,              6746068,                              0,                              0,,                -90321,,             -5778032,,                -28703,,,              1461419,                865858,             35626762,            199908777,            235535539,            136259523,             94441525,              4834491,,,                312450,,,,,,,,,
2891,2013年度,,             21552115,             21552115,,,              1301090,                651146,              6415749,               -730203,             14629089,            -47789311,               -787232,             60001187,                 -7141,                -72142,                -75806,                 25732,                  2598,                -58536,                 19754,,                              0,                 28131,               -883768,,,,            -14277054,             -5674700,              3459346,                667841,            -30068959,           -157380867,                171143,             -7451159,            -27897115,           -238451524,,             17719093,              3413410,                220153,             -8868680,            205209465,               -187503,                543150,             -3047556,            215001532,            -23449992,              9576971,             31129086,             47526937,                846508,            -14728081,             -3669207,             61105243,,               -874398,                155111,                190628,,,             -7140314,                 28576,               -316315,                              0,                396255,                              0,                   -422,,                773591,,             -5567947,,,                199985,              4947000,               -450000,              2920478,,                              0,                -90321,,              3442473,,            -10804196,,                 -4195,                              0,             23306721,               -921639,             77922378,            121986399,            199908777,            115161162,             75911596,              8836019,,              1219341,              3159249,,                334817,                 21809,             33026963,             19988762,                 -2514,,,
2891,2013年01月01日至2013年12月31日,,             21552115,             21552115,,,              1301090,                651146,              6415749,               -730203,             14629089,            -47789311,               -787232,             60001187,                 -7141,                -72142,                -75806,                 25732,                  2598,                -58536,                 19754,,                 21809,                 28131,               -883768,,,,            -14277054,             -5674700,              3459346,                667841,            -30068959,           -157380867,                171143,             -7451159,            -27897115,           -238451524,,             17719093,              3413410,                220153,             -8868680,            205209465,               -187503,                543150,             -3047556,            215001532,            -23449992,              9576971,             31129086,             47526937,                846508,            -14728081,             -3669207,             61105243,,               -874398,                155111,                190628,,,             -7140314,                 28576,               -316315,,                396255,,                   -422,,                773591,,             -5567947,,              3159249,                199985,              4947000,               -450000,              2920478,,,,                -90321,              3442473,,            -10804196,,                 -4195,,             23306721,               -921639,             77922378,            121986399,            199908777,            115161162,             75911596,              8836019,                              0,              1219341,,,                334817,,             33026963,             19988762,                 -2514,,                              0,                              0
2891,2013年01月01日至2013年09月30日,,             21018082,             21018082,,,                991240,                472624,                950081,             -1756019,             10773713,            -35121533,               -782899,             33475812,                 -1194,                -47771,                -62805,                 21837,                      4,                -36771,                  3500,                              0,                -14499,                 29313,               -477651,,,,            -21316604,            -18600194,            -69473793,                478908,            -26222399,            -84966232,                143869,             18678988,            -13415855,           -214693312,,              5801887,                715751,                 61991,              3335875,            156813464,               -117399,                426682,             -2614364,            164423887,            -50269425,            -41517626,            -20499544,             35971120,                796071,            -10842013,             -3675856,              1749778,,               -715776,                 42367,                154477,,,             -5415718,                 24244,               -204793,                              0,                316019,                              0,                   -422,                              0,              1534458,,             -1936539,,              4510400,              1499726,              4847000,                              0,             -3605340,,,               -307625,,              2187369,,            -10804196,,                 -4195,                              0,             18309387,               -835676,             17286950,            121986399,            139273349,             72741880,             59768645,              6762824,,              2328605,,,                334817,,              8751799,             19988762,                 -2514,                              0,,
