證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 除列避險之衍生金融負債,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動資產減少,　　 其他投資活動,　　 短期借款增加,　　 其他應付款－關係人增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他應收款增加,　　 其他非流動資產增加,　　 應付租賃款增加,　　　　　 避險之衍生金融資產（增加）減少,　　 其他借款減少,　　　　　 其他營業負債增加（減少）,　　　　　 應付建造合約款（增加）減少,　　 處分採用權益法之投資,　　 發行公司債,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 預付投資款增加,　　 其他金融資產增加
2006,2015年01月01日至2015年09月30日,,              1094721,              1094721,,,                873832,                 17806,                 -1146,                 80436,                -22199,                -14360,                 -3531,                    685,                              0,                -10401,                -43557,                 -3775,                              0,                 36483,                910273,,,                 46886,                  5962,                349410,               -309941,                -13879,              1414074,                 23239,                 -7437,              1508314,,                 43250,                 11007,               -616054,                237719,                -97714,                131619,                    -87,                  1907,               -288353,              1219961,              2130234,              3224955,                 14053,                111451,                -61417,               -260062,              3028980,,                 -4123,                 61723,                  8665,                -17385,                              0,                 31041,               -332288,                      8,                              0,                  9381,                              0,                -34456,                   -562,                 -1105,                -13740,               -181333,               -474174,,               -792253,                545000,                              0,               -825502,                  1851,                              0,             -1297688,                 -1439,                              0,             -2370031,                 29595,                214370,              1910409,              2124779,              2124779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2015年01月01日至2015年06月30日,,                932397,                932397,,,                580320,                 12286,,                 53576,                -14370,                   -797,                -43699,                    313,                              0,                -10401,                -43547,                 23315,,                  7350,                564346,,,                107778,                -81470,                 77395,               -313780,                  2910,                587407,                -43479,                 -6719,                330042,,                 23018,                 46459,               -102629,                140149,                -67019,                 83847,                   -818,                  1487,                124494,                454536,              1018882,              1951279,                  4566,                  1047,                -42764,               -133260,              1780868,,                 -4123,                 61686,                              0,                -17385,,                 31041,               -222999,                              0,                   -655,,                -29833,,                   -312,                   -548,                    764,               -158090,               -340454,,               -330901,                390000,,             -1457463,,                              0,,                   -785,,               -648419,                -23864,                768131,              1910409,              2678540,              2678540,                              0,                750000,                    730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2015年01月01日至2015年03月31日,,                453214,                453214,,,                287191,                  6964,,                 27479,                 -6571,,                -17141,                    202,                              0,,,                 -9653,,                 -3516,                284955,,,                 75430,                 47153,               -182996,                -81826,                 -5648,                543495,                -95230,                 18285,                318663,,                  7748,                -13206,               -229793,                200263,                     35,               -135155,                 64388,                    624,               -105096,                213567,                498522,                951736,                  3870,,                -26870,                -12814,                915922,,,,,,,                 31041,                -78305,                              0,                    945,,                -18325,,                   -270,                   -260,                     19,                -70760,               -135915,,               -699695,,,               -518040,,,,                   -345,,             -1041087,                 -5096,               -266176,              1910409,              1644233,              1644233,                175000,,                  1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年度,,              1288302,              1288302,,,              1164474,                 43849,                     10,                133959,                -33098,                -12752,               -128141,                  1199,                     44,,                -30935,                 89709,                 -1470,                  7929,,,,                146653,                 58010,                 86784,               -158737,                  6561,              1403470,                 28058,                 -9050,              1561749,,                -40216,                 13897,               -120779,                108491,                -41256,                -53561,                   -465,,               -162457,              1399292,              3207513,              4495815,                 32479,                 94093,                -94844,               -332610,              4194933,,                 -4180,                 79760,                 35625,,                -12890,,               -623045,                  5693,                   -563,,                -23292,,,                -18284,,               -515853,             -1080282,,,,               -893600,               -109201,,,             -1597123,                     47,,             -2998181,                 16395,                132865,              1777544,              1910409,              1910409,                 28000,,                 -2233,,                              0,                573444,                              0,              1808221,                -28568,                              0,                              0,                              0,                 -3253,               -274071,               -100000,                              0,                -50000,,,,,,,,,,,,,,,,
2006,2014年01月01日至2014年09月30日,,              1315885,              1315885,,,                883844,                 33500,                              0,                103416,                -21152,                -12497,                -86862,                  1177,                     58,                              0,                -19760,                 31092,                 -1470,                 27308,                938654,,,                266678,                 97400,                193371,                -25526,                -23231,              1044980,                -46639,                 33560,              1540593,,                -34966,                -14656,                142485,                228129,                -94978,                -35310,                  2001,                -25880,                166825,              1707418,              2646072,              3961957,                 12913,                 14996,                -74133,               -324328,              3591405,,                 -4180,                 79760,                 15006,                              0,                -12890,                              0,               -465790,                  7838,                 -9897,                              0,                              0,                -24702,                 -2228,                   -779,                  1992,               -500815,               -916685,,               -667226,                103000,               -893600,                -71209,                  1831,               -100000,             -1597123,                 -1182,                -50000,             -3275509,                  1196,               -599593,              1777544,              1177951,              1177951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年01月01日至2014年06月30日,,                982567,                982567,,,                596577,                 23670,,                 72390,                -13650,                   -560,                -47848,                  1149,                     60,                              0,                -19760,                  8826,,                 38255,                659109,,,                179647,                 25273,                 19314,               -139381,                   -310,              1728890,                -69470,                 23909,              1767872,,                -10462,                -15746,               -225282,                 90876,                -78468,                 33714,                  1868,                  1452,               -202048,              1565824,              2224933,              3207500,                  6929,                  3059,                -48269,               -162296,              3006923,,                 -4180,                 79760,                 10935,                              0,,                              0,               -354556,                  7826,                   -169,,                -17958,,                   -808,                   -520,                  1332,               -428665,               -707003,,               -542208,                290000,,                -54601,,               -100000,,                    123,,               -457123,                -10522,              1832275,              1777544,              3609819,              3609819,                -50000,                              0,                   -437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年01月01日至2014年03月31日,,                489791,                489791,,,                295240,                 12008,,                 36386,                 -5624,,                -32107,                     19,                     44,,,                 11786,,                 34025,                351777,,,                 64365,                164051,                318920,               -202728,                -16120,                743638,                -26958,                  9776,              1054944,,                -26253,                -24813,               -246772,                -37203,               -141659,                 -4424,                  7132,                    599,               -473393,                581551,                933328,              1423119,                  2939,,                -25794,                              0,              1400264,,,,,,,                              0,                -61989,                  2264,                    533,,                  5698,,                   -735,                   -260,                    399,               -204469,               -258559,,               -687198,,,                -16609,,,,                    745,,               -796665,                   -889,                344151,              1777544,              2121695,              2121695,                -95000,,                  1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2013年度,,              2422903,              2422903,,,              1242780,                 58609,                  6677,                145880,                -24947,                -16343,                -22786,                  8866,                              0,,                 19042,                -19169,                    -71,                -20333,,,,               -153847,               -141008,               -303795,                 40346,                 37617,              1302505,                 -8632,                  6658,                779844,,               -103025,               -229314,                545376,               -128022,                 23502,                 12029,                -36134,,                 80875,                860719,              2269916,              4692819,                 25178,                111305,                -99082,               -382012,              4348208,,                 -4305,                 19940,                  4500,,               -104335,,               -425277,                  2286,                 26666,,                 40291,,,                -15958,,               -243593,               -531917,,,,                 -9413,               -612001,,,             -1297591,                    791,,             -2916702,                 23911,                923500,                854044,              1777544,              1777544,                -70000,,                    766,,                  3505,                  5738,                 21749,              1409197,                 -3537,                172827,                 19992,                  5208,                -30159,             -1160518,                200000,                -18736,                 50000,,,,,,,,,,,,,,,,
2006,2013年01月01日至2013年12月31日,,              2422903,              2422903,,,              1242780,                 58609,                  6677,                145880,                -24947,                -16343,                -22786,                  8866,,,                 19042,                -19169,                    -71,                -20333,,,,               -153847,               -141008,               -303795,                 40346,                 37617,              1302505,                 -8632,                  6658,                779844,,               -103025,               -229314,                545376,,                 23502,                 12029,                -36134,,                 80875,                860719,              2269916,              4692819,                 25178,                111305,                -99082,               -382012,              4348208,,                 -4305,                 19940,                  4500,,               -104335,,               -425277,                  2286,                 26666,,                 40291,,,                -15958,,               -243593,               -531917,,,,                 -9413,               -612001,,,             -1297591,                    791,,             -2916702,                 23911,                923500,                854044,              1777544,              1777544,                -70000,,                    766,,                  3505,                  5738,                 21749,              1409197,                 -3537,                172827,                 19992,                  5208,                -30159,             -1160518,                200000,                -18736,                 50000,,,,,,,               -128022,                              0,                              0,,,,,,,
2006,2013年01月01日至2013年09月30日,,              1752409,              1752409,,,                953552,                 47250,                  1045,                107505,                -13801,                              0,                -30603,                  8848,                    343,,                 23982,                 20723,                    -71,                -16313,,,,               -137968,                 12317,                389920,                143138,                 19790,                585573,                -74263,                 11379,                949886,,                -61326,               -248061,                322339,                -43971,               -116352,                 19313,                 12784,,               -118552,                831334,              1940686,              3693095,                  7866,                 94962,                -76271,               -380756,              3338896,,                 -4307,                  4500,                              0,,                              0,,               -223199,                  2288,                              0,                 23861,                 30363,,,                 -5739,,,               -271036,,,               -219820,                 -9413,               -519099,                 -1233,                              0,             -1297591,                    567,                              0,             -3301341,                 12223,               -221258,                854044,                632786,                632786,,,                              0,,                  3505,                  3387,,              1109352,                 -3278,                172827,                 19992,,               -286530,             -1397948,                160000,,,                              0,                 -5092,                -16804,,,,,,,,,,,,,
