證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 發放現金股利,　　 員工購買庫藏股,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 舉借長期借款,　　 員工執行認股權,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他金融資產（增加）減少
3454,2015年01月01日至2015年09月30日,,                429928,                429928,,,                 44062,                 70436,                 -1258,                  4988,                  2583,                 -5654,                    397,                              0,                     29,                              0,                  1071,                116654,,,               -315698,                    169,               -283191,                -25294,                              0,               -624014,,                    519,                110689,                    808,                 -7911,                  1462,                105567,               -518447,               -401793,                 28135,                  5814,                 -2583,                -47913,                -16547,,                              0,                 48899,                              0,                -27736,               -108528,                  4984,                -16813,                -99194,,                              0,                 -2424,                     21,                              0,               -295871,                              0,                 -4928,                 37497,               -265705,                 10302,               -371144,              1175341,                804197,                804197,,,,,,,,,,
3454,2015年01月01日至2015年03月31日,,                 86581,                 86581,,,                 14429,                 24324,                   -315,                      2,                    860,                 -2202,                  2646,                              0,                     29,                              0,                    -11,                 39762,,,               -120273,                     58,               -205406,                -27256,,               -352877,,,                194985,                -76538,                  5534,                  1396,                125377,               -227500,               -187738,               -101157,                  2267,                   -860,                   -569,               -100319,,                -20000,                 20011,,                 -7120,                -31987,                 29494,                 -1784,                -11386,,,                   -965,                     -6,,,,,                 12250,                 11279,                 -2068,               -102494,              1175341,              1072847,              1072847,,,,,,,,,,
3454,2014年度,,                412832,                412832,,,                 54382,                 71512,                   -507,,                  3705,                 -8926,                101325,                  3794,                     29,                              0,                   -258,,,,                 65697,                 16181,                -11209,                -17376,,                 53293,,,                -15758,                -69570,                 14477,                   -532,                -71383,                -18090,                206966,                619798,                  8998,                 -3764,                -93995,                531037,,                -79970,                136258,                              0,                -64080,               -194557,                -23360,                 -5262,               -230971,,,                -23543,                     33,,               -493501,                 55015,,                186100,               -298896,                 10272,                 11442,              1163899,              1175341,              1175341,,                              0,                225056,                              0,                -23000,                              0,                              0,,,
3454,2014年01月01日至2014年09月30日,,                343426,                343426,,,                 39842,                 41091,                    -52,                    573,                  2891,                 -6862,                101254,                  1528,                     12,                     28,                   -163,                180142,,,                 -5246,                 -8197,                -67625,                 -3667,                              0,                -84735,,                              0,                -10419,               -103072,                  1511,                    543,               -111437,               -196172,                -16030,                327396,                  7104,                 -2950,                -91200,                240350,,                -59970,                116163,                              0,                -44022,                -84772,                -23337,                 -6289,               -102227,,                -23000,                -25323,                              0,                              0,               -493501,                 55015,                              0,                186100,               -300709,                  3024,               -159562,              1163899,              1004337,              1004337,,,,,,,,,,
3454,2014年01月01日至2014年06月30日,,                186392,                186392,,,                 26080,                 26848,                    381,                    102,                  2019,                 -4696,                101064,                  1185,,                     28,                   -163,,,,               -155338,                 -6835,               -201172,                     38,                              0,               -363307,,,                125914,                -43677,                 20855,                    563,                103655,               -259652,               -106804,                 79588,                  4727,                 -2065,                -74072,                  8178,,                -59970,                116163,,                -31415,                -58238,                -11831,                 -9968,                -55259,,                 -5000,                -25959,,                              0,,                 55015,,                183894,                207951,                    205,                161075,              1163899,              1324974,              1324974,,,                152848,,,,,                      1,                              0,
3454,2014年01月01日至2014年03月31日,,                138478,                138478,,,                 12739,                 12669,                  1700,                    128,                  1083,                 -2299,                    382,                    588,                              0,                     28,                    -84,                 26934,,,                -41813,                 -8521,               -209525,                 -4663,,               -264522,,,                160828,               -107860,                 13545,                    522,                 67035,               -197487,               -170553,                -32075,                  2299,                 -1095,                   -568,                -31439,,                -30000,                 86084,,                 -6191,                -36388,                 -8979,                -13353,                 -8827,,,                   -575,                     12,,,,,                  9257,                  8694,                  3794,                -27778,              1163899,              1136121,              1136121,,,,,,,,,,
3454,2013年度,,                869758,                869758,,,                 49652,                 46875,                  5479,,                  4267,                 -7099,                  1212,                  2311,                     20,                    115,                 -2360,,,,                -92922,                  5818,                113567,                -11588,,                 14875,,,                -38773,                 58620,                 10568,                   -606,                 29809,                 44684,                145451,              1015209,                  6917,                 -4337,               -125295,                892494,,               -170000,                136340,                 -1868,                -41502,                -85605,                -27651,                 -5723,               -196009,,,                 -6882,                   -217,,               -408696,                              0,,                 57886,               -341731,                  3374,                358128,                805771,              1163899,              1163899,,                    295,                100767,                              0,                 14700,                  1478,                              0,,,
3454,2013年01月01日至2013年12月31日,,                869758,                869758,,,                 49652,                 46875,                  5479,,                  4267,                 -7099,                  1212,                  2311,                     20,                    115,                 -2360,,,,                -92922,                  5818,                113567,                -11588,,                 14875,,,                -38773,                 58620,                 10568,                   -606,                 29809,                 44684,                145451,              1015209,                  6917,                 -4337,               -125295,                892494,,               -170000,                136340,                 -1868,                -41502,                -85605,                -27651,                 -5723,               -196009,,,                 -5404,                   -217,,               -408696,,,                 57886,               -341731,                  3374,                358128,                805771,              1163899,              1163899,,                    295,                100767,                              0,                 14700,                              0,                              0,,,
3454,2013年01月01日至2013年09月30日,,                724762,                724762,,,                 37428,                 39262,,                      3,                    727,                 -5118,                    992,                  1560,                     20,                     71,                 -2359,,,,               -106413,                  3352,                 47313,                -28334,                   -550,                -84632,,,                 58514,                -38520,                 29992,                    -81,                 49905,                -34727,                 37859,                762621,                  5076,                   -733,               -111806,                655158,,                -94000,                136339,                 -1868,                -29577,                -61437,                -38496,                 -1107,                -90146,,                 -3300,                 -4087,,                   -221,               -408696,                              0,,                              0,               -416304,                  1875,                150583,                805771,                956354,                956354,,,                 72586,,,,,,,
3454,2013年01月01日至2013年06月30日,,                501529,                501529,,,                 25322,                 31996,                  3717,                              0,                    513,                 -3295,                    856,                    988,,                              0,                 -2340,,,,               -138312,                  9067,                 78765,                -22968,                   -360,                -73808,,,                -53281,                -13597,                 21490,                    -89,                -45477,               -119285,                -61528,                440001,                  3176,                   -517,                -72831,                369829,,                -20000,                 92320,,                -16476,                -57245,                -38414,                 -1148,                -40963,,                              0,                 -1594,,                   -213,,                              0,,                              0,                 -1807,                  3740,                330799,                805771,              1136570,              1136570,,,                 57757,,,,,                              0,                              0,
