證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　　　　 預付款項（增加）減少
1445,2015年01月01日至2015年09月30日,,                 81325,                 81325,,,                 38571,                    215,                              0,                  1185,                 -1053,                 -7367,                    -30,                              0,                    746,                  2947,                 35214,,,                 -5330,                 20883,                -20363,                  1654,                 12149,                -20407,                   -293,                -11707,,                  9602,                    547,                  5875,                 -1902,                 -1672,                 12450,                    743,                 35957,                117282,                  1061,                   -106,                118237,,                 -2910,                 10000,                              0,                 -7913,                     75,                  7367,                  6619,,                     70,                   -111,                -41600,                -41641,                      4,                 83219,                115175,                198394,                198394,,,,,,,,
1445,2015年01月01日至2015年06月30日,,                 45065,                 45065,,,                 25828,                    167,,                    834,                   -745,                              0,                    -50,                              0,                   -134,                     27,                 25927,,,                 -1033,                 32455,                  1612,                    451,                 29235,                  6659,                   -293,                 69086,,                -10942,                  4403,                 -3061,                  1976,                 -1419,                 -9043,                 60043,                 85970,                131035,                    745,                    -75,                131705,,                 -2910,,                              0,                 -3932,                     76,,                 -6766,,                              0,                    -11,,                    -11,                     -3,                124925,                115175,                240100,                240100,                              0,,,,,,,
1445,2015年01月01日至2015年03月31日,,                 16211,                 16211,,,                 12965,                     90,,                    414,                   -336,,                    -62,                              0,                              0,                    346,                 13166,,,                    301,                 32962,                  6008,                    789,                 30720,                 -5961,                    -13,                 64806,,                 -5922,                 -6241,                -12960,                    905,                 -1175,                -25393,                 39413,                 52579,                 68790,                    338,                    -34,                 69094,,                 -2910,,                              0,                 -1609,                     76,,                 -4443,,                              0,                    -11,,                    -11,                     -1,                 64639,                115175,                179814,                179814,,                   -251,,,,,,
1445,2014年度,,                 30049,                 30049,,,                 53502,                    361,                 -1000,                    606,                 -1627,                 -4423,                     44,                 -3115,                   -598,                 -1945,,,,                 -2335,                -23204,                 65207,                    493,                -52946,                 12083,                 -2705,                 -3407,,                -44766,                  2983,                 -8455,                 -3556,,                -58774,                -62181,                -20376,                  9673,                  1668,                   -522,                 10819,,,,                 10750,                 -1328,                              0,                  4423,                 23845,,                    150,                   -554,                -69334,                -69738,                      4,                -35070,                150245,                115175,                115175,,,,                 41805,                 -4980,                 10000,                              0,
1445,2014年01月01日至2014年09月30日,,                 22542,                 22542,,,                 40452,                    271,                              0,                   -528,                 -1166,                 -4423,                     44,                 -3115,                 -1540,                 -1058,                 28937,,,                 -2635,                 -9268,                 44691,                 12346,                -33349,                 21613,                 -2705,                 30693,,                -42551,                 -4949,                -13459,                 -7422,                 -3755,                -72136,                -41443,                -12506,                 10036,                  1203,                   -475,                 10764,,                              0,                              0,                 10750,                 -1286,                              0,                  4423,                 13887,,                              0,                   -250,                -69334,                -69584,                      1,                -44932,                150245,                105313,                105313,,,,,,,,
1445,2014年01月01日至2014年06月30日,,                 20501,                 20501,,,                 27411,                    181,,                 -1316,                   -835,                              0,                     40,                 -3115,                   -686,                    444,                 22124,,,                   -109,                  3820,                 49029,                 21457,                -49201,                 13861,                 -1888,                 36969,,                -29886,                 -1668,                -11036,                 -2749,                 -2465,                -47804,                -10835,                 11289,                 31790,                    749,                   -205,                 32334,,                              0,,                 10750,                   -936,                              0,,                  9814,,                              0,                   -250,,                   -250,                     -1,                 41897,                150245,                192142,                192142,                              0,,,,,,,
1445,2014年01月01日至2014年03月31日,,                 11300,                 11300,,,                 13877,                     91,,                    -51,                   -369,,                              0,                 -3115,                              0,                   -547,                  9596,,,                   -821,                  5298,                 30444,                    420,                -43929,                 14966,                 -1880,                  4498,,                -24860,                -13467,                -17493,                 -3152,                 -1179,                -60151,                -55653,                -46057,                -34757,                    264,                    -39,                -34532,,                              0,,                 10750,                   -208,                              0,,                 10542,,                              0,                   -250,,                   -250,                              0,                -24240,                150245,                126005,                126005,,                   -290,,,,,,
1445,2013年度,,                 66750,                 66750,,,                 55591,                    381,                    414,                  1261,                 -1641,                 -4288,                 -7848,                              0,                   -945,                 -1155,,,,                  6480,                 12122,                -35330,                    293,                -59418,                  7910,                 -4724,                -72667,,                -25875,                 -7009,                 10179,                 12765,,                -14874,                -87541,                -45771,                 20979,                  1515,                 -1223,                 21271,,,,                              0,                 -4592,                  7940,                  4288,                 10378,,                    587,                   -847,                -41600,                -41860,                              0,                -10211,                160456,                150245,                150245,,,,                 41770,                 -4934,                  2790,                    -48,
1445,2013年01月01日至2013年12月31日,,                 66750,                 66750,,,                 55591,                    381,                    414,                  1261,                 -1641,,                 -7848,,                   -945,                 -1155,,,,                  6480,                 12122,                -35771,                  3524,                -62654,                 11146,                 -4724,                -69877,,                -25875,                 -5154,                  8324,                 12765,,                -14874,                -84751,                -38693,                 28057,                  1515,                 -1223,                 28349,,,,,                 -4592,                  7940,,                  3300,,                    587,                   -847,                -41600,                -41860,,                -10211,                160456,                150245,                150245,,,,                 46058,                 -4934,,                    -48,
1445,2013年01月01日至2013年09月30日,,                 59497,                 59497,,,                 41658,                    291,                              0,                  2064,                 -1165,                 -4288,                 -7849,                              0,                 -1281,                    845,,,,                   -869,                 15953,                 -4703,                 52219,                -68722,                 24231,                              0,                 18109,,                -57666,                 -8646,                  7278,                  9426,,                -53296,                -35187,                 -4912,                 54585,                  1129,                 -1185,                 54529,,,,                              0,                 -2518,                  7920,                  4288,                  9642,,,                   -496,                -41600,                -42096,                              0,                 22075,                160456,                182531,                182531,,,,                 30275,                 -3688,,                    -48,
1445,2013年01月01日至2013年06月30日,,                 42067,                 42067,,,                 27798,                    198,,                  2788,                   -783,                   -820,                 -7886,                              0,                 -1281,                 -1064,,,,                 -1860,                 -1568,                -57941,                 30888,                -27670,                  9805,                 -2787,                -51133,,                 20014,                 28248,                  4319,                 12580,,                 62773,                 11640,                 30590,                 72657,                    781,                 -1143,                 72295,,,,                              0,                   -965,                  7920,,                  6907,,                    100,                   -596,,                   -496,                              0,                 78706,                160456,                239162,                239162,                    -48,,,                 18950,                 -2388,,,
1445,2013年01月01日至2013年03月31日,,                 18692,                 18692,,,                 13901,                     99,,                 -1394,                   -308,,                 -7920,                              0,                   -571,                   -719,,,,                 -5056,                  7541,                 16055,                  2780,                -19019,                 17895,,                 17783,,                  4345,                   -299,                 -9073,                  7592,,                  1426,                 19209,                 22297,                 40989,                    308,                    -31,                 41266,,,,                              0,                   -418,                  7920,,                  7502,,                    100,                   -596,,                   -496,,                 48272,                160456,                208728,                208728,,,,                  3088,                 -1139,,,                 -2413
