證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 短期借款增加,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　　 負債準備增加（減少）,　　 取得採用權益法之投資,　　　　 逾期未領股利及董監酬勞轉列其他收入
6168,2015年01月01日至2015年09月30日,,                 13720,                 13720,,,                256432,                 29651,                -24362,                 15125,                  9109,                -17332,                 -1765,                    892,                  6486,                   -537,                   -167,                273532,,,                 -4245,               -133039,                 -5302,                -36360,                 -1057,                 56005,                   -771,                  1398,               -123371,,                   -358,                158875,                 19647,                -26983,                     57,                 -4554,                146684,                 23313,                296845,                310565,                 17204,                  1765,                 -2756,                 -2449,                324329,,               -594894,                238167,                -30000,               -146062,               -104960,                    696,                  1803,                   -989,                 -2119,                -10279,               -648637,,                              0,                              0,                -30400,                300000,               -237150,                 -2885,                 -9494,                 20071,                  9608,               -294629,              1559606,              1264977,              1264977,                              0,,,,,,,,,,,,,,,,,
6168,2015年01月01日至2015年06月30日,,               -160617,               -160617,,,                172337,                 19621,                -12577,                  9983,                  6128,                -11989,,                    892,                  3741,                   -361,                   -150,                187625,,,                  7538,                -65285,                 -2991,                -15091,                    903,                 48157,                -19372,                 -8558,                -54699,,                 -1021,                101172,                 -5605,                 -8895,                     30,                 23839,                109520,                 54821,                242446,                 81829,                 12002,,                 -1942,                   -376,                 91513,,               -294894,                218150,                -30000,               -146062,                -59822,                    368,,                   -321,                  3422,                -24571,               -331727,,                              0,,                -30400,,               -160025,,                 -4474,               -194899,                  3682,               -431431,              1559606,              1128175,              1128175,                              0,                  2003,,,,,,,,,,,,,,,,
6168,2015年01月01日至2015年03月31日,,                -49651,                -49651,,,                 87511,                 10348,                  1225,                  5908,                  2950,                 -6360,,                    892,                    416,                   -361,                   -132,                102397,,,                  6275,                -36743,                 -2221,                -26479,                    903,                -13672,                 -1081,                 -6186,                -79204,,                   -359,                 84408,                 -6136,                -11446,                  7938,                  1584,                 75989,                 -3215,                 99182,                 49531,                  5573,,                   -879,                    -29,                 54196,,               -167130,                140144,,               -146062,                -17074,                    368,,                   -251,                  1543,                -16090,               -202549,,                              0,,,,                -80650,,                   -190,                -80840,                   -907,               -230100,              1559606,              1329506,              1329506,,                  2003,,,,,,,,,,,,,,,,
6168,2014年度,,                381069,                381069,,,                321965,                 40426,                 33915,                -17831,                 12336,                -19204,                 -3242,                  6959,                   -669,                  1160,                -14250,,,,                  3501,                216423,                    552,                 50813,                   -829,               -134136,                -47424,                  8478,                 97378,,                -10953,               -242915,                 19028,                 16279,                    504,                 25050,               -193482,                -96104,                265461,                646530,                 18942,                  3242,                 -9163,                 35185,                694736,,               -587422,                588681,,,               -256886,                    716,                  2150,                 -1714,               -142928,                -15750,               -388801,,                -80000,                600000,,                              0,               -538450,                              0,                  2006,                -40045,                  1272,                267162,              1292444,              1559606,              1559606,                              0,                              0,,                              0,                361565,                   -475,                 24352,                              0,                              0,                 -1794,                              0,                -21807,                              0,,,,,
6168,2014年01月01日至2014年09月30日,,                299678,                299678,,,                236596,                 36117,                 22103,                 -7797,                  8890,                -13634,                 -2422,                  5621,                 -1401,                    -15,                -12287,                271771,,,                -64989,                 64262,                 -5212,                -19140,                   -785,               -176522,                -16118,                 -3169,               -221673,,                              0,                -17493,                 37065,                -36508,                  1223,                 51707,                 35994,               -185679,                 86092,                385770,                 13550,                  2422,                 -7934,                 36452,                430260,,               -552000,                248346,                              0,                              0,               -200220,                    538,                 -1013,                 -1396,               -138504,                -18571,               -662820,,                -80000,                600000,                              0,                              0,               -477100,                   -817,                    -43,                 42040,                  5969,               -184551,              1292444,              1107893,              1107893,                              0,,,,,,,,,,,,,,,,,
6168,2014年01月01日至2014年06月30日,,                176431,                176431,,,                157474,                 20631,                 -4371,                 -2731,                  5744,                 -9160,,                  4282,                   -274,                    -15,                -12275,                159305,,,                  3109,               -306781,                   -828,                  7265,                   -101,               -114381,                  2798,                 -3419,               -412338,,                              0,                129260,                 42935,                 53818,                    -22,                 28947,                254938,               -157400,                  1905,                178336,                  9076,,                 -6171,                 37928,                219169,,               -232000,                226010,                              0,                              0,               -151680,                  1111,,                 -2770,                    -50,                -11883,               -172164,,                -80000,,                              0,,               -126900,,                 -1217,               -208117,                 -3044,               -164156,              1292444,              1128288,              1128288,                              0,                   -902,,,,,,,,,,,,,,,,
6168,2014年01月01日至2014年03月31日,,                 53349,                 53349,,,                 79481,                 10545,                 -9520,                 -6788,                  2765,                 -4538,,                  2944,                    363,                    -63,                -11733,                 63456,,,                  9174,                 75317,                    587,                 -4387,                   -101,                -98568,                  4641,                  1274,                -12063,,                              0,                 13748,                  9545,                  2370,                    -22,                 20839,                 46480,                 34417,                 97873,                151222,                  4169,,                 -3210,                   -146,                152035,,               -210000,                 15468,,                              0,               -113281,                  1032,,                   -284,                    -25,                -10856,               -318018,,                -80000,,,,                -49170,,                   -387,               -129557,                 -1152,               -296692,              1292444,                995752,                995752,,                    -72,,,,,,,,,,,,,,,,
6168,2013年度,,                106518,                106518,,,                336902,                 49378,                -42045,                 -8669,                 14660,                 -9015,                 -9407,                 12981,                 12294,                   -420,                -54556,,,,                 19399,               -108344,                 -3047,                -47092,                    -64,                -58498,                 14064,                 -7237,               -190819,,                 10902,                266808,                  7492,                 -4018,                     22,                  7569,                288151,                 97332,                402247,                508765,                  8611,                  9407,                -13792,                   -572,                512419,,               -560000,                649524,,,               -223690,                    621,                              0,                 -6542,                -10059,                -45725,               -142933,,                              0,                              0,,                 10000,               -124700,                  2969,                 51974,                 -9957,                  3384,                362913,                929531,              1292444,              1292444,                              0,                   -286,,                  2812,                304915,                   -624,                              0,                 53224,                 80000,                              0,                              0,                              0,                -30200,,,,,
6168,2013年01月01日至2013年12月31日,,                106518,                106518,,,                336902,                 49378,                -42045,                 -8669,                 14660,                 -9015,                 -9407,                 12981,                 12294,                   -420,                -54556,,,,                 19399,               -108344,                 -3047,                -47092,                    -64,                -58498,                 14064,                 -7237,               -190819,,                 10902,                266808,                  7492,                 -4018,                     22,                  7569,                288151,                 97332,                402247,                508765,                  8611,                  9407,                -13792,                   -572,                512419,,               -560000,                649524,,                              0,               -223690,                    621,                              0,                 -6542,                -10059,                -45725,               -142933,,,,                              0,                 10000,               -124700,                  2969,                 51974,                 -9957,                  3384,                362913,                929531,              1292444,              1292444,,                   -286,,                  2812,                304915,                   -624,,                 53224,                 80000,                              0,                              0,                              0,                -30200,,                              0,                              0,                              0,
6168,2013年01月01日至2013年09月30日,,                -41945,                -41945,,,                253500,                 38036,                -19407,                 -7054,                 10501,                 -5102,                 -7143,                  9233,                 11040,                    -55,                 -1389,,,,                  2534,               -135864,                 -7508,                -22831,                   -562,                -73353,                -12976,                 -8244,               -258804,,                 10902,                130590,                 15151,                -35506,                     76,                 30727,                151940,               -106864,                184052,                142107,                  4897,                  7143,                -10233,                   -340,                143574,,               -360000,                344517,,,               -146026,                    238,                    -27,                 -4811,                -10035,                -10278,               -158506,,                              0,                              0,,,                -77600,                 11930,                 55144,                -21586,                  5472,                -31046,                929531,                898485,                898485,                              0,,,                  2812,                290916,,,                 27916,,,,,                -11060,                  5944,,,,
