證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　　 其他營業資產（增加）減少,　　　　 非金融資產減損迴轉利益,　　　　　 其他金融資產（增加）減少,　　 處分無形資產,　　 處分投資性不動產,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 存入保證金增加,　　 應付短期票券減少,　　 償還特別股負債,　　 預付投資款增加,　　 預付投資款減少
1536,2015年01月01日至2015年09月30日,,                962869,                962869,,,                207703,                  4947,                 10742,                 11785,                 43794,                 -3134,                -27485,                 -2740,                  4539,                              0,                              0,                              0,                -11119,                239032,,,               -184697,                  4681,               -384671,                 45554,               -117039,                -42547,               -678719,,                  2500,               -107735,                210197,                 30556,                 31734,                167252,               -511467,               -272435,                690434,                  3326,                -43300,               -168734,                481726,,                              0,                              0,                    258,                   -732,               -616668,                  9970,                              0,                   -598,                -37049,               -396387,                 20986,                 67968,               -952252,,                247269,                              0,                              0,                791368,               -166728,                              0,               -493410,                              0,                378499,                  3080,                -88947,                552882,                463935,                463935,,,,,,,,,,,,,,,,,,,,,
1536,2015年01月01日至2015年06月30日,,                545673,                545673,,,                135124,                  1955,                  3323,                  4868,                 27530,                 -2371,                -17699,                 -1604,                  4539,                              0,                              0,                              0,,                144546,,,               -172767,                   -597,               -241579,                 55786,                -83093,                -23730,               -461384,,                -13902,               -124400,                231489,                 17311,                 30333,                140831,               -320553,               -176007,                369666,                  2150,                -27412,               -105882,                238522,,                              0,                              0,                    258,                              0,               -452305,                  2780,                              0,                   -198,                -16356,,,               -188919,               -654740,,                 58163,                              0,                              0,                783433,               -108832,                              0,                              0,                              0,                732764,                 -2212,                314334,                552882,                867216,                867216,                              0,                -11119,                  4596,,,,,,,,,,,,,,,,,,
1536,2015年01月01日至2015年03月31日,,                240711,                240711,,,                 68800,                    733,                  3378,                   -790,                 13235,                 -1576,                -12118,                   -425,                  4539,                              0,                              0,                              0,,                 77214,,,                -97585,                    162,               -227808,                 63033,                -13345,                -36061,               -310802,,                -24461,               -272536,                254399,                 23067,,                -19531,               -330333,               -253119,                -12408,                  1294,                -13209,                 -1840,                -26163,,                              0,                              0,,                              0,               -193902,                  1190,                              0,                   -198,,,,,               -253699,,                -32566,                              0,                              0,                583000,                -62005,                              0,                              0,,                488429,                -13546,                195021,                552882,                747903,                747903,                              0,                 12557,,                -11119,                    802,                              0,                 69461,               -130250,,,,,,,,,,,,,
1536,2014年度,,                865626,                865626,,,                270762,                  6592,                -27562,                   -459,                 48879,                 -1899,                -27852,                  3426,                -17760,                 12359,,,,,,,                    185,                    455,                -38562,                -69987,               -118663,                 25439,               -208845,,               -221992,                329262,                 68399,                 12383,                 -5263,                182789,                -26056,                240663,              1106289,                  1669,                -48740,                -98233,                960985,,               -104742,                 20178,,                -29914,               -233799,                  3084,                 14321,                   -452,               -273198,,,,               -604522,,                 25778,                              0,                              0,              2263734,             -2166285,                              0,               -294228,                              0,               -171001,                 15397,                200859,                352023,                552882,                552882,,                  6895,                 -7712,                 -6662,,,,,,                              0,                266719,                              0,                              0,,,,,,,,
1536,2014年01月01日至2014年09月30日,,                600226,                600226,,,                203643,                  5958,                -25467,                   -459,                 37350,                   -809,                -18702,                  3924,                              0,                 12358,                              0,                 -6662,                              0,                211134,,,                    185,                 -3253,                -34896,                  3599,                -90077,                 19319,               -105123,,               -211423,                268279,                 55358,                -28742,                -21953,                 61519,                -43604,                167530,                767756,                    592,                -36365,               -106192,                625791,,               -104742,                 20178,                              0,                 -2487,               -174198,                  2224,                 13680,                   -452,                  2825,               -224800,                  9504,                 36512,               -421756,,                 37516,                              0,                              0,              1651202,             -1638161,                              0,                              0,                 -2725,                 47832,                 36011,                287878,                352023,                639901,                639901,,,,,,,,,,,,,,,,,,,,,
1536,2014年01月01日至2014年06月30日,,                373760,                373760,,,                136991,                  4259,                -16948,                   -459,                 23833,                   -339,                -13026,                  2402,                              0,                     -7,                              0,                 -2662,,                134044,,,                    185,                 -5257,                 22945,                 16911,                -64438,                 27248,                 35640,,               -274439,                272422,                 30103,                -51350,                   -490,                -23754,                 11886,                145930,                519690,                    339,                -24121,                -63496,                432412,,                              0,                     40,                              0,                 -1425,               -150603,                    150,                 13511,                   -512,                 -7044,,,               -121063,               -266946,,                -41446,                              0,                 20000,                 35653,                   -774,                              0,                              0,                 -2725,                 10708,                 -6121,                170053,                352023,                522076,                522076,                              0,                              0,                 38046,,,,,,,,,,,,,,,,,,
1536,2014年01月01日至2014年03月31日,,                180728,                180728,,,                 68595,                 13036,                 -3987,                   -273,                 12323,                    -44,                 -8466,                  1287,                              0,                    -23,                              0,                              0,,                 82448,,,                              0,                 -2088,                 76147,                -31147,                -17795,                 54666,                 61818,,                              0,                -54451,                 -1336,                 13212,,                -42575,                 19243,                101691,                282419,                     44,                -12154,                     -2,                270307,,                   -310,                    323,,                 -1425,               -109852,                              0,                 14841,                   -392,,,,,               -156895,,               -102774,                              0,                 20000,                409327,               -382104,                      2,                              0,,                -55549,                  3357,                 61220,                352023,                413243,                413243,                              0,                              0,,                              0,                -17965,                    389,                              0,                -60469,,,,,,,,,,,,,
1536,2013年度,,                513970,                513970,,,                222688,                 48982,                -37011,                  1370,                 53872,                   -311,                -21851,                    642,                              0,                 25490,,,,,,,                 11004,                    861,                 53606,                -20636,                -12427,                  6116,                125168,,               -275479,                  4015,                -46863,               -354595,                -32674,               -705596,               -580428,               -284641,                229329,                    332,                -40544,                -33595,                155522,,                  2453,                  4202,,                 -3697,               -273611,                 10172,                -18378,                 -1983,                 30996,,,,               -258777,,                 22067,                              0,                -20000,              1589972,             -1462832,                    148,                -47490,                -51285,                 30580,                  7382,                -65293,                417316,                352023,                352023,,                              0,                 86644,                              0,,,,,,                  1916,                295787,                 -9513,                    582,,,,,,,,
1536,2013年01月01日至2013年12月31日,,                513970,                513970,,,                222688,                 48982,                -37011,                  1370,                 53872,                   -311,                -21851,                    642,,                 25490,,,,,,,                 11004,                    861,                 53606,                -20657,                -12427,                  6137,                125168,,               -275479,                  4015,                -46863,               -351578,                -35691,               -705596,               -580428,               -284641,                229329,                    332,                -40544,                -33595,                155522,,                  2453,                  4202,,                 -3697,               -273611,                 10172,                -18378,                 -1983,,,,                 30996,               -258777,,              1421389,             -1399322,                              0,              1589972,             -1462832,                              0,                -47490,,                 30580,                  7382,                -65293,                417316,                352023,                352023,,                              0,                 86644,,,,,,,                  1916,                295787,                 -9513,                    582,,,,                    148,                -20000,                -51285,,
1536,2013年01月01日至2013年09月30日,,                347573,                347573,,,                163523,                 41264,                -15839,                   -155,                 43245,                   -244,                -16046,                    327,,                    992,,,,,,,                -14790,                  6279,                130350,                -18509,                 15683,               -120594,                 -1581,,               -314425,                -26995,                 29180,                 42218,                -22910,               -292932,               -294513,                -88009,                259564,                    327,                -40544,                -21434,                197913,,                              0,                  4174,,                 -3697,               -222259,                  3106,                 -1229,                 -4971,                 37506,               -166350,,,               -353138,,                -64538,                              0,,              1589972,             -1462832,                              0,                 -1016,                -51285,                 10301,                  1174,               -143750,                417316,                273566,                273566,,                -12000,,                  1437,,,,,,,                206504,,                    582,,,,,,,,
