證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 現金增資,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 預付設備款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付帳款－關係人增加（減少）,　　 短期借款減少,　　 發行公司債,　　 金融資產證券化款項,　　 發放現金股利,　　 員工購買庫藏股,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付設備款減少
6226,2015年01月01日至2015年09月30日,,                -52280,                -52280,,,                 50552,                  2347,                 16438,                    117,                 18630,                 -1032,                 -1890,                  6464,                  1226,                    303,                  9968,                103123,,,                              0,                 -4154,                -29525,                 13446,                -76601,                 -7210,                 -3280,                    254,                 23306,                 -4953,                -88717,,                 -3543,                 26895,                 -7798,                    156,                 30936,                -20010,                              0,                 26636,                -62081,                 41042,                -11238,                  1032,                  1890,                -17537,                    -58,                -25911,,                -73956,                 53388,                 -4410,                -14572,               -203823,                    137,                -13831,                 -6000,               -263067,,                 38564,                216875,                -19042,                     10,                              0,                 -9877,                  1108,                227638,                 11495,                -49845,                286266,                236421,                236421,,,,,,,,,,,,,
6226,2015年01月01日至2015年06月30日,,                -59245,                -59245,,,                 33209,                  1292,                 24345,                     97,                 12207,                   -744,,                  2328,                    393,                              0,                  4705,                 77832,,,                              0,                 -3915,                -33965,                 14338,                -23210,                 -1213,                 -3147,                  4924,                -10436,                              0,                -56624,,                 -3261,                 36018,                 -8301,                    104,                 -4056,                -31680,                              0,                -11176,                -67800,                 10032,                -49213,                    744,,                -11417,                    -37,                -59923,,                -71335,                 50029,                 -4410,,               -184664,                    132,                 -8302,                 -6000,               -238224,,                 64311,                -12401,                169073,,                              0,                 -1459,                 -2128,                217396,                -10678,                -91429,                286266,                194837,                194837,                              0,                -13674,                              0,,,,,,,,,,
6226,2015年01月01日至2015年03月31日,,                -23958,                -23958,,,                 16609,                    566,                  1234,                     78,                  5957,                   -399,,                  1426,                     53,                              0,,                 25524,,,                              0,                 -7476,                 21348,                  7789,                 -4361,                 -2989,                 -2267,                 -3988,                -17337,,                 -9281,,                 -4864,                 -9523,                  3114,                     51,                  1137,                -18525,,                -28610,                -37891,                -12367,                -36325,                    399,,                 -5585,                    -18,                -41529,,                -60759,                 30483,,,                 -2115,                    133,,                              0,                -39353,,                 19443,                 30986,                -13905,                      3,,,                   -928,                 35599,                 -4538,                -49821,                286266,                236445,                236445,,                 -7095,,,,,,,,,,,
6226,2014年度,,                 27798,                 27798,,,                 64159,                  3557,                  2155,                    -20,                 25435,                 -1328,,                    -45,                  1135,                   -975,,,,,                  1090,                  3340,                -96920,                -16028,                -42394,                     68,                 -8645,                  1684,                 13912,,               -143893,,                 -1231,                  9321,                   -557,                     77,                  2080,                -19343,                  2426,                 -7227,               -151120,                -50879,                -23081,                  1328,,                -25803,                 -3681,                -51237,,                -14061,                 13992,,,                -26669,                  3274,                -11272,                   -629,                -45341,,,                 47299,               -176333,                    -62,                224000,,                 25424,                198425,                 19811,                121658,                164608,                286266,                286266,                  6168,                 -9976,,,                100241,                              0,               -112664,                200000,                              0,                 -9239,                              0,,
6226,2014年01月01日至2014年09月30日,,                 31356,                 31356,,,                 45782,                  2922,                  1275,                              0,                 18880,                   -843,                              0,                    540,                    276,                 -1276,                  6168,                 73724,,,                    844,                  2445,                -89188,                -21792,                -20608,                     68,                 -8645,                 -1684,                  8434,                   -397,               -130523,,                 -1231,                  9480,                  3030,                    150,                  1944,                -30162,                  3956,                -12833,               -143356,                -69632,                -38276,                    843,                              0,                -19358,                 -3399,                -60190,,                 -8677,                 10527,                              0,                   -237,                -21822,                  1415,                 16341,                   -629,                 -3082,,               -136037,                 46583,                -65760,                    -45,                224000,                              0,                 25865,                 94606,                  5136,                 36470,                164608,                201078,                201078,,,,,,,,,,,,,
6226,2014年01月01日至2014年06月30日,,                 17383,                 17383,,,                 30550,                  2166,                    130,                              0,                 12857,                   -353,,                  1035,                    292,                 -1276,                              0,                 51569,,,                  1090,                     96,                -56059,                              0,                    465,                    573,                    -71,                    422,                -54407,                 20447,                -87444,,                 -2361,                 36634,                  9509,                     97,                    687,                -24802,                  4758,                 24522,                -62922,                -11353,                  6030,                    353,,                -12892,                 -1458,                 -7967,,                 -3570,                  5999,                              0,,                 -4729,                    890,                 15133,                   -200,                  1730,,               -144710,                              0,                -41333,,                224000,                              0,                   -233,                 37665,                 21698,                 53126,                164608,                217734,                217734,                  6168,                -11793,                    -59,,,,,,,,,,
6226,2014年01月01日至2014年03月31日,,                -10708,                -10708,,,                 15059,                  1335,                 -1151,                 -1522,                  6395,                   -127,,                    583,                    -51,                    246,,                 20767,,,                  1090,                  2201,                 23142,                              0,                   -330,                    140,                  3889,                  1502,                  7610,,                 39244,,                 -2973,                    896,                  1448,                     47,                  4508,                -20344,,                -16418,                 22826,                 43593,                 32885,                    127,,                 -6236,                   -734,                 26042,,                              0,                  4106,,,                 -3063,                    907,,                   -200,                  1750,,                -14001,                              0,                -24228,                      2,,,                   -220,                -38447,                  2785,                 -7870,                164608,                156738,                156738,,                              0,,,,,,,,,,,
6226,2013年度,,                 74288,                 74288,,,                 58338,                  7566,                 -7844,                 -3917,                 28893,                   -910,,                    -50,                   -297,                              0,,,,,                              0,                  2840,                 27786,                              0,                435624,                  4397,                 -4654,                 35207,                  9272,,                510472,,                -13463,                  3138,                  3740,                    -29,               -533083,                 52394,                 -8695,               -498038,                 12434,                100380,                174668,                    910,,                -26795,                -18923,                129860,,                              0,                              0,,,                -29312,                  4942,                -23275,                 -7940,                -57480,,,                137372,               -112772,                     43,                              0,,                  1891,                -78662,                 16145,                  9863,                154745,                164608,                164608,                  6167,                 -1895,,,                 87946,                 -2040,                 13334,                              0,               -123400,                              0,                  4870,,
6226,2013年01月01日至2013年09月30日,,                 27044,                 27044,,,                 43629,                  4633,                -12122,                 -3798,                 22275,                   -397,                     -3,                   -687,                    -99,,,,,,                              0,                  2840,                 -8349,                              0,                120341,                  4397,                 -4654,                 -9014,                 42193,                              0,                147754,,                -13463,                  4703,                  3740,                    -22,               -135881,                 35969,                    653,               -106341,                 41413,                101011,                128055,                    397,                      3,                -22367,                -14178,                 91910,,                              0,                              0,,                  4284,                -24481,                  2093,                -30414,                 -5738,                -54256,,,                137234,                -87950,,                              0,,                    749,                -83902,                  9508,                -36740,                154745,                118005,                118005,                  6167,,                              0,,                 59598,                 -2040,                -12693,,               -121242,,,,
6226,2013年01月01日至2013年06月30日,,                 20516,                 20516,,,                 28837,                  2908,                -11479,                 -3818,                 15047,                   -310,,                 -1522,                   -149,                              0,,,,,                              0,                  1872,                -37376,,                 36156,                  4063,                 -9329,                 -6042,                 31403,                              0,                 20747,,                -24878,                 32382,                  1402,                     -9,                 -7481,                -19610,                   -582,                -20150,                    597,                 36279,                 56795,                    310,,                -13232,                 -5605,                 38268,,                              0,                              0,,                 -6925,                -14018,                  2065,                 -7976,                 -7304,                -34158,,,                 47320,                -53859,                     13,                              0,,                  1170,                -23009,                 16088,                 -2811,                154745,                151934,                151934,                  6168,,,,                 35682,                 -1374,                -17653,,,,,,
