證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 存入保證金增加,　　 預付投資款增加,　　 短期借款減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他金融資產減少,　　　　　 其他流動資產（增加）減少,　　 預付設備款增加,　　　　 非金融資產減損損失,　　 其他金融資產增加,　　 現金增資
4912,2015年01月01日至2015年09月30日,,                186174,                186174,,,                 91802,                  1968,                    550,                 28240,                 12621,                 -5863,                  1454,                  2141,                   -310,                 -9128,                   -520,                    826,                123781,,,                  2352,                190208,                 33107,               -135086,                 14024,                104605,,                -34134,                -78672,                  6555,                   -685,                -12195,               -119131,                -14526,                109255,                295429,                 -6074,                -49101,                240254,,               -620216,                615640,               -257737,                424489,                 -5000,                -63811,                  2670,                  4129,                 -1530,                              0,                  5233,                103867,,                 49940,                              0,                 -1500,               -179346,                -17412,               -148318,                  5922,                201725,                358990,                560715,                560715,,,,,,,,,,,,,,,
4912,2015年01月01日至2015年06月30日,,                 89203,                 89203,,,                 59294,                  1155,,                 30711,                 11417,                 -3837,                    334,                  4557,,                  6071,,                    568,                110270,,,                  1070,                295519,                 40094,               -104773,                 15062,                246972,,                 -6608,               -227556,                   -959,                  1511,                -11822,               -245434,                  1538,                111808,                201011,                 -4859,                -32196,                163956,,               -383354,                328383,                -73531,                177295,                 -4982,                -35690,                              0,,                   -916,                              0,                  3323,                 14071,,                 16378,                              0,,,,                 18865,                 -8390,                188502,                358990,                547492,                547492,                  3543,                  2487,,,,,,,,,,,,,
4912,2015年01月01日至2015年03月31日,,                 71039,                 71039,,,                 25834,                    564,,                 13709,                  7248,                 -1908,                 -2285,                  1576,,                    689,,                    419,                 45846,,,                 -2770,                -10328,                  4256,                -37044,                  7661,                -38225,,                  6267,                -41018,                 33035,                 -1281,                -12160,                -15157,                -53382,                 -7536,                 63503,                 -2191,                -11166,                 50146,,                -50485,                 30291,                              0,                  8221,,                 -9400,                              0,,                   -906,,                  1501,                -25693,,,,,,,                              0,                 -3384,                 21069,                358990,                380059,                380059,                              0,,                 -4915,                              0,                              0,,,,,,,,,,
4912,2014年度,,                292355,                292355,,,                102008,                  1810,                   -680,                 -5808,                 23669,                 -6749,                 -1367,                 60196,                 -2813,                 12636,,                    379,,,,                 -2343,               -273171,                -24493,               -105065,                -14348,               -419420,,                 -8133,                 99021,                 55640,                -20687,                  7099,                132940,               -286480,               -103199,                189156,                 -5395,                -34921,                148840,,               -280577,,,,                              0,               -100173,                    492,                 -1300,                 -4303,                -30915,                  6504,               -495596,,,                400000,,                -98400,,                313755,                 13318,                -19683,                378673,                358990,                358990,                              0,,,                 12155,,,                183281,                -85324,                              0,                              0,,,,,
4912,2014年01月01日至2014年09月30日,,                174510,                174510,,,                 74966,                  1303,                              0,                 11307,                 15821,                 -5387,                   -102,                 24442,                              0,                 -1226,                              0,                    283,                121407,,,                 -1384,               -159709,                 -7976,                -59800,                -13332,               -242201,,                -14781,                 28336,                 36744,                -16154,                 -5088,                 29057,               -213144,                -91737,                 82773,                 -4358,                -21189,                 57226,,               -193562,                              0,                -10434,                              0,                              0,                -76282,                    309,                   -576,                 -2178,                -30915,                  5395,               -308243,,                  4772,                400000,                              0,                -93170,                              0,                311602,                  1155,                 61740,                378673,                440413,                440413,,,,,,,,,,,,,,,
4912,2014年01月01日至2014年06月30日,,                103076,                103076,,,                 51503,                    832,,                -24378,                  8651,                 -3304,                    722,                 14171,,                 -2518,,                    189,                 45868,,,                 -1672,                -63600,                  7678,                -46379,                 -1463,               -105436,,                -24046,               -105248,                 31004,                -13315,                 -4541,               -116146,               -221582,               -175714,                -72638,                 -3603,                 -6350,                -82591,,               -144909,                              0,                              0,                 11987,                              0,                -66909,                    251,,                 -2146,                -14952,                  3174,               -219911,,               -181369,                400000,,,,                218631,                 -8314,                -92185,                378673,                286488,                286488,                 -6407,                              0,,,,,,,,,,,,,
4912,2014年01月01日至2014年03月31日,,                 31988,                 31988,,,                 25504,                    401,,                              0,                  1856,                 -2124,                    340,                     42,,                 -1361,,                     96,                 24754,,,                   -258,                 67918,                 13886,                -55308,                 -5763,                 20475,,                -20431,               -129038,                 34860,                -10643,                 -5168,               -130420,               -109945,                -85191,                -53203,                 -2036,                 -7763,                -63002,,                              0,                              0,                -29658,                              0,,                -32691,                     60,,                    -71,,                  2124,                -61182,,,,,,,                 -8147,                 -1463,               -133794,                378673,                244879,                244879,                   -946,,                              0,                 -8147,                              0,,,,,,,,,,
4912,2013年度,,                169052,                169052,,,                 71013,                  1130,                 -3721,                              0,                  3781,                 -5747,                 -3523,                 12086,                              0,                 26927,,                    373,,,,                    -50,               -137718,                -19022,               -149098,                  5122,               -300766,,                  6920,                253143,                 26609,                 16591,                 -3483,                299780,                   -986,                101333,                270385,                 -3544,                -35516,                231325,,                              0,,,,                -16452,               -219190,                  2465,                              0,                 -2873,                              0,                  5747,               -166010,,,                              0,,               -164000,,                 87471,                 11893,                164679,                213994,                378673,                378673,                  1408,,,                251471,,,                102319,                              0,                 45680,                 17205,,,,,
4912,2013年01月01日至2013年12月31日,,                169052,                169052,,,                 71013,                  1130,                 -3721,,                  3781,                 -5747,                 -3523,                 12086,,                 26927,,                    373,,,,                    -50,               -137718,                -19022,               -149098,                  5122,               -300766,,                  6920,                253143,                 26609,                 16591,                 -3483,                299780,                   -986,                101333,                270385,                 -3544,                -35516,                231325,,,,,,                -16452,               -219190,                  2465,                              0,                 -2873,,                  5747,               -166010,,,,,               -164000,,                 87471,                 11893,                164679,                213994,                378673,                378673,                  1408,                              0,,                251471,,,                102319,                              0,                 45680,                 17205,,,                              0,                              0,                              0
4912,2013年01月01日至2013年09月30日,,                133838,                133838,,,                 49092,                    785,                 -5657,                              0,                  1911,                 -4823,                 -1899,                 10585,                 -4852,                 19481,,                    279,,,,                    -51,               -106682,                 -3408,                -64653,                   -361,               -157950,,                -26574,                 99548,                  4112,                  5346,                 -8422,                 74010,                -83940,                -19038,                114800,                 -2047,                -25225,                 87528,,                              0,,,,                -16452,               -203333,                  2311,                -14422,                 -2623,                              0,                  4823,               -187748,,,                              0,,               -164000,,                 71678,                  7944,                -20598,                213994,                193396,                193396,,,,                235678,,,                 64902,                              0,                 41948,,                 17205,,,,
