證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付建造合約款增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動資產增加,　　 償還公司債,　　 舉借長期借款,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 遞延借項（增加）減少,　　 支付之股利,　　 取得採用權益法之投資
2393,2015年01月01日至2015年09月30日,,              1654331,              1654331,,,              1697852,                 59573,                 -3557,                 34046,                 85550,               -123586,                121375,                 74054,                 -5209,                 15933,                              0,                    588,                 21000,                              0,                  4485,              1982104,,,               -280675,                -83182,                209628,                379610,                 69827,                202445,               -162806,                  1341,                336188,,               -184334,             -1148473,                -33301,               -130849,                  1871,                 -1417,             -1496503,             -1160315,                821789,              2476120,                105272,                              0,                -44360,               -367071,              2169961,,               -248191,              1299749,                -30000,                              0,                              0,                    206,                              0,             -2128786,                113933,                -10791,                              0,               -101779,             -1762142,                              0,                 41563,               -237839,                     38,             -3064039,,                337289,                              0,              5025000,                -50819,                              0,                -22129,             -1723023,                145381,                -46048,               -239712,              3425939,                 91575,              2623436,              6210707,              8834143,              8834143,,,,,,,,,,,,,,,,,,,,,
2393,2015年01月01日至2015年06月30日,,              1125940,              1125940,,,              1129452,                 39029,                 -5229,                 11845,                 49015,                -79376,                 63317,                 47442,                 -8617,                 -4758,                              0,                    588,                 12000,,                  2080,              1256788,,,               -301425,                -38307,                558241,                364233,                 57333,                327041,                -17493,                   -237,                949386,,               -503844,             -1174057,                -16147,               -301351,                  2067,                 -2090,             -1995422,             -1046036,                210752,              1336692,                 70123,,                -38934,               -343141,              1024740,,               -198948,                300779,                -30000,                              0,                              0,,,               -862919,                 52567,                              0,                  1069,                -86212,             -1011319,,                 90841,               -733517,                    241,             -2477418,,                288079,                              0,              5025000,                -43482,                              0,                -29892,,                 43640,                 -9021,                 -5000,              5269324,               -141010,              3675636,              6210707,              9886343,              9886343,,,,,,,,,,,,,,,,,,,,,
2393,2015年01月01日至2015年03月31日,,                701873,                701873,,,                568888,                 18569,                  4496,                -42794,                 20627,                -37680,                 32250,                 22913,                 -3532,,                              0,,                  3000,,                    873,                587610,,,                -32835,,                989578,                273303,                 32384,                 56571,                 33372,                 -4225,              1348148,,               -591335,               -825850,                -18609,               -311995,                  1477,                 -1233,             -1747545,               -399397,                188213,                890086,                 37515,,                -33018,                -91395,                803188,,                -99876,                254815,,,                              0,,,               -508165,                 29474,                 -2054,                              0,                -20518,               -612377,                              0,                 87285,                -34188,,               -905604,,                693189,                              0,,                 -3309,                              0,                -26073,,                 20632,                 -9021,                              0,                675418,               -103105,                469897,              6210707,              6680604,              6680604,,,,,,,,,,,,,,,,,,,,,
2393,2014年度,,              2750305,              2750305,,,              2148143,,                 45387,                 40639,                101596,               -149680,                141394,                118397,,                233217,               -955581,                868515,                 55890,,                 20802,,,,                689297,                -11222,             -2583977,                128932,                188463,               -600642,               -225125,,             -2414274,,              1412727,              1589492,                -26610,                147314,,                  9149,              3137755,                723481,              3392200,              6142505,                149028,                              0,                -26445,               -521601,              5743487,,             -1016025,              1169779,                              0,,              2490543,                   -529,                              0,             -1792430,                106798,                              0,                 19596,               -103783,,                194043,                 16179,               -831259,                              0,                257794,,,             -1868176,                              0,             -4061700,                 52289,                              0,             -1273427,                218768,               -229882,                 -3503,             -7053631,                134280,               -918070,              7128777,              6210707,              6210707,                              0,,              2668719,                              0,                  5683,                  4882,                              0,                              0,                              0,                112000,,,,,,,,,,,
2393,2014年01月01日至2014年09月30日,,              2026993,              2026993,,,              1525157,                 55384,                 23476,                 36574,                 82135,               -114794,                106534,                 75939,                  7455,                234707,               -955581,                795338,                 37877,                              0,                  5386,              1915587,,,                689297,                -39249,             -2812764,                -20391,                228997,               -433312,               -246162,                -22194,             -2655778,,              1372540,              1235172,                -58325,                 78292,                  4267,                 49477,              2681423,                 25645,              1941232,              3968225,                113800,                              0,                -47231,               -460195,              3574599,,             -1062602,              1169777,                              0,                  4882,              2490543,                   -529,                              0,               -780697,                 78896,                              0,                  9790,                -80296,                              0,                368832,                 91072,               -622998,                              0,              1666670,,                              0,             -1980039,                              0,             -3944661,                 14346,                              0,             -1273427,                209037,               -211217,                   -386,             -7186347,                -14283,             -1959361,              7128777,              5169416,              5169416,,,,,,,,,,,,,,,,,,,,,
2393,2014年01月01日至2014年06月30日,,              1186556,              1186556,,,              1007301,                 36371,                  9673,                 18967,                 72430,                -77614,                 77478,                 69280,                  6316,                229250,               -959039,                768468,                              0,,                  1982,              1260863,,,                395761,                -10295,             -1746729,                168038,                218593,               -238797,                -82843,                   -926,             -1297198,,                650329,                529988,                  4698,                -50526,                  2847,                    709,              1138045,               -159153,              1101710,              2288266,                 77576,,                -50714,               -296084,              2019044,,                -94259,              1167710,                              0,                  3230,              2494001,,,               -402888,                 63850,                              0,                 10537,                -23280,               -373582,,                 60283,               -109576,                              0,              2796026,,                              0,             -1139037,                              0,             -3819755,                 26076,                              0,,                177253,               -100712,                   -386,             -4856561,                -99336,               -140827,              7128777,              6987950,              6987950,,,,,,,,,,,,,,,,,,,,,
2393,2014年01月01日至2014年03月31日,,                528774,                528774,,,                491681,                 17447,                   -626,                 26311,                 42168,                -31549,                 38902,                 55667,                    938,,                -41235,,                              0,,                    927,                600631,,,                119408,,               -209926,                199703,                128610,               -230567,                -46962,                   -618,                -40352,,                -66396,                240451,                 -2543,               -251053,                  1424,                  1971,                -76146,               -116498,                484133,              1012907,                 33535,,                -35213,                 -8029,              1003200,,                -53869,              1268053,,,                820914,,,               -127007,                  7570,                              0,                  2989,                -14907,               -564516,                              0,                 40784,                 -1055,,              1378956,,                              0,             -1447592,,             -3906598,                 13949,                              0,,                 47032,                -93141,                   -197,             -5386547,                 -7499,             -3011890,              7128777,              4116887,              4116887,,,,,,,,,,,,,,,,,,,,,
2393,2013年度,,              1931635,              1931635,,,              1904514,,                 11419,                -28337,                124441,                -96451,                101569,                100422,,                 35803,                              0,                131396,                 20000,,                -59834,,,,               -701759,                  9044,             -1105207,                 87018,               -263116,                -81433,                 79460,,             -1975993,,                642859,                210674,                 49250,                173703,,                 17339,              1110539,               -865454,              1379488,              3311123,                 93583,                 30770,               -105842,               -280639,              3048995,,             -1090883,                134251,                -26582,,                              0,                   -326,                    612,             -1260585,                193134,                -23924,                              0,                -22319,,                327712,                              0,               -264864,                              0,             -2430769,,,               -270730,              4020000,               -102529,                              0,                 -6665,               -503041,                              0,                -63894,                 95504,              3167145,                233955,              4019326,              3109451,              7128777,              7128777,                              0,,              2244942,                 11234,                  5480,                 11566,               -135054,               -273507,                 -1500,                              0,,,,,,,,,,,
2393,2013年01月01日至2013年12月31日,,              1931635,              1931635,,,              1904514,,                 11419,                -28337,                124441,                -96451,                101569,                100422,,                 35803,,,                151396,,                -59834,,,,               -701759,                              0,             -1009145,                              0,               -263116,                -81433,                 79460,                              0,             -1975993,,                864767,,                 49250,                173703,,                 17339,              1110539,               -865454,              1379488,              3311123,                 93583,                 30770,               -105842,               -280639,              3048995,,             -1090883,                134251,                -26582,,,                   -326,                    612,             -1260585,                193134,                -23924,,                -22319,,                              0,                 54205,               -264864,                              0,             -2430769,,,               -270730,              4020000,               -102529,                              0,                 -6665,               -503041,                100704,                -63894,                 -5200,              3167145,                233955,              4019326,              3109451,              7128777,              7128777,                              0,,              2244942,,                  5480,                 11566,               -135054,                              0,                 -1500,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
2393,2013年01月01日至2013年09月30日,,              1513694,              1513694,,,              1356846,                 72037,                 17807,                -24286,                 87525,                -66180,                 56195,                 51660,                 10703,                 38473,                              0,                131396,                              0,                     57,                -65286,,,,               -465514,                     -5,             -1479025,                 88941,               -136286,               -349755,               -181952,                   -928,             -2524524,,                971838,                188243,,                139886,,                 50724,              1354812,             -1169712,                497235,              2010929,                 65309,                 29269,                -81366,               -204278,              1819863,,             -1221369,                858496,                -26582,                              0,                              0,                   -326,                    612,               -662141,                145544,                -15080,,                -14508,                 -9986,                              0,                 25503,               -465510,,             -1509356,,                494385,                              0,,                -30781,                 10569,,               -503041,                              0,                -63895,                100704,                  6441,                125774,                442722,              3109451,              3552173,              3552173,,,              1666947,,                  4121,                 11045,               -135054,,                 -1500,                              0,,,,,,,,,,,
