證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款－關係人減少,　　 預付設備款減少,　　 非控制權益變動,　　　　　 其他應收款（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　 股份基礎給付酬勞成本,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融負債減少,　　 現金增資,　　　　　 負債準備增加（減少）
2727,2015年01月01日至2015年09月30日,,                570387,                570387,,,                653633,                  2949,                  3552,                -32399,                 44702,                202078,                -16522,                              0,                   -113,                              0,                857880,,,                     30,                  7075,                323222,               -105609,                 -7611,                217107,,                 -8793,                  2474,                  5791,                 16460,                 -2625,                 -7343,                  5964,                223071,              1080951,              1651338,                 -3146,               -219728,              1428464,,                -92497,                -35000,               -759531,                  3234,                -31271,                -12429,                              0,                 21571,                 25814,                 37677,               -842432,,                111193,                    200,                              0,               -652747,               -541354,                 19414,                 64092,              2558186,              2622278,              2622278,,,,,,,,,,,,,
2727,2015年01月01日至2015年06月30日,,                500154,                500154,,,                431310,                  1910,                  3155,                -21281,                 25328,                138753,                -17897,                              0,                    -76,,                561202,,,                     30,                 14949,                237050,                -92903,                 -7318,                151808,,                 -5937,                  3062,                -97971,                -68752,                 -2034,                 -7716,               -179348,                -27540,                533662,              1033816,                 -1563,                -78135,                954118,,                -92497,,               -456467,                    610,                -19883,                 -7471,                              0,                105642,                -29643,                 26730,               -472979,,                305133,                              0,,               -623075,               -317942,                -23268,                139929,              2558186,              2698115,              2698115,,,,,,,,,,,,,
2727,2015年01月01日至2015年03月31日,,                296294,                296294,,,                215650,                    944,,                 -9865,                 11619,                 63730,                -13527,,                    -38,,                268513,,,                     30,                 32074,                227170,                -89720,                    953,                170507,,                 -2097,                -66087,               -155331,                -79122,                 -1066,                    373,               -303330,               -132823,                135690,                431984,,                -46621,                385363,,                -92497,,               -191905,                     86,                -14046,                 -1032,                              0,                 56996,                -39309,                 10797,               -270910,,                309813,,                              0,,                309813,                 -8776,                415490,              2558186,              2973676,              2973676,,,,,,,,,,,,,
2727,2014年度,,              1193026,              1193026,,,                760417,                  3769,,                -33864,                 47653,                106952,                 -2770,                 -1260,                  2155,,,,,                 22026,                 18502,               -873422,                 16719,                -19593,               -835768,,                -24865,                -42654,                142262,                424802,                 -3078,,                497868,               -337900,                545152,              1738178,,               -353391,              1384787,,                -60906,,             -1136841,                    159,                -61013,                 -1115,               -133384,                              0,                -44279,                 34647,             -1402732,,,                   -100,,               -940929,               -941029,                 32389,               -926585,              3484771,              2558186,              2558186,,                883052,                  1401,                              0,                              0,                              0,,,,,,,
2727,2014年01月01日至2014年09月30日,,              1069867,              1069867,,,                620560,                  2896,                              0,                -26964,                 33730,                 31137,                 -5621,                 -1260,                  2192,                100000,                756670,,,                 22052,                 33673,               -304192,                -48179,                -34764,               -331410,,                -21099,                -67730,                 23330,                493441,                 -1265,                  1119,                427796,                 96386,                853056,              1922923,                              0,               -304652,              1618271,,                -12946,                              0,               -786985,                     35,                -51123,                 -1055,               -159508,                              0,                -43430,                 26727,             -1028285,,                              0,                              0,                    -70,               -940929,               -940999,                  3438,               -347575,              3484771,              3137196,              3137196,,,,,,,,,,,,,
2727,2014年01月01日至2014年06月30日,,                753807,                753807,,,                369281,                  1941,                              0,                -17629,                 21733,                 10993,                  5522,                 -1260,                  2231,,                392812,,,                 22045,                 33807,               -129004,                -68135,                -19429,               -160716,,                 -8823,                -78841,                -10343,                490181,                   -681,                    746,                392239,                231523,                624335,              1378142,                              0,               -162873,              1215269,,                -12946,,               -361887,                      9,                -27488,                   -641,               -123521,                              0,               -111672,                 19402,               -618744,,                              0,                     30,,               -917129,               -917099,                -18302,               -338876,              3484771,              3145895,              3145895,,,,,,,,,,,,,
2727,2014年01月01日至2014年03月31日,,                445208,                445208,,,                177944,                    967,,                 -8161,                  9728,                  4412,                 10784,,                  2268,,                197942,,,                 22056,                 26732,                 17235,                -77037,                -20835,                -31849,,                 -3509,                -70870,               -141245,                557498,                   -918,                    373,                341329,                309480,                507422,                952630,,                -17885,                934745,,                -12946,,               -161895,                              0,                -13686,                   -473,               -155972,                              0,                -39277,                 10253,               -373996,,                              0,,                     30,,                     30,                 -2233,                558546,              3484771,              4043317,              4043317,,,,,,,,,,,,,
2727,2013年度,,              1440690,              1440690,,,                594492,                  2729,,                -36850,                 27099,                 28679,                  7059,                 -4978,                              0,,,,,                 -7334,                  6554,                -43773,               -128630,                   -299,               -173482,,                -22234,                 52741,                285135,                555030,                  2056,,                873772,                700290,              1318520,              2759210,,               -330355,              2428855,,                -66278,,             -1367455,                  1299,                -61472,                 -2150,                              0,                 56377,                              0,                 34183,             -1356433,,,                              0,,               -983442,               -950918,                 51361,                172865,              3311906,              3484771,              3484771,,                618230,                  1044,                  2297,                 46766,                 32524,,,,,,,
2727,2013年01月01日至2013年12月31日,,              1440690,              1440690,,,                594492,                  2729,,                -36850,                 27099,                 28679,                  7059,                 -4978,,                              0,,,,                 -7334,                  6554,                -43773,               -128630,                   -198,               -173482,,                -22234,                 52741,                285135,                555030,                  2056,,                873772,                700290,              1318520,              2759210,,               -330355,              2428855,,                -66278,,             -1367455,                  1299,                -61472,                 -2150,                              0,                 56377,                              0,                 34183,             -1356433,,,,,               -983442,               -950918,                 51361,                172865,              3311906,              3484771,              3484771,,                618230,                  1044,                  2297,                 46766,                 32524,                   -101,,                              0,                              0,                              0,                              0,
2727,2013年01月01日至2013年09月30日,,              1229098,              1229098,,,                410346,                  1780,,                -28356,                 16657,                 22466,                  8215,                 -4978,                              0,                    733,,,,                -10243,                 76942,                181591,                -59289,                   -595,                188406,,                -24563,                  5246,                 84606,                308923,                    605,,                375600,                564006,                990869,              2219967,,               -299711,              1920256,,                              0,,               -794900,                    807,                -52500,                 -2150,               -219086,,                -58502,                 23861,             -1100173,,,                              0,,               -983442,               -983442,                 39598,               -123761,              3311906,              3188145,              3188145,,                426863,                    783,                  2297,,,,,,,,,
