證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 處分採用權益法之投資,　　 短期借款減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 預付投資款增加,　　 其他應收款增加,　　 應付短期票券減少,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 預付設備款減少,　　　　　 持有供交易之金融資產（增加）減少,　　 處分以成本衡量之金融資產,　　 應付租賃款增加
1909,2015年01月01日至2015年09月30日,,              1093602,              1093602,,,                954218,                 31315,                 32275,                 63651,                528153,                -32369,                              0,               -103384,                    708,                  9862,                    301,              1484730,,,                867059,                 -2621,                -32232,                 13273,               -312678,                   -131,                 58900,               -120542,                 36685,                 -8865,                498848,,                156714,                310761,                 30017,               -190575,                 -1533,                -20743,                 27305,                 -4461,                 -5644,                301841,                800689,              2285419,              3379021,                 32414,               -539755,               -327641,              2544039,,                              0,                    712,             -1872735,                 16457,                              0,                  4702,                -13007,                 11006,                 -6881,                              0,             -1699108,                -46456,             -3605310,,                919531,                849758,                              0,              1895997,             -2969511,                  2663,                              0,                 -6410,               -750873,                              0,                 12402,                -46443,               -129214,             -1236928,              2541070,              1304142,              1304142,,,,,,,,,,,,,,,,,,
1909,2015年01月01日至2015年06月30日,,                738184,                738184,,,                631316,                 20765,                 26066,                    -99,                349533,                -17856,                              0,               -112244,                  1474,                  7080,                    504,                906587,,,              1463186,                 -4187,                275584,                 39667,               -205613,                   -914,                473381,                 79301,                 30758,                -44966,              2106197,,                -75316,             -1031049,               -125262,                 19864,                 -1462,                -33095,                  5260,                 -1151,,             -1242211,                863986,              1770573,              2508757,                 17883,               -364827,               -164721,              1997092,,                              0,,               -726342,                 13244,                              0,                  5492,                -11467,                 11006,,                 -3608,               -928405,                -46353,             -1685721,,                              0,                799564,,                405000,             -2277831,                  1378,                              0,,,,                -27296,             -2066356,                231037,             -1523948,              2541070,              1017122,              1017122,                     48,                    712,               -988992,                 21821,,,,,,,,,,,,,,
1909,2015年01月01日至2015年03月31日,,                257676,                257676,,,                318795,                 10348,                  2153,                    -48,                181587,                -10387,,                  9863,                    -33,                  3596,,                515874,,,                945030,                 -3444,                256071,                163879,               -294223,                      9,                -53101,                 16771,                 32181,                -37138,              1026035,,                   -566,               -181757,                 10716,                -80316,                    320,                -23528,                  5373,                   -763,,               -270521,                755514,              1271388,              1529064,                 10427,               -187979,                  1881,              1353393,,                              0,,               -285649,                    390,                              0,                  3165,                -11481,,                              0,                 10352,               -309634,,               -592857,,                332134,                699762,,                              0,             -2603050,                  1287,                              0,                 -1257,,,                 -9246,             -1580370,                 96859,               -722975,              2541070,              1818095,              1818095,,,,                              0,,,,,,,,,,,,,,
1909,2014年度,,              1195330,              1195330,,,              1243654,                 27144,                368927,                   -110,                804022,                -39522,                  7500,               -106281,                  8982,                 14757,,,,,               -832953,                 74695,               -254796,                -96439,                -20118,                    342,               -182347,               -231242,                -25807,                348933,             -1219732,,               -360976,                953598,                100795,               -214932,                  1659,                 74719,                 -8888,,,                546393,               -673339,              1655734,              2851064,                 39470,               -789275,               -332634,              1768625,,                -95635,                              0,               -713761,                113530,                 -7334,,                 -2421,                 22925,                              0,                  2249,             -1129905,                 -1470,             -2077513,,                771141,,              1597372,              4148120,             -4248581,                    277,,                              0,               -627443,                650000,                 40467,              1908794,               -363120,              1236786,              1304284,              2541070,              2541070,,,                              0,                  2285,,              2329073,                              0,                    418,                              0,                              0,               -265691,               -424844,                              0,                              0,,,,
1909,2014年01月01日至2014年09月30日,,              1240036,              1240036,,,                923423,                 20115,                  7519,                    -68,                609765,                -25038,                  7500,               -118732,                 -2150,                 10863,                              0,              1433197,,,             -1550934,                 71064,                248017,               -122306,               -228158,                   -723,                -67316,                 -1351,                 -7278,                207079,             -1451906,,               -437503,                805624,                 33143,                 61034,                  1814,                 43094,                 -9168,                    884,                              0,                498922,               -952984,                480213,              1720249,                 25025,               -594058,               -235415,                915801,,                -95635,                              0,               -523590,                105712,                 -1688,                              0,                   -967,                 22925,                              0,                 10892,               -976250,                 -1417,             -1460018,,              2223897,                424961,              1597372,                223992,             -3037562,                              0,                    -31,                 -2086,               -627443,                650000,                  7768,              1460868,                -14978,                901673,              1304284,              2205957,              2205957,,,,,,,,,,,,,,,,,,
1909,2014年01月01日至2014年06月30日,,                547953,                547953,,,                615410,                 13371,                 21553,                   -105,                412113,                -18181,                  7500,               -128492,                    531,                  8694,                              0,                932503,,,               -761385,                 31420,                272357,                -70927,               -283817,                    124,                -27184,                123321,                  6002,                249194,               -460895,,               -386772,                261440,                 24966,                121483,                    728,                 40233,                 -7189,                  1227,,                 56116,               -404779,                527724,              1075677,                 17469,               -402018,               -152138,                538990,,                -69143,,               -468160,                 29571,                   -556,                              0,                   -970,                 15663,,                  7831,               -505660,               -181311,             -1172735,,              1274193,                284935,,              1585022,             -2759610,                              0,                   -437,,,,                -17913,                398143,                234910,                   -692,              1304284,              1303592,              1303592,                    109,                              0,                              0,                 31953,,,,,,,,,,,,,,
1909,2014年01月01日至2014年03月31日,,                -34158,                -34158,,,                307598,                  6447,                 -5157,                    -10,                197114,                 -6313,,                  1551,                  1199,                  3729,,                506158,,,               -699608,                -21345,                198728,                 44910,               -209965,                    -15,               -253842,                 52286,                    756,                -49412,               -937507,,               -195134,                738672,                 57827,                -53407,                  1135,                 29172,                -11342,                  1833,,                568756,               -368751,                137407,                103249,                  6320,               -190168,                -62582,               -143181,,                -65004,,               -186433,                  9352,                 -1878,                              0,                 -1921,,                 -5571,                              0,               -149287,,               -400742,,                915424,                474766,,                397790,             -1063777,                              0,                   -194,                              0,,,                    245,                726693,                 25408,                208178,              1304284,              1512462,              1512462,,,,                  2439,,,,,,,,,,,,,,
1909,2013年度,,              1334890,              1334890,,,              1155200,                 25960,                 44411,                    -69,                738197,                -46412,                              0,                -39611,                  3661,                 19241,,,,,             -1902735,                 60144,               -657517,                -61975,                288939,                  6227,                259236,                -36646,                -14264,                504794,             -1553797,,               -204201,                288507,                 -6334,                181991,                 -1255,                  9099,                 -7309,,,                265548,             -1288249,                612329,              1947219,                 46404,               -721801,               -313169,                973505,,                 -2740,                -15005,             -1813299,                 27575,                   -495,,                   -327,                              0,                -24783,                              0,                -99887,                              0,             -1933299,,                              0,,                              0,              4513369,             -2106355,                    950,,                -19131,               -274845,              1000000,             -1917847,                129852,               -406670,             -1236612,              2540896,              1304284,              1304284,,,               -843520,                              0,,              1900578,                 -2415,                  7465,                 14852,                 -4338,                              0,               -224962,                -29095,                 31288,,,,
1909,2013年01月01日至2013年12月31日,,              1334890,              1334890,,,              1155200,                 25960,                 44411,                    -69,                738197,                -46412,,                -39611,                  3661,                 19241,,,,,             -1902735,                 60144,               -657517,                -61975,                288939,                  6227,                259236,                -36646,                -14264,                504794,             -1553797,,               -204201,                288507,                 -6334,                181991,                 -1255,                  9099,                 -7309,,,                265548,             -1288249,                612329,              1947219,                 46404,               -721801,               -313169,                973505,,                 -2740,                -15005,             -1813299,                 27575,                   -495,                              0,                   -327,,                -24783,,                -99887,,             -1933299,,                              0,                              0,,              4513369,             -2106355,                    950,,                -19131,               -274845,              1000000,             -1917847,                129852,               -406670,             -1236612,              2540896,              1304284,              1304284,                              0,                              0,               -843520,                              0,,              1900578,                 -2415,                  7465,                 14852,                 -4338,,               -224962,                -29095,                 31288,,                              0,                              0,
1909,2013年01月01日至2013年09月30日,,                984029,                984029,,,                850274,                 20072,                  6365,                     -5,                542106,                -52011,                              0,                -33578,                  1711,                 16445,,,,,               -958872,                 13321,               -381538,                -19533,                 93344,                   -217,                 27949,               -207582,                 -2444,                197813,             -1237759,,                -13605,              1193525,                 40753,                363647,                 -1518,                 19762,                 -1100,,,              1607955,                370196,              1721575,              2705604,                 52009,               -549143,               -245938,              1977124,,                              0,                -14960,             -1676994,                  7069,                              0,                    239,                              0,                              0,,                 15287,                -30537,                              0,             -1699896,,                953722,                              0,                              0,              1182585,             -1985507,                    861,                              0,                -23308,               -274846,                126206,               -736812,               -979996,               -390864,             -1093632,              2540896,              1447264,              1447264,,,,,,              1351379,                   -468,                  6959,                 14592,,                              0,               -220091,                -29095,                 26289,,,,
