證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 其他投資活動,　　 短期借款增加,　　　　 處分投資性不動產損失（利益）,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分不動產、廠房及設備,　　 存入保證金增加,　　　　　 預收款項增加（減少）
3062,2015年01月01日至2015年09月30日,,                453413,                453413,,,                 68235,                              0,                 -4412,                299880,                              0,                -27891,                -54040,                 27171,                 22884,                  1997,                -33220,                300604,,,                561921,                -49881,              1256450,                 -5689,                -18211,                 -6583,              1738007,,               -744008,               -299430,                142865,                 77430,                 35825,                 64867,                              0,               -722451,              1015556,              1316160,              1769573,               -108207,              1661366,,                              0,                 34432,                 49000,               -644741,                              0,                482103,                 31003,                 54040,                  5837,,                   -509,               -230707,                              0,                -39614,               -270830,                -19684,              1376689,              1984076,              3360765,              3360765,,,,,,,,,,,,,,
3062,2015年01月01日至2015年06月30日,,                282798,                282798,,,                 40383,                              0,                 -1193,                199880,                              0,                -18731,                -54040,                 17631,                 18833,                  1994,                -25542,                179215,,,                -43065,                -23910,              1140345,                 -6287,                -21950,                 -3937,              1041196,,               -447902,               -337776,                 59192,                 62850,                 30802,                 10116,,               -622718,                418478,                597693,                880491,                -67031,                813460,,,                 26754,,               -123042,,,                 27316,                 54040,                179203,,                   -509,,                              0,                -50902,                -51411,                -28178,                913074,              1984076,              2897150,              2897150,                 49000,                     11,                248129,               -103005,                              0,                              0,,,,,,,,
3062,2015年01月01日至2015年03月31日,,                166219,                166219,,,                 18222,                              0,                 -4456,                 62720,                              0,                 -9086,                -54040,                  8091,                   -813,                    195,,                 17299,,,                -28595,                -11959,                110861,                 -8289,                -12180,                 -1218,                 48620,,               -104965,               -199978,                 20729,                113035,                 20429,                 19520,,               -131230,                -82610,                -65311,                100908,                 -1066,                 99842,,,                  3733,,               -114369,,,                 17992,                 54040,                498677,,                   -509,,                              0,                 11612,                 11103,                -19174,                590448,              1984076,              2574524,              2574524,                 49000,                      6,                488275,,                              0,                              0,                 -3534,                              0,,,,,,
3062,2014年度,,                442514,                442514,,,                107389,                     80,                  2090,                  8750,                      5,                -29296,                              0,                  5795,                 81705,                    729,,,,,               -182207,                  5180,               -246010,                 -3192,                 59225,                 -8260,               -375264,,                318828,                  7984,                134203,                 50026,                 37254,                -15564,,                532731,                157467,                334714,                777228,                -57673,                719555,,,,,                -58543,,,                 34973,                              0,               -459319,,,               -113953,                     -5,                 -1907,               -115356,                 10224,                155104,              1828972,              1984076,              1984076,                 30000,                    261,               -466010,,,,,                              0,,                177247,                              0,                              0,                    509,
3062,2014年01月01日至2014年09月30日,,                311513,                311513,,,                 83245,                     80,                 -1771,                  3267,                      5,                -16394,                              0,                              0,                 56077,                    729,                              0,                125238,,,                143105,                 12802,                332263,                 -7826,                 53640,                 -5089,                528895,,                413882,                -54418,                 19578,                 14426,                 33527,                 19415,                     -1,                446409,                975304,              1100542,              1412055,                -64039,              1348016,,                              0,                              0,                 30000,                -25750,                    277,                              0,                 31799,                              0,                 36326,,                              0,               -113953,                     -5,                -27691,               -141649,                -15970,              1226723,              1828972,              3055695,              3055695,,,,,,,,,,,,,,
3062,2014年01月01日至2014年06月30日,,                175056,                175056,,,                 52296,                     80,                    -14,                 -4377,                              0,                 -8265,                              0,                              0,                 45397,                              0,                              0,                 85117,,,                108195,                 -4646,                314908,                 -6025,                -39422,                 -3560,                369450,,                414661,               -138735,                 39054,                 18571,                 32286,                 -1244,,                364593,                734043,                819160,                994216,                -32744,                961472,,,                              0,,                -17925,,,                 20009,                              0,                 51922,,                              0,,                              0,                -25259,                -25259,                  8586,                996721,              1828972,              2825693,              2825693,                              0,                    284,                              0,                              0,                 49554,                              0,,,,,,,,
3062,2014年01月01日至2014年03月31日,,                 25846,                 25846,,,                 29895,                     48,                   -177,                 -3969,                              0,                 -1102,                              0,                              0,                 24595,                              0,,                 49290,,,                391385,                  9955,               -177741,                 10943,                 33958,                 -4037,                264463,,                361552,               -189849,                 -1115,                -39637,                 21233,                 -2990,,                149194,                413657,                462947,                488793,                -37551,                451242,,,                              0,,                 -7125,,,                 17057,                              0,                 16637,,                              0,,                              0,                 -2791,                 -2791,                 -4161,                460927,              1828972,              2289899,              2289899,                              0,                    665,                 -1530,,                  7570,                              0,                              0,                              0,,,,,,
3062,2013年度,,                222020,                222020,,,                 87916,                    274,                 -1860,                    705,                  2033,                -20826,                -41565,                              0,                 64189,                              0,,,,,                162210,                 52381,               -958209,                 12738,                -32677,                 -9607,               -773164,,                894561,                 40064,                 11741,                 -4974,                  7619,                 -7625,,                941386,                168222,                259088,                481108,                -39325,                441783,,,,,               -137311,,,                  7969,                 41565,               -579562,,,                -48838,                 -2033,                 -5402,                -56932,                 21734,               -172977,              2001949,              1828972,              1828972,                              0,                    115,               -491900,,,,,                              0,,                 90866,                              0,                              0,                   -659,
3062,2013年01月01日至2013年12月31日,,                222020,                222020,,,                 87916,                    274,                 -1860,                    705,                  2033,                -20826,                -41565,,                 64189,                              0,,,,,                162210,                 52381,               -958209,                 12738,                 13063,                 -9607,               -727424,,                894561,                 40064,                 11741,                 -4974,                  7619,                 -7625,,                941386,                213962,                304828,                526848,                -39325,                487523,,,,,               -137311,,,                  7969,                 41565,               -625302,,,                -48838,                 -2033,                 -5402,                -56932,                 21734,               -172977,              2001949,              1828972,              1828972,,                    115,               -491900,,                -45740,,,                              0,,                 90866,                              0,                              0,                   -659,
3062,2013年01月01日至2013年09月30日,,                228496,                228496,,,                 61367,                    166,                    745,                  2031,                  3331,                -12627,                -20814,,                 12076,                              0,,,,,               -581505,                 54369,               -519040,                 13336,                 85956,                 -5834,               -952718,,                245401,               -122276,                131037,                 56966,                 -8346,                 -9772,                   -659,                292351,               -660367,               -614092,               -385596,                -65369,               -450965,,                              0,,                              0,               -124316,                              0,,                  8075,                 20814,               -672403,,,                -48838,                 -3331,                 -5402,                211593,                 17066,               -894709,              2001949,              1107240,              1107240,,                              0,               -483300,,                -93676,                269164,,,,                 46275,,,,
