證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　 舉借長期借款,　　 處分無活絡市場之債券投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）
6201,2015年01月01日至2015年09月30日,,                217944,                217944,,,                 81718,                  1406,                    151,                -13042,                  3533,                 73766,,,                    -37,                    171,                -14089,                 57421,                 21286,                  4570,                 69322,,                 -2005,                 -1988,                -84871,                -27408,                  2323,                 -2130,                 -7159,                 -2813,                   -507,               -126558,                -57236,                 16530,                234474,                 12457,                -41269,                205662,,                -54285,                -44035,                  1378,                   -620,                -97562,,                 21942,                -46596,               -160560,                   -161,               -185375,                  7965,                -69310,              1392808,              1323498,              1323498,,,,,,,,,
6201,2015年01月01日至2015年06月30日,,                120144,                120144,,,                 54115,                    979,                    135,                 -8497,                  3382,                 50114,,,                    -25,                    432,                -62901,                -19010,                  7867,                  1257,                -72380,,                 -2005,                 -3222,                 -2968,                -27551,                  5004,,                    332,                 -1843,                   -507,                -32760,               -105140,                -55026,                 65118,                  7400,                -21196,                 51322,,                -60628,                -26447,                  1208,                   -602,                -86469,,                 19438,                -40324,,                   -144,                -21030,                -12982,                -69159,              1392808,              1323649,              1323649,,,,,,,,,
6201,2015年01月01日至2015年03月31日,,                 56067,                 56067,,,                 27284,                    516,                     91,                 -3996,                  3167,                 27062,,,                    -13,                    381,                 65252,                  9906,                  2801,                  2923,                 81250,,                 -2005,                 -3545,                -41686,                -72836,                 -4150,,                -11392,                   -899,                   -507,               -137020,                -55770,                -28708,                 27359,                  3316,                 -4084,                 26591,,                -42374,                 -4683,                     14,                   -606,                -47649,,                 15677,                -15664,,                    -93,                    -80,                 -5380,                -26518,              1392808,              1366290,              1366290,,,,,,,,,
6201,2014年度,,                194514,                194514,,,                132233,                  2476,                    567,                -12775,                  1109,,,,                  4854,                     71,                 -3736,                119829,                  6154,                  4364,                131536,,                  2005,                 -3105,                -25231,                  4913,                -17100,,                  8786,,                     17,                -33996,                 97540,                221150,                415664,                 12318,                -34342,                393640,,,                -60658,                    750,                 -1136,               -138618,,                 73921,                -85455,               -178400,                   -571,               -190505,                 17425,                 81942,              1310866,              1392808,              1392808,,                123610,                 -4281,                -77574,,,,,
6201,2014年01月01日至2014年09月30日,,                138048,                138048,,,                 99833,                  1928,                    498,                 -9010,                    923,                 94172,,,                  4822,                      2,                -28186,                118292,                 14539,                  5780,                115249,,                  1965,                 -8240,                -10738,                -10076,                -23934,                  5822,                 -2416,                 -3120,                      1,                -50736,                 64513,                158685,                296733,                  8618,                -31802,                273549,,                -91978,                -46470,                    745,                   -849,               -138552,,                 57081,                -82128,               -178400,                   -508,               -203955,                   -225,                -69183,              1310866,              1241683,              1241683,,,,,,,,,
6201,2014年01月01日至2014年06月30日,,                 74694,                 74694,,,                 67015,                  1396,                    416,                 -5980,                    724,                 63571,,,                  4876,                 -2916,                -71847,                 90147,                 -7475,                  4355,                 17140,,                  5720,                 -3584,                 -3224,                -50477,                -28396,,                  8211,                 -1979,                    -12,                -73741,                -56601,                  6970,                 81664,                  5731,                -15475,                 71920,,                  3689,                -28155,                    747,                   -834,                -24553,,                 44398,                -45545,,                   -413,                 -1560,                -13596,                 32211,              1310866,              1343077,              1343077,,,,,,,,,
6201,2014年01月01日至2014年03月31日,,                 20280,                 20280,,,                 34150,                    864,                    203,                 -3244,                    540,                 32513,,,                  4887,                   -964,                -44420,                 37815,                -21323,                  2202,                -21803,,                  6292,                 -1399,                -31468,                -39948,                -18538,,                  6834,                   -993,                     -3,                -79223,               -101026,                -68513,                -48233,                  3169,                 -2773,                -47837,,                 53853,                -16739,                              0,                   -835,                 36279,,                 38477,                -30123,,                   -189,                  8165,                 -1905,                 -5298,              1310866,              1305568,              1305568,,,,,,,,,
6201,2013年度,,                131901,                131901,,,                137655,                  4939,                    491,                -10277,                    -49,,,,                 -6500,                   -194,                 20469,                 51834,                 20475,                  4026,                 90110,,                              0,                -22816,                -29887,                 18523,                  2694,,                 33523,,                     29,                 -2248,                 87862,                220621,                352522,                 10637,                -46237,                316922,,,                -84887,                  2280,                 -3650,               -122615,,                 77587,                -94892,               -160560,                   -491,               -178356,                 30128,                 46079,              1264787,              1310866,              1310866,,                132759,                 -4314,                -36358,,,,,
6201,2013年01月01日至2013年12月31日,,                131901,                131901,,,                137655,                  4939,                    491,                -10277,                    -49,,,,                 -6500,                   -194,                 20469,                 51834,                 20475,                  4026,                 90110,,                              0,                -22816,                -29887,                 18523,                  2694,,                 33523,,                     29,                 -2248,                 87862,                220621,                352522,                 10637,                -46237,                316922,,,                -84887,                  2280,                 -3650,               -122615,,                 77587,                -94892,               -160560,                   -491,               -178356,                 30128,                 46079,              1264787,              1310866,              1310866,,                132759,                 -4314,,                              0,                              0,                              0,                -36358,
6201,2013年01月01日至2013年09月30日,,                 82518,                 82518,,,                103793,                  3830,                    415,                 -7862,                   -215,,,,                 -3498,                 -1205,                -75631,                121352,                 17050,                  9481,                 67549,,                              0,                -27140,                -10827,                 20223,                -17589,,                  4416,,                     20,                -34116,                 33433,                133394,                215912,                  8119,                -42792,                181239,,,                -59896,                  2268,                 -3497,               -160878,,                 54869,                -87028,               -160560,                   -411,               -193130,                 20482,               -152287,              1264787,              1112500,              1112500,,                 99961,                 -3219,                -99753,,,,,
