證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　 支付之利息,　　 其他金融資產減少,　　 現金增資,　　 短期借款減少,　　 合併發行新股追溯調整
6431,2015年01月01日至2015年09月30日,,                -86986,                -86986,,,                 59711,                  1486,                 -2260,                 -3303,                    -92,                 13110,                 -2223,                 66429,,,                  1997,                 51410,                  1253,                 20099,                -14345,                              0,                 60414,,                 -3101,                -16974,                  4635,                    365,                -15075,                 45339,                111768,                 24782,                 -4986,                 19796,,                -37604,                    642,                   -300,                   -508,                   -406,                  3303,                -34873,,               -114107,               -114107,                 10167,               -119017,                616335,                497318,                497318,,,,,,,,,,
6431,2015年01月01日至2015年06月30日,,                -78922,                -78922,,,                 39744,                  1047,                 -1355,                 -1824,                    -92,                 14448,                 -6336,                 45632,,,                   -367,                 42202,                  1294,                 23368,                -10295,                              0,                 56202,,                  5098,                -13714,                   -696,                    115,                 -9197,                 47005,                 92637,                 13715,                  4355,                 18070,,                -17801,                    641,                   -288,                   -210,                -13337,                  1824,                -29171,,,,                -14404,                -25505,                616335,                590830,                590830,,,,,,,,,,
6431,2015年01月01日至2015年03月31日,,                -30913,                -30913,,,                 19696,                    449,                 -1383,                   -580,                    -93,                  4309,                 -2694,                 19704,,,                  5937,                 51432,                  1288,                 -1261,                 -7439,                              0,                 49957,,                   -607,                -13659,                   -458,                    172,                -14552,                 35405,                 55109,                 24196,                     50,                 24246,,                -39590,                    647,                   -293,,                 10283,                    580,                -28373,,,,                 -5810,                 -9937,                616335,                606398,                606398,,,,,,,,,,
6431,2014年度,,                114915,                114915,,,                 66239,                  1348,                 -4378,                 -1001,                      4,                  6848,                 17413,,,,                 17066,                199140,                      2,                 -8662,                 19314,                    166,                227026,,                -52799,                 -4771,                    438,                   -298,                -57430,                169596,                256069,                370984,                -52281,                318703,,                -85215,,                              0,                   -633,                -39113,                  1001,               -123960,,                -98892,                108210,                 12521,                315474,                300861,                616335,                616335,,                              0,                              0,                 86473,                              0,                              0,                              0,                207102,,
6431,2014年01月01日至2014年09月30日,,                147314,                147314,,,                 48954,                    926,                 -3196,                   -816,                      4,                  2572,                  2758,                 51202,,,                 20171,                 -3280,                    171,                 -7873,                 13961,                    166,                 23316,,                -15006,                 14609,                   -279,                   -346,                 -1022,                 22294,                 73496,                220810,                -44342,                176468,,                -23295,                              0,                   -296,                   -639,                -74022,                    816,                -97436,,                -98892,                -98892,                  2797,                -17063,                300861,                283798,                283798,,,,,,,,,,
6431,2014年01月01日至2014年06月30日,,                136032,                136032,,,                 29466,                    552,                 -1755,                   -395,                      4,                     84,                 -5072,                 22884,,,                 23563,               -125957,                  1326,                -13465,                 23231,                    166,                -91136,,                 19808,                 10711,                  2373,                    281,                 33173,                -57963,                -35079,                100953,                -19952,                 81001,,                 -8769,                              0,                              0,                              0,                -20286,                    395,                -28660,,,,                 -1542,                 50799,                300861,                351660,                351660,,,,,,,,,,
6431,2014年01月01日至2014年03月31日,,                 36451,                 36451,,,                 15037,                    278,                  2167,                   -154,                              0,                              0,                  7886,                 25214,,,                    952,                 48798,                 -1019,                -11042,                  9950,                 -3037,                 44602,,                     95,                 13089,                  2333,                  1122,                 16639,                 61241,                 86455,                122906,                    244,                123150,,                   -536,                              0,                   -247,,                -19715,                    154,                -20344,,,,                  1873,                104679,                300861,                405540,                405540,,,,,,,,,,
6431,2013年度,,                219891,                219891,,,                 60195,                    766,                 13119,                   -635,                    361,                              0,                 15826,,,,                 67986,               -139564,                              0,                -31775,                  9785,                 -4974,                -98542,,                -12703,                 44119,                              0,                   -927,                 20653,                -77889,                 31752,                251643,                -76080,                174722,,                -27902,,                    -12,                 -1155,                -14268,                    635,                -32862,,                -93844,                -93844,                 16792,                 64808,                236053,                300861,                300861,,                    841,                 19168,                109641,                 -9836,                   -841,                  9840,                              0,,
6431,2013年01月01日至2013年12月31日,,                219891,                219891,,,                 60195,                    766,                 13119,                   -635,                    361,                              0,                 15826,,,,                 67986,               -139564,,                -31775,                  9785,                 -4974,                -98542,,                -12703,                 44119,,                   -927,                 20653,                -77889,                 31752,                251643,                -76080,                174722,,                -27902,,                    -12,                 -1155,                -14268,                    635,                -32862,,                -93844,                -93844,                 16792,                 64808,                236053,                300861,                300861,,                    841,                 19168,                109641,                 -9836,                   -841,                  9840,,                              0,                              0
6431,2013年01月01日至2013年09月30日,,                230399,                230399,,,                 45429,                    559,                  8515,                   -658,                    338,                              0,,,,,                 68065,               -146789,                   -390,                -29940,                 13829,                    241,                -94984,,                -25270,                 33170,                 -1363,                   -187,                 -3486,                -98470,                -44287,                186112,                -52116,                133996,,                -20652,,                    -12,                   -226,                -10239,                    658,                -20631,,                              0,                              0,                 27195,                140560,                236053,                376613,                376613,,,,                 54183,                 -9836,,                  9840,,,
