證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 預付投資款減少,　　 處分子公司,　　　　 金融資產減損迴轉利益,　　　　　 持有供交易之金融資產（增加）減少,　　 處分持有至到期日金融資產,　　 償還公司債,　　 應付租賃款減少,　　 非控制權益變動,　　 預付投資款增加,　　 其他投資活動,　　 應付租賃款增加
1806,2015年01月01日至2015年09月30日,,                 63652,                              0,                 63652,,,                495485,                 27242,                  1506,                    363,                143760,                -12959,                   -904,                    388,                  4353,                              0,                    495,                659729,,,                 93823,                338786,                  6044,               -137012,                 -4500,                 70147,                 18207,                385495,,                 -1903,                133216,               -358647,                 39780,                   -853,                 -1928,               -190335,                195160,                854889,                918541,               -131408,               -142519,                644614,,               -460124,                 18466,                 -9013,                              0,                -13461,                              0,                 48830,                -48299,                 12959,                    904,               -449738,,              1984630,             -1932274,                              0,                              0,                118278,               -246922,                 12905,                -19099,                              0,                -21084,               -103566,                 12007,                103317,              1964287,              2067604,              2067604,,,,,,,,,,,,,,,,,,
1806,2015年01月01日至2015年06月30日,,                -28417,,                -28417,,,                330644,                 21798,                  1514,                    -45,                 93861,                 -8473,,                    141,                  2686,,                     99,                442225,,,                104679,                303778,                  3088,                -56865,               -133471,                 83263,                -17260,                287212,,                 -1855,                211488,               -324190,                 34749,,                 -3555,                -83363,                203849,                646074,                617657,                -84385,                -78589,                454683,,               -195062,                    755,                -11082,                              0,                 -6944,,                -26372,                -34656,                  8473,,               -264888,,              1058810,               -896887,                              0,                              0,                102552,               -183307,                  9822,                -13680,,,                 77310,                 -3875,                263230,              1964287,              2227517,              2227517,                              0,,,,,,,,,,,,,,,,,
1806,2015年01月01日至2015年03月31日,,                -67598,,                -67598,,,                165099,                 10520,                  1514,                   -311,                 49965,                 -3310,,                     59,                    208,,                     15,                223759,,,                172478,                299283,                  1259,               -125127,                -66512,                 59341,                 10904,                351626,,                -13252,                -43134,               -199939,                 55401,,                   -227,               -201151,                150475,                374234,                306636,                -40395,                    -12,                266229,,               -255241,                  1072,,,                 -6944,                -12888,                -17989,                -13758,                  3310,,               -302438,,                623385,               -433601,                              0,,                 23825,                -65385,                  2156,                 -5277,,,                145103,                 -2656,                106238,              1964287,              2070525,              2070525,,,,,,,,,,,,,,,,,,
1806,2014年度,,               -311818,,               -311818,,,                674182,                 34437,                 79479,                   -909,                173964,                -20867,                 -4229,                 -1610,                 15412,                491831,                    334,,,,                -50318,               -331137,                 15018,               -252081,                -25648,               -208001,                 44669,               -807498,,                -13004,                100520,                 81485,                -31778,,                   -485,                135783,               -671715,                777342,                465524,               -170439,               -110541,                188773,,               -687634,                  5173,,,                 -8732,                -14249,                -23170,                 10882,                 20867,                  4229,               -633512,,              2280530,             -2264158,                 40000,               -150000,                656452,               -202487,                -15932,,                -43734,,                300671,                  9735,               -134333,              2098620,              1964287,              1964287,                 63351,,                  7033,                              0,              1449057,                   -955,                              0,                              0,                              0,,,,,,,,,
1806,2014年01月01日至2014年09月30日,,               -222324,                              0,               -222324,,,                474487,                 26404,                  1838,                   -983,                128220,                -13703,                 -4229,                 -1702,                 26658,                488493,                  8023,              1133506,,,                  4675,                -11576,                 14806,               -351984,               -136383,                -62230,                 -4232,               -546924,,                -26465,                332565,               -145399,                 -6580,                   -656,                  2792,                156257,               -390667,                742839,                520515,               -125653,               -115967,                278895,,               -771198,                  8648,                -11230,                  8182,                 -7311,                 34877,                -14801,                -26118,                 13703,                  4229,               -761019,,              1517734,             -1642312,                 40000,               -150000,                615343,               -152279,                 36848,                -44973,                -43734,                              0,                176627,                   -606,               -306103,              2098620,              1792517,              1792517,,,,,,,,,,,,,,,,,,
1806,2014年01月01日至2014年06月30日,,                138519,,                138519,,,                316734,                 17386,                  1918,                 -1150,                 83906,                 -8798,,                    123,                  7612,,                  6717,                424448,,,                  1728,                -65857,                 -4466,               -255845,                -88932,                -50118,                 -4506,               -467996,,                 -9593,                210806,               -184666,                 25811,,                  1196,                 43554,               -424442,                      6,                138525,                -82797,                -90980,                -35252,,               -430740,                  5412,                 -2040,                 11067,                 -7038,,                -12912,                -63323,                  8798,,               -468653,,                965448,             -1140012,                 10000,               -110000,                494235,                -72112,                 17693,                -36190,,,                129062,                -17362,               -392205,              2098620,              1706415,              1706415,                 22123,,,,,,,,,,,,,,,,,
1806,2014年01月01日至2014年03月31日,,                -64556,,                -64556,,,                149457,                  7841,                              0,                   -489,                 38428,                 -2994,,                     56,                    561,,                  8220,                201080,,,                100515,                 22660,                 -2385,               -117390,                -45815,                -22042,                 25933,                -38524,,                -31706,                 74161,                  4816,                 54169,,                    487,                101927,                 63403,                264483,                199927,                -37747,                     -8,                162172,,               -274941,                  2289,,,                   -175,                 10411,                 -4243,                -46622,                  2994,,               -310287,,                310446,               -654947,               -110000,,                305361,                -15834,                  9202,                -18593,,,               -174365,                  1051,               -321429,              2098620,              1777191,              1777191,,,,,,,,,,,,,,,,,,
1806,2013年度,,                415575,,                415575,,,                561447,                 31488,                 20237,                    844,                145694,                -22689,                 -2550,                  2258,                  5907,                              0,                  6636,,,,                224939,                 81924,                -21062,                 98019,               -100035,                -17993,                 -2984,                262808,,                 11178,                 -9156,                 88069,                -16702,,                  5268,                 79088,                341896,              1089341,              1504916,               -141969,               -314617,              1050880,,             -1104915,                 53961,,,                 -8150,                -84137,                -28440,                -59734,                 22689,                  2550,             -1196057,,              4915601,             -5137193,                230000,               -140000,              1341497,             -1390980,                 17745,,                              0,,               -163330,                 90924,               -217583,              2316203,              2098620,              2098620,                 10725,,                              0,                 -1827,                747445,                    431,                  4200,                 12088,                -14344,,,,,,,,,
1806,2013年01月01日至2013年12月31日,,                415575,,                415575,,,                561447,                 31488,                 20237,                    844,                145694,                -22689,                 -2550,                  2258,                  5907,,,,,,                224939,                 81924,                -21062,                 98019,               -100035,                -17993,                 -2984,                262808,,                 11178,                 -9156,                 88069,                -16702,,                  5268,                 79088,                341896,              1082705,              1498280,               -141969,               -314617,              1044244,,             -1104915,                 53961,,,                 -8150,                -84137,                -21804,                -59734,                 22689,                  2550,             -1189421,,              4915601,             -5137193,                230000,               -140000,              1341497,             -1390980,                 17745,,                              0,,               -163330,                 90924,               -217583,              2316203,              2098620,              2098620,                 10725,,,                 -1827,                740809,                    431,                  4200,                 12088,                -14344,,                              0,                              0,                              0,                              0,                              0,,,
1806,2013年01月01日至2013年09月30日,,                281914,                              0,                281914,,,                411068,                 24028,,                    991,                103762,                -12884,,                  1780,                  4307,                              0,                  2858,,,,                196452,                -32433,                -23606,                 39413,               -155950,                 24066,                 -8837,                 39105,,                 31266,                 53471,                -97586,                 -5165,,                  8991,                 -8405,                 30700,                562268,                844182,               -100336,               -272773,                471073,,               -302837,                 10015,                 -4075,                  9511,                 -7297,                 -8751,                -31664,               -426276,                 12894,,               -750757,,              2959254,             -2891289,                 75000,                -95000,                523360,               -949405,                 47835,                -39903,                              0,,               -370148,                 68695,               -581137,              2316203,              1735066,              1735066,,,,                 -1827,                531568,                    618,,                 12067,                -14344,                 -2515,,,,,,,,
1806,2013年01月01日至2013年06月30日,,                 90473,,                 90473,,,                270356,                 14982,                 -2409,                    979,                 65492,                 -8715,,                  1413,                  3310,,                  1761,,,,                230330,                -65538,                -12895,                 25003,                 18712,                 23876,                 11676,                231164,,                 -2648,                 41177,               -132885,                 85483,,                 10390,                  1477,                232641,                579810,                670283,                -65239,               -238955,                366089,,               -137924,                  3721,                 -2784,                  8980,                 -4361,               -182790,                -14641,               -103329,                  8725,,               -412407,,              1445846,             -1073813,                 75000,                -75000,                              0,               -840373,                 20242,                -19478,,,               -467576,                 79080,               -434814,              2316203,              1881389,              1881389,,,,,                347169,                    -40,,                 11996,,,,,,,,,,
1806,2013年01月01日至2013年03月31日,,                -91525,,                -91525,,,                132657,                  7550,,                     41,                 33206,                 -3826,,                  1043,                  4474,,                    870,,,,                243260,                 58169,                 -5459,                -77700,                -64932,                 13987,                -15441,                151884,,                -32993,                  1356,                -69213,                 90294,,                 10671,                    115,                151999,                328014,                236489,                -28317,                 -1307,                206865,,                -72421,                  1435,,,                   -413,                 -3253,                 -5749,                -48084,                  3836,,               -112793,,                243476,               -442039,                 -5000,,                              0,               -243141,                  4174,                              0,,,               -442530,                 55305,               -293153,              2316203,              2023050,              2023050,,,,,                176015,                              0,,                 11856,,,,,,,,,,
1806,2012年01月01日至2012年12月31日,,               -173166,,               -173166,,,                527173,                 32130,                  2947,                   -918,                129064,                -20164,                   -450,                 -2680,                 -2086,,,,,,               -143162,                -58778,                              0,                299803,                -72638,                 17149,                 18261,                 58635,,                  7529,                -17046,                133661,                -63111,,                140577,                200800,                259435,                924451,                751285,               -129105,               -152345,                470285,,             -1075489,                  8382,,,                 -3733,                -14340,                -13124,               -117891,                 20164,                    450,               -878249,,              4405352,             -3662012,                310000,               -370000,                494722,               -143889,                  9652,,               -218667,,                854240,                -47697,                398579,              1917624,              2316203,              2316203,                247009,,,                              0,                665016,                   -810,                              0,                -12105,                              0,,                 -2000,                 82878,                   -900,                 -6469,                 36451,,,
1806,2012年01月01日至2012年09月30日,,               -143144,                              0,               -143144,,,                381675,                 23942,,                   -712,                 85185,                -13900,,                 -5529,                  1933,,,,,,                 10180,                -71840,                              0,                189454,               -250705,                 88135,                 73354,                 36578,,                  1484,               -116134,                251178,                -21154,,                              0,                114866,                151444,                624038,                480894,                -85299,               -164040,                231555,,               -829600,                  7110,                 -4772,                  5165,                 -4087,                              0,                -15458,               -136539,                 13900,,               -883705,,              2556430,             -1592878,                195000,               -225000,                594108,               -198807,                 27202,                -19738,               -218667,,              1110281,                -53433,                404698,              1917624,              2322322,              2322322,                122486,,,                              0,                472594,                   -508,,                              0,                              0,                              0,                 -2000,,                   -900,                 -6469,,                -44550,                  2640,
1806,2012年01月01日至2012年06月30日,,               -126112,,               -126112,,,                248601,                 14359,,                    -78,                 53840,                 -9886,,                  1558,                  1597,,                  1712,,,,                -29380,               -126607,                              0,                111664,               -179509,                 70750,                 26583,               -128499,,                   -607,                 69369,                 -9551,                 83039,,                              0,                141940,                 13441,                325144,                199032,                -56395,               -131853,                 10784,,               -203768,                  4484,                 -4775,                 10346,                 -2674,                204902,                -11927,               -113647,                  9886,,                -24066,,              1402055,             -1155686,                              0,                -80000,                 60000,               -214851,                 18326,                -17630,,,                  5745,                -25822,                -33359,              1917624,              1884265,              1884265,,,,,                311703,                   -310,,                              0,,                              0,                 -2000,                 83107,,,,,,                 -6469
1806,2012年01月01日至2012年03月31日,,               -207568,,               -207568,,,                125076,                  8635,,                   -705,                 27174,                 -1706,,                    613,                  2200,,                  2545,,,,                112722,                 -8080,                              0,                 30972,                -27460,                -14906,                -35568,                 55680,,                -31854,                -69119,                -30472,                 12762,,                              0,               -118747,                -63067,                100765,               -106803,                -22766,                  6010,               -123559,,                -86631,                  2152,,,                   -348,                 -5707,                 -7848,                -85729,                  1706,,                -99227,,                420118,               -300552,                -50000,,                 60000,                -35046,                  4498,,,,                 92671,                -31310,               -161425,              1917624,              1756199,              1756199,,,,,                163832,                    -64,,,,,                 -2000,                 83178,,,,                              0,,                 -6347
